StringID,English Text,LocContext (Translator Note),Character Limit,Status
ns.lore.deep.ev_ibarra_01.title,Actuarial Reclassification,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.ev_ibarra_01.author,"Marek Ibarra, Keelmark Mutual",Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.ev_ibarra_01.text,"Regarding the 843 unaccounted personnel at the HECTON-8 installation: Without physical recovery and biological verification, we cannot process these as fatalities under the standard Deep Reach employment addendum. For current fiscal quarter reporting, these individuals will be listed as 'Unresolved System Load.' Their life insurance payouts are suspended pending structural review. By categorizing them as active but inaccessible, we defer the liability payout into the next decade. If independent salvage crews find the bodies, do not acknowledge. The water owns the claim until we say otherwise.","Industrial sci-fi tone. NASA-punk. Corporate memo. Use dry, evasive legal/insurance language.",1000,OK
ns.lore.deep.ev_sato_ren_01.title,Contractor Silence Protocol,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.ev_sato_ren_01.author,"Vera Sato-Ren, Recovery Compliance Office",Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.ev_sato_ren_01.text,"[STATIC SQUELCH] Listen to me. The Black Keel carrier doesn't lower the extraction tether until the contractor transmits the Xenon-Omega proof. [PAUSE] I don't care what they found in the flooded sectors. If they try to upload payroll data, worker IDs, or any mention of the 2147 hold order, you sever the acoustic link. Let the pressure crush their transmission. We need the substrate. We do not need heroes. If they complain, cite the salvage charter. We own the coordinates, we own the tether, and we own the silence. [CARRIER TONE DROPS]","Industrial sci-fi tone. NASA-punk. Field note from a scavenger. Bitter, practical, cynical.",1000,OK
ns.lore.deep.ev_varnek_01.title,Risk Model Amendment 44-B,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.ev_varnek_01.author,"Iliya Varnek, Aegir Operations Risk",Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.ev_varnek_01.text,"The cryosphere collapse model presents a 14% deviation from the projected baseline. Standard operating procedure dictates a halt to deep basin operations until the thermal sheer is recalculated. However, applying the mean average across the entire Aegir orbital window smooths the curve to a 4% variance. A 4% variance protects the extraction schedule. I have authorized the downgrade of the tide-margin alert from Critical to Monitored. The Atlas-6 load balancers will absorb the physical stress. Do not log this as a local anomaly. We are engineering a margin, not forecasting weather.","Industrial sci-fi tone. NASA-punk. Corporate memo. Use dry, evasive legal/insurance language.",1000,OK
ns.lore.deep.lev_alpha_01.title,Alpha Leviathan Dossier,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.lev_alpha_01.author,[REDACTED] Aegir Fauna Assessment,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.lev_alpha_01.text,"ALPHA LEVIATHAN designation applied. Reliable facts are indirect: sub-40 Hz acoustic carrier, prey blackout, flow disturbance, and hull stress alarms without contact. Survivor descriptions are contaminated by hypoxia and nitrogen narcosis. The entity edits routes. It arrives before it is seen. Do not attempt acoustic interception. Do not tag. Evacuate the pressure sphere immediately upon hearing the carrier tone.",Industrial sci-fi tone. NASA-punk.,1000,OK
ns.lore.deep.lev_alpha_02.title,Asset Containment: Alpha,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.lev_alpha_02.author,"Iliya Varnek, Aegir Operations Risk",Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.lev_alpha_02.text,"The existence of a macro-predator in the lower transit routes is an unacceptable variable for the Xenon-Omega extraction schedule. We cannot kill it without drawing orbital audit attention to the weapons discharge. Instead, we will route automated carrier drones through Sector 38 to act as acoustic decoys. The cost of five drones per week is lower than the insurance premium on a devoured drilling crew.","Industrial sci-fi tone. NASA-punk. Corporate memo. Use dry, evasive legal/insurance language.",1000,OK
ns.lore.deep.mfn_atlas_eyes.title,Atlas Eyes,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.mfn_atlas_eyes.author,Marauder 'Grint',Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.mfn_atlas_eyes.text,"Atlas-6 doesn't hate you. It just thinks you're a faulty component. If the drones swarm you, don't shoot them. Flash them with the cutter arc. The sudden thermal spike confuses their diagnostic sensors, and they'll categorize you as a 'maintenance hazard' instead of 'biological intrusion'. Hazards get ignored. Intrusions get sterilized.","Industrial sci-fi tone. NASA-punk. Field note from a scavenger. Bitter, practical, cynical.",1000,OK
ns.lore.deep.mfn_blue_debt.title,Blue Debt Rules,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.mfn_blue_debt.author,Marauder 'Hale',Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.mfn_blue_debt.text,"Xenon-Omega isn't magic, it's a target painted on your back. The second you unseal a canister, every sensor in a two-mile radius logs the harmonic signature. The drones wake up, the automated turrets re-auth, and Black Keel prepares an extraction tether. The tether isn't for you. It's for the sample. They will gladly winch up your corpse if you're holding it.","Industrial sci-fi tone. NASA-punk. Field note from a scavenger. Bitter, practical, cynical.",1000,OK
ns.lore.deep.mfn_company_lock.title,Company Lock,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.mfn_company_lock.author,Marauder 'Vess',Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.mfn_company_lock.text,"The mag-locks on the executive sector doors are wired to the backup generators. The life support in the worker sector is not. When the Great Tide hit, the execs had power to lock the doors, but no air. The workers had air in the main hall, but couldn't get through the doors to escape. Irony is a bitch. Grab the keycards.","Industrial sci-fi tone. NASA-punk. Field note from a scavenger. Bitter, practical, cynical. Corporate memo. Use dry, evasive legal/insurance language.",1000,OK
ns.lore.deep.mfn_dead_weight.title,Dead Weight,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.mfn_dead_weight.author,Marauder 'Vess',Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.mfn_dead_weight.text,"Found a Corp tag on a flooded server rack. They valued the data inside at two million credits. The skeleton slumped against it wasn't wearing a tag. I pulled the server drive and left the bones. Deep Reach only pays for what they insured, and they didn't insure him.","Industrial sci-fi tone. NASA-punk. Field note from a scavenger. Bitter, practical, cynical. Corporate memo. Use dry, evasive legal/insurance language.",1000,OK
ns.lore.deep.mfn_exit_map.title,Map the Exit,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.mfn_exit_map.author,Marauder 'Grint',Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.mfn_exit_map.text,"The corporate blueprints are lies. They show corridors that were never built to save on bulk steel. I scratched a line on the deck plates leading back to the airlock. If you find something that shines, ignore it until you know how you're getting back out. A dead diver with full pockets is just a loot drop for the next crew.","Industrial sci-fi tone. NASA-punk. Field note from a scavenger. Bitter, practical, cynical.",1000,OK
ns.lore.deep.mfn_final_rule.title,Final Rule,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.mfn_final_rule.author,Marauder 'Grint',Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.mfn_final_rule.text,"Don't look down. The abyss doesn't care if you're brave. It just waits. Keep your eyes on the next handhold, the next gauge, the next breath. You aren't conquering Aegir. You're just trying to outlive it.","Industrial sci-fi tone. NASA-punk. Field note from a scavenger. Bitter, practical, cynical.",1000,OK
ns.lore.deep.mfn_ghost_echo.title,Ghost Echo,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.mfn_ghost_echo.author,Marauder 'Hale',Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.mfn_ghost_echo.text,That tapping sound isn't a survivor. It's an acoustic relay bouncing off a sheared pipe. I followed it for two hours thinking I was going to be a hero. It led me into a blind vent with no turnaround. Leave the heroes in the vids. Follow the map.,"Industrial sci-fi tone. NASA-punk. Field note from a scavenger. Bitter, practical, cynical.",1000,OK
ns.lore.deep.mfn_hull_patch.title,P-63 Truth,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.mfn_hull_patch.author,Marauder 'Vess',Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.mfn_hull_patch.text,The P-63 fabricator is a piece of trash. The clamps it spits out are brittle at anything below 4 degrees Celsius. Keep them in your suit pocket so your body heat keeps them malleable until you apply them to a breach. The Corp manual doesn't tell you that because the manual was written by a guy in a warm office.,"Industrial sci-fi tone. NASA-punk. Field note from a scavenger. Bitter, practical, cynical.",1000,OK
ns.lore.deep.mfn_oxygen_burn.title,Air Accounting,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.mfn_oxygen_burn.author,Marauder 'Hale',Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.mfn_oxygen_burn.text,"The suit says you have ten minutes. You have six. The scrubber runs hot, the ambient pressure makes the regulator stick, and fear makes you breathe faster. The Corp calculates survival based on a resting heart rate. You aren't resting down here. Start heading back at eight minutes, or don't head back at all.","Industrial sci-fi tone. NASA-punk. Field note from a scavenger. Bitter, practical, cynical.",1000,OK
ns.lore.deep.mfn_silent_water.title,Silent Water,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.mfn_silent_water.author,Marauder 'Grint',Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.mfn_silent_water.text,"If you stop hearing the hum of the pumps, turn around. If you stop hearing the hull groan, turn around. If the water gets perfectly quiet and the small fish disappear, kill your lights and pray. The big things down here don't make noise until they miss.","Industrial sci-fi tone. NASA-punk. Field note from a scavenger. Bitter, practical, cynical.",1000,OK
ns.lore.deep.sys_ui_actuarial_threat.title,Drone Target Reclassification,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.sys_ui_actuarial_threat.author,Atlas-6 Drone Routing,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.sys_ui_actuarial_threat.text,SCAN DETECTED: UNAUTHORIZED RECOVERY OF UNRESOLVED SYSTEM LOAD. You are handling unregistered biological material. Drone repair priority revoked. Actuarial threat level elevated. Please discard bodies to restore maintenance privileges.,"Industrial sci-fi tone. NASA-punk. Corporate memo. Use dry, evasive legal/insurance language.",1000,OK
ns.lore.deep.sys_ui_airlock_denied.title,Airlock Cycle Denied,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.sys_ui_airlock_denied.author,BaseAirlock,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.sys_ui_airlock_denied.text,CYCLE FAILED. Haldane-8 Quarantine active. Xenon-Omega biomatter detected on suit exterior. You are a contamination risk to corporate infrastructure. Return to the basin or locate an authorized chemical shower. This airlock will not open.,Industrial sci-fi tone. NASA-punk.,1000,OK
ns.lore.deep.sys_ui_arendt_override.title,Life Support Diverted,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.sys_ui_arendt_override.author,LifePodDamageSystem,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.sys_ui_arendt_override.text,POWER REROUTED. Atlas-6 Directive Weighting Override active. Life support and pressure shields in Sector 44 deactivated to stabilize adjacent Xenon-Omega substrate vaults. Your survival parameter is currently weighted at: -0.15.,Industrial sci-fi tone. NASA-punk.,1000,OK
ns.lore.deep.sys_ui_pda_silence.title,Upload Severed,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.sys_ui_pda_silence.author,PDAExchangeSystem,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.sys_ui_pda_silence.text,UPLOAD FAILED. Sato-Ren Filter triggered. The data packet contains restricted payroll information and casualty counts. Acoustic link severed to protect carrier integrity. Scrub drive before re-attempting extraction.,"Industrial sci-fi tone. NASA-punk. Corporate memo. Use dry, evasive legal/insurance language.",1000,OK
ns.lore.deep.sys_ui_thermal_lie.title,Thermal Sheer Warning,Title of a recovered document. Keep it clinical and industrial.,50,OK
ns.lore.deep.sys_ui_thermal_lie.author,HectonSubmarineOS,Name and title of the author. Do not translate names.,60,OK
ns.lore.deep.sys_ui_thermal_lie.text,STATUS: MONITORED BACKGROUND ACTIVITY. Ambient thermal variance within engineered margins. Hull tension: Nominal. [WARNING CANCELED BY VARNEK OVERRIDE],"Industrial sci-fi tone. NASA-punk. Corporate memo. Use dry, evasive legal/insurance language.",1000,OK
