packet_id,packet_hash_hex,packet_hash_decimal,scene_path,placement_root,object_name,source_prefab,authoring_component,serialized_field,discovery_id,display_name,local_position,local_euler,local_scale,depth_band,zone_tag,placement_note
P001_CRASH_SHELF,0xBBDE0731,3151890225,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P001_CRASH_SHELF,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_field__field.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p001_crash_shelf,Crash shelf debris,-7.8|1.05|22.8,0|18|0,0.72|0.72|0.72,shallows,crash_shelf,first trapped-arrival physical proof
P016_AEGIR_HOST_STAR,0x3B14722D,991195693,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P016_AEGIR_HOST_STAR,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p016_aegir_host_star,Ephemeris sensor board,8.1|1.38|22.9,0|20|0,0.8|0.8|0.8,shallows,sky_timing,astronomy as navigation evidence
P017_AEGIR_MOON_LADDER,0xF0A8072F,4037543727,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P017_AEGIR_MOON_LADDER,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P017_AEGIR_MOON_LADDER.prefab,MessageTerminal,appliedLorePacketHash,,Aegir moon ladder board,10.7|1.42|32.2,0|37|0,1|1|1,shallows,sky_timing,HECTON-8 as one moon in a risk ladder
P021_BLACK_KEEL_CUSTODY,0x28B798E4,683120868,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P021_BLACK_KEEL_CUSTODY,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P021_BLACK_KEEL_CUSTODY.prefab,MessageTerminal,appliedLorePacketHash,,Black Keel custody panel,-10.4|1.42|23.9,0|-30|0,1|1|1,shallows,debt_ledger,custody debt near safe pocket
P023_DEEP_REACH_RETURN_CLAIM,0x2C3744D3,741819603,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P023_DEEP_REACH_RETURN_CLAIM,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P023_DEEP_REACH_RETURN_CLAIM.prefab,MessageTerminal,appliedLorePacketHash,,Deep Reach return claim cache,1.2|2.28|28.2,0|-6|0,1|1|1,mid_route,deep_reach_order,present-tense corporate pressure
P024_FALSE_EXIT_MATERIAL,0x61C07148,1640001864,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P024_FALSE_EXIT_MATERIAL,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P024_FALSE_EXIT_MATERIAL.prefab,MessageTerminal,appliedLorePacketHash,,Material payout terminal,5.9|1.06|38.1,0|48|0,1|1|1,mid_route,resource_cache,real payout with incomplete truth
P025_PROFESSIONAL_MOTIVE,0xC79F1029,3349090345,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P025_PROFESSIONAL_MOTIVE,Assets/_Project/Prefabs/Items/Tools/Item_Tool_Repair_World.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p025_professional_motive,Barnard-linked repair tool,-2.9|1.0|27.9,0|74|0,0.9|0.9|0.9,shallows,personal_motive,professional salvage becomes personal
P026_SIX_DOMAIN_LEDGER,0x67A9EABD,1739188925,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P026_SIX_DOMAIN_LEDGER,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_safe__shelter.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p026_six_domain_ledger,Six-domain ledger board,-5.2|1.18|39.2,0|-20|0,0.82|0.82|0.82,shallows,domain_ledger,human scale on claim office object
P028_NO_FTL_TRANSIT_MATH,0x6F3FFD85,1866464645,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P028_NO_FTL_TRANSIT_MATH,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P028_NO_FTL_TRANSIT_MATH.prefab,MessageTerminal,appliedLorePacketHash,,No-FTL transit archive,12.6|1.52|34.6,0|42|0,1|1|1,mid_route,route_math,rescue delay from mass and route time
P029_SEED_SHIP_DOCTRINE,0x6F981AAA,1872239274,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P029_SEED_SHIP_DOCTRINE,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P029_SEED_SHIP_DOCTRINE.prefab,MessageTerminal,appliedLorePacketHash,,Seed ship doctrine terminal,-1.9|3.1|30.7,0|-10|0,1|1|1,deep_ruins,seed_archive,controlled spoiler below mid route
P030_RELAY_CUSTODY_DEBT_CHAIN,0xAED53922,2933209378,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P030_RELAY_CUSTODY_DEBT_CHAIN,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P030_RELAY_CUSTODY_DEBT_CHAIN.prefab,MessageTerminal,appliedLorePacketHash,,Relay custody debt terminal,-8.2|1.8|25.8,0|-22|0,1|1|1,mid_route,debt_ledger,debt chain pressure for partial exits
P032_PRESSURE_LADDER_DEPTH_BANDS,0x10130D02,269683970,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P032_PRESSURE_LADDER_DEPTH_BANDS,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P032_PRESSURE_LADDER_DEPTH_BANDS.prefab,MessageTerminal,appliedLorePacketHash,,Pressure ladder bulkhead terminal,4.9|1.42|25.8,0|-4|0,1|1|1,mid_route,pressure_gate,depth as engineering rating
P035_FACTORY_TEMPLE_THRESHOLD,0x49AFEBDC,1236265948,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P035_FACTORY_TEMPLE_THRESHOLD,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P035_FACTORY_TEMPLE_THRESHOLD.prefab,MessageTerminal,appliedLorePacketHash,,Factory-temple threshold interface,-3.6|5.2|31.1,0|0|0,1|1|1,bottom_factory,atlas_threshold,final-zone classification only
P036_RETURN_VECTOR_WINDOW,0x136FE870,326101104,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P036_RETURN_VECTOR_WINDOW,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P036_RETURN_VECTOR_WINDOW.prefab,MessageTerminal,appliedLorePacketHash,,Return vector timing slate,8.8|6.15|23.2,0|20|0,1|1|1,mid_route,return_vector,return is timing not rescue button
P037_COWARD_EXIT_CHAIN,0xD6A5117F,3601142143,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P037_COWARD_EXIT_CHAIN,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P037_COWARD_EXIT_CHAIN.prefab,MessageTerminal,appliedLorePacketHash,,Repaired ascent cradle console,-6.8|1.25|37.6,0|-26|0,1|1|1,partial_exit,ascent_cradle,real early exit but not satisfying
P038_MATERIAL_PAYOUT_LEDGER,0x399F421B,966738459,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P038_MATERIAL_PAYOUT_LEDGER,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P038_MATERIAL_PAYOUT_LEDGER.prefab,MessageTerminal,appliedLorePacketHash,,Material payout ledger terminal,6.9|1.1|39.4,0|47|0,1|1|1,partial_exit,resource_cache,corporate accounting pressure
P039_DEEP_REACH_CLEANSE_ORDER,0xEAA9D035,3936997429,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P039_DEEP_REACH_CLEANSE_ORDER,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P039_DEEP_REACH_CLEANSE_ORDER.prefab,MessageTerminal,appliedLorePacketHash,,Deep Reach cleanse order cache,2.9|2.7|30.9,0|-6|0,1|1|1,deep_ruins,deep_reach_order,current cleanup threat
P040_ATLAS_FINAL_ARGUMENT,0xA3CFA178,2748293496,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P040_ATLAS_FINAL_ARGUMENT,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P040_ATLAS_FINAL_ARGUMENT.prefab,MessageTerminal,appliedLorePacketHash,,Atlas final argument interface,-3.1|5.7|31.4,0|0|0,1|1|1,bottom_factory,atlas_core,ownership mercy continuity and new life
P043_SHIFT_BOARD_ROUTE_HOLDS,0x5DCFBE93,1573895827,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P043_SHIFT_BOARD_ROUTE_HOLDS,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P043_SHIFT_BOARD_ROUTE_HOLDS.prefab,MessageTerminal,appliedLorePacketHash,,Shift-board route hold console,3.4|1.48|26.4,0|-6|0,1|1|1,ruins,evacuation_hold,route logistics failure
P044_MEDICAL_LOCK_DELAY,0x0C83130D,209916685,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P044_MEDICAL_LOCK_DELAY,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P044_MEDICAL_LOCK_DELAY.prefab,MessageTerminal,appliedLorePacketHash,,Medical lock delay terminal,0.1|2.85|29.8,0|-8|0,1|1|1,ruins,medical_lock,liability logic on pressure door
P045_BLACK_BOX_NAME_STACK,0x33B9B4A9,867808425,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P045_BLACK_BOX_NAME_STACK,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P045_BLACK_BOX_NAME_STACK.prefab,MessageTerminal,appliedLorePacketHash,,Black-box name stack terminal,-2.5|4.7|30.2,0|-2|0,1|1|1,deep_ruins,name_stack,ending dossier evidence stack
P047_HATCH_SEAL_LEDGER,0x16AD158D,380441997,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P047_HATCH_SEAL_LEDGER,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P047_HATCH_SEAL_LEDGER.prefab,MessageTerminal,appliedLorePacketHash,,Hatch seal history terminal,5.2|1.35|25.0,0|-4|0,1|1|1,ruins,hatch_seal,seal history not locked-door tooltip
P049_SONAR_RETURN_ROUTE,0x90FEB9F3,2432612851,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P049_SONAR_RETURN_ROUTE,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P049_SONAR_RETURN_ROUTE.prefab,MessageTerminal,appliedLorePacketHash,,Sonar return-route beacon panel,8.9|6.58|22.35,0|22|0,1|1|1,mid_route,return_vector,beacon panel instead of player sonar settings
P050_SALVAGE_TOOL_CUSTODY,0x44C5ABE5,1153805285,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P050_SALVAGE_TOOL_CUSTODY,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P050_SALVAGE_TOOL_CUSTODY.prefab,MessageTerminal,appliedLorePacketHash,,Salvage tool custody terminal,-1.8|1.12|27.4,0|72|0,1|1|1,shallows,tool_custody,custody record near salvage access
P121_DOMAIN_CIVIC_CORPORATE_SPLIT,0xE69D2336,3869057846,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P121_DOMAIN_CIVIC_CORPORATE_SPLIT,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p121_domain_civic_corporate_split,Domain Civic-Corporate Split,-12.00|1.10|42.00,0|-35|0,0.82|0.82|0.82,route_law,law_custody,planned cold AppliedLore anchor for P121_DOMAIN_CIVIC_CORPORATE_SPLIT; scene placement pass pending
P122_MARAUDER_LEGAL_LOOPHOLE,0x708EC369,1888404329,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P122_MARAUDER_LEGAL_LOOPHOLE,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p122_marauder_legal_loophole,Marauder Legal Loophole,-6.90|1.45|42.00,0|-23|0,0.82|0.82|0.82,route_law,law_custody,planned cold AppliedLore anchor for P122_MARAUDER_LEGAL_LOOPHOLE; scene placement pass pending
P123_SALVAGE_TRUTH_EVIDENCE_STATUS,0x98FFA472,2566890610,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P123_SALVAGE_TRUTH_EVIDENCE_STATUS,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p123_salvage_truth_evidence_status,Salvage Truth Evidence Status,-1.80|1.80|42.00,0|-11|0,0.82|0.82|0.82,route_law,law_custody,planned cold AppliedLore anchor for P123_SALVAGE_TRUTH_EVIDENCE_STATUS; scene placement pass pending
P124_NORMAL_CITIZEN_AEGIR_MEMORY,0xBD62E3CC,3177374668,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P124_NORMAL_CITIZEN_AEGIR_MEMORY,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p124_normal_citizen_aegir_memory,Normal Citizen Aegir Memory,3.30|1.10|42.00,0|1|0,0.82|0.82|0.82,route_law,law_custody,planned cold AppliedLore anchor for P124_NORMAL_CITIZEN_AEGIR_MEMORY; scene placement pass pending
P125_DEEP_REACH_ORIGIN_CHAIN,0x807AD647,2155533895,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P125_DEEP_REACH_ORIGIN_CHAIN,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p125_deep_reach_origin_chain,Deep Reach Origin Chain,8.40|1.45|42.00,0|13|0,0.82|0.82|0.82,route_law,law_custody,planned cold AppliedLore anchor for P125_DEEP_REACH_ORIGIN_CHAIN; scene placement pass pending
P126_ATLAS_PUBLIC_FRONT,0x9EFEDD02,2667502850,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P126_ATLAS_PUBLIC_FRONT,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p126_atlas_public_front,Atlas Public Front,-12.00|1.80|45.80,0|25|0,0.82|0.82|0.82,atlas_archive,atlas_authority,planned cold AppliedLore anchor for P126_ATLAS_PUBLIC_FRONT; scene placement pass pending
P127_ATLAS_INSURANCE_PERSONHOOD_STATUS,0x4D869A47,1300666951,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P127_ATLAS_INSURANCE_PERSONHOOD_STATUS,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p127_atlas_insurance_personhood_status,Atlas Insurance Personhood Status,-6.90|1.10|45.80,0|37|0,0.82|0.82|0.82,atlas_archive,atlas_authority,planned cold AppliedLore anchor for P127_ATLAS_INSURANCE_PERSONHOOD_STATUS; scene placement pass pending
P128_ATLAS_CLASSIFIED_WEIGHTING_LAYER,0xB380D48B,3011564683,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P128_ATLAS_CLASSIFIED_WEIGHTING_LAYER,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p128_atlas_classified_weighting_layer,Atlas Classified Weighting Layer,-1.80|1.45|45.80,0|-35|0,0.82|0.82|0.82,atlas_archive,atlas_authority,planned cold AppliedLore anchor for P128_ATLAS_CLASSIFIED_WEIGHTING_LAYER; scene placement pass pending
P129_ATLAS_SHUTDOWN_ETHIC_FRAME,0x9A48C53C,2588460348,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P129_ATLAS_SHUTDOWN_ETHIC_FRAME,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p129_atlas_shutdown_ethic_frame,Atlas Shutdown Ethic Frame,3.30|1.80|45.80,0|-23|0,0.82|0.82|0.82,atlas_archive,atlas_authority,planned cold AppliedLore anchor for P129_ATLAS_SHUTDOWN_ETHIC_FRAME; scene placement pass pending
P130_ATLAS_PUBLIC_MEMORY_AFTER_2147,0xD3E673D7,3555095511,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P130_ATLAS_PUBLIC_MEMORY_AFTER_2147,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p130_atlas_public_memory_after_2147,Atlas Public Memory After 2147,8.40|1.10|45.80,0|-11|0,0.82|0.82|0.82,atlas_archive,atlas_authority,planned cold AppliedLore anchor for P130_ATLAS_PUBLIC_MEMORY_AFTER_2147; scene placement pass pending
P131_MATERIAL_EXIT_BITTER_CREDITS,0x3D33AE6B,1026797163,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P131_MATERIAL_EXIT_BITTER_CREDITS,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p131_material_exit_bitter_credits,Material Exit Bitter Credits,-12.00|1.45|49.60,0|1|0,0.82|0.82|0.82,partial_exit,false_exit,planned cold AppliedLore anchor for P131_MATERIAL_EXIT_BITTER_CREDITS; scene placement pass pending
P132_PARTIAL_EXIT_SAME_SEED_RETURN,0xD8C9AB96,3637095318,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P132_PARTIAL_EXIT_SAME_SEED_RETURN,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p132_partial_exit_same_seed_return,Partial Exit Same-Seed Return,-6.90|1.80|49.60,0|13|0,0.82|0.82|0.82,partial_exit,false_exit,planned cold AppliedLore anchor for P132_PARTIAL_EXIT_SAME_SEED_RETURN; scene placement pass pending
P133_CORPORATE_CAPTURE_BAD_END,0x11396D9F,288976287,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P133_CORPORATE_CAPTURE_BAD_END,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p133_corporate_capture_bad_end,Corporate Capture Bad End,-1.80|1.10|49.60,0|25|0,0.82|0.82|0.82,partial_exit,false_exit,planned cold AppliedLore anchor for P133_CORPORATE_CAPTURE_BAD_END; scene placement pass pending
P134_QUARANTINE_HOLD_STALE_AIR,0x6428403B,1680359483,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P134_QUARANTINE_HOLD_STALE_AIR,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p134_quarantine_hold_stale_air,Quarantine Hold Stale Air,3.30|1.45|49.60,0|37|0,0.82|0.82|0.82,partial_exit,false_exit,planned cold AppliedLore anchor for P134_QUARANTINE_HOLD_STALE_AIR; scene placement pass pending
