packet_id,packet_hash_hex,packet_hash_decimal,authoring_component,serialized_field,primary_target_candidates,secondary_target_candidates,unity_safe_action,notes
P011_DOMAIN_MARKS_2190,0x108B72AE,277574318,NarrativeDiscovery,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_SalvageSampler_World.prefab","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Repair_World.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__scrap.prefab","Manual Unity API/editor pass: assign NarrativeDiscovery to one readable domain-mark prop, then assign 0x108B72AE.","One good domain mark is enough; do not spam domain lore across every crate."
P012_RELAY_SPINE,0x88B4DC98,2293554328,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__node.prefab","Assets/_Project/Prefabs/Construction/Final/PFB_Module_CurrentTurbine.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_route_power.asset","Manual Unity API/editor pass: bind relay-spine text to an actual comms/route-power panel, then assign 0x88B4DC98.","Hard-sci-fi delay should be terminal proof, not lore voice-over."
P013_NEARLIGHT_SHIP_CLASSES,0x3DA55C38,1034247224,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/Items/Tools/Item_Tool_BeaconDeployer_World.prefab; Assets/_Project/Prefabs/Tools/Held/Tool_BeaconDeployer_Held.prefab","Assets/_Project/Prefabs/Items/Tools/Item_Tool_SalvageSampler_World.prefab; Assets/_Project/Prefabs/Tools/Held/Tool_SalvageSampler_Held.prefab","Manual Unity API/editor pass: bind to a carrier manifest, beacon panel, or vehicle plate only when that prop exists, then assign 0x3DA55C38.","Ship-class lore should explain Black Keel economics without making it player luxury."
P014_AEGIR_ROUTE_WINDOW,0x3C0D7D62,1007517026,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__node.prefab","Assets/_Project/Prefabs/WorldSupport/Final/PFB_Support_Pocket_Safe.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_route_power.asset","Manual Unity API/editor pass: bind an orbital window or sky-timing terminal, then assign 0x3C0D7D62.","Route-window math must gate rescue/payload thinking, not be a decorative sky fact."
P015_BLACK_KEEL_LEDGER,0x8E6BB94F,2389424463,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_safe__shelter.prefab","Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_pocket_safe.asset","Manual Unity API/editor pass: bind a ledger terminal or claim-debt record near Black Keel contact, then assign 0x8E6BB94F.","Ledger tone should make rescue conditional and expensive."
P016_AEGIR_HOST_STAR,0x3B14722D,991195693,NarrativeDiscovery,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__node.prefab","Assets/_Project/Prefabs/WorldSupport/Final/PFB_Support_Pocket_Safe.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_route_power.asset","Manual Unity API/editor pass: assign NarrativeDiscovery to a sky-window sensor or ephemeris panel, then assign 0x3B14722D.","Aegir astronomy should be a navigation/survival read, not trivia."
P017_AEGIR_MOON_LADDER,0xF0A8072F,4037543727,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__node.prefab","Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_route_power.asset; Assets/_Project/Prefabs/Construction/Final/PFB_Module_CurrentTurbine.prefab","Manual Unity API/editor pass: bind a moon-order route board or ephemeris terminal, then assign 0xF0A8072F.","Aegir has multiple moons; HECTON-8 is one node in orbital risk."
P018_HECTON8_DROWNED_GEOLOGY,0xFBD39057,4224946263,ScannableFragment,appliedLoreFinalPacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_hazard__vent.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_cluster_medium__ridge.prefab","Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_pocket_hazard.asset; Assets/_Project/Data/Biomes/LandmarkPlans/LandmarkPlan_RiftSpine.asset","Use Unity API/editor pass to add or update ScannableFragment on canyon/brine/geology route marker, then assign 0xFBD39057.","Geology unlock should teach route planning and pressure, not encyclopedia-first planet facts."
P019_HECTON8_RESOURCE_STACK,0x8C290DBF,2351500735,ScannableFragment,appliedLoreFinalPacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_resource__cache.prefab; Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SilicaShards.prefab","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_HydrocarbonResin.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_pocket_resource.asset","Use Unity API/editor pass to add or update ScannableFragment on resource stack/sample table, then assign 0x8C290DBF.","Resource lore must connect material value, pressure, and contract risk."
P020_HECTON8_ECOLOGY_REGISTRY,0x70D6F7F6,1893136374,ScannableFragment,appliedLoreFinalPacketHash,"Assets/_Project/Prefabs/Nature/Flora/PFB_Sargassum_Type2.prefab; Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Flora/PFB_family_kelp_tall_Placeholder.prefab","Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Flora/PFB_family_coral_branching_Placeholder.prefab; Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Fauna/PFB_family_egg_cluster_Placeholder.prefab","Use Unity API/editor pass to add or update ScannableFragment on a shallow/deep ecology specimen, then assign 0x70D6F7F6.","Ecology split must preserve shallow beauty and deeper Atlas repair corruption."
P021_BLACK_KEEL_CUSTODY,0x28B798E4,683120868,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_safe__shelter.prefab","Assets/_Project/Prefabs/Items/Tools/Item_Tool_SalvageSampler_World.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_route_power.asset","Manual Unity API/editor pass: bind custody/debt text to a real ledger terminal or claim panel, then assign 0x28B798E4.","Black Keel assistance must also feel like control."
P022_DROP_CAPSULE_DAMAGE,0x89F9FF0D,2314862349,ScannableFragment,appliedLoreFinalPacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_field__field.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__scrap.prefab","Assets/_Project/Prefabs/Construction/Final/PFB_Debris_WreckField.prefab; Assets/_Project/Prefabs/Construction/Final/PFB_Debris_ScrapCluster.prefab","Use Unity API/editor pass to add or update ScannableFragment on capsule wreckage/ascent seal debris, then assign 0x89F9FF0D.","The trapped-state proof must come from damaged ascent hardware."
P023_DEEP_REACH_RETURN_CLAIM,0x2C3744D3,741819603,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__node.prefab","Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_module_single__breach.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_route_power.asset","Manual Unity API/editor pass: bind a delayed Deep Reach order/cache terminal below safe early depth, then assign 0x2C3744D3.","Deep Reach is current pressure, not just old backstory."
P024_FALSE_EXIT_MATERIAL,0x61C07148,1640001864,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_resource__cache.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SilicaShards.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_pocket_resource.asset","Manual Unity API/editor pass: bind to material payout/payload route terminal only after viable sample chain, then assign 0x61C07148.","Material success can be real but emotionally incomplete."
P025_PROFESSIONAL_MOTIVE,0xC79F1029,3349090345,NarrativeDiscovery,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_Repair_World.prefab","Assets/_Project/Prefabs/Items/Tools/Item_Tool_SalvageSampler_World.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__scrap.prefab","Manual Unity API/editor pass: bind to a Barnard-linked personal object or worker mark, then assign 0xC79F1029.","The player starts professional; this packet is where it becomes personal."
P026_SIX_DOMAIN_LEDGER,0x67A9EABD,1739188925,NarrativeDiscovery,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_safe__shelter.prefab","Assets/_Project/Prefabs/WorldSupport/Final/PFB_Support_Pocket_Safe.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_pocket_safe.asset","Manual Unity API/editor pass: assign to a claim office ledger board or domain plate, then assign 0x67A9EABD.","Humanity-scale context should be found in a bounded ledger, not front-loaded speech."
P027_BARNARD_YARDS_ORIGIN,0x1F2D1070,523047024,ScannableFragment,appliedLoreHalfPacketHash,"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Repair_World.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_SalvageSampler_World.prefab","Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab; Assets/_Project/Prefabs/Tools/Held/Tool_SalvageSampler_Held.prefab","Use Unity API/editor pass to add or update ScannableFragment on a Barnard-stamped tool/object, then assign 0x1F2D1070.","Half-scan lets the object start as salvage and resolve into origin."
P028_NO_FTL_TRANSIT_MATH,0x6F3FFD85,1866464645,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__node.prefab","Assets/_Project/Prefabs/Tools/Held/Tool_BeaconDeployer_Held.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_route_power.asset","Manual Unity API/editor pass: bind to carrier nav table/relay archive terminal, then assign 0x6F3FFD85.","No-FTL must explain rescue delay through mass, time, and route windows."
P029_SEED_SHIP_DOCTRINE,0x6F981AAA,1872239274,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure__tower.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure__frame.prefab","Assets/_Project/Prefabs/Construction/Final/PFB_Ruin_Megastructure.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_ruin_megastructure.asset","Manual Unity API/editor pass: bind to a Seed/Atlas archive terminal below mid-depth, then assign 0x6F981AAA.","Spoiler-tier doctrine; not a shallow tutorial fact."
P030_RELAY_CUSTODY_DEBT_CHAIN,0xAED53922,2933209378,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_safe__shelter.prefab","Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_route_power.asset","Manual Unity API/editor pass: bind to claim-pool debt/custody terminal, then assign 0xAED53922.","Debt chain should pressure partial/material endings."
P031_PHOTIC_SHELF_LIFE,0xB17D51ED,2977780205,ScannableFragment,appliedLoreQuarterPacketHash,"Assets/_Project/Prefabs/Nature/Flora/PFB_Sargassum_Type2.prefab; Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Flora/PFB_family_kelp_tall_Placeholder.prefab","Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Flora/PFB_family_coral_massive_Placeholder.prefab; Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Fauna/PFB_family_egg_cluster_Placeholder.prefab","Use Unity API/editor pass to add or update ScannableFragment on a bright shelf specimen, then assign 0xB17D51ED.","This is contrast: beautiful shallows under pressure, not safe aquarium fantasy."
P032_PRESSURE_LADDER_DEPTH_BANDS,0x10130D02,269683970,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/Construction/Final/PFB_Module_Corridor.prefab; Assets/_Project/Prefabs/Construction/Final/PFB_Module_Foundation.prefab","Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_cluster_medium__corridor.prefab; Assets/_Project/Data/Construction/StandardModuleTemplates/BaseModuleTemplate_Airlock.asset","Manual Unity API/editor pass: bind to pressure bulkhead/suit-depth terminal, then assign 0x10130D02.","Depth gates must feel like engineering ratings, not arbitrary progression locks."
P033_CABLE_REEF_SYMBIOSIS,0x73020D33,1929514291,ScannableFragment,appliedLoreHalfPacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_service_scar__strip.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__node.prefab","Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Flora/PFB_family_kelp_tall_Placeholder.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_service_scar.asset","Use Unity API/editor pass to add or update ScannableFragment on cable-root/service-trench geometry, then assign 0x73020D33.","Cable reef is the bridge from beauty to repair horror."
P034_ABYSSAL_REPAIR_FAUNA,0x39024B16,956451606,ScannableFragment,appliedLoreFinalPacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_predator__nest.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_egg_cluster__nest.prefab","Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Fauna/PFB_family_egg_cluster_Placeholder.prefab; Assets/_Project/Prefabs/WorldSupport/Final/PFB_Support_Zone_LargeThreat.prefab","Use Unity API/editor pass to add or update ScannableFragment on repair-fauna evidence, then assign 0x39024B16.","Only use at spoiler tier 2+; shallow placement breaks the escalation curve."
P035_FACTORY_TEMPLE_THRESHOLD,0x49AFEBDC,1236265948,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure__tower.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure__frame.prefab","Assets/_Project/Prefabs/Construction/Final/PFB_Ruin_Megastructure.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_ruin_megastructure.asset","Manual Unity API/editor pass: bind to bottom factory threshold gate/interface, then assign 0x49AFEBDC.","Final-zone classification only; no early unlock."
P036_RETURN_VECTOR_WINDOW,0x136FE870,326101104,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__node.prefab","Assets/_Project/Prefabs/Items/Tools/Item_Tool_BeaconDeployer_World.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_route_power.asset","Manual Unity API/editor pass: bind to orbital timing slate or comm-window terminal, then assign 0x136FE870.","Return vector is a timing problem, not convenient rescue."
P037_COWARD_EXIT_CHAIN,0xD6A5117F,3601142143,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_safe__shelter.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab","Assets/_Project/Prefabs/Construction/Final/PFB_Module_Foundation.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_pocket_safe.asset","Manual Unity API/editor pass: bind to repaired ascent cradle/emergency launch console, then assign 0xD6A5117F.","This is a real partial ending path, not a joke fail screen."
P038_MATERIAL_PAYOUT_LEDGER,0x399F421B,966738459,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_resource__cache.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SilicaShards.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_pocket_resource.asset","Manual Unity API/editor pass: bind to material custody case or payout terminal, then assign 0x399F421B.","Material ending needs corporate accounting pressure and faint truth hints."
P039_DEEP_REACH_CLEANSE_ORDER,0xEAA9D035,3936997429,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_module_single__breach.prefab","Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_cluster_medium__corridor.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_ruin_module_single.asset","Manual Unity API/editor pass: bind to redacted Deep Reach proxy order cache, then assign 0xEAA9D035.","This moves Deep Reach into present-tense threat."
P040_ATLAS_FINAL_ARGUMENT,0xA3CFA178,2748293496,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure__tower.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure__frame.prefab","Assets/_Project/Prefabs/Construction/Final/PFB_Ruin_Megastructure.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_ruin_megastructure.asset","Manual Unity API/editor pass: bind only to factory-temple final interface/Atlas routing core, then assign 0xA3CFA178.","Final question: ownership, mercy, continuity, and new life after crime."
P041_WORKER_LOCKER_ROW,0xA82F90A9,2821689513,ScannableFragment,appliedLoreFinalPacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_cluster_medium__corridor.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab","Assets/_Project/Prefabs/Construction/Final/PFB_Ruin_ClusterMedium.prefab; Assets/_Project/Prefabs/Construction/Final/PFB_Module_Corridor.prefab","Use Unity API/editor pass to add or update ScannableFragment on locker row/tool crib prop, then assign 0xA82F90A9.","Starts the colony-human texture with names and work marks."
P042_PRESSURE_BUNK_ROUTINE,0xD60CA63D,3591153213,ScannableFragment,appliedLoreFinalPacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_safe__shelter.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_module_single.prefab","Assets/_Project/Prefabs/Construction/Final/PFB_Module_Corridor.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_pocket_safe.asset","Use Unity API/editor pass to add or update ScannableFragment on pressure bunk bay/ration prop, then assign 0xD60CA63D.","Routine engineering should become survival horror."
P043_SHIFT_BOARD_ROUTE_HOLDS,0x5DCFBE93,1573895827,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_cluster_medium__corridor.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__node.prefab","Assets/_Project/Prefabs/Construction/Final/PFB_Ruin_ClusterMedium.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_ruin_cluster_medium.asset","Manual Unity API/editor pass: bind shift-board/tram route-hold console, then assign 0x5DCFBE93.","Evacuation truth should read as route logistics failure."
P044_MEDICAL_LOCK_DELAY,0x0C83130D,209916685,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_module_single__breach.prefab; Assets/_Project/Prefabs/Construction/Final/PFB_Module_Corridor.prefab","Assets/_Project/Data/Construction/Build_Airlock_Hatch.asset; Assets/_Project/Data/Construction/StandardModuleTemplates/BaseModuleTemplate_Airlock.asset","Manual Unity API/editor pass: bind a sealed medical lock or triage pressure-door terminal, then assign 0x0C83130D.","Medical delay must expose Deep Reach liability/quarantine logic physically."
P045_BLACK_BOX_NAME_STACK,0x33B9B4A9,867808425,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_cluster_medium__corridor.prefab","Assets/_Project/Prefabs/Construction/Final/PFB_Ruin_ClusterMedium.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_ruin_cluster_medium.asset","Manual Unity API/editor pass: bind a black-box stack/manifest archive terminal, then assign 0x33B9B4A9.","Name stack feeds ending dossier and public evidence payloads."
