packet_id,loc_id,locale,source_voice,subtitle_text,target_duration_seconds,caption_priority,source_noise,rtl_or_cjk_note,review_status
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_ja_JP,ja_JP,Automated Broadcast,[JA] Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_ko_KR,ko_KR,Automated Broadcast,[KO] Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_nl_NL,nl_NL,Automated Broadcast,[NL] Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_pl_PL,pl_PL,Automated Broadcast,[PL] Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_pt_BR,pt_BR,Automated Broadcast,[PT] Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_ru_RU,ru_RU,Automated Broadcast,Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_uk_UA,uk_UA,Automated Broadcast,[UK] Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_zh_CN,zh_CN,Automated Broadcast,[ZH] Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P412_SHALLOW_ANNEX_P63_FIRST_PUMP_en_US,en_US,Automated Broadcast,Playback: Shallow Annex P-63 Initial Pump. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P412_SHALLOW_ANNEX_P63_FIRST_PUMP_ar_SA,ar_SA,Automated Broadcast,[AR] Playback: Shallow Annex P-63 Initial Pump. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P412_SHALLOW_ANNEX_P63_FIRST_PUMP_de_DE,de_DE,Automated Broadcast,[DE] Playback: Shallow Annex P-63 Initial Pump. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P412_SHALLOW_ANNEX_P63_FIRST_PUMP_es_ES,es_ES,Automated Broadcast,[ES] Playback: Shallow Annex P-63 Initial Pump. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P412_SHALLOW_ANNEX_P63_FIRST_PUMP_fr_FR,fr_FR,Automated Broadcast,[FR] Playback: Shallow Annex P-63 Initial Pump. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P412_SHALLOW_ANNEX_P63_FIRST_PUMP_he_IL,he_IL,Automated Broadcast,[HE] Playback: Shallow Annex P-63 Initial Pump. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P412_SHALLOW_ANNEX_P63_FIRST_PUMP_id_ID,id_ID,Automated Broadcast,[ID] Playback: Shallow Annex P-63 Initial Pump. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P412_SHALLOW_ANNEX_P63_FIRST_PUMP_ja_JP,ja_JP,Automated Broadcast,[JA] Playback: Shallow Annex P-63 Initial Pump. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P412_SHALLOW_ANNEX_P63_FIRST_PUMP_ko_KR,ko_KR,Automated Broadcast,[KO] Playback: Shallow Annex P-63 Initial Pump. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P412_SHALLOW_ANNEX_P63_FIRST_PUMP_nl_NL,nl_NL,Automated Broadcast,[NL] Playback: Shallow Annex P-63 Initial Pump. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P412_SHALLOW_ANNEX_P63_FIRST_PUMP_pl_PL,pl_PL,Automated Broadcast,[PL] Playback: Shallow Annex P-63 Initial Pump. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P412_SHALLOW_ANNEX_P63_FIRST_PUMP_pt_BR,pt_BR,Automated Broadcast,[PT] Playback: Shallow Annex P-63 Initial Pump. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P412_SHALLOW_ANNEX_P63_FIRST_PUMP_ru_RU,ru_RU,Automated Broadcast,Playback: Shallow Annex P-63 Initial Pump. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P412_SHALLOW_ANNEX_P63_FIRST_PUMP_uk_UA,uk_UA,Automated Broadcast,[UK] Playback: Shallow Annex P-63 Initial Pump. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P412_SHALLOW_ANNEX_P63_FIRST_PUMP_zh_CN,zh_CN,Automated Broadcast,[ZH] Playback: Shallow Annex P-63 Initial Pump. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P413_PRESSURE_DOOR_MANUAL_BYPASS,P413_PRESSURE_DOOR_MANUAL_BYPASS_en_US,en_US,Automated Broadcast,Playback: Pressure Door Manual Bypass. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P413_PRESSURE_DOOR_MANUAL_BYPASS,P413_PRESSURE_DOOR_MANUAL_BYPASS_ar_SA,ar_SA,Automated Broadcast,[AR] Playback: Pressure Door Manual Bypass. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P413_PRESSURE_DOOR_MANUAL_BYPASS,P413_PRESSURE_DOOR_MANUAL_BYPASS_de_DE,de_DE,Automated Broadcast,[DE] Playback: Pressure Door Manual Bypass. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P413_PRESSURE_DOOR_MANUAL_BYPASS,P413_PRESSURE_DOOR_MANUAL_BYPASS_es_ES,es_ES,Automated Broadcast,[ES] Playback: Pressure Door Manual Bypass. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P413_PRESSURE_DOOR_MANUAL_BYPASS,P413_PRESSURE_DOOR_MANUAL_BYPASS_fr_FR,fr_FR,Automated Broadcast,[FR] Playback: Pressure Door Manual Bypass. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P413_PRESSURE_DOOR_MANUAL_BYPASS,P413_PRESSURE_DOOR_MANUAL_BYPASS_he_IL,he_IL,Automated Broadcast,[HE] Playback: Pressure Door Manual Bypass. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P413_PRESSURE_DOOR_MANUAL_BYPASS,P413_PRESSURE_DOOR_MANUAL_BYPASS_id_ID,id_ID,Automated Broadcast,[ID] Playback: Pressure Door Manual Bypass. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P413_PRESSURE_DOOR_MANUAL_BYPASS,P413_PRESSURE_DOOR_MANUAL_BYPASS_ja_JP,ja_JP,Automated Broadcast,[JA] Playback: Pressure Door Manual Bypass. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P413_PRESSURE_DOOR_MANUAL_BYPASS,P413_PRESSURE_DOOR_MANUAL_BYPASS_ko_KR,ko_KR,Automated Broadcast,[KO] Playback: Pressure Door Manual Bypass. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P413_PRESSURE_DOOR_MANUAL_BYPASS,P413_PRESSURE_DOOR_MANUAL_BYPASS_nl_NL,nl_NL,Automated Broadcast,[NL] Playback: Pressure Door Manual Bypass. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P413_PRESSURE_DOOR_MANUAL_BYPASS,P413_PRESSURE_DOOR_MANUAL_BYPASS_pl_PL,pl_PL,Automated Broadcast,[PL] Playback: Pressure Door Manual Bypass. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P413_PRESSURE_DOOR_MANUAL_BYPASS,P413_PRESSURE_DOOR_MANUAL_BYPASS_pt_BR,pt_BR,Automated Broadcast,[PT] Playback: Pressure Door Manual Bypass. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P413_PRESSURE_DOOR_MANUAL_BYPASS,P413_PRESSURE_DOOR_MANUAL_BYPASS_ru_RU,ru_RU,Automated Broadcast,Playback: Pressure Door Manual Bypass. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P413_PRESSURE_DOOR_MANUAL_BYPASS,P413_PRESSURE_DOOR_MANUAL_BYPASS_uk_UA,uk_UA,Automated Broadcast,[UK] Playback: Pressure Door Manual Bypass. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P413_PRESSURE_DOOR_MANUAL_BYPASS,P413_PRESSURE_DOOR_MANUAL_BYPASS_zh_CN,zh_CN,Automated Broadcast,[ZH] Playback: Pressure Door Manual Bypass. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P414_OXYGEN_RESERVE_DIRTY_MARGIN_en_US,en_US,Automated Broadcast,Playback: Oxygen Reserve Dirty Margin. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P414_OXYGEN_RESERVE_DIRTY_MARGIN_ar_SA,ar_SA,Automated Broadcast,[AR] Playback: Oxygen Reserve Dirty Margin. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P414_OXYGEN_RESERVE_DIRTY_MARGIN_de_DE,de_DE,Automated Broadcast,[DE] Playback: Oxygen Reserve Dirty Margin. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P414_OXYGEN_RESERVE_DIRTY_MARGIN_es_ES,es_ES,Automated Broadcast,[ES] Playback: Oxygen Reserve Dirty Margin. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P414_OXYGEN_RESERVE_DIRTY_MARGIN_fr_FR,fr_FR,Automated Broadcast,[FR] Playback: Oxygen Reserve Dirty Margin. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P414_OXYGEN_RESERVE_DIRTY_MARGIN_he_IL,he_IL,Automated Broadcast,[HE] Playback: Oxygen Reserve Dirty Margin. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P414_OXYGEN_RESERVE_DIRTY_MARGIN_id_ID,id_ID,Automated Broadcast,[ID] Playback: Oxygen Reserve Dirty Margin. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P414_OXYGEN_RESERVE_DIRTY_MARGIN_ja_JP,ja_JP,Automated Broadcast,[JA] Playback: Oxygen Reserve Dirty Margin. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P414_OXYGEN_RESERVE_DIRTY_MARGIN_ko_KR,ko_KR,Automated Broadcast,[KO] Playback: Oxygen Reserve Dirty Margin. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P414_OXYGEN_RESERVE_DIRTY_MARGIN_nl_NL,nl_NL,Automated Broadcast,[NL] Playback: Oxygen Reserve Dirty Margin. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P414_OXYGEN_RESERVE_DIRTY_MARGIN_pl_PL,pl_PL,Automated Broadcast,[PL] Playback: Oxygen Reserve Dirty Margin. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P414_OXYGEN_RESERVE_DIRTY_MARGIN_pt_BR,pt_BR,Automated Broadcast,[PT] Playback: Oxygen Reserve Dirty Margin. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P414_OXYGEN_RESERVE_DIRTY_MARGIN_ru_RU,ru_RU,Automated Broadcast,Playback: Oxygen Reserve Dirty Margin. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P414_OXYGEN_RESERVE_DIRTY_MARGIN_uk_UA,uk_UA,Automated Broadcast,[UK] Playback: Oxygen Reserve Dirty Margin. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P414_OXYGEN_RESERVE_DIRTY_MARGIN_zh_CN,zh_CN,Automated Broadcast,[ZH] Playback: Oxygen Reserve Dirty Margin. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE_en_US,en_US,Automated Broadcast,Playback: Initial Scan: False Clean Language. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE_ar_SA,ar_SA,Automated Broadcast,[AR] Playback: Initial Scan: False Clean Language. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE_de_DE,de_DE,Automated Broadcast,[DE] Playback: Initial Scan: False Clean Language. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE_es_ES,es_ES,Automated Broadcast,[ES] Playback: Initial Scan: False Clean Language. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE_fr_FR,fr_FR,Automated Broadcast,[FR] Playback: Initial Scan: False Clean Language. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE_he_IL,he_IL,Automated Broadcast,[HE] Playback: Initial Scan: False Clean Language. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE_id_ID,id_ID,Automated Broadcast,[ID] Playback: Initial Scan: False Clean Language. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE_ja_JP,ja_JP,Automated Broadcast,[JA] Playback: Initial Scan: False Clean Language. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE_ko_KR,ko_KR,Automated Broadcast,[KO] Playback: Initial Scan: False Clean Language. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE_nl_NL,nl_NL,Automated Broadcast,[NL] Playback: Initial Scan: False Clean Language. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE_pl_PL,pl_PL,Automated Broadcast,[PL] Playback: Initial Scan: False Clean Language. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE_pt_BR,pt_BR,Automated Broadcast,[PT] Playback: Initial Scan: False Clean Language. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE_ru_RU,ru_RU,Automated Broadcast,Playback: Initial Scan: False Clean Language. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE_uk_UA,uk_UA,Automated Broadcast,[UK] Playback: Initial Scan: False Clean Language. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE_zh_CN,zh_CN,Automated Broadcast,[ZH] Playback: Initial Scan: False Clean Language. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P416_ROUTE_BEACON_SALT_CORROSION,P416_ROUTE_BEACON_SALT_CORROSION_en_US,en_US,Automated Broadcast,Playback: Route Beacon Salt Corrosion. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P416_ROUTE_BEACON_SALT_CORROSION,P416_ROUTE_BEACON_SALT_CORROSION_ar_SA,ar_SA,Automated Broadcast,[AR] Playback: Route Beacon Salt Corrosion. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P416_ROUTE_BEACON_SALT_CORROSION,P416_ROUTE_BEACON_SALT_CORROSION_de_DE,de_DE,Automated Broadcast,[DE] Playback: Route Beacon Salt Corrosion. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P416_ROUTE_BEACON_SALT_CORROSION,P416_ROUTE_BEACON_SALT_CORROSION_es_ES,es_ES,Automated Broadcast,[ES] Playback: Route Beacon Salt Corrosion. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P416_ROUTE_BEACON_SALT_CORROSION,P416_ROUTE_BEACON_SALT_CORROSION_fr_FR,fr_FR,Automated Broadcast,[FR] Playback: Route Beacon Salt Corrosion. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P416_ROUTE_BEACON_SALT_CORROSION,P416_ROUTE_BEACON_SALT_CORROSION_he_IL,he_IL,Automated Broadcast,[HE] Playback: Route Beacon Salt Corrosion. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P416_ROUTE_BEACON_SALT_CORROSION,P416_ROUTE_BEACON_SALT_CORROSION_id_ID,id_ID,Automated Broadcast,[ID] Playback: Route Beacon Salt Corrosion. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P416_ROUTE_BEACON_SALT_CORROSION,P416_ROUTE_BEACON_SALT_CORROSION_ja_JP,ja_JP,Automated Broadcast,[JA] Playback: Route Beacon Salt Corrosion. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
P416_ROUTE_BEACON_SALT_CORROSION,P416_ROUTE_BEACON_SALT_CORROSION_ko_KR,ko_KR,Automated Broadcast,[KO] Playback: Route Beacon Salt Corrosion. Proceed with caution. Lien deduction active.,4.5,High,Static crackle,Check wrapping,Pending
