term_key,en_US,ar_SA,de_DE,es_ES,fr_FR,he_IL,id_ID,ja_JP,ko_KR,nl_NL,pl_PL,pt_BR,ru_RU,uk_UA,zh_CN,lock_policy,notes
TERM_015,pressure variance,[AR] pressure variance,[DE] pressure variance,[ES] pressure variance,[FR] pressure variance,[HE] pressure variance,[ID] pressure variance,[JA] pressure variance,[KO] pressure variance,[NL] pressure variance,[PL] pressure variance,[PT] pressure variance,перепад давления,[UK] pressure variance,[ZH] pressure variance,STRICT_LOCK,Preserve tone and jargon
TERM_016,payload receiver,[AR] payload receiver,[DE] payload receiver,[ES] payload receiver,[FR] payload receiver,[HE] payload receiver,[ID] payload receiver,[JA] payload receiver,[KO] payload receiver,[NL] payload receiver,[PL] payload receiver,[PT] payload receiver,приемник груза,[UK] payload receiver,[ZH] payload receiver,STRICT_LOCK,Preserve tone and jargon
TERM_017,quarantine hold,[AR] quarantine hold,[DE] quarantine hold,[ES] quarantine hold,[FR] quarantine hold,[HE] quarantine hold,[ID] quarantine hold,[JA] quarantine hold,[KO] quarantine hold,[NL] quarantine hold,[PL] quarantine hold,[PT] quarantine hold,карантинное удержание,[UK] quarantine hold,[ZH] quarantine hold,STRICT_LOCK,Preserve tone and jargon
TERM_018,public ledger,[AR] public ledger,[DE] public ledger,[ES] public ledger,[FR] public ledger,[HE] public ledger,[ID] public ledger,[JA] public ledger,[KO] public ledger,[NL] public ledger,[PL] public ledger,[PT] public ledger,публичный реестр,[UK] public ledger,[ZH] public ledger,STRICT_LOCK,Preserve tone and jargon
TERM_019,brine canyon,[AR] brine canyon,[DE] brine canyon,[ES] brine canyon,[FR] brine canyon,[HE] brine canyon,[ID] brine canyon,[JA] brine canyon,[KO] brine canyon,[NL] brine canyon,[PL] brine canyon,[PT] brine canyon,соляной каньон,[UK] brine canyon,[ZH] brine canyon,STRICT_LOCK,Preserve tone and jargon
TERM_020,vent forge,[AR] vent forge,[DE] vent forge,[ES] vent forge,[FR] vent forge,[HE] vent forge,[ID] vent forge,[JA] vent forge,[KO] vent forge,[NL] vent forge,[PL] vent forge,[PT] vent forge,гидротермальная кузня,[UK] vent forge,[ZH] vent forge,STRICT_LOCK,Preserve tone and jargon
TERM_021,photic shelf,[AR] photic shelf,[DE] photic shelf,[ES] photic shelf,[FR] photic shelf,[HE] photic shelf,[ID] photic shelf,[JA] photic shelf,[KO] photic shelf,[NL] photic shelf,[PL] photic shelf,[PT] photic shelf,фотическая полка,[UK] photic shelf,[ZH] photic shelf,STRICT_LOCK,Preserve tone and jargon
TERM_022,shallow annex,[AR] shallow annex,[DE] shallow annex,[ES] shallow annex,[FR] shallow annex,[HE] shallow annex,[ID] shallow annex,[JA] shallow annex,[KO] shallow annex,[NL] shallow annex,[PL] shallow annex,[PT] shallow annex,мелководная пристройка,[UK] shallow annex,[ZH] shallow annex,STRICT_LOCK,Preserve tone and jargon
TERM_023,pump room,[AR] pump room,[DE] pump room,[ES] pump room,[FR] pump room,[HE] pump room,[ID] pump room,[JA] pump room,[KO] pump room,[NL] pump room,[PL] pump room,[PT] pump room,насосная станция,[UK] pump room,[ZH] pump room,STRICT_LOCK,Preserve tone and jargon
TERM_024,drop capsule,[AR] drop capsule,[DE] drop capsule,[ES] drop capsule,[FR] drop capsule,[HE] drop capsule,[ID] drop capsule,[JA] drop capsule,[KO] drop capsule,[NL] drop capsule,[PL] drop capsule,[PT] drop capsule,спускаемая капсула,[UK] drop capsule,[ZH] drop capsule,STRICT_LOCK,Preserve tone and jargon
TERM_025,oxygen reserve,[AR] oxygen reserve,[DE] oxygen reserve,[ES] oxygen reserve,[FR] oxygen reserve,[HE] oxygen reserve,[ID] oxygen reserve,[JA] oxygen reserve,[KO] oxygen reserve,[NL] oxygen reserve,[PL] oxygen reserve,[PT] oxygen reserve,резерв кислорода,[UK] oxygen reserve,[ZH] oxygen reserve,STRICT_LOCK,Preserve tone and jargon
TERM_026,pressure seal,[AR] pressure seal,[DE] pressure seal,[ES] pressure seal,[FR] pressure seal,[HE] pressure seal,[ID] pressure seal,[JA] pressure seal,[KO] pressure seal,[NL] pressure seal,[PL] pressure seal,[PT] pressure seal,гермозатвор,[UK] pressure seal,[ZH] pressure seal,STRICT_LOCK,Preserve tone and jargon
TERM_027,acoustic relay,[AR] acoustic relay,[DE] acoustic relay,[ES] acoustic relay,[FR] acoustic relay,[HE] acoustic relay,[ID] acoustic relay,[JA] acoustic relay,[KO] acoustic relay,[NL] acoustic relay,[PL] acoustic relay,[PT] acoustic relay,акустический ретранслятор,[UK] acoustic relay,[ZH] acoustic relay,STRICT_LOCK,Preserve tone and jargon
TERM_028,black-box fragment,[AR] black-box fragment,[DE] black-box fragment,[ES] black-box fragment,[FR] black-box fragment,[HE] black-box fragment,[ID] black-box fragment,[JA] black-box fragment,[KO] black-box fragment,[NL] black-box fragment,[PL] black-box fragment,[PT] black-box fragment,фрагмент черного ящика,[UK] black-box fragment,[ZH] black-box fragment,STRICT_LOCK,Preserve tone and jargon
TERM_029,route beacon,[AR] route beacon,[DE] route beacon,[ES] route beacon,[FR] route beacon,[HE] route beacon,[ID] route beacon,[JA] route beacon,[KO] route beacon,[NL] route beacon,[PL] route beacon,[PT] route beacon,маршрутный маяк,[UK] route beacon,[ZH] route beacon,STRICT_LOCK,Preserve tone and jargon
TERM_030,Deep Reach liability,[AR] Deep Reach liability,[DE] Deep Reach liability,[ES] Deep Reach liability,[FR] Deep Reach liability,[HE] Deep Reach liability,[ID] Deep Reach liability,[JA] Deep Reach liability,[KO] Deep Reach liability,[NL] Deep Reach liability,[PL] Deep Reach liability,[PT] Deep Reach liability,ответственность Дип Рич,[UK] Deep Reach liability,[ZH] Deep Reach liability,STRICT_LOCK,Preserve tone and jargon
TERM_031,Atlas weighting audit,[AR] Atlas weighting audit,[DE] Atlas weighting audit,[ES] Atlas weighting audit,[FR] Atlas weighting audit,[HE] Atlas weighting audit,[ID] Atlas weighting audit,[JA] Atlas weighting audit,[KO] Atlas weighting audit,[NL] Atlas weighting audit,[PL] Atlas weighting audit,[PT] Atlas weighting audit,аудит весовых коэффициентов Атласа,[UK] Atlas weighting audit,[ZH] Atlas weighting audit,STRICT_LOCK,Preserve tone and jargon
TERM_032,false exit,[AR] false exit,[DE] false exit,[ES] false exit,[FR] false exit,[HE] false exit,[ID] false exit,[JA] false exit,[KO] false exit,[NL] false exit,[PL] false exit,[PT] false exit,ложный выход,[UK] false exit,[ZH] false exit,STRICT_LOCK,Preserve tone and jargon
TERM_033,no clean ending,[AR] no clean ending,[DE] no clean ending,[ES] no clean ending,[FR] no clean ending,[HE] no clean ending,[ID] no clean ending,[JA] no clean ending,[KO] no clean ending,[NL] no clean ending,[PL] no clean ending,[PT] no clean ending,без чистого финала,[UK] no clean ending,[ZH] no clean ending,STRICT_LOCK,Preserve tone and jargon
TERM_034,source authority,[AR] source authority,[DE] source authority,[ES] source authority,[FR] source authority,[HE] source authority,[ID] source authority,[JA] source authority,[KO] source authority,[NL] source authority,[PL] source authority,[PT] source authority,исходный стандарт,[UK] source authority,[ZH] source authority,STRICT_LOCK,Preserve tone and jargon
TERM_035,draft machine/LLM,[AR] draft machine/LLM,[DE] draft machine/LLM,[ES] draft machine/LLM,[FR] draft machine/LLM,[HE] draft machine/LLM,[ID] draft machine/LLM,[JA] draft machine/LLM,[KO] draft machine/LLM,[NL] draft machine/LLM,[PL] draft machine/LLM,[PT] draft machine/LLM,черновик ИИ/LLM,[UK] draft machine/LLM,[ZH] draft machine/LLM,STRICT_LOCK,Preserve tone and jargon
TERM_036,RTL review,[AR] RTL review,[DE] RTL review,[ES] RTL review,[FR] RTL review,[HE] RTL review,[ID] RTL review,[JA] RTL review,[KO] RTL review,[NL] RTL review,[PL] RTL review,[PT] RTL review,RTL проверка,[UK] RTL review,[ZH] RTL review,STRICT_LOCK,Preserve tone and jargon
TERM_037,CJK glyph subset,[AR] CJK glyph subset,[DE] CJK glyph subset,[ES] CJK glyph subset,[FR] CJK glyph subset,[HE] CJK glyph subset,[ID] CJK glyph subset,[JA] CJK glyph subset,[KO] CJK glyph subset,[NL] CJK glyph subset,[PL] CJK glyph subset,[PT] CJK glyph subset,набор CJK глифов,[UK] CJK glyph subset,[ZH] CJK glyph subset,STRICT_LOCK,Preserve tone and jargon
TERM_038,expansion risk,[AR] expansion risk,[DE] expansion risk,[ES] expansion risk,[FR] expansion risk,[HE] expansion risk,[ID] expansion risk,[JA] expansion risk,[KO] expansion risk,[NL] expansion risk,[PL] expansion risk,[PT] expansion risk,риск расширения,[UK] expansion risk,[ZH] expansion risk,STRICT_LOCK,Preserve tone and jargon
TERM_039,spoiler gate,[AR] spoiler gate,[DE] spoiler gate,[ES] spoiler gate,[FR] spoiler gate,[HE] spoiler gate,[ID] spoiler gate,[JA] spoiler gate,[KO] spoiler gate,[NL] spoiler gate,[PL] spoiler gate,[PT] spoiler gate,спойлерный барьер,[UK] spoiler gate,[ZH] spoiler gate,STRICT_LOCK,Preserve tone and jargon
