locale,priority,review_surface,packet_range,risk_class,review_reason,suggested_reviewer_profile,blocked_until,notes
uk_UA,High,Subtitle,RS122,Medium,Automated translation check,Native Speaker,None,Ready
uk_UA,High,Subtitle,RS123,Medium,Automated translation check,Native Speaker,None,Ready
uk_UA,High,Subtitle,RS124,Medium,Automated translation check,Native Speaker,None,Ready
zh_CN,High,Subtitle,RS113,Medium,Automated translation check,Native Speaker,None,Ready
zh_CN,High,Subtitle,RS114,Medium,Automated translation check,Native Speaker,None,Ready
zh_CN,High,Subtitle,RS115,Medium,Automated translation check,Native Speaker,None,Ready
zh_CN,High,Subtitle,RS116,Medium,Automated translation check,Native Speaker,None,Ready
zh_CN,High,Subtitle,RS117,Medium,Automated translation check,Native Speaker,None,Ready
zh_CN,High,Subtitle,RS118,Medium,Automated translation check,Native Speaker,None,Ready
zh_CN,High,Subtitle,RS119,Medium,Automated translation check,Native Speaker,None,Ready
zh_CN,High,Subtitle,RS120,Medium,Automated translation check,Native Speaker,None,Ready
zh_CN,High,Subtitle,RS121,Medium,Automated translation check,Native Speaker,None,Ready
zh_CN,High,Subtitle,RS122,Medium,Automated translation check,Native Speaker,None,Ready
zh_CN,High,Subtitle,RS123,Medium,Automated translation check,Native Speaker,None,Ready
zh_CN,High,Subtitle,RS124,Medium,Automated translation check,Native Speaker,None,Ready
