release_set,packet_id,loc_id,locale,source_voice,subtitle_text,target_duration_seconds,caption_priority,source_noise,rtl_or_cjk_note,review_status
RS113,P444,loc_id_P444,ru_RU,Automated Voice,kick to engage but we have to ...,7.4,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P444,loc_id_P444,uk_UA,Automated Voice,kick to engage but we have to ...,2.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P444,loc_id_P444,zh_CN,Automated Voice,kick to engage but we have to ...,3.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P445,loc_id_P445,en_US,Automated Voice,A corroded intake valve corrod...,4.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P445,loc_id_P445,ar_SA,Automated Voice,A corroded intake valve corrod...,6.1,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P445,loc_id_P445,de_DE,Automated Voice,A corroded intake valve corrod...,4.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P445,loc_id_P445,es_ES,Automated Voice,A corroded intake valve corrod...,2.4,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P445,loc_id_P445,fr_FR,Automated Voice,A corroded intake valve corrod...,3.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P445,loc_id_P445,he_IL,Automated Voice,A corroded intake valve corrod...,6.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P445,loc_id_P445,id_ID,Automated Voice,A corroded intake valve corrod...,6.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P445,loc_id_P445,ja_JP,Automated Voice,A corroded intake valve corrod...,6.6,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P445,loc_id_P445,ko_KR,Automated Voice,A corroded intake valve corrod...,4.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P445,loc_id_P445,nl_NL,Automated Voice,A corroded intake valve corrod...,6.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P445,loc_id_P445,pl_PL,Automated Voice,A corroded intake valve corrod...,2.6,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P445,loc_id_P445,pt_BR,Automated Voice,A corroded intake valve corrod...,6.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P445,loc_id_P445,ru_RU,Automated Voice,A corroded intake valve corrod...,6.2,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P445,loc_id_P445,uk_UA,Automated Voice,A corroded intake valve corrod...,2.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P445,loc_id_P445,zh_CN,Automated Voice,A corroded intake valve corrod...,2.4,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P446,loc_id_P446,en_US,Automated Voice,good. A piece of fragmented pl...,6.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P446,loc_id_P446,ar_SA,Automated Voice,good. A piece of fragmented pl...,5.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P446,loc_id_P446,de_DE,Automated Voice,good. A piece of fragmented pl...,6.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P446,loc_id_P446,es_ES,Automated Voice,good. A piece of fragmented pl...,2.1,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P446,loc_id_P446,fr_FR,Automated Voice,good. A piece of fragmented pl...,1.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P446,loc_id_P446,he_IL,Automated Voice,good. A piece of fragmented pl...,5.2,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P446,loc_id_P446,id_ID,Automated Voice,good. A piece of fragmented pl...,3.2,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P446,loc_id_P446,ja_JP,Automated Voice,good. A piece of fragmented pl...,5.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P446,loc_id_P446,ko_KR,Automated Voice,good. A piece of fragmented pl...,7.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P446,loc_id_P446,nl_NL,Automated Voice,good. A piece of fragmented pl...,5.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P446,loc_id_P446,pl_PL,Automated Voice,good. A piece of fragmented pl...,5.6,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P446,loc_id_P446,pt_BR,Automated Voice,good. A piece of fragmented pl...,3.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P446,loc_id_P446,ru_RU,Automated Voice,good. A piece of fragmented pl...,2.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P446,loc_id_P446,uk_UA,Automated Voice,good. A piece of fragmented pl...,2.2,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P446,loc_id_P446,zh_CN,Automated Voice,good. A piece of fragmented pl...,4.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P447,loc_id_P447,en_US,Automated Voice,the water temperature dropped....,2.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P447,loc_id_P447,ar_SA,Automated Voice,the water temperature dropped....,2.6,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P447,loc_id_P447,de_DE,Automated Voice,the water temperature dropped....,2.4,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P447,loc_id_P447,es_ES,Automated Voice,the water temperature dropped....,6.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P447,loc_id_P447,fr_FR,Automated Voice,the water temperature dropped....,4.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P447,loc_id_P447,he_IL,Automated Voice,the water temperature dropped....,4.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P447,loc_id_P447,id_ID,Automated Voice,the water temperature dropped....,4.6,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P447,loc_id_P447,ja_JP,Automated Voice,the water temperature dropped....,2.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P447,loc_id_P447,ko_KR,Automated Voice,the water temperature dropped....,5.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P447,loc_id_P447,nl_NL,Automated Voice,the water temperature dropped....,4.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P447,loc_id_P447,pl_PL,Automated Voice,the water temperature dropped....,7.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P447,loc_id_P447,pt_BR,Automated Voice,the water temperature dropped....,2.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P447,loc_id_P447,ru_RU,Automated Voice,the water temperature dropped....,4.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P447,loc_id_P447,uk_UA,Automated Voice,the water temperature dropped....,3.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P447,loc_id_P447,zh_CN,Automated Voice,the water temperature dropped....,4.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P448,loc_id_P448,en_US,Automated Voice,lying to us which means we're ...,4.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P448,loc_id_P448,ar_SA,Automated Voice,lying to us which means we're ...,6.4,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P448,loc_id_P448,de_DE,Automated Voice,lying to us which means we're ...,6.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P448,loc_id_P448,es_ES,Automated Voice,lying to us which means we're ...,7.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P448,loc_id_P448,fr_FR,Automated Voice,lying to us which means we're ...,2.6,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P448,loc_id_P448,he_IL,Automated Voice,lying to us which means we're ...,2.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P448,loc_id_P448,id_ID,Automated Voice,lying to us which means we're ...,3.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P448,loc_id_P448,ja_JP,Automated Voice,lying to us which means we're ...,5.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P448,loc_id_P448,ko_KR,Automated Voice,lying to us which means we're ...,5.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P448,loc_id_P448,nl_NL,Automated Voice,lying to us which means we're ...,3.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P448,loc_id_P448,pl_PL,Automated Voice,lying to us which means we're ...,1.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P448,loc_id_P448,pt_BR,Automated Voice,lying to us which means we're ...,2.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P448,loc_id_P448,ru_RU,Automated Voice,lying to us which means we're ...,3.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P448,loc_id_P448,uk_UA,Automated Voice,lying to us which means we're ...,4.2,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P448,loc_id_P448,zh_CN,Automated Voice,lying to us which means we're ...,2.4,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P449,loc_id_P449,en_US,Automated Voice,battery acid so don't push it....,2.4,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P449,loc_id_P449,ar_SA,Automated Voice,battery acid so don't push it....,2.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P449,loc_id_P449,de_DE,Automated Voice,battery acid so don't push it....,5.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P449,loc_id_P449,es_ES,Automated Voice,battery acid so don't push it....,2.4,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P449,loc_id_P449,fr_FR,Automated Voice,battery acid so don't push it....,3.6,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P449,loc_id_P449,he_IL,Automated Voice,battery acid so don't push it....,6.6,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P449,loc_id_P449,id_ID,Automated Voice,battery acid so don't push it....,6.6,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P449,loc_id_P449,ja_JP,Automated Voice,battery acid so don't push it....,7.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P449,loc_id_P449,ko_KR,Automated Voice,battery acid so don't push it....,5.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P449,loc_id_P449,nl_NL,Automated Voice,battery acid so don't push it....,4.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P449,loc_id_P449,pl_PL,Automated Voice,battery acid so don't push it....,5.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P449,loc_id_P449,pt_BR,Automated Voice,battery acid so don't push it....,4.1,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P449,loc_id_P449,ru_RU,Automated Voice,battery acid so don't push it....,5.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P449,loc_id_P449,uk_UA,Automated Voice,battery acid so don't push it....,4.1,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS113,P449,loc_id_P449,zh_CN,Automated Voice,battery acid so don't push it....,1.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P450,loc_id_P450,en_US,Automated Voice,is lying to us and the corp do...,3.2,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P450,loc_id_P450,ar_SA,Automated Voice,is lying to us and the corp do...,6.6,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P450,loc_id_P450,de_DE,Automated Voice,is lying to us and the corp do...,2.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P450,loc_id_P450,es_ES,Automated Voice,is lying to us and the corp do...,3.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P450,loc_id_P450,fr_FR,Automated Voice,is lying to us and the corp do...,7.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P450,loc_id_P450,he_IL,Automated Voice,is lying to us and the corp do...,2.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P450,loc_id_P450,id_ID,Automated Voice,is lying to us and the corp do...,1.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P450,loc_id_P450,ja_JP,Automated Voice,is lying to us and the corp do...,5.1,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P450,loc_id_P450,ko_KR,Automated Voice,is lying to us and the corp do...,7.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P450,loc_id_P450,nl_NL,Automated Voice,is lying to us and the corp do...,2.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P450,loc_id_P450,pl_PL,Automated Voice,is lying to us and the corp do...,5.6,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P450,loc_id_P450,pt_BR,Automated Voice,is lying to us and the corp do...,4.4,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P450,loc_id_P450,ru_RU,Automated Voice,is lying to us and the corp do...,6.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P450,loc_id_P450,uk_UA,Automated Voice,is lying to us and the corp do...,4.1,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P450,loc_id_P450,zh_CN,Automated Voice,is lying to us and the corp do...,6.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P451,loc_id_P451,en_US,Automated Voice,internal stress despite standa...,6.6,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P451,loc_id_P451,ar_SA,Automated Voice,internal stress despite standa...,1.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P451,loc_id_P451,de_DE,Automated Voice,internal stress despite standa...,2.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P451,loc_id_P451,es_ES,Automated Voice,internal stress despite standa...,2.4,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P451,loc_id_P451,fr_FR,Automated Voice,internal stress despite standa...,3.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P451,loc_id_P451,he_IL,Automated Voice,internal stress despite standa...,2.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P451,loc_id_P451,id_ID,Automated Voice,internal stress despite standa...,5.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P451,loc_id_P451,ja_JP,Automated Voice,internal stress despite standa...,3.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P451,loc_id_P451,ko_KR,Automated Voice,internal stress despite standa...,4.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P451,loc_id_P451,nl_NL,Automated Voice,internal stress despite standa...,7.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P451,loc_id_P451,pl_PL,Automated Voice,internal stress despite standa...,2.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P451,loc_id_P451,pt_BR,Automated Voice,internal stress despite standa...,2.2,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P451,loc_id_P451,ru_RU,Automated Voice,internal stress despite standa...,6.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P451,loc_id_P451,uk_UA,Automated Voice,internal stress despite standa...,6.6,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P451,loc_id_P451,zh_CN,Automated Voice,internal stress despite standa...,1.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P452,loc_id_P452,en_US,Automated Voice,looks like it took a hit so gr...,3.4,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P452,loc_id_P452,ar_SA,Automated Voice,looks like it took a hit so gr...,3.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P452,loc_id_P452,de_DE,Automated Voice,looks like it took a hit so gr...,6.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P452,loc_id_P452,es_ES,Automated Voice,looks like it took a hit so gr...,6.2,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P452,loc_id_P452,fr_FR,Automated Voice,looks like it took a hit so gr...,6.1,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P452,loc_id_P452,he_IL,Automated Voice,looks like it took a hit so gr...,2.8,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P452,loc_id_P452,id_ID,Automated Voice,looks like it took a hit so gr...,5.9,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P452,loc_id_P452,ja_JP,Automated Voice,looks like it took a hit so gr...,7.5,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P452,loc_id_P452,ko_KR,Automated Voice,looks like it took a hit so gr...,6.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P452,loc_id_P452,nl_NL,Automated Voice,looks like it took a hit so gr...,2.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P452,loc_id_P452,pl_PL,Automated Voice,looks like it took a hit so gr...,5.7,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P452,loc_id_P452,pt_BR,Automated Voice,looks like it took a hit so gr...,3.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P452,loc_id_P452,ru_RU,Automated Voice,looks like it took a hit so gr...,2.3,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P452,loc_id_P452,uk_UA,Automated Voice,looks like it took a hit so gr...,6.2,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P452,loc_id_P452,zh_CN,Automated Voice,looks like it took a hit so gr...,4.1,High,Low,Standard,NEEDS_NATIVE_REVIEW
RS114,P453,loc_id_P453,en_US,Automated Voice,blind descent. A piece of frag...,3.0,High,Low,Standard,NEEDS_NATIVE_REVIEW
