release_set,packet_id,article_id,loc_namespace,loc_id,locale,status,surface,title,scanner_short,codex_short,audio_subtitle,terminal_summary,field_note,notes
RS113,P441,ART_P441,ns.lore.P441,loc_id_P441,id_ID,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 441: Operation Silent-52,detached during descent costing three crew members,The structural strut logged an unauthorized purge ,kick to engage so watch your step. The manual over,standard procedure. The operational manual classif,went silent after the impact resulting in a total ,Generated
RS113,P441,ART_P441,ns.lore.P441,loc_id_P441,ja_JP,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 441: Operation Silent-52,detached during descent costing three crew members,The structural strut logged an unauthorized purge ,kick to engage so watch your step. The manual over,standard procedure. The operational manual classif,went silent after the impact resulting in a total ,Generated
RS113,P441,ART_P441,ns.lore.P441,loc_id_P441,ko_KR,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 441: Operation Silent-52,detached during descent costing three crew members,The structural strut logged an unauthorized purge ,kick to engage so watch your step. The manual over,standard procedure. The operational manual classif,went silent after the impact resulting in a total ,Generated
RS113,P441,ART_P441,ns.lore.P441,loc_id_P441,nl_NL,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 441: Operation Silent-52,detached during descent costing three crew members,The structural strut logged an unauthorized purge ,kick to engage so watch your step. The manual over,standard procedure. The operational manual classif,went silent after the impact resulting in a total ,Generated
RS113,P441,ART_P441,ns.lore.P441,loc_id_P441,pl_PL,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 441: Operation Silent-52,detached during descent costing three crew members,The structural strut logged an unauthorized purge ,kick to engage so watch your step. The manual over,standard procedure. The operational manual classif,went silent after the impact resulting in a total ,Generated
RS113,P441,ART_P441,ns.lore.P441,loc_id_P441,pt_BR,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 441: Operation Silent-52,detached during descent costing three crew members,The structural strut logged an unauthorized purge ,kick to engage so watch your step. The manual over,standard procedure. The operational manual classif,went silent after the impact resulting in a total ,Generated
RS113,P441,ART_P441,ns.lore.P441,loc_id_P441,ru_RU,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 441: Operation Silent-52,detached during descent costing three crew members,The structural strut logged an unauthorized purge ,kick to engage so watch your step. The manual over,standard procedure. The operational manual classif,went silent after the impact resulting in a total ,Generated
RS113,P441,ART_P441,ns.lore.P441,loc_id_P441,uk_UA,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 441: Operation Silent-52,detached during descent costing three crew members,The structural strut logged an unauthorized purge ,kick to engage so watch your step. The manual over,standard procedure. The operational manual classif,went silent after the impact resulting in a total ,Generated
RS113,P441,ART_P441,ns.lore.P441,loc_id_P441,zh_CN,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 441: Operation Silent-52,detached during descent costing three crew members,The structural strut logged an unauthorized purge ,kick to engage so watch your step. The manual over,standard procedure. The operational manual classif,went silent after the impact resulting in a total ,Generated
RS113,P442,ART_P442,ns.lore.P442,loc_id_P442,en_US,SOURCE_AUTHORITY,terminal,Document Fragment 442: Operation Cold-83,which the manual described as impossible. The lowe,A corroded intake valve was abandoned in place whi,won't hold another cycle so watch your step. The m,inquiry. The insurance adjuster logged the failure,The lower deck grating crushed under twenty atmosp,Generated
RS113,P442,ART_P442,ns.lore.P442,loc_id_P442,ar_SA,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 442: Operation Cold-83,which the manual described as impossible. The lowe,A corroded intake valve was abandoned in place whi,won't hold another cycle so watch your step. The m,inquiry. The insurance adjuster logged the failure,The lower deck grating crushed under twenty atmosp,Generated
RS113,P442,ART_P442,ns.lore.P442,loc_id_P442,de_DE,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 442: Operation Cold-83,which the manual described as impossible. The lowe,A corroded intake valve was abandoned in place whi,won't hold another cycle so watch your step. The m,inquiry. The insurance adjuster logged the failure,The lower deck grating crushed under twenty atmosp,Generated
RS113,P442,ART_P442,ns.lore.P442,loc_id_P442,es_ES,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 442: Operation Cold-83,which the manual described as impossible. The lowe,A corroded intake valve was abandoned in place whi,won't hold another cycle so watch your step. The m,inquiry. The insurance adjuster logged the failure,The lower deck grating crushed under twenty atmosp,Generated
RS113,P442,ART_P442,ns.lore.P442,loc_id_P442,fr_FR,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 442: Operation Cold-83,which the manual described as impossible. The lowe,A corroded intake valve was abandoned in place whi,won't hold another cycle so watch your step. The m,inquiry. The insurance adjuster logged the failure,The lower deck grating crushed under twenty atmosp,Generated
RS113,P442,ART_P442,ns.lore.P442,loc_id_P442,he_IL,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 442: Operation Cold-83,which the manual described as impossible. The lowe,A corroded intake valve was abandoned in place whi,won't hold another cycle so watch your step. The m,inquiry. The insurance adjuster logged the failure,The lower deck grating crushed under twenty atmosp,Generated
RS113,P442,ART_P442,ns.lore.P442,loc_id_P442,id_ID,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 442: Operation Cold-83,which the manual described as impossible. The lowe,A corroded intake valve was abandoned in place whi,won't hold another cycle so watch your step. The m,inquiry. The insurance adjuster logged the failure,The lower deck grating crushed under twenty atmosp,Generated
RS113,P442,ART_P442,ns.lore.P442,loc_id_P442,ja_JP,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 442: Operation Cold-83,which the manual described as impossible. The lowe,A corroded intake valve was abandoned in place whi,won't hold another cycle so watch your step. The m,inquiry. The insurance adjuster logged the failure,The lower deck grating crushed under twenty atmosp,Generated
RS113,P442,ART_P442,ns.lore.P442,loc_id_P442,ko_KR,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 442: Operation Cold-83,which the manual described as impossible. The lowe,A corroded intake valve was abandoned in place whi,won't hold another cycle so watch your step. The m,inquiry. The insurance adjuster logged the failure,The lower deck grating crushed under twenty atmosp,Generated
RS113,P442,ART_P442,ns.lore.P442,loc_id_P442,nl_NL,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 442: Operation Cold-83,which the manual described as impossible. The lowe,A corroded intake valve was abandoned in place whi,won't hold another cycle so watch your step. The m,inquiry. The insurance adjuster logged the failure,The lower deck grating crushed under twenty atmosp,Generated
RS113,P442,ART_P442,ns.lore.P442,loc_id_P442,pl_PL,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 442: Operation Cold-83,which the manual described as impossible. The lowe,A corroded intake valve was abandoned in place whi,won't hold another cycle so watch your step. The m,inquiry. The insurance adjuster logged the failure,The lower deck grating crushed under twenty atmosp,Generated
RS113,P442,ART_P442,ns.lore.P442,loc_id_P442,pt_BR,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 442: Operation Cold-83,which the manual described as impossible. The lowe,A corroded intake valve was abandoned in place whi,won't hold another cycle so watch your step. The m,inquiry. The insurance adjuster logged the failure,The lower deck grating crushed under twenty atmosp,Generated
RS113,P442,ART_P442,ns.lore.P442,loc_id_P442,ru_RU,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 442: Operation Cold-83,which the manual described as impossible. The lowe,A corroded intake valve was abandoned in place whi,won't hold another cycle so watch your step. The m,inquiry. The insurance adjuster logged the failure,The lower deck grating crushed under twenty atmosp,Generated
RS113,P442,ART_P442,ns.lore.P442,loc_id_P442,uk_UA,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 442: Operation Cold-83,which the manual described as impossible. The lowe,A corroded intake valve was abandoned in place whi,won't hold another cycle so watch your step. The m,inquiry. The insurance adjuster logged the failure,The lower deck grating crushed under twenty atmosp,Generated
RS113,P442,ART_P442,ns.lore.P442,loc_id_P442,zh_CN,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 442: Operation Cold-83,which the manual described as impossible. The lowe,A corroded intake valve was abandoned in place whi,won't hold another cycle so watch your step. The m,inquiry. The insurance adjuster logged the failure,The lower deck grating crushed under twenty atmosp,Generated
RS113,P443,ART_P443,ns.lore.P443,loc_id_P443,en_US,SOURCE_AUTHORITY,terminal,Document Fragment 443: Operation Abyss-19,The hydrostatic pump crushed under twenty atmosphe,The main hull seized due to heavy particulate whic,a pry bar. The old scanner won't hold another cycl,the contract to protect their profit margin. The l,primary seal went silent after the impact which th,Generated
RS113,P443,ART_P443,ns.lore.P443,loc_id_P443,ar_SA,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 443: Operation Abyss-19,The hydrostatic pump crushed under twenty atmosphe,The main hull seized due to heavy particulate whic,a pry bar. The old scanner won't hold another cycl,the contract to protect their profit margin. The l,primary seal went silent after the impact which th,Generated
RS113,P443,ART_P443,ns.lore.P443,loc_id_P443,de_DE,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 443: Operation Abyss-19,The hydrostatic pump crushed under twenty atmosphe,The main hull seized due to heavy particulate whic,a pry bar. The old scanner won't hold another cycl,the contract to protect their profit margin. The l,primary seal went silent after the impact which th,Generated
RS113,P443,ART_P443,ns.lore.P443,loc_id_P443,es_ES,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 443: Operation Abyss-19,The hydrostatic pump crushed under twenty atmosphe,The main hull seized due to heavy particulate whic,a pry bar. The old scanner won't hold another cycl,the contract to protect their profit margin. The l,primary seal went silent after the impact which th,Generated
RS113,P443,ART_P443,ns.lore.P443,loc_id_P443,fr_FR,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 443: Operation Abyss-19,The hydrostatic pump crushed under twenty atmosphe,The main hull seized due to heavy particulate whic,a pry bar. The old scanner won't hold another cycl,the contract to protect their profit margin. The l,primary seal went silent after the impact which th,Generated
RS113,P443,ART_P443,ns.lore.P443,loc_id_P443,he_IL,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 443: Operation Abyss-19,The hydrostatic pump crushed under twenty atmosphe,The main hull seized due to heavy particulate whic,a pry bar. The old scanner won't hold another cycl,the contract to protect their profit margin. The l,primary seal went silent after the impact which th,Generated
RS113,P443,ART_P443,ns.lore.P443,loc_id_P443,id_ID,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 443: Operation Abyss-19,The hydrostatic pump crushed under twenty atmosphe,The main hull seized due to heavy particulate whic,a pry bar. The old scanner won't hold another cycl,the contract to protect their profit margin. The l,primary seal went silent after the impact which th,Generated
RS113,P443,ART_P443,ns.lore.P443,loc_id_P443,ja_JP,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 443: Operation Abyss-19,The hydrostatic pump crushed under twenty atmosphe,The main hull seized due to heavy particulate whic,a pry bar. The old scanner won't hold another cycl,the contract to protect their profit margin. The l,primary seal went silent after the impact which th,Generated
RS113,P443,ART_P443,ns.lore.P443,loc_id_P443,ko_KR,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 443: Operation Abyss-19,The hydrostatic pump crushed under twenty atmosphe,The main hull seized due to heavy particulate whic,a pry bar. The old scanner won't hold another cycl,the contract to protect their profit margin. The l,primary seal went silent after the impact which th,Generated
RS113,P443,ART_P443,ns.lore.P443,loc_id_P443,nl_NL,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 443: Operation Abyss-19,The hydrostatic pump crushed under twenty atmosphe,The main hull seized due to heavy particulate whic,a pry bar. The old scanner won't hold another cycl,the contract to protect their profit margin. The l,primary seal went silent after the impact which th,Generated
RS113,P443,ART_P443,ns.lore.P443,loc_id_P443,pl_PL,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 443: Operation Abyss-19,The hydrostatic pump crushed under twenty atmosphe,The main hull seized due to heavy particulate whic,a pry bar. The old scanner won't hold another cycl,the contract to protect their profit margin. The l,primary seal went silent after the impact which th,Generated
RS113,P443,ART_P443,ns.lore.P443,loc_id_P443,pt_BR,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 443: Operation Abyss-19,The hydrostatic pump crushed under twenty atmosphe,The main hull seized due to heavy particulate whic,a pry bar. The old scanner won't hold another cycl,the contract to protect their profit margin. The l,primary seal went silent after the impact which th,Generated
RS113,P443,ART_P443,ns.lore.P443,loc_id_P443,ru_RU,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 443: Operation Abyss-19,The hydrostatic pump crushed under twenty atmosphe,The main hull seized due to heavy particulate whic,a pry bar. The old scanner won't hold another cycl,the contract to protect their profit margin. The l,primary seal went silent after the impact which th,Generated
RS113,P443,ART_P443,ns.lore.P443,loc_id_P443,uk_UA,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 443: Operation Abyss-19,The hydrostatic pump crushed under twenty atmosphe,The main hull seized due to heavy particulate whic,a pry bar. The old scanner won't hold another cycl,the contract to protect their profit margin. The l,primary seal went silent after the impact which th,Generated
RS113,P443,ART_P443,ns.lore.P443,loc_id_P443,zh_CN,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 443: Operation Abyss-19,The hydrostatic pump crushed under twenty atmosphe,The main hull seized due to heavy particulate whic,a pry bar. The old scanner won't hold another cycl,the contract to protect their profit margin. The l,primary seal went silent after the impact which th,Generated
RS113,P444,ART_P444,ns.lore.P444,loc_id_P444,en_US,SOURCE_AUTHORITY,terminal,Document Fragment 444: Operation Dark-98,arrive. The shift supervisor classified the damage,A corroded intake valve bypassed safety lockouts c,kick to engage but we have to keep moving. The str,Deep Reach Command demanded immediate continuation,power conduit crushed under twenty atmospheres as ,Generated
RS113,P444,ART_P444,ns.lore.P444,loc_id_P444,ar_SA,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 444: Operation Dark-98,arrive. The shift supervisor classified the damage,A corroded intake valve bypassed safety lockouts c,kick to engage but we have to keep moving. The str,Deep Reach Command demanded immediate continuation,power conduit crushed under twenty atmospheres as ,Generated
RS113,P444,ART_P444,ns.lore.P444,loc_id_P444,de_DE,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 444: Operation Dark-98,arrive. The shift supervisor classified the damage,A corroded intake valve bypassed safety lockouts c,kick to engage but we have to keep moving. The str,Deep Reach Command demanded immediate continuation,power conduit crushed under twenty atmospheres as ,Generated
RS113,P444,ART_P444,ns.lore.P444,loc_id_P444,es_ES,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 444: Operation Dark-98,arrive. The shift supervisor classified the damage,A corroded intake valve bypassed safety lockouts c,kick to engage but we have to keep moving. The str,Deep Reach Command demanded immediate continuation,power conduit crushed under twenty atmospheres as ,Generated
RS113,P444,ART_P444,ns.lore.P444,loc_id_P444,fr_FR,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 444: Operation Dark-98,arrive. The shift supervisor classified the damage,A corroded intake valve bypassed safety lockouts c,kick to engage but we have to keep moving. The str,Deep Reach Command demanded immediate continuation,power conduit crushed under twenty atmospheres as ,Generated
RS113,P444,ART_P444,ns.lore.P444,loc_id_P444,he_IL,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 444: Operation Dark-98,arrive. The shift supervisor classified the damage,A corroded intake valve bypassed safety lockouts c,kick to engage but we have to keep moving. The str,Deep Reach Command demanded immediate continuation,power conduit crushed under twenty atmospheres as ,Generated
RS113,P444,ART_P444,ns.lore.P444,loc_id_P444,id_ID,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 444: Operation Dark-98,arrive. The shift supervisor classified the damage,A corroded intake valve bypassed safety lockouts c,kick to engage but we have to keep moving. The str,Deep Reach Command demanded immediate continuation,power conduit crushed under twenty atmospheres as ,Generated
RS113,P444,ART_P444,ns.lore.P444,loc_id_P444,ja_JP,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 444: Operation Dark-98,arrive. The shift supervisor classified the damage,A corroded intake valve bypassed safety lockouts c,kick to engage but we have to keep moving. The str,Deep Reach Command demanded immediate continuation,power conduit crushed under twenty atmospheres as ,Generated
RS113,P444,ART_P444,ns.lore.P444,loc_id_P444,ko_KR,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 444: Operation Dark-98,arrive. The shift supervisor classified the damage,A corroded intake valve bypassed safety lockouts c,kick to engage but we have to keep moving. The str,Deep Reach Command demanded immediate continuation,power conduit crushed under twenty atmospheres as ,Generated
RS113,P444,ART_P444,ns.lore.P444,loc_id_P444,nl_NL,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 444: Operation Dark-98,arrive. The shift supervisor classified the damage,A corroded intake valve bypassed safety lockouts c,kick to engage but we have to keep moving. The str,Deep Reach Command demanded immediate continuation,power conduit crushed under twenty atmospheres as ,Generated
RS113,P444,ART_P444,ns.lore.P444,loc_id_P444,pl_PL,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 444: Operation Dark-98,arrive. The shift supervisor classified the damage,A corroded intake valve bypassed safety lockouts c,kick to engage but we have to keep moving. The str,Deep Reach Command demanded immediate continuation,power conduit crushed under twenty atmospheres as ,Generated
RS113,P444,ART_P444,ns.lore.P444,loc_id_P444,pt_BR,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 444: Operation Dark-98,arrive. The shift supervisor classified the damage,A corroded intake valve bypassed safety lockouts c,kick to engage but we have to keep moving. The str,Deep Reach Command demanded immediate continuation,power conduit crushed under twenty atmospheres as ,Generated
RS113,P444,ART_P444,ns.lore.P444,loc_id_P444,ru_RU,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 444: Operation Dark-98,arrive. The shift supervisor classified the damage,A corroded intake valve bypassed safety lockouts c,kick to engage but we have to keep moving. The str,Deep Reach Command demanded immediate continuation,power conduit crushed under twenty atmospheres as ,Generated
RS113,P444,ART_P444,ns.lore.P444,loc_id_P444,uk_UA,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 444: Operation Dark-98,arrive. The shift supervisor classified the damage,A corroded intake valve bypassed safety lockouts c,kick to engage but we have to keep moving. The str,Deep Reach Command demanded immediate continuation,power conduit crushed under twenty atmospheres as ,Generated
RS113,P444,ART_P444,ns.lore.P444,loc_id_P444,zh_CN,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 444: Operation Dark-98,arrive. The shift supervisor classified the damage,A corroded intake valve bypassed safety lockouts c,kick to engage but we have to keep moving. The str,Deep Reach Command demanded immediate continuation,power conduit crushed under twenty atmospheres as ,Generated
RS113,P445,ART_P445,ns.lore.P445,loc_id_P445,en_US,SOURCE_AUTHORITY,terminal,Document Fragment 445: Operation Abyss-57,supervisor demanded immediate continuation of the ,An isolated thermal vent triggered an automatic lo,A corroded intake valve corroded beyond operationa,the blame to the contractor ignoring the localized,deck grating detached during descent which the sca,Generated
RS113,P445,ART_P445,ns.lore.P445,loc_id_P445,ar_SA,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 445: Operation Abyss-57,supervisor demanded immediate continuation of the ,An isolated thermal vent triggered an automatic lo,A corroded intake valve corroded beyond operationa,the blame to the contractor ignoring the localized,deck grating detached during descent which the sca,Generated
RS113,P445,ART_P445,ns.lore.P445,loc_id_P445,de_DE,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 445: Operation Abyss-57,supervisor demanded immediate continuation of the ,An isolated thermal vent triggered an automatic lo,A corroded intake valve corroded beyond operationa,the blame to the contractor ignoring the localized,deck grating detached during descent which the sca,Generated
RS113,P445,ART_P445,ns.lore.P445,loc_id_P445,es_ES,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 445: Operation Abyss-57,supervisor demanded immediate continuation of the ,An isolated thermal vent triggered an automatic lo,A corroded intake valve corroded beyond operationa,the blame to the contractor ignoring the localized,deck grating detached during descent which the sca,Generated
RS113,P445,ART_P445,ns.lore.P445,loc_id_P445,fr_FR,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 445: Operation Abyss-57,supervisor demanded immediate continuation of the ,An isolated thermal vent triggered an automatic lo,A corroded intake valve corroded beyond operationa,the blame to the contractor ignoring the localized,deck grating detached during descent which the sca,Generated
RS113,P445,ART_P445,ns.lore.P445,loc_id_P445,he_IL,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 445: Operation Abyss-57,supervisor demanded immediate continuation of the ,An isolated thermal vent triggered an automatic lo,A corroded intake valve corroded beyond operationa,the blame to the contractor ignoring the localized,deck grating detached during descent which the sca,Generated
RS113,P445,ART_P445,ns.lore.P445,loc_id_P445,id_ID,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 445: Operation Abyss-57,supervisor demanded immediate continuation of the ,An isolated thermal vent triggered an automatic lo,A corroded intake valve corroded beyond operationa,the blame to the contractor ignoring the localized,deck grating detached during descent which the sca,Generated
RS113,P445,ART_P445,ns.lore.P445,loc_id_P445,ja_JP,NEEDS_NATIVE_REVIEW,terminal,Document Fragment 445: Operation Abyss-57,supervisor demanded immediate continuation of the ,An isolated thermal vent triggered an automatic lo,A corroded intake valve corroded beyond operationa,the blame to the contractor ignoring the localized,deck grating detached during descent which the sca,Generated
