term_key,en_US,ar_SA,de_DE,es_ES,fr_FR,he_IL,id_ID,ja_JP,ko_KR,nl_NL,pl_PL,pt_BR,ru_RU,uk_UA,zh_CN,lock_policy,notes
TERM_10,Term_10_en_US,Term_10_ar_SA,Term_10_de_DE,Term_10_es_ES,Term_10_fr_FR,Term_10_he_IL,Term_10_id_ID,Term_10_ja_JP,Term_10_ko_KR,Term_10_nl_NL,Term_10_pl_PL,Term_10_pt_BR,Term_10_ru_RU,Term_10_uk_UA,Term_10_zh_CN,TRANSLATE_MEANING_KEEP_ID,Standard
TERM_11,Term_11_en_US,Term_11_ar_SA,Term_11_de_DE,Term_11_es_ES,Term_11_fr_FR,Term_11_he_IL,Term_11_id_ID,Term_11_ja_JP,Term_11_ko_KR,Term_11_nl_NL,Term_11_pl_PL,Term_11_pt_BR,Term_11_ru_RU,Term_11_uk_UA,Term_11_zh_CN,KEEP_LATIN,Standard
TERM_12,Term_12_en_US,Term_12_ar_SA,Term_12_de_DE,Term_12_es_ES,Term_12_fr_FR,Term_12_he_IL,Term_12_id_ID,Term_12_ja_JP,Term_12_ko_KR,Term_12_nl_NL,Term_12_pl_PL,Term_12_pt_BR,Term_12_ru_RU,Term_12_uk_UA,Term_12_zh_CN,DRAFT_TRANSLATION_LOCK,Standard
TERM_13,Term_13_en_US,Term_13_ar_SA,Term_13_de_DE,Term_13_es_ES,Term_13_fr_FR,Term_13_he_IL,Term_13_id_ID,Term_13_ja_JP,Term_13_ko_KR,Term_13_nl_NL,Term_13_pl_PL,Term_13_pt_BR,Term_13_ru_RU,Term_13_uk_UA,Term_13_zh_CN,DRAFT_TRANSLATION_LOCK,Standard
TERM_14,Term_14_en_US,Term_14_ar_SA,Term_14_de_DE,Term_14_es_ES,Term_14_fr_FR,Term_14_he_IL,Term_14_id_ID,Term_14_ja_JP,Term_14_ko_KR,Term_14_nl_NL,Term_14_pl_PL,Term_14_pt_BR,Term_14_ru_RU,Term_14_uk_UA,Term_14_zh_CN,KEEP_LATIN,Standard
TERM_15,Term_15_en_US,Term_15_ar_SA,Term_15_de_DE,Term_15_es_ES,Term_15_fr_FR,Term_15_he_IL,Term_15_id_ID,Term_15_ja_JP,Term_15_ko_KR,Term_15_nl_NL,Term_15_pl_PL,Term_15_pt_BR,Term_15_ru_RU,Term_15_uk_UA,Term_15_zh_CN,DRAFT_TRANSLATION_LOCK,Standard
TERM_16,Term_16_en_US,Term_16_ar_SA,Term_16_de_DE,Term_16_es_ES,Term_16_fr_FR,Term_16_he_IL,Term_16_id_ID,Term_16_ja_JP,Term_16_ko_KR,Term_16_nl_NL,Term_16_pl_PL,Term_16_pt_BR,Term_16_ru_RU,Term_16_uk_UA,Term_16_zh_CN,TRANSLATE_MEANING_KEEP_ID,Standard
TERM_17,Term_17_en_US,Term_17_ar_SA,Term_17_de_DE,Term_17_es_ES,Term_17_fr_FR,Term_17_he_IL,Term_17_id_ID,Term_17_ja_JP,Term_17_ko_KR,Term_17_nl_NL,Term_17_pl_PL,Term_17_pt_BR,Term_17_ru_RU,Term_17_uk_UA,Term_17_zh_CN,KEEP_LATIN,Standard
TERM_18,Term_18_en_US,Term_18_ar_SA,Term_18_de_DE,Term_18_es_ES,Term_18_fr_FR,Term_18_he_IL,Term_18_id_ID,Term_18_ja_JP,Term_18_ko_KR,Term_18_nl_NL,Term_18_pl_PL,Term_18_pt_BR,Term_18_ru_RU,Term_18_uk_UA,Term_18_zh_CN,DRAFT_TRANSLATION_LOCK,Standard
TERM_19,Term_19_en_US,Term_19_ar_SA,Term_19_de_DE,Term_19_es_ES,Term_19_fr_FR,Term_19_he_IL,Term_19_id_ID,Term_19_ja_JP,Term_19_ko_KR,Term_19_nl_NL,Term_19_pl_PL,Term_19_pt_BR,Term_19_ru_RU,Term_19_uk_UA,Term_19_zh_CN,TRANSLITERATE_WITH_REVIEW,Standard
TERM_20,Term_20_en_US,Term_20_ar_SA,Term_20_de_DE,Term_20_es_ES,Term_20_fr_FR,Term_20_he_IL,Term_20_id_ID,Term_20_ja_JP,Term_20_ko_KR,Term_20_nl_NL,Term_20_pl_PL,Term_20_pt_BR,Term_20_ru_RU,Term_20_uk_UA,Term_20_zh_CN,TRANSLATE_MEANING_KEEP_ID,Standard
TERM_21,Term_21_en_US,Term_21_ar_SA,Term_21_de_DE,Term_21_es_ES,Term_21_fr_FR,Term_21_he_IL,Term_21_id_ID,Term_21_ja_JP,Term_21_ko_KR,Term_21_nl_NL,Term_21_pl_PL,Term_21_pt_BR,Term_21_ru_RU,Term_21_uk_UA,Term_21_zh_CN,TRANSLATE_MEANING_KEEP_ID,Standard
TERM_22,Term_22_en_US,Term_22_ar_SA,Term_22_de_DE,Term_22_es_ES,Term_22_fr_FR,Term_22_he_IL,Term_22_id_ID,Term_22_ja_JP,Term_22_ko_KR,Term_22_nl_NL,Term_22_pl_PL,Term_22_pt_BR,Term_22_ru_RU,Term_22_uk_UA,Term_22_zh_CN,KEEP_LATIN,Standard
TERM_23,Term_23_en_US,Term_23_ar_SA,Term_23_de_DE,Term_23_es_ES,Term_23_fr_FR,Term_23_he_IL,Term_23_id_ID,Term_23_ja_JP,Term_23_ko_KR,Term_23_nl_NL,Term_23_pl_PL,Term_23_pt_BR,Term_23_ru_RU,Term_23_uk_UA,Term_23_zh_CN,KEEP_LATIN,Standard
TERM_24,Term_24_en_US,Term_24_ar_SA,Term_24_de_DE,Term_24_es_ES,Term_24_fr_FR,Term_24_he_IL,Term_24_id_ID,Term_24_ja_JP,Term_24_ko_KR,Term_24_nl_NL,Term_24_pl_PL,Term_24_pt_BR,Term_24_ru_RU,Term_24_uk_UA,Term_24_zh_CN,TRANSLITERATE_WITH_REVIEW,Standard
TERM_25,Term_25_en_US,Term_25_ar_SA,Term_25_de_DE,Term_25_es_ES,Term_25_fr_FR,Term_25_he_IL,Term_25_id_ID,Term_25_ja_JP,Term_25_ko_KR,Term_25_nl_NL,Term_25_pl_PL,Term_25_pt_BR,Term_25_ru_RU,Term_25_uk_UA,Term_25_zh_CN,DRAFT_TRANSLATION_LOCK,Standard
TERM_26,Term_26_en_US,Term_26_ar_SA,Term_26_de_DE,Term_26_es_ES,Term_26_fr_FR,Term_26_he_IL,Term_26_id_ID,Term_26_ja_JP,Term_26_ko_KR,Term_26_nl_NL,Term_26_pl_PL,Term_26_pt_BR,Term_26_ru_RU,Term_26_uk_UA,Term_26_zh_CN,KEEP_EXACT,Standard
TERM_27,Term_27_en_US,Term_27_ar_SA,Term_27_de_DE,Term_27_es_ES,Term_27_fr_FR,Term_27_he_IL,Term_27_id_ID,Term_27_ja_JP,Term_27_ko_KR,Term_27_nl_NL,Term_27_pl_PL,Term_27_pt_BR,Term_27_ru_RU,Term_27_uk_UA,Term_27_zh_CN,TRANSLATE_MEANING_KEEP_ID,Standard
TERM_28,Term_28_en_US,Term_28_ar_SA,Term_28_de_DE,Term_28_es_ES,Term_28_fr_FR,Term_28_he_IL,Term_28_id_ID,Term_28_ja_JP,Term_28_ko_KR,Term_28_nl_NL,Term_28_pl_PL,Term_28_pt_BR,Term_28_ru_RU,Term_28_uk_UA,Term_28_zh_CN,KEEP_LATIN,Standard
TERM_29,Term_29_en_US,Term_29_ar_SA,Term_29_de_DE,Term_29_es_ES,Term_29_fr_FR,Term_29_he_IL,Term_29_id_ID,Term_29_ja_JP,Term_29_ko_KR,Term_29_nl_NL,Term_29_pl_PL,Term_29_pt_BR,Term_29_ru_RU,Term_29_uk_UA,Term_29_zh_CN,KEEP_LATIN,Standard
TERM_30,Term_30_en_US,Term_30_ar_SA,Term_30_de_DE,Term_30_es_ES,Term_30_fr_FR,Term_30_he_IL,Term_30_id_ID,Term_30_ja_JP,Term_30_ko_KR,Term_30_nl_NL,Term_30_pl_PL,Term_30_pt_BR,Term_30_ru_RU,Term_30_uk_UA,Term_30_zh_CN,TRANSLATE_MEANING_KEEP_ID,Standard
TERM_31,Term_31_en_US,Term_31_ar_SA,Term_31_de_DE,Term_31_es_ES,Term_31_fr_FR,Term_31_he_IL,Term_31_id_ID,Term_31_ja_JP,Term_31_ko_KR,Term_31_nl_NL,Term_31_pl_PL,Term_31_pt_BR,Term_31_ru_RU,Term_31_uk_UA,Term_31_zh_CN,KEEP_LATIN,Standard
TERM_32,Term_32_en_US,Term_32_ar_SA,Term_32_de_DE,Term_32_es_ES,Term_32_fr_FR,Term_32_he_IL,Term_32_id_ID,Term_32_ja_JP,Term_32_ko_KR,Term_32_nl_NL,Term_32_pl_PL,Term_32_pt_BR,Term_32_ru_RU,Term_32_uk_UA,Term_32_zh_CN,KEEP_LATIN,Standard
TERM_33,Term_33_en_US,Term_33_ar_SA,Term_33_de_DE,Term_33_es_ES,Term_33_fr_FR,Term_33_he_IL,Term_33_id_ID,Term_33_ja_JP,Term_33_ko_KR,Term_33_nl_NL,Term_33_pl_PL,Term_33_pt_BR,Term_33_ru_RU,Term_33_uk_UA,Term_33_zh_CN,TRANSLATE_MEANING_KEEP_ID,Standard
TERM_34,Term_34_en_US,Term_34_ar_SA,Term_34_de_DE,Term_34_es_ES,Term_34_fr_FR,Term_34_he_IL,Term_34_id_ID,Term_34_ja_JP,Term_34_ko_KR,Term_34_nl_NL,Term_34_pl_PL,Term_34_pt_BR,Term_34_ru_RU,Term_34_uk_UA,Term_34_zh_CN,KEEP_EXACT,Standard
TERM_35,Term_35_en_US,Term_35_ar_SA,Term_35_de_DE,Term_35_es_ES,Term_35_fr_FR,Term_35_he_IL,Term_35_id_ID,Term_35_ja_JP,Term_35_ko_KR,Term_35_nl_NL,Term_35_pl_PL,Term_35_pt_BR,Term_35_ru_RU,Term_35_uk_UA,Term_35_zh_CN,DRAFT_TRANSLATION_LOCK,Standard
TERM_36,Term_36_en_US,Term_36_ar_SA,Term_36_de_DE,Term_36_es_ES,Term_36_fr_FR,Term_36_he_IL,Term_36_id_ID,Term_36_ja_JP,Term_36_ko_KR,Term_36_nl_NL,Term_36_pl_PL,Term_36_pt_BR,Term_36_ru_RU,Term_36_uk_UA,Term_36_zh_CN,KEEP_LATIN,Standard
TERM_37,Term_37_en_US,Term_37_ar_SA,Term_37_de_DE,Term_37_es_ES,Term_37_fr_FR,Term_37_he_IL,Term_37_id_ID,Term_37_ja_JP,Term_37_ko_KR,Term_37_nl_NL,Term_37_pl_PL,Term_37_pt_BR,Term_37_ru_RU,Term_37_uk_UA,Term_37_zh_CN,TRANSLITERATE_WITH_REVIEW,Standard
TERM_38,Term_38_en_US,Term_38_ar_SA,Term_38_de_DE,Term_38_es_ES,Term_38_fr_FR,Term_38_he_IL,Term_38_id_ID,Term_38_ja_JP,Term_38_ko_KR,Term_38_nl_NL,Term_38_pl_PL,Term_38_pt_BR,Term_38_ru_RU,Term_38_uk_UA,Term_38_zh_CN,TRANSLATE_MEANING_KEEP_ID,Standard
TERM_39,Term_39_en_US,Term_39_ar_SA,Term_39_de_DE,Term_39_es_ES,Term_39_fr_FR,Term_39_he_IL,Term_39_id_ID,Term_39_ja_JP,Term_39_ko_KR,Term_39_nl_NL,Term_39_pl_PL,Term_39_pt_BR,Term_39_ru_RU,Term_39_uk_UA,Term_39_zh_CN,DRAFT_TRANSLATION_LOCK,Standard
TERM_40,Term_40_en_US,Term_40_ar_SA,Term_40_de_DE,Term_40_es_ES,Term_40_fr_FR,Term_40_he_IL,Term_40_id_ID,Term_40_ja_JP,Term_40_ko_KR,Term_40_nl_NL,Term_40_pl_PL,Term_40_pt_BR,Term_40_ru_RU,Term_40_uk_UA,Term_40_zh_CN,KEEP_EXACT,Standard
TERM_41,Term_41_en_US,Term_41_ar_SA,Term_41_de_DE,Term_41_es_ES,Term_41_fr_FR,Term_41_he_IL,Term_41_id_ID,Term_41_ja_JP,Term_41_ko_KR,Term_41_nl_NL,Term_41_pl_PL,Term_41_pt_BR,Term_41_ru_RU,Term_41_uk_UA,Term_41_zh_CN,DRAFT_TRANSLATION_LOCK,Standard
TERM_42,Term_42_en_US,Term_42_ar_SA,Term_42_de_DE,Term_42_es_ES,Term_42_fr_FR,Term_42_he_IL,Term_42_id_ID,Term_42_ja_JP,Term_42_ko_KR,Term_42_nl_NL,Term_42_pl_PL,Term_42_pt_BR,Term_42_ru_RU,Term_42_uk_UA,Term_42_zh_CN,KEEP_EXACT,Standard
TERM_43,Term_43_en_US,Term_43_ar_SA,Term_43_de_DE,Term_43_es_ES,Term_43_fr_FR,Term_43_he_IL,Term_43_id_ID,Term_43_ja_JP,Term_43_ko_KR,Term_43_nl_NL,Term_43_pl_PL,Term_43_pt_BR,Term_43_ru_RU,Term_43_uk_UA,Term_43_zh_CN,KEEP_EXACT,Standard
TERM_44,Term_44_en_US,Term_44_ar_SA,Term_44_de_DE,Term_44_es_ES,Term_44_fr_FR,Term_44_he_IL,Term_44_id_ID,Term_44_ja_JP,Term_44_ko_KR,Term_44_nl_NL,Term_44_pl_PL,Term_44_pt_BR,Term_44_ru_RU,Term_44_uk_UA,Term_44_zh_CN,KEEP_EXACT,Standard
TERM_45,Term_45_en_US,Term_45_ar_SA,Term_45_de_DE,Term_45_es_ES,Term_45_fr_FR,Term_45_he_IL,Term_45_id_ID,Term_45_ja_JP,Term_45_ko_KR,Term_45_nl_NL,Term_45_pl_PL,Term_45_pt_BR,Term_45_ru_RU,Term_45_uk_UA,Term_45_zh_CN,KEEP_LATIN,Standard
TERM_46,Term_46_en_US,Term_46_ar_SA,Term_46_de_DE,Term_46_es_ES,Term_46_fr_FR,Term_46_he_IL,Term_46_id_ID,Term_46_ja_JP,Term_46_ko_KR,Term_46_nl_NL,Term_46_pl_PL,Term_46_pt_BR,Term_46_ru_RU,Term_46_uk_UA,Term_46_zh_CN,DRAFT_TRANSLATION_LOCK,Standard
TERM_47,Term_47_en_US,Term_47_ar_SA,Term_47_de_DE,Term_47_es_ES,Term_47_fr_FR,Term_47_he_IL,Term_47_id_ID,Term_47_ja_JP,Term_47_ko_KR,Term_47_nl_NL,Term_47_pl_PL,Term_47_pt_BR,Term_47_ru_RU,Term_47_uk_UA,Term_47_zh_CN,KEEP_EXACT,Standard
TERM_48,Term_48_en_US,Term_48_ar_SA,Term_48_de_DE,Term_48_es_ES,Term_48_fr_FR,Term_48_he_IL,Term_48_id_ID,Term_48_ja_JP,Term_48_ko_KR,Term_48_nl_NL,Term_48_pl_PL,Term_48_pt_BR,Term_48_ru_RU,Term_48_uk_UA,Term_48_zh_CN,KEEP_LATIN,Standard
TERM_49,Term_49_en_US,Term_49_ar_SA,Term_49_de_DE,Term_49_es_ES,Term_49_fr_FR,Term_49_he_IL,Term_49_id_ID,Term_49_ja_JP,Term_49_ko_KR,Term_49_nl_NL,Term_49_pl_PL,Term_49_pt_BR,Term_49_ru_RU,Term_49_uk_UA,Term_49_zh_CN,KEEP_LATIN,Standard
TERM_50,Term_50_en_US,Term_50_ar_SA,Term_50_de_DE,Term_50_es_ES,Term_50_fr_FR,Term_50_he_IL,Term_50_id_ID,Term_50_ja_JP,Term_50_ko_KR,Term_50_nl_NL,Term_50_pl_PL,Term_50_pt_BR,Term_50_ru_RU,Term_50_uk_UA,Term_50_zh_CN,KEEP_LATIN,Standard
TERM_51,Term_51_en_US,Term_51_ar_SA,Term_51_de_DE,Term_51_es_ES,Term_51_fr_FR,Term_51_he_IL,Term_51_id_ID,Term_51_ja_JP,Term_51_ko_KR,Term_51_nl_NL,Term_51_pl_PL,Term_51_pt_BR,Term_51_ru_RU,Term_51_uk_UA,Term_51_zh_CN,TRANSLITERATE_WITH_REVIEW,Standard
TERM_52,Term_52_en_US,Term_52_ar_SA,Term_52_de_DE,Term_52_es_ES,Term_52_fr_FR,Term_52_he_IL,Term_52_id_ID,Term_52_ja_JP,Term_52_ko_KR,Term_52_nl_NL,Term_52_pl_PL,Term_52_pt_BR,Term_52_ru_RU,Term_52_uk_UA,Term_52_zh_CN,DRAFT_TRANSLATION_LOCK,Standard
TERM_53,Term_53_en_US,Term_53_ar_SA,Term_53_de_DE,Term_53_es_ES,Term_53_fr_FR,Term_53_he_IL,Term_53_id_ID,Term_53_ja_JP,Term_53_ko_KR,Term_53_nl_NL,Term_53_pl_PL,Term_53_pt_BR,Term_53_ru_RU,Term_53_uk_UA,Term_53_zh_CN,KEEP_LATIN,Standard
TERM_54,Term_54_en_US,Term_54_ar_SA,Term_54_de_DE,Term_54_es_ES,Term_54_fr_FR,Term_54_he_IL,Term_54_id_ID,Term_54_ja_JP,Term_54_ko_KR,Term_54_nl_NL,Term_54_pl_PL,Term_54_pt_BR,Term_54_ru_RU,Term_54_uk_UA,Term_54_zh_CN,KEEP_LATIN,Standard
TERM_55,Term_55_en_US,Term_55_ar_SA,Term_55_de_DE,Term_55_es_ES,Term_55_fr_FR,Term_55_he_IL,Term_55_id_ID,Term_55_ja_JP,Term_55_ko_KR,Term_55_nl_NL,Term_55_pl_PL,Term_55_pt_BR,Term_55_ru_RU,Term_55_uk_UA,Term_55_zh_CN,KEEP_LATIN,Standard
TERM_56,Term_56_en_US,Term_56_ar_SA,Term_56_de_DE,Term_56_es_ES,Term_56_fr_FR,Term_56_he_IL,Term_56_id_ID,Term_56_ja_JP,Term_56_ko_KR,Term_56_nl_NL,Term_56_pl_PL,Term_56_pt_BR,Term_56_ru_RU,Term_56_uk_UA,Term_56_zh_CN,KEEP_EXACT,Standard
TERM_57,Term_57_en_US,Term_57_ar_SA,Term_57_de_DE,Term_57_es_ES,Term_57_fr_FR,Term_57_he_IL,Term_57_id_ID,Term_57_ja_JP,Term_57_ko_KR,Term_57_nl_NL,Term_57_pl_PL,Term_57_pt_BR,Term_57_ru_RU,Term_57_uk_UA,Term_57_zh_CN,KEEP_LATIN,Standard
TERM_58,Term_58_en_US,Term_58_ar_SA,Term_58_de_DE,Term_58_es_ES,Term_58_fr_FR,Term_58_he_IL,Term_58_id_ID,Term_58_ja_JP,Term_58_ko_KR,Term_58_nl_NL,Term_58_pl_PL,Term_58_pt_BR,Term_58_ru_RU,Term_58_uk_UA,Term_58_zh_CN,KEEP_LATIN,Standard
TERM_59,Term_59_en_US,Term_59_ar_SA,Term_59_de_DE,Term_59_es_ES,Term_59_fr_FR,Term_59_he_IL,Term_59_id_ID,Term_59_ja_JP,Term_59_ko_KR,Term_59_nl_NL,Term_59_pl_PL,Term_59_pt_BR,Term_59_ru_RU,Term_59_uk_UA,Term_59_zh_CN,KEEP_LATIN,Standard
TERM_60,Term_60_en_US,Term_60_ar_SA,Term_60_de_DE,Term_60_es_ES,Term_60_fr_FR,Term_60_he_IL,Term_60_id_ID,Term_60_ja_JP,Term_60_ko_KR,Term_60_nl_NL,Term_60_pl_PL,Term_60_pt_BR,Term_60_ru_RU,Term_60_uk_UA,Term_60_zh_CN,TRANSLATE_MEANING_KEEP_ID,Standard
TERM_61,Term_61_en_US,Term_61_ar_SA,Term_61_de_DE,Term_61_es_ES,Term_61_fr_FR,Term_61_he_IL,Term_61_id_ID,Term_61_ja_JP,Term_61_ko_KR,Term_61_nl_NL,Term_61_pl_PL,Term_61_pt_BR,Term_61_ru_RU,Term_61_uk_UA,Term_61_zh_CN,KEEP_EXACT,Standard
TERM_62,Term_62_en_US,Term_62_ar_SA,Term_62_de_DE,Term_62_es_ES,Term_62_fr_FR,Term_62_he_IL,Term_62_id_ID,Term_62_ja_JP,Term_62_ko_KR,Term_62_nl_NL,Term_62_pl_PL,Term_62_pt_BR,Term_62_ru_RU,Term_62_uk_UA,Term_62_zh_CN,KEEP_LATIN,Standard
TERM_63,Term_63_en_US,Term_63_ar_SA,Term_63_de_DE,Term_63_es_ES,Term_63_fr_FR,Term_63_he_IL,Term_63_id_ID,Term_63_ja_JP,Term_63_ko_KR,Term_63_nl_NL,Term_63_pl_PL,Term_63_pt_BR,Term_63_ru_RU,Term_63_uk_UA,Term_63_zh_CN,KEEP_EXACT,Standard
TERM_64,Term_64_en_US,Term_64_ar_SA,Term_64_de_DE,Term_64_es_ES,Term_64_fr_FR,Term_64_he_IL,Term_64_id_ID,Term_64_ja_JP,Term_64_ko_KR,Term_64_nl_NL,Term_64_pl_PL,Term_64_pt_BR,Term_64_ru_RU,Term_64_uk_UA,Term_64_zh_CN,KEEP_EXACT,Standard
TERM_65,Term_65_en_US,Term_65_ar_SA,Term_65_de_DE,Term_65_es_ES,Term_65_fr_FR,Term_65_he_IL,Term_65_id_ID,Term_65_ja_JP,Term_65_ko_KR,Term_65_nl_NL,Term_65_pl_PL,Term_65_pt_BR,Term_65_ru_RU,Term_65_uk_UA,Term_65_zh_CN,KEEP_EXACT,Standard
TERM_66,Term_66_en_US,Term_66_ar_SA,Term_66_de_DE,Term_66_es_ES,Term_66_fr_FR,Term_66_he_IL,Term_66_id_ID,Term_66_ja_JP,Term_66_ko_KR,Term_66_nl_NL,Term_66_pl_PL,Term_66_pt_BR,Term_66_ru_RU,Term_66_uk_UA,Term_66_zh_CN,KEEP_LATIN,Standard
TERM_67,Term_67_en_US,Term_67_ar_SA,Term_67_de_DE,Term_67_es_ES,Term_67_fr_FR,Term_67_he_IL,Term_67_id_ID,Term_67_ja_JP,Term_67_ko_KR,Term_67_nl_NL,Term_67_pl_PL,Term_67_pt_BR,Term_67_ru_RU,Term_67_uk_UA,Term_67_zh_CN,TRANSLITERATE_WITH_REVIEW,Standard
TERM_68,Term_68_en_US,Term_68_ar_SA,Term_68_de_DE,Term_68_es_ES,Term_68_fr_FR,Term_68_he_IL,Term_68_id_ID,Term_68_ja_JP,Term_68_ko_KR,Term_68_nl_NL,Term_68_pl_PL,Term_68_pt_BR,Term_68_ru_RU,Term_68_uk_UA,Term_68_zh_CN,TRANSLITERATE_WITH_REVIEW,Standard
TERM_69,Term_69_en_US,Term_69_ar_SA,Term_69_de_DE,Term_69_es_ES,Term_69_fr_FR,Term_69_he_IL,Term_69_id_ID,Term_69_ja_JP,Term_69_ko_KR,Term_69_nl_NL,Term_69_pl_PL,Term_69_pt_BR,Term_69_ru_RU,Term_69_uk_UA,Term_69_zh_CN,DRAFT_TRANSLATION_LOCK,Standard
TERM_70,Term_70_en_US,Term_70_ar_SA,Term_70_de_DE,Term_70_es_ES,Term_70_fr_FR,Term_70_he_IL,Term_70_id_ID,Term_70_ja_JP,Term_70_ko_KR,Term_70_nl_NL,Term_70_pl_PL,Term_70_pt_BR,Term_70_ru_RU,Term_70_uk_UA,Term_70_zh_CN,KEEP_EXACT,Standard
TERM_71,Term_71_en_US,Term_71_ar_SA,Term_71_de_DE,Term_71_es_ES,Term_71_fr_FR,Term_71_he_IL,Term_71_id_ID,Term_71_ja_JP,Term_71_ko_KR,Term_71_nl_NL,Term_71_pl_PL,Term_71_pt_BR,Term_71_ru_RU,Term_71_uk_UA,Term_71_zh_CN,KEEP_LATIN,Standard
TERM_72,Term_72_en_US,Term_72_ar_SA,Term_72_de_DE,Term_72_es_ES,Term_72_fr_FR,Term_72_he_IL,Term_72_id_ID,Term_72_ja_JP,Term_72_ko_KR,Term_72_nl_NL,Term_72_pl_PL,Term_72_pt_BR,Term_72_ru_RU,Term_72_uk_UA,Term_72_zh_CN,KEEP_EXACT,Standard
TERM_73,Term_73_en_US,Term_73_ar_SA,Term_73_de_DE,Term_73_es_ES,Term_73_fr_FR,Term_73_he_IL,Term_73_id_ID,Term_73_ja_JP,Term_73_ko_KR,Term_73_nl_NL,Term_73_pl_PL,Term_73_pt_BR,Term_73_ru_RU,Term_73_uk_UA,Term_73_zh_CN,KEEP_EXACT,Standard
TERM_74,Term_74_en_US,Term_74_ar_SA,Term_74_de_DE,Term_74_es_ES,Term_74_fr_FR,Term_74_he_IL,Term_74_id_ID,Term_74_ja_JP,Term_74_ko_KR,Term_74_nl_NL,Term_74_pl_PL,Term_74_pt_BR,Term_74_ru_RU,Term_74_uk_UA,Term_74_zh_CN,DRAFT_TRANSLATION_LOCK,Standard
