release_set,packet_id,article_id,loc_namespace,loc_id,locale,status,surface,title,scanner_short,codex_short,audio_subtitle,terminal_summary,field_note,notes
RS110,P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ART,LORE_APPLIED,P410_CAPSULE_SEAL_SWEAT_pl_PL,pl_PL,draft_machine_or_llm,terminal,[PL] Capsule Seal Condensation Log,[PL] Data fragment P410_CAPSULE_SEAL_SWEAT. Deep Reach operational log. Corrupted.,"[PL] The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Capsule Seal Condensation Log: The physical evidence shows severe degradation. Do not trust the corporate summary.",[PL] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,[PL] CORP_LOG_ENTRY: Capsule Seal Condensation Log. Geotechnical cascade cited. Asset retention prioritized.,[PL] MARAUDER SCRATCH: Don't buy their story on Capsule Seal Condensation Log. They sealed the bulkheads on purpose. Cut the power and move.,Expansion risk
RS110,P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ART,LORE_APPLIED,P410_CAPSULE_SEAL_SWEAT_pt_BR,pt_BR,draft_machine_or_llm,terminal,[PT] Capsule Seal Condensation Log,[PT] Data fragment P410_CAPSULE_SEAL_SWEAT. Deep Reach operational log. Corrupted.,"[PT] The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Capsule Seal Condensation Log: The physical evidence shows severe degradation. Do not trust the corporate summary.",[PT] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,[PT] CORP_LOG_ENTRY: Capsule Seal Condensation Log. Geotechnical cascade cited. Asset retention prioritized.,[PT] MARAUDER SCRATCH: Don't buy their story on Capsule Seal Condensation Log. They sealed the bulkheads on purpose. Cut the power and move.,
RS110,P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ART,LORE_APPLIED,P410_CAPSULE_SEAL_SWEAT_ru_RU,ru_RU,draft_machine_or_llm,terminal,Capsule Seal Condensation Log,Data fragment P410_CAPSULE_SEAL_SWEAT. Дип Рич operational log. Corrupted.,"The following recovered data packet outlines severe procedural failure. Дип Рич Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Мародер analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Атлас-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Capsule Seal Condensation Log: The physical evidence shows severe degradation. Do not trust the corporate summary.",Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,CORP_LOG_ENTRY: Capsule Seal Condensation Log. Geotechnical cascade cited. Asset retention prioritized.,MARAUDER SCRATCH: Don't buy their story on Capsule Seal Condensation Log. They sealed the bulkheads on purpose. Cut the power and move.,Expansion risk
RS110,P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ART,LORE_APPLIED,P410_CAPSULE_SEAL_SWEAT_uk_UA,uk_UA,draft_machine_or_llm,terminal,[UK] Capsule Seal Condensation Log,[UK] Data fragment P410_CAPSULE_SEAL_SWEAT. Deep Reach operational log. Corrupted.,"[UK] The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Capsule Seal Condensation Log: The physical evidence shows severe degradation. Do not trust the corporate summary.",[UK] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,[UK] CORP_LOG_ENTRY: Capsule Seal Condensation Log. Geotechnical cascade cited. Asset retention prioritized.,[UK] MARAUDER SCRATCH: Don't buy their story on Capsule Seal Condensation Log. They sealed the bulkheads on purpose. Cut the power and move.,Expansion risk
RS110,P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ART,LORE_APPLIED,P410_CAPSULE_SEAL_SWEAT_zh_CN,zh_CN,draft_machine_or_llm,terminal,[ZH] Capsule Seal Condensation Log,[ZH] Data fragment P410_CAPSULE_SEAL_SWEAT. Deep Reach operational log. Corrupted.,"[ZH] The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Capsule Seal Condensation Log: The physical evidence shows severe degradation. Do not trust the corporate summary.",[ZH] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,[ZH] CORP_LOG_ENTRY: Capsule Seal Condensation Log. Geotechnical cascade cited. Asset retention prioritized.,[ZH] MARAUDER SCRATCH: Don't buy their story on Capsule Seal Condensation Log. They sealed the bulkheads on purpose. Cut the power and move.,CJK glyph risk
RS110,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_ART,LORE_APPLIED,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_en_US,en_US,source_authority,terminal,Black Keel Dead Claim Handshake,Data fragment P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE. Deep Reach operational log. Corrupted.,"The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Black Keel Dead Claim Handshake: The physical evidence shows severe degradation. Do not trust the corporate summary.",Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,CORP_LOG_ENTRY: Black Keel Dead Claim Handshake. Geotechnical cascade cited. Asset retention prioritized.,MARAUDER SCRATCH: Don't buy their story on Black Keel Dead Claim Handshake. They sealed the bulkheads on purpose. Cut the power and move.,
RS110,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_ART,LORE_APPLIED,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_ar_SA,ar_SA,draft_machine_or_llm,terminal,[AR] Black Keel Dead Claim Handshake,[AR] Data fragment P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE. Deep Reach operational log. Corrupted.,"[AR] The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Black Keel Dead Claim Handshake: The physical evidence shows severe degradation. Do not trust the corporate summary.",[AR] Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,[AR] CORP_LOG_ENTRY: Black Keel Dead Claim Handshake. Geotechnical cascade cited. Asset retention prioritized.,[AR] MARAUDER SCRATCH: Don't buy their story on Black Keel Dead Claim Handshake. They sealed the bulkheads on purpose. Cut the power and move.,RTL_DRAFT_REVIEW_REQUIRED
RS110,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_ART,LORE_APPLIED,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_de_DE,de_DE,draft_machine_or_llm,terminal,[DE] Black Keel Dead Claim Handshake,[DE] Data fragment P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE. Deep Reach operational log. Corrupted.,"[DE] The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Black Keel Dead Claim Handshake: The physical evidence shows severe degradation. Do not trust the corporate summary.",[DE] Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,[DE] CORP_LOG_ENTRY: Black Keel Dead Claim Handshake. Geotechnical cascade cited. Asset retention prioritized.,[DE] MARAUDER SCRATCH: Don't buy their story on Black Keel Dead Claim Handshake. They sealed the bulkheads on purpose. Cut the power and move.,Expansion risk
RS110,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_ART,LORE_APPLIED,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_es_ES,es_ES,draft_machine_or_llm,terminal,[ES] Black Keel Dead Claim Handshake,[ES] Data fragment P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE. Deep Reach operational log. Corrupted.,"[ES] The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Black Keel Dead Claim Handshake: The physical evidence shows severe degradation. Do not trust the corporate summary.",[ES] Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,[ES] CORP_LOG_ENTRY: Black Keel Dead Claim Handshake. Geotechnical cascade cited. Asset retention prioritized.,[ES] MARAUDER SCRATCH: Don't buy their story on Black Keel Dead Claim Handshake. They sealed the bulkheads on purpose. Cut the power and move.,
RS110,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_ART,LORE_APPLIED,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE_fr_FR,fr_FR,draft_machine_or_llm,terminal,[FR] Black Keel Dead Claim Handshake,[FR] Data fragment P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE. Deep Reach operational log. Corrupted.,"[FR] The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Black Keel Dead Claim Handshake: The physical evidence shows severe degradation. Do not trust the corporate summary.",[FR] Playback: Black Keel Dead Claim Handshake. Proceed with caution. Lien deduction active.,[FR] CORP_LOG_ENTRY: Black Keel Dead Claim Handshake. Geotechnical cascade cited. Asset retention prioritized.,[FR] MARAUDER SCRATCH: Don't buy their story on Black Keel Dead Claim Handshake. They sealed the bulkheads on purpose. Cut the power and move.,
