path,folder,bytes,has_lodgroup_token,builtin_primitive_mesh_ref_count,mesh_filter_token_count,renderer_token_count,mesh_collider_token_count,box_collider_token_count,sphere_collider_token_count,capsule_collider_token_count,audio_source_token_count,direct_audioclip_ref_count,material_token_count,unique_guid_ref_count,missing_script_token_count,policy_flags,evidence_boundary
Assets/_Project/Prefabs/Construction/Final/PFB_Module_Pylon.prefab,Assets/_Project/Prefabs/Construction/Final,4647,False,1,1,1,0,0,0,1,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Construction/Final/PFB_Module_ServicePump.prefab,Assets/_Project/Prefabs/Construction/Final,4640,False,1,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Construction/Final/PFB_Ruin_ClusterMedium.prefab,Assets/_Project/Prefabs/Construction/Final,53602,True,16,16,17,0,1,0,0,0,0,17,9,0,BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Construction/Final/PFB_Ruin_Megastructure.prefab,Assets/_Project/Prefabs/Construction/Final,77141,True,23,23,25,0,1,0,0,0,0,24,9,0,BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Construction/Final/PFB_SargassumCollapseChunk.prefab,Assets/_Project/Prefabs/Construction/Final,5881,False,1,1,1,0,1,0,0,0,0,2,4,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Diagnostics/PFB_ErrorCube.prefab,Assets/_Project/Prefabs/Diagnostics,2639,False,1,1,1,0,0,0,0,0,0,1,2,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Directional Light.prefab,Assets/_Project/Prefabs,9047,False,1,1,1,0,0,0,0,0,0,1,6,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/GasGiant_Aegir.prefab,Assets/_Project/Prefabs,2663,False,0,1,1,0,0,0,0,0,0,1,2,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/GEOGRAPHY.prefab,Assets/_Project/Prefabs,915,False,0,0,0,0,0,0,0,0,0,0,0,0,NO_STATIC_LODGROUP_TOKEN|NO_RENDERER_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Hecton Ocean.prefab,Assets/_Project/Prefabs,2668,False,0,1,1,0,0,0,0,0,0,1,2,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/HUD_Internal.prefab,Assets/_Project/Prefabs,1935,False,0,0,0,0,0,0,0,0,0,0,2,0,NO_STATIC_LODGROUP_TOKEN|NO_RENDERER_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Item_Titanium.prefab,Assets/_Project/Prefabs,5088,False,1,1,1,0,1,0,0,0,0,2,6,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Items/Tools/Item_Tool_BeaconDeployer_World.prefab,Assets/_Project/Prefabs/Items/Tools,4405,False,1,1,1,0,1,0,0,0,0,2,5,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Items/Tools/Item_Tool_Builder_World.prefab,Assets/_Project/Prefabs/Items/Tools,4398,False,1,1,1,0,1,0,0,0,0,2,5,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Items/Tools/Item_Tool_EnvAnalyzer_World.prefab,Assets/_Project/Prefabs/Items/Tools,4402,False,1,1,1,0,1,0,0,0,0,2,5,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Items/Tools/Item_Tool_Flashlight_World.prefab,Assets/_Project/Prefabs/Items/Tools,4401,False,1,1,1,0,1,0,0,0,0,2,5,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Items/Tools/Item_Tool_HarpoonLauncher_World.prefab,Assets/_Project/Prefabs/Items/Tools,4406,False,1,1,1,0,1,0,0,0,0,2,5,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Items/Tools/Item_Tool_Knife_World.prefab,Assets/_Project/Prefabs/Items/Tools,4396,False,1,1,1,0,1,0,0,0,0,2,5,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Items/Tools/Item_Tool_LaserCutter_World.prefab,Assets/_Project/Prefabs/Items/Tools,4402,False,1,1,1,0,1,0,0,0,0,2,5,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Items/Tools/Item_Tool_Propulsion_World.prefab,Assets/_Project/Prefabs/Items/Tools,4401,False,1,1,1,0,1,0,0,0,0,2,5,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Items/Tools/Item_Tool_Repair_World.prefab,Assets/_Project/Prefabs/Items/Tools,5582,False,1,1,1,0,1,0,0,0,0,2,6,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Items/Tools/Item_Tool_SalvageSampler_World.prefab,Assets/_Project/Prefabs/Items/Tools,4405,False,1,1,1,0,1,0,0,0,0,2,5,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Items/Tools/Item_Tool_Scanner_World.prefab,Assets/_Project/Prefabs/Items/Tools,4398,False,1,1,1,0,1,0,0,0,0,2,5,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Items/Tools/Item_Tool_StunPistol_World.prefab,Assets/_Project/Prefabs/Items/Tools,4401,False,1,1,1,0,1,0,0,0,0,2,5,0,NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Mesh_Arch_010.prefab,Assets/_Project/Prefabs,908,False,0,0,0,0,0,0,0,0,0,0,0,0,NO_STATIC_LODGROUP_TOKEN|NO_RENDERER_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/PFB_AppliedLore_MessageTerminalAnchor.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore,4343,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P002_BLACK_KEEL_CONTACT.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4356,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P008_EVACUATION_HOLD.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4360,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P010_PAYLOAD_WINDOW.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4358,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P012_RELAY_SPINE.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4356,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P013_NEARLIGHT_SHIP_CLASSES.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4365,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P014_AEGIR_ROUTE_WINDOW.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4359,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P015_BLACK_KEEL_LEDGER.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4357,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P017_AEGIR_MOON_LADDER.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4362,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P021_BLACK_KEEL_CUSTODY.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4360,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P023_DEEP_REACH_RETURN_CLAIM.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4367,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P024_FALSE_EXIT_MATERIAL.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4364,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P028_NO_FTL_TRANSIT_MATH.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4360,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P029_SEED_SHIP_DOCTRINE.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4361,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P030_RELAY_CUSTODY_DEBT_CHAIN.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4369,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P032_PRESSURE_LADDER_DEPTH_BANDS.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4371,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P035_FACTORY_TEMPLE_THRESHOLD.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4367,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P036_RETURN_VECTOR_WINDOW.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4360,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P037_COWARD_EXIT_CHAIN.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4359,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P038_MATERIAL_PAYOUT_LEDGER.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4364,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P039_DEEP_REACH_CLEANSE_ORDER.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4364,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P040_ATLAS_FINAL_ARGUMENT.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4365,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P043_SHIFT_BOARD_ROUTE_HOLDS.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4368,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P044_MEDICAL_LOCK_DELAY.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4362,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P045_BLACK_BOX_NAME_STACK.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4364,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P047_HATCH_SEAL_LEDGER.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4361,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P049_SONAR_RETURN_ROUTE.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4363,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P050_SALVAGE_TOOL_CUSTODY.prefab,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals,4365,False,0,1,1,0,1,0,0,0,0,2,3,0,NO_STATIC_LODGROUP_TOKEN,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching/GEN_family_coral_branching__bouquet.prefab,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching,10257,True,0,3,3,0,0,0,0,0,0,3,6,0,NONE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching/GEN_family_coral_branching__branch.prefab,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching,10250,True,0,3,3,0,0,0,0,0,0,3,6,0,NONE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching/GEN_family_coral_branching__crest.prefab,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching,10268,True,0,3,3,0,0,0,0,0,0,3,6,0,NONE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching/GEN_family_coral_branching__fan.prefab,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching,10265,True,0,3,3,0,0,0,0,0,0,3,6,0,NONE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching/GEN_family_coral_branching__mass.prefab,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching,10260,True,0,3,3,0,0,0,0,0,0,3,6,0,NONE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching/GEN_family_coral_branching__thicket.prefab,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching,10264,True,0,3,3,0,0,0,0,0,0,3,6,0,NONE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_brittle/GEN_family_coral_brittle__candelabra.prefab,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_brittle,10267,True,0,3,3,0,0,0,0,0,0,3,6,0,NONE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_brittle/GEN_family_coral_brittle__cathedral.prefab,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_brittle,10260,True,0,3,3,0,0,0,0,0,0,3,6,0,NONE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_brittle/GEN_family_coral_brittle__crown.prefab,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_brittle,10251,True,0,3,3,0,0,0,0,0,0,3,6,0,NONE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_brittle/GEN_family_coral_brittle__fan.prefab,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_brittle,10261,True,0,3,3,0,0,0,0,0,0,3,6,0,NONE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_brittle/GEN_family_coral_brittle__halo.prefab,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_brittle,10262,True,0,3,3,0,0,0,0,0,0,3,6,0,NONE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_brittle/GEN_family_coral_brittle__lace.prefab,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_brittle,10262,True,0,3,3,0,0,0,0,0,0,3,6,0,NONE,STATIC_YAML_SCAN_NOT_UNITY_PREFAB_OR_VISUAL_PROOF
