FilePath,Domain,PrimaryUse,EvidenceClass,RowsOrScope,ReadWhen,NotProofOf
Docs/AssetAudit/TEXTURE_IMPORT_ROLE_MATRIX_20260605.csv,texture_material,Texture import role plan,STATIC_DOC,13_rows,Before import/meta work,Import readiness
Docs/AssetAudit/TEXTURE_MATERIAL_USAGE_MAP_20260605.csv,texture_material,Serialized texture/material usage map,STATIC_SOURCE,141_rows,When tracing texture reachability,Runtime material binding
Docs/AssetAudit/TEXTURE_CANDIDATE_DISPOSITION_20260605.csv,texture_material,Texture candidate dispositions,STATIC_SOURCE,190_rows,When choosing source candidates,Final art acceptance
Docs/AssetAudit/VISUAL_MESH_ASSET_TAXONOMY_20260605.csv,visual_mesh,Visual/mesh taxonomy,STATIC_DOC,19_rows,Before mesh/prefab promotion,Visual acceptance
Docs/AssetAudit/PREFAB_FILE_TECHNICAL_PROPERTIES_20260605.csv,visual_mesh,Prefab row-level LOD primitive collider renderer token matrix,STATIC_YAML_SCAN,602_rows,Before prefab promotion validator or Unity prefab readback,Prefab or visual acceptance
Docs/AssetAudit/MESH_PREFAB_SOURCE_FOLDER_ROUTE_MATRIX_20260605.csv,visual_mesh,Folder-level prefab route risk matrix,STATIC_YAML_SCAN,40_rows,Before mesh/prefab folder owner work,Unity prefab readback
Docs/AssetAudit/VISUAL_ASSET_REVIEW_QUEUE_20260605.csv,visual_mesh,Visual review order,STATIC_DOC,11_rows,Before visual QA pass,Visual acceptance
Docs/AssetAudit/MESH_PREFAB_REVIEW_QUEUE_20260605.csv,visual_mesh,Mesh/prefab review order,STATIC_DOC,8_rows,Before prefab promotion,Prefab acceptance
Docs/AssetAudit/AUDIO_ASSET_TAXONOMY_20260605.csv,audio,Audio/music taxonomy,STATIC_DOC,11_rows,Before audio owner work,Runtime audio behavior
Docs/AssetAudit/AUDIO_FILE_TECHNICAL_PROPERTIES_20260605.csv,audio,Audio source codec duration channel sample-rate matrix,AUDIO_PROBE,138_rows,Before audio import listening or lifecycle work,Unity import or runtime audio behavior
Docs/AssetAudit/AUDIO_SOURCE_FOLDER_ROUTE_MATRIX_20260605.csv,audio,Folder-level audio source route risk matrix,STATIC_SOURCE,15_rows,Before audio source/folder owner work,Runtime audio behavior
Docs/AssetAudit/AUDIO_PROFILE_ROUTE_MATRIX_20260605.csv,audio,MusicDirector/profile/cue route matrix,STATIC_SOURCE,21_rows,Before music/profile changes,Mix acceptance
Docs/AssetAudit/AUDIO_DIRECT_REF_DETAIL_20260605.csv,audio,Player prefab direct audio refs,STATIC_SOURCE,28_rows,Before touching Player audio refs,Playback/lifecycle proof
Docs/AssetAudit/AUDIO_LISTENING_PASS_QUEUE_20260605.csv,audio,Audio listening/remediation queue,STATIC_DOC,13_rows,Before listening pass,Listening acceptance
Docs/AssetAudit/AUDIO_IMPORT_POLICY_EXCEPTION_TABLE_20260605.csv,audio,Audio import policy exception plan,STATIC_DOC,8_rows,Before import policy work,Stable authority
Docs/AssetAudit/ADDRESSABLES_ASSET_GROUP_PLAN_20260605.csv,addressables,Asset group/key/label plan,STATIC_DOC,11_rows,Before Addressables owner work,Addressables readiness
Docs/AssetAudit/ASSET_PROOF_ARTIFACT_INDEX_20260605.csv,proof_artifacts,Contact sheet waveform generated pack index,STATIC_DOC,29_rows,Before reviewing proof-adjacent files,Acceptance proof
Docs/AssetAudit/ASSET_AUTHORING_TOOL_INVENTORY_20260605.csv,tools,Local tool inventory,STATIC_SOURCE,13_rows,Before inventing tools or running authoring,Tool output acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_01_UNITY_MATERIAL_READBACK.md,early_owner_packet,Unity material readback early owner packet,STATIC_DOC,2297_bytes,Before material readback owner planning,Unity proof or material acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_02_TEXTURE_AUTHORING.md,early_owner_packet,Texture authoring early owner packet,STATIC_DOC,2362_bytes,Before texture authoring owner planning,Import or visual acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_03_AUDIO_LEDGER_LISTENING.md,early_owner_packet,Audio ledger and listening early owner packet,STATIC_DOC,3119_bytes,Before audio ledger or listening owner planning,Runtime mix or listening acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_04_MESH_PREFAB_PROMOTION.md,early_owner_packet,Mesh prefab promotion early owner packet,STATIC_DOC,1616_bytes,Before mesh prefab promotion planning,Unity prefab or visual acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_05_UI_SPRITE_ROUTE.md,early_owner_packet,UI sprite route early owner packet,STATIC_DOC,1357_bytes,Before UI sprite route planning,HUD binding or readability acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_06_UNITY_READBACK_EXECUTION_PACKET.md,execution,Unity readback order and proof naming,STATIC_DOC,538_lines,When Unity/MCP gate is clean,Readback proof by itself
taskslocal/asset_system_20260605/ASSET_OWNER_07_TOOL_AND_ROUTE_EXECUTION_PACKET.md,execution,Tool/route execution order,STATIC_DOC,77_lines,Before running editor/offline tools,Tool execution proof
taskslocal/asset_system_20260605/ASSET_OWNER_08_AUDIO_DIRECT_REF_UNWIRING_PACKET.md,audio_owner_packet,Player prefab direct audio ref unwiring packet,STATIC_DOC,83_lines,Before touching Player prefab audio clip refs,Prefab audio lifecycle proof
taskslocal/asset_system_20260605/ASSET_OWNER_09_TEXTURE_MATERIAL_IMPORT_BLOCKERS_PACKET.md,texture_material_owner_packet,Texture material import blocker execution packet,STATIC_DOC,77_lines,Before texture import or material route edits,Import or material acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_10_MUSICDIRECTOR_AUDIO_ROUTING_PACKET.md,audio_owner_packet,MusicDirector mixer profile cue routing packet,STATIC_DOC,95_lines,Before MusicDirector profile or mixer edits,Runtime mix proof
taskslocal/asset_system_20260605/ASSET_OWNER_11_WATER_FOAM_CONTACT_AUTHORING_PACKET.md,texture_material_owner_packet,Water foam contact authoring packet,STATIC_DOC,96_lines,Before foam source authoring or Crest material binding,Water visual acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md,texture_material_owner_packet,Flora coral proxy material replacement packet,STATIC_DOC,80_lines,Before active-world proxy material replacement,Scene or material acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_13_PRODUCT_FACE_PREFAB_PRIMITIVE_REPLACEMENT_PACKET.md,visual_prefab_owner_packet,Product-face primitive prefab replacement packet,STATIC_DOC,97_lines,Before visible product-face prefab mesh replacement,Prefab or visual acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_14_SKY_AEGIR_CLOUD_SLOT_PROOF_PACKET.md,sky_celestial_owner_packet,Sky Aegir cloud moon source slot proof packet,STATIC_DOC,132_lines,Before sky celestial source acceptance or replacement,Route visual acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_15_ADDRESSABLES_ASSET_GROUP_EXECUTION_BLOCKERS_PACKET.md,addressables_owner_packet,Addressables group lifecycle execution blocker packet,STATIC_DOC,148_lines,Before Addressables settings groups keys labels or catalogs,Addressables readiness
taskslocal/asset_system_20260605/ASSET_OWNER_16_TERRAIN_GEOLOGY_PBR_AUTHORING_PACKET.md,terrain_geology_owner_packet,Terrain geology PBR authoring packet,STATIC_DOC,205_lines,Before first-exit photic or medium-depth terrain material promotion,Terrain visual acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_17_UI_OXYGEN_SPRITE_ATLAS_PACKET.md,ui_owner_packet,UI oxygen sprite atlas route packet,STATIC_DOC,144_lines,Before oxygen sprite atlas import or HUD binding work,HUD runtime acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_18_PRODUCT_FACE_VALIDATOR_EVIDENCE_PACKET.md,validator_owner_packet,Product-face validator evidence packet,STATIC_DOC,162_lines,Before running or interpreting product-face validator logs,In-game visual acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_19_AUDIO_IMPORT_AUTHORITY_ADOPTION_PACKET.md,audio_authority_owner_packet,Audio import authority adoption packet,STATIC_DOC,146_lines,Before stable audio authority patch or import-policy exception promotion,Audio policy adoption or runtime mix
taskslocal/asset_system_20260605/ASSET_OWNER_20_OCEAN_CREST_CONTACT_PROOF_PACKET.md,ocean_contact_owner_packet,Ocean Crest contact proof packet,STATIC_DOC,120_lines,Before ocean surface Crest contact foam or waterline proof pass,Water visual acceptance
Docs/AssetAudit/GENERATED_SOURCE_PACK_FILE_INVENTORY_20260605.csv,generated_source_packs,Generated Aegir cloud foam contact source pack inventory,STATIC_IMAGE_PROBE,26_rows,Before reusing generated source packs,Import or visual acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_21_TEXTURE_STREAMING_MIP_STATIC_RISK_PACKET.md,texture_streaming_owner_packet,Texture streaming mip hero-scale large-source sRGB risk packet,STATIC_DOC,175_lines,Before streaming mip hero-scale large-source or sRGB texture remediation,Unity import or visual acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_22_PREFAB_COLLIDER_LOD_ROW_RISK_PACKET.md,prefab_collider_lod_owner_packet,Prefab collider LOD primitive mesh proxy row risk packet,STATIC_DOC,181_lines,Before prefab collider LOD primitive mesh proxy or no-renderer remediation,Prefab or visual acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_23_AUDIO_SOURCE_TECHNICAL_REMEDIATION_PACKET.md,audio_remediation_owner_packet,Audio source technical remediation packet,STATIC_DOC,132_lines,Before source-rate channel long-bed import DSP lifecycle or listening remediation,Runtime audio acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md,product_face_material_owner_packet,Product-face material and texture repair packet,STATIC_DOC,178_lines,Before material route repair after validator failure and visual rejection,Material or visual acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md,product_face_prefab_owner_packet,Visible primitive mesh replacement LOD collider material proof packet,STATIC_DOC,249_lines,Before visible product-face primitive mesh replacement,Prefab or visual acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_26_UNITY_READBACK_NO_MUTATION_PACKET.md,unity_readback_owner_packet,No-mutation Unity readback packet for product-face gate failures and h8_1475 readiness,STATIC_DOC,513_lines,When Unity process gate is clean,Readback proof by itself
taskslocal/asset_system_20260605/ASSET_OWNER_27_UNDERWATER_VFX_SOURCE_PACKET.md,underwater_vfx_source_owner_packet,Underwater fish marine-snow foam caustic source generation packet,STATIC_DOC,314_lines,Before underwater VFX source generation or import planning,Runtime VFX or visual acceptance
taskslocal/asset_system_20260605/ASSET_OWNER_28_AUDIO_REMEDIATION_EXECUTION_PACKET.md,audio_remediation_owner_packet,Audio routing import source remediation execution packet,STATIC_DOC,214_lines,Before P0 audio routing import or source remediation,Runtime audio acceptance
Docs/AssetAudit/MATERIAL_FILE_TECHNICAL_PROPERTIES_20260605.csv,texture_material,Serialized material shader texture route risk matrix,STATIC_YAML_SCAN,392_rows,Before material readback shader variant or texture slot work,Material acceptance
Docs/AssetAudit/MODEL_FILE_IMPORT_RISK_MATRIX_20260605.csv,visual_mesh,Model source/meta import risk matrix,STATIC_SOURCE_META_SCAN,16_rows,Before model importer prefab LOD or collider work,Model import or visual acceptance
Docs/AssetAudit/TEXTURE_DUPLICATE_HASH_MATRIX_20260605.csv,texture_material,Texture exact-hash basename and family duplicate matrix,STATIC_HASH_SCAN,140_rows,Before texture consolidation deletion or source promotion,Deletion or visual acceptance
Docs/AssetAudit/AUDIO_LOUDNESS_TECHNICAL_PROPERTIES_20260605.csv,audio,Audio source loudness and deferred long-bed dynamics matrix,AUDIO_SOURCE_PROBE,138_rows,Before import listening mix or DSP remediation,Runtime mix acceptance
Docs/AssetAudit/ASSET_GUID_REFERENCE_MATRIX_20260605.md,cross_asset_guid,Static GUID reachability summary and owner route flags,STATIC_SOURCE,216_lines,Before assigning texture audio material prefab or Addressables owners,Unity/runtime readiness
Docs/AssetAudit/ASSET_GUID_REFERENCE_MATRIX_20260605.csv,cross_asset_guid,Machine-readable asset GUID reference graph,STATIC_SOURCE,7420_rows,Before assigning texture audio material prefab or Addressables owners,Unity/runtime readiness
Docs/AssetAudit/PRODUCT_FACE_MATERIAL_P0_TARGET_TABLE_20260605.csv,target_table,Product-face material P0 target table,STATIC_SOURCE,124_rows,Before product-face material repair owner execution,Material or visual acceptance
Docs/AssetAudit/PRODUCT_FACE_PREFAB_P0_TARGET_TABLE_20260605.csv,target_table,Product-face prefab primitive mesh P0 target table,STATIC_SOURCE,39_rows,Before product-face prefab primitive replacement owner execution,Prefab or visual acceptance
Docs/AssetAudit/AUDIO_P0_REMEDIATION_TARGET_TABLE_20260605.csv,target_table,Audio P0 remediation target table,STATIC_SOURCE,6_rows,Before P0 audio remediation owner execution,Runtime audio acceptance
Docs/AssetAudit/H8_1475_READBACK_FIELD_MANIFEST_20260605.csv,target_table,h8_1475 no-mutation Unity readback field manifest,STATIC_DOC,123_rows,Before Unity no-mutation readback owner execution,Readback proof by itself
Docs/AssetAudit/VISUAL_REFERENCE_CAPTURE_GAP_TABLE_20260605.csv,target_table,Visual reference capture gap table,STATIC_IMAGE_QA,7_rows,Before h8_1475 visual proof capture,Visual acceptance
Docs/AssetAudit/ASSET_GUID_ACTIVE_ROUTE_TRIAGE_20260605.md,cross_asset_guid,Compact P0/P1 active GUID owner triage,STATIC_SOURCE,110_lines,Before assigning active route GUID owners,Unity/runtime readiness
Docs/AssetAudit/ASSET_GUID_ACTIVE_ROUTE_TRIAGE_20260605.csv,cross_asset_guid,Machine-readable compact active GUID owner triage,STATIC_SOURCE,800_rows,Before assigning active route GUID owners,Unity/runtime readiness
Docs/AssetAudit/ASSET_GUID_UNREFERENCED_SOURCE_TRIAGE_20260605.md,cross_asset_guid,Unreferenced GUID source cleanup-review triage no deletion authority,STATIC_SOURCE,115_lines,After active route GUID triage when planning cleanup,Safe deletion or Unity/runtime readiness
Docs/AssetAudit/ASSET_GUID_UNREFERENCED_SOURCE_TRIAGE_20260605.csv,cross_asset_guid,Machine-readable unreferenced GUID cleanup-review triage,STATIC_SOURCE,3488_rows,After active route GUID triage when planning cleanup,Safe deletion or Unity/runtime readiness
taskslocal/asset_system_20260605/ASSET_OWNER_34_ACTIVE_ROUTE_TRIAGE_PACKET.md,active_route_owner_packet,Active GUID route triage execution packet,STATIC_DOC,198_lines,Before active route GUID owner execution,Unity/runtime readiness
taskslocal/asset_system_20260605/ASSET_OWNER_35_UNREFERENCED_SOURCE_CLEANUP_REVIEW_PACKET.md,cleanup_review_owner_packet,Unreferenced source cleanup-review packet no deletion authority,STATIC_DOC,269_lines,Before cleanup quarantine or deletion-review planning,Safe deletion or Unity/runtime readiness
taskslocal/asset_system_20260605/ASSET_OWNER_36_H8_1475_PROOF_EXECUTION_PACKET.md,h8_1475_proof_owner_packet,h8_1475 no-mutation proof execution packet,STATIC_DOC,384_lines,When Unity process gate is clean and product-face proof is needed,Unity runtime or visual acceptance
Docs/AssetAudit/ASSET_P0_TARGET_TABLE_ROUTING_SYNTHESIS_20260605.md,target_table_synthesis,Compact P0 target/readback/capture routing synthesis,STATIC_DOC,86_lines,Before assigning owners 24-33 from P0 target tables,Unity runtime visual audio acceptance
Docs/AssetAudit/ASSET_P0_TARGET_TABLE_ROUTING_SYNTHESIS_20260605.csv,target_table_synthesis,Machine-readable P0 target/readback/capture routing synthesis,STATIC_SOURCE,5_rows,Before assigning owners 24-33 from P0 target tables,Unity runtime visual audio acceptance
Docs/AssetAudit/ASSET_OWNER_PACKET_INDEX_20260605.md,owner_packet_index,Asset owner packet and output-only ID index,STATIC_DOC,79_lines,Before assigning or recreating asset owner packet IDs,Unity runtime visual audio acceptance
Docs/AssetAudit/ASSET_OWNER_PACKET_INDEX_20260605.csv,owner_packet_index,Machine-readable asset owner packet and output-only ID index,STATIC_DOC,37_rows,Before assigning or recreating asset owner packet IDs,Unity runtime visual audio acceptance
Docs/Reports/AssetSystem_20260605/VISUAL_REFERENCE_CRITIQUE_CHECKLIST_20260605.md,visual_reference_review,Strict mandatory-reference critique checklist for h8_1475 screenshot review,STATIC_DOC,130_lines,Before h8_1475 visual category pass/fail review,Visual acceptance
Docs/Reports/AssetSystem_20260605/VISUAL_REFERENCE_CRITIQUE_CHECKLIST_20260605.csv,visual_reference_review,Machine-readable mandatory-reference critique gates,STATIC_IMAGE_QA,7_rows,Before h8_1475 visual category pass/fail review,Visual acceptance
Docs/AssetAudit/H8_1475_PROOF_DEPENDENCY_GRAPH_20260605.md,h8_1475_proof_graph,Dependency order for no-mutation h8_1475 proof execution,STATIC_DOC,60_lines,Before h8_1475 proof owner executes or triages packet,Unity runtime visual audio acceptance
Docs/AssetAudit/H8_1475_PROOF_DEPENDENCY_GRAPH_20260605.csv,h8_1475_proof_graph,Machine-readable h8_1475 proof dependency graph,STATIC_DOC,14_rows,Before h8_1475 proof owner executes or triages packet,Unity runtime visual audio acceptance
Docs/Reports/AssetSystem_20260605/AUDIO_P0_STATIC_EXECUTION_REFINEMENT_20260605.md,audio_execution_refinement,Static row-level execution refinement for six audio P0 blockers,STATIC_DOC,78_lines,Before audio owner execution from P0 remediation table,Runtime mix or listening acceptance
Docs/Reports/AssetSystem_20260605/AUDIO_P0_STATIC_EXECUTION_REFINEMENT_20260605.csv,audio_execution_refinement,Machine-readable execution refinement for six audio P0 blockers,STATIC_SOURCE,6_rows,Before audio owner execution from P0 remediation table,Runtime mix or listening acceptance
Docs/AssetAudit/LARGE_SOURCE_OWNER_REVIEW_20260605.md,large_source_review,Large texture/audio source owner review buckets,STATIC_SOURCE,37_lines,Before large source cleanup import or retention decisions,Safe deletion import acceptance or runtime residency
Docs/AssetAudit/LARGE_SOURCE_OWNER_REVIEW_20260605.csv,large_source_review,Machine-readable large source owner review buckets,STATIC_SOURCE,5_rows,Before large source cleanup import or retention decisions,Safe deletion import acceptance or runtime residency
Docs/Reports/AssetSystem_20260605/PRODUCT_FACE_STATIC_EXECUTION_REFINEMENT_20260605.md,product_face_execution_refinement,Static execution refinement for product-face material and prefab P0 blockers,STATIC_DOC,69_lines,Before product-face material or prefab owner execution,Unity readback visual acceptance or prefab mutation approval
Docs/Reports/AssetSystem_20260605/PRODUCT_FACE_STATIC_EXECUTION_REFINEMENT_20260605.csv,product_face_execution_refinement,Machine-readable product-face material and prefab execution refinement,STATIC_SOURCE,14_rows,Before product-face material or prefab owner execution,Unity readback visual acceptance or prefab mutation approval
Docs/AssetAudit/VISUAL_REFERENCE_PATH_CONTINUITY_20260605.md,visual_reference_paths,Current mandatory visual reference path inventory,STATIC_SOURCE,39_lines,Before h8_1475 visual critique reads reference images,Visual acceptance
Docs/AssetAudit/VISUAL_REFERENCE_PATH_CONTINUITY_20260605.csv,visual_reference_paths,Machine-readable current mandatory visual reference paths,STATIC_SOURCE,15_rows,Before h8_1475 visual critique reads reference images,Visual acceptance
Docs/AssetAudit/ASSET_ACTION_QUEUE_20260605.md,entry,Asset action queue narrative and P0/P1/P2 order,STATIC_DOC,read_order_file,Before assigning asset owners,Unity runtime visual audio acceptance
Docs/AssetAudit/ASSET_ACTION_QUEUE_20260605.csv,entry,Machine-readable asset action queue,STATIC_DOC,11_rows,Before assigning asset owners,Unity runtime visual audio acceptance
Docs/AssetAudit/ASSET_FRONT_FILE_MAP_20260605.md,entry,Markdown companion for asset-front file map,STATIC_DOC,self_map,Before navigating asset-front docs,Unity runtime visual audio acceptance
Docs/AssetAudit/ASSET_FRONT_FILE_MAP_20260605.csv,entry,Machine-readable asset-front file map,STATIC_DOC,self_map,Before navigating asset-front docs,Unity runtime visual audio acceptance
Docs/AssetAudit/AudioVisual/audio_preview_waveform_stats_20260605.csv,audio_proof_adjacent,Clean waveform preview stats listed by proof artifact index,AUDIO_WAVEFORM_QA,11_rows,Before audio source/listening owner reviews,Runtime mix or listening acceptance
Docs/Audio/audio_asset_ledger.csv,audio_ledger,Production-facing static audio ledger,STATIC_SOURCE,138_rows,Before audio owner route or ledger execution,Runtime mix import or Addressables acceptance
Docs/Audio/audio_remediation_matrix_20260605.csv,audio_remediation,Audio remediation matrix and row-level queue,STATIC_SOURCE,58_rows,Before audio remediation owner execution,Runtime mix import or Addressables acceptance
Docs/Reports/AssetSystem_20260605/H8_1475_CANONICAL_SHOTLIST_20260605.md,h8_1475_shotlist,Canonical screenshot shotlist and brutal visual rejection rubric,STATIC_DOC,201_lines,Before h8_1475 proof owner captures or reviews screenshots,Visual acceptance profiler GC memory or runtime readiness
Docs/Reports/AssetSystem_20260605/H8_1475_CANONICAL_SHOTLIST_20260605.csv,h8_1475_shotlist,Machine-readable canonical h8_1475 screenshot set,STATIC_DOC,11_rows,Before h8_1475 proof owner captures or reviews screenshots,Visual acceptance profiler GC memory or runtime readiness
Docs/Reports/AssetSystem_20260605/H8_1475_VISUAL_REFERENCE_COMPARISON_TEMPLATE_20260605.md,h8_1475_visual_comparison_template,Fixed template for future h8_1475 visual reference comparison report,STATIC_DOC,91_lines,Before h8_1475 proof owner writes visual comparison,Visual acceptance Unity proof profiler GC memory or runtime readiness
Docs/AssetAudit/VISUAL_REFERENCE_OWNER_REQUIREMENT_MATRIX_20260605.md,visual_reference_owner_matrix,VREF-to-owner visual requirement matrix,STATIC_IMAGE_QA,matrix_doc,Before assigning water terrain sky flora UI visual owners,Visual acceptance Unity proof or asset mutation approval
Docs/AssetAudit/VISUAL_REFERENCE_OWNER_REQUIREMENT_MATRIX_20260605.csv,visual_reference_owner_matrix,Machine-readable VREF-to-owner visual requirement matrix,STATIC_IMAGE_QA,15_rows,Before assigning water terrain sky flora UI visual owners,Visual acceptance Unity proof or asset mutation approval
Docs/Reports/AssetSystem_20260605/VISUAL_REFERENCE_VS_CURRENT_REJECTION_MATRIX_20260605.md,visual_reference_rejection_matrix,Static current-diagnostic rejection matrix against mandatory references,STATIC_IMAGE_QA,rejection_doc,Before visual QA compares current diagnostic screenshots,Visual acceptance Unity proof or screenshot packet proof
Docs/Reports/AssetSystem_20260605/VISUAL_REFERENCE_VS_CURRENT_REJECTION_MATRIX_20260605.csv,visual_reference_rejection_matrix,Machine-readable current-diagnostic rejection matrix against mandatory references,STATIC_IMAGE_QA,10_rows,Before visual QA compares current diagnostic screenshots,Visual acceptance Unity proof or screenshot packet proof
Docs/AssetAudit/AUDIO_ROUTE_OWNER_REQUIREMENT_MATRIX_20260605.md,audio_route_owner_matrix,Audio route owner requirement matrix for MusicDirector player loops ambience UI and VO blockers,STATIC_AUDIO_QA,59_lines,Before assigning audio owner packets 08 10 19 23 28,Runtime mix listening import or Addressables acceptance
Docs/AssetAudit/AUDIO_ROUTE_OWNER_REQUIREMENT_MATRIX_20260605.csv,audio_route_owner_matrix,Machine-readable audio route owner requirement matrix,STATIC_AUDIO_QA,13_rows,Before assigning audio owner packets 08 10 19 23 28,Runtime mix listening import or Addressables acceptance
Docs/AssetAudit/AUDIO_MIX_PRIORITY_DECISION_QUEUE_20260605.md,audio_mix_priority,Audio mix priority decision queue for warnings player loops ambience music stingers UI and VO proof order,STATIC_AUDIO_QA,55_lines,Before runtime mix listening or audio remediation owner execution,Runtime mix listening import or Addressables acceptance
Docs/AssetAudit/AUDIO_MIX_PRIORITY_DECISION_QUEUE_20260605.csv,audio_mix_priority,Machine-readable audio mix priority decision queue,STATIC_AUDIO_QA,10_rows,Before runtime mix listening or audio remediation owner execution,Runtime mix listening import or Addressables acceptance
Docs/AssetAudit/AUDIO_CRITICAL_CUE_COVERAGE_MATRIX_20260605.md,audio_critical_cue_coverage,Audio critical cue family coverage matrix for warning UI player-loop sonar tool ambience music stinger and VO source gaps,STATIC_AUDIO_QA,48_lines,Before runtime mix listening audio source authoring or audio remediation owner execution,Runtime mix listening import Addressables or source-authoring acceptance
Docs/AssetAudit/AUDIO_CRITICAL_CUE_COVERAGE_MATRIX_20260605.csv,audio_critical_cue_coverage,Machine-readable audio critical cue family coverage matrix,STATIC_AUDIO_QA,12_rows,Before runtime mix listening audio source authoring or audio remediation owner execution,Runtime mix listening import Addressables or source-authoring acceptance
Docs/AssetAudit/BATCH31_LOCAL_PBR_IMPORT_INTENT_20260605.md,batch31_import_intent,Static Batch31 local PBR import intent and channel-contract blocker summary,STATIC_SOURCE,83_lines,Before terrain shoreline or photic PBR source promotion,Unity import material binding visual acceptance or residency proof
Docs/AssetAudit/BATCH31_LOCAL_PBR_IMPORT_INTENT_20260605.csv,batch31_import_intent,Sparse Batch31 local PBR import-intent row table with blocked packed-mask semantics,STATIC_SOURCE,21_rows_sparse,Before terrain shoreline or photic PBR source promotion,Unity import material binding visual acceptance or residency proof
Docs/AssetAudit/BATCH31_LOCAL_PBR_IMPORT_INTENT_20260605.json,batch31_import_intent,Machine-readable Batch31 local PBR import-intent package,STATIC_SOURCE,json_package,Before terrain shoreline or photic PBR source promotion,Unity import material binding visual acceptance or residency proof
Docs/AssetAudit/BATCH31_LOCAL_PBR_IMPORT_INTENT_STATIC_VALIDATION_20260605.md,batch31_import_intent,Static validation and unit-test result for Batch31 local PBR import intent,STATIC_DOC,90_lines,Before terrain shoreline or photic PBR source promotion,Unity import material binding visual acceptance or residency proof
Docs/AssetAudit/SURFACE_HORIZON_HAZE_1428_STATIC_REVIEW_20260605.md,surface_horizon_haze_review,Static rejection review for untracked horizon haze proof attempt,STATIC_IMAGE_QA,99_lines,Before treating horizon haze or raw MCP surface screenshots as visual proof,Visual acceptance Unity import material binding or Frame Debugger proof
