priority,prefab_path,product_face_family,blocker_type,static_evidence,required_mesh_source,lod_collider_requirement,likely_owner_packet,forbidden_shortcut,proof_required,status
"P0","Assets/_Project/Prefabs/Tools/Held/Tool_SalvageSampler_Held.prefab","Tools/Held","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=1; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE.","Authored/offline-generated salvage sampler mesh with clamp jaws, sample tube, cutter notch, pressure gauge, grip, and grime/wear masks.","LOD0/LOD1/LOD2 plus cull; COL_* clamp/grip proxy; preserve sample contact anchor.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Tools held owner","Generic tube/claw primitive; hidden by scan overlay; material-only patch; raw YAML edit.","Prefab readback; contact anchor check; material/LOD/collider proof; held sampler screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Tools/Held/Tool_Scanner_Held.prefab","Tools/Held","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","Authored/offline-generated scanner mesh with sensor head, screen, emitter grille, casing bevels, grip, labels, and condensation/wear detail.","LOD0/LOD1/LOD2 plus cull; COL_* grip/body proxy; preserve scan origin and UI anchor.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Tools held owner","Box scanner with screen texture; UI overlay hiding weak mesh; runtime material clone; raw YAML edit.","Prefab readback; scan origin/UI anchor check; material roles; LOD/collider overlay; held scanner screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Tools/Held/Tool_StunPistol_Held.prefab","Tools/Held","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=1; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE.","Authored/offline-generated stun pistol mesh with emitter prongs, capacitor pack, trigger guard, grip, safety marks, and pressure-sealed seams.","LOD0/LOD1/LOD2 plus cull; COL_* grip/emitter proxy; preserve muzzle/effect origin and hand pose.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Tools held owner","Cylinder/cube pistol; glow effect as silhouette substitute; material-only patch; raw YAML edit.","Prefab readback; effect origin check; material/LOD/collider proof; held close screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Items/Tools/Item_Tool_BeaconDeployer_World.prefab","Items/Tools","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","World item beacon deployer mesh derived from held silhouette; readable pickup state, folded latch, beacon cartridge, and route-scale silhouette.","LOD0/LOD1/LOD2 plus cull; COL_* pickup/contact proxy; preserve pickup trigger and item identity.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + World tool item owner","Same primitive as held version with scale change; generic pickup cube; raw YAML edit; material-only patch.","Prefab readback; pickup trigger/collider proof; material/LOD proof; world item screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Builder_World.prefab","Items/Tools","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","World item builder mesh derived from held silhouette; folded tool body, visible projector face, handle, fasteners, and pickup readability.","LOD0/LOD1/LOD2 plus cull; COL_* pickup/contact proxy; preserve item trigger and script refs.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + World tool item owner","Primitive pickup with icon texture; one generic tool body; raw YAML edit; material-only patch.","Prefab readback; pickup/collider proof; material/LOD proof; world item screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Items/Tools/Item_Tool_EnvAnalyzer_World.prefab","Items/Tools","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","World item environmental analyzer mesh with sensor face and sealed casing visible from pickup distance; derived from held analyzer silhouette.","LOD0/LOD1/LOD2 plus cull; COL_* pickup/contact proxy; preserve pickup trigger and scan identity.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + World tool item owner","Generic scanner box; glow/card as replacement; raw YAML edit; material-only patch.","Prefab readback; pickup/collider proof; material/LOD proof; world item screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Flashlight_World.prefab","Items/Tools","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","World item flashlight mesh with lens housing, battery cap, switch ridge, and pickup-scale silhouette; derived from held flashlight.","LOD0/LOD1/LOD2 plus cull; COL_* pickup/contact proxy; preserve pickup trigger and light identity.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + World tool item owner","Cylinder pickup with emissive texture; bloom as geometry substitute; raw YAML edit; material-only patch.","Prefab readback; pickup/collider proof; material/LOD proof; world flashlight screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Items/Tools/Item_Tool_HarpoonLauncher_World.prefab","Items/Tools","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","World item harpoon launcher mesh with barrel, spool, trigger guard, and readable industrial mass; derived from held launcher.","LOD0/LOD1/LOD2 plus cull; COL_* pickup/contact proxy; preserve pickup trigger and weapon identity.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + World tool item owner","Tube primitive pickup; generic weapon body; raw YAML edit; material-only patch.","Prefab readback; pickup/collider proof; material/LOD proof; world item screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Knife_World.prefab","Items/Tools","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","World item dive knife mesh with blade bevel, grip wrap, latch, chipped edge, and pickup-readable silhouette.","LOD0/LOD1/LOD2 or documented tiny-tool exemption after readback; COL_* pickup/contact proxy; preserve pickup trigger.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + World tool item owner","Flat plane knife; icon card; raw YAML edit; material-only patch.","Prefab readback; flat-material silhouette proof; collider/pickup proof; world item screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Items/Tools/Item_Tool_LaserCutter_World.prefab","Items/Tools","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","World item laser cutter mesh with nozzle, heat shield, vents, hose socket, and pickup-scale silhouette; derived from held cutter.","LOD0/LOD1/LOD2 plus cull; COL_* pickup/contact proxy; preserve pickup trigger and tool identity.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + World tool item owner","Tube/cube cutter pickup; VFX or icon as substitute; raw YAML edit; material-only patch.","Prefab readback; pickup/collider proof; material/LOD proof; world cutter screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Propulsion_World.prefab","Items/Tools","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","World item propulsion mesh with intake guard, thruster nozzle, handle cage, and pickup-readable industrial silhouette.","LOD0/LOD1/LOD2 plus cull; COL_* pickup/contact proxy; preserve pickup trigger and propulsion identity.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + World tool item owner","Cylinder fan primitive; particle wake cover; raw YAML edit; material-only patch.","Prefab readback; pickup/collider proof; material/LOD proof; world propulsion screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Repair_World.prefab","Items/Tools","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","World item repair tool mesh with welding tip, ceramic shield, hose socket, and pickup-readable repair silhouette.","LOD0/LOD1/LOD2 plus cull; COL_* pickup/contact proxy; preserve pickup trigger and repair identity.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + World tool item owner","Primitive wand pickup; sparks as silhouette substitute; raw YAML edit; material-only patch.","Prefab readback; pickup/collider proof; material/LOD proof; world repair screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Items/Tools/Item_Tool_SalvageSampler_World.prefab","Items/Tools","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","World item salvage sampler mesh with clamp jaws, sample tube, cutter notch, and pickup-readable sampler silhouette.","LOD0/LOD1/LOD2 plus cull; COL_* pickup/contact proxy; preserve pickup trigger and sample identity.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + World tool item owner","Generic claw/tube primitive; icon card; raw YAML edit; material-only patch.","Prefab readback; pickup/collider proof; material/LOD proof; world sampler screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Scanner_World.prefab","Items/Tools","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","World item scanner mesh with sensor head, screen, emitter grille, casing bevels, and pickup-readable scanner silhouette.","LOD0/LOD1/LOD2 plus cull; COL_* pickup/contact proxy; preserve pickup trigger and scanner identity.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + World tool item owner","Box scanner pickup; UI/icon substituting for mesh; raw YAML edit; material-only patch.","Prefab readback; pickup/collider proof; material/LOD proof; world scanner screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Items/Tools/Item_Tool_StunPistol_World.prefab","Items/Tools","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","World item stun pistol mesh with emitter prongs, capacitor pack, trigger guard, and pickup-readable pressure-sealed silhouette.","LOD0/LOD1/LOD2 plus cull; COL_* pickup/contact proxy; preserve pickup trigger and stun identity.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + World tool item owner","Primitive pistol pickup; glow as silhouette substitute; raw YAML edit; material-only patch.","Prefab readback; pickup/collider proof; material/LOD proof; world pistol screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_CopperOre.prefab","Resources/Pickups","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","Authored/offline-generated copper ore shard mesh with mineral fracture, metallic vein color, wet cavity AO, and non-generic silhouette.","LOD0/LOD1/LOD2 or cluster/impostor exemption for tiny pickup after readback; COL_* pickup trigger/proxy; no visual MeshCollider.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Resource pickup owner","One rock mesh recolored per resource; cube/sphere ore; sparkle/icon as identity; raw YAML edit.","Prefab readback; material-specific silhouette proof; pickup trigger/collider proof; route pickup screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
