"path","class","role_candidate","disposition","width","height","size_mb","srgb","mipmaps","streaming_mips","risk_notes"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/detail___family.coral.brittle.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","2.6","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/mask___family.coral.brittle.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","2.365","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/normal___family.coral.brittle.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","2.33","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/albedo___family.coral.low.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","8.61","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/detail___family.coral.low.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","10.208","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/mask___family.coral.low.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","7.939","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/normal___family.coral.low.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","6.087","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive.2/albedo___family.coral.massive.2.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","1.998","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive.2/detail___family.coral.massive.2.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","2.274","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive.2/mask___family.coral.massive.2.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","1.994","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive.2/normal___family.coral.massive.2.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","1.286","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/albedo___family.coral.massive.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","2.301","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/detail___family.coral.massive.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","2.414","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/mask___family.coral.massive.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","1.778","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/normal___family.coral.massive.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","1.185","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/albedo___family.coral.plate.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","2.306","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/detail___family.coral.plate.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","9.862","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/mask___family.coral.plate.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","6.235","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/normal___family.coral.plate.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","2.129","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/albedo___family.kelp.abyssal.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","6.385","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/detail___family.kelp.abyssal.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","7.903","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/mask___family.kelp.abyssal.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","5.845","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/normal___family.kelp.abyssal.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","5.955","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/albedo___family.kelp.canopy.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","5.805","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/detail___family.kelp.canopy.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","9.22","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/mask___family.kelp.canopy.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","4.32","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/normal___family.kelp.canopy.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","5.271","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/albedo___family.kelp.patch.dense.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","6.349","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/detail___family.kelp.patch.dense.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","7.43","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/mask___family.kelp.patch.dense.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","6.022","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/normal___family.kelp.patch.dense.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","6.521","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/albedo___family.kelp.tall.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","6.022","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/detail___family.kelp.tall.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","6.185","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/mask___family.kelp.tall.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","4.745","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/normal___family.kelp.tall.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","5.072","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/TX_ProceduralBio_Shallows_AlbedoAtlas.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","1.665","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/TX_ProceduralBio_Shallows_MatCap.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","0.147","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/TX_ProceduralBio_Shallows_NormalAtlas.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","1.681","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/TX_ProceduralBio_Shallows_ORMAtlas.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","2.133","1","1","0","streaming_mips_disabled;mask_srgb_enabled_or_type_unverified"
"Docs/GeneratedAssets/Batch31_LocalPBR/Batch31_LocalPBR_contact_sheet.png","generated_prototype","unassigned_source","SOURCE_ONLY_NOT_IMPORTED","1024","768","1.395","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102/TX_B31_PhoticSeabedSubstrate_2102_Albedo_tile2x2.png","generated_prototype","unassigned_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","1.109","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102/TX_B31_PhoticSeabedSubstrate_2102_AlbedoSource.png","generated_prototype","unassigned_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","2.221","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102/TX_B31_PhoticSeabedSubstrate_2102_HeightSource.png","generated_prototype","unassigned_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","0.867","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102/TX_B31_PhoticSeabedSubstrate_2102_MRAOSource.png","generated_prototype","packed_mask_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","1.283","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102/TX_B31_PhoticSeabedSubstrate_2102_Normal_tile2x2.png","generated_prototype","packed_mask_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","1.296","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102/TX_B31_PhoticSeabedSubstrate_2102_NormalSource.png","generated_prototype","packed_mask_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","2.723","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102/TX_B31_PhoticSeabedSubstrate_2102_SourceCrop.png","generated_prototype","unassigned_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","2.183","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Gemini/Audit/Batch21/GeminiTextureIntake_contact_sheet.png","generated_prototype","unassigned_source","SOURCE_ONLY_NOT_IMPORTED","536","268","0.143","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Gemini/Audit/Batch21/tile_previews/TX_B21_PhoticSeabedSubstrate_AlbedoHeightSource_20260604_Gemini_155742_tile2x2.png","generated_prototype","unassigned_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","1.117","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Gemini/Outputs/Batch21/TX_B21_PhoticSeabedSubstrate_AlbedoHeightSource_20260604_Gemini_155742.png","generated_prototype","unassigned_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","2.739","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Gemini/QA/Gemini_Downloaded_PNG_preview.png","generated_prototype","unassigned_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","2.649","","","","missing_meta;not_final_art"
"Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/Aegir_storms.png","sky_aegir_cloud","aegir_storm_mask_source","SOURCE_CANDIDATE_BLOCKED_BY_READBACK","4096","2048","0.34","1","1","0","streaming_mips_disabled"
"Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds0_diff.png","sky_aegir_cloud","aegir_cloud_band_source","SOURCE_CANDIDATE_BLOCKED_BY_READBACK","4096","2048","10.482","1","1","0","streaming_mips_disabled"
"Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/clouds0_diff.png","sky_aegir_cloud","aegir_cloud_band_source","SOURCE_CANDIDATE_BLOCKED_BY_READBACK","4096","2048","7.011","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/Aegir_storms.png","sky_aegir_cloud","aegir_storm_mask_source","SOURCE_CANDIDATE_BLOCKED_BY_READBACK","4096","2048","0.34","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/clouds0_diff.png","sky_aegir_cloud","aegir_cloud_band_source","SOURCE_CANDIDATE_BLOCKED_BY_READBACK","4096","2048","10.482","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/Sky/oblaka!.png","sky_aegir_cloud","sky_main_cloud_candidate","SOURCE_CANDIDATE_BLOCKED_BY_READBACK","2048","2048","5.078","1","1","1","runtime_visual_proof_pending"
"Assets/_Project/Art/TEXTURES/TX_H8AegirGasGiantBakedDisc_1428.png","sky_aegir_cloud","aegir_baked_disc_prototype","SOURCE_PROTOTYPE_NOT_FINAL","2048","2048","1.772","1","1","0","streaming_mips_disabled;not_final_art"
"Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds.png","sky_aegir_cloud","unassigned_source","UNASSIGNED_STATIC_SOURCE","4096","2048","2.873","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/Skyboxes/panorama_den.png","sky_aegir_cloud","unassigned_source","UNASSIGNED_STATIC_SOURCE","1456","720","1.417","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/Skyboxes/panorama_noch.png","sky_aegir_cloud","unassigned_source","UNASSIGNED_STATIC_SOURCE","1472","720","1.732","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/Skyboxes/panorama_shtorm.png","sky_aegir_cloud","packed_mask_source","UNASSIGNED_STATIC_SOURCE","1472","720","1.559","1","1","0","streaming_mips_disabled;mask_srgb_enabled_or_type_unverified"
"Assets/_Project/Art/TEXTURES/clouds.png","sky_aegir_cloud","unassigned_source","UNASSIGNED_STATIC_SOURCE","4096","2048","2.873","1","1","1","runtime_visual_proof_pending"
"Assets/_Project/Art/TEXTURES/Sky/bo2.png","sky_aegir_cloud","unassigned_source","UNASSIGNED_STATIC_SOURCE","2048","2048","4.822","1","1","1","runtime_visual_proof_pending"
"Assets/_Project/Art/TEXTURES/Sky/bo3.png","sky_aegir_cloud","unassigned_source","UNASSIGNED_STATIC_SOURCE","2048","2048","6.112","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/Sky/clod1.png","sky_aegir_cloud","unassigned_source","UNASSIGNED_STATIC_SOURCE","2048","2048","6.086","1","1","1","runtime_visual_proof_pending"
"Assets/_Project/Art/TEXTURES/Sky/clod2.png","sky_aegir_cloud","unassigned_source","UNASSIGNED_STATIC_SOURCE","2048","2048","5.272","1","1","1","runtime_visual_proof_pending"
"Assets/_Project/Art/TEXTURES/Sky/eb2.png","sky_aegir_cloud","unassigned_source","UNASSIGNED_STATIC_SOURCE","2048","2048","8.789","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/Sky/oblakajip.png","sky_aegir_cloud","unassigned_source","UNASSIGNED_STATIC_SOURCE","2048","2048","5.562","1","1","1","runtime_visual_proof_pending"
"Assets/_Project/Art/Models/Sandbox/Coral_Albedo.png","terrain_geology","sand_shell_source","SOURCE_CANDIDATE_NEEDS_CLEAN_PBR","2048","2048","7.154","1","1","1","runtime_visual_proof_pending"
"Assets/_Project/Art/Models/Sandbox/Coral_Normal.png","terrain_geology","sand_shell_source","SOURCE_CANDIDATE_NEEDS_CLEAN_PBR","2048","2048","2.677","0","1","1","runtime_visual_proof_pending"
"Assets/_Project/Art/TEXTURES/Terrain Textures/basalt/Rock031_1K-JPG_Color.jpg","terrain_geology","wet_basalt_source","SOURCE_CANDIDATE_NEEDS_CLEAN_PBR","1024","1024","1.172","1","1","1","runtime_visual_proof_pending"
"Assets/_Project/Art/TEXTURES/Terrain Textures/basalt/Rock031_1K-JPG_NormalGL.jpg","terrain_geology","wet_basalt_source","SOURCE_CANDIDATE_NEEDS_CLEAN_PBR","1024","1024","2.438","0","1","1","runtime_visual_proof_pending"
"Assets/_Project/Art/TEXTURES/Terrain Textures/basalt/TX_H8_WetBasaltShoreline_Albedo_1428.png","terrain_geology","wet_basalt_source","SOURCE_CANDIDATE_NEEDS_CLEAN_PBR","1024","1024","2.931","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/Terrain Textures/sand +green/Ground074_1K-JPG_AmbientOcclusion.jpg","terrain_geology","sand_shell_source","SOURCE_CANDIDATE_NEEDS_CLEAN_PBR","1024","1024","0.819","0","1","1","runtime_visual_proof_pending"
"Assets/_Project/Art/TEXTURES/Terrain Textures/sand +green/Ground074_1K-JPG_Color.jpg","terrain_geology","sand_shell_source","SOURCE_CANDIDATE_NEEDS_CLEAN_PBR","1024","1024","1.729","1","1","1","runtime_visual_proof_pending"
"Assets/_Project/Art/TEXTURES/Terrain Textures/sand +green/Ground074_1K-JPG_NormalGL.jpg","terrain_geology","sand_shell_source","SOURCE_CANDIDATE_NEEDS_CLEAN_PBR","1024","1024","2.051","0","1","1","runtime_visual_proof_pending"
"Assets/_Project/Art/TEXTURES/Terrain Textures/sand/Ground079S_1K-PNG_Color.png","terrain_geology","sand_shell_source","SOURCE_CANDIDATE_NEEDS_CLEAN_PBR","1024","1024","2.114","1","1","1","runtime_visual_proof_pending"
"Assets/_Project/Art/TEXTURES/Terrain Textures/sand/NORMAL.png","terrain_geology","sand_shell_source","SOURCE_CANDIDATE_NEEDS_CLEAN_PBR","2048","1829","3.149","0","1","1","runtime_visual_proof_pending"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticShellSandSubstrate_2102/TX_B31_PhoticShellSandSubstrate_2102_Albedo_tile2x2.png","terrain_geology","sand_shell_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","1.114","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticShellSandSubstrate_2102/TX_B31_PhoticShellSandSubstrate_2102_AlbedoSource.png","terrain_geology","sand_shell_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","2.208","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticShellSandSubstrate_2102/TX_B31_PhoticShellSandSubstrate_2102_HeightSource.png","terrain_geology","sand_shell_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","0.855","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticShellSandSubstrate_2102/TX_B31_PhoticShellSandSubstrate_2102_MRAOSource.png","terrain_geology","sand_shell_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","1.263","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticShellSandSubstrate_2102/TX_B31_PhoticShellSandSubstrate_2102_Normal_tile2x2.png","terrain_geology","sand_shell_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","1.286","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticShellSandSubstrate_2102/TX_B31_PhoticShellSandSubstrate_2102_NormalSource.png","terrain_geology","sand_shell_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","2.681","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticShellSandSubstrate_2102/TX_B31_PhoticShellSandSubstrate_2102_SourceCrop.png","terrain_geology","sand_shell_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","2.161","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429/TX_B31_WetBasaltShoreline_1429_Albedo_tile2x2.png","terrain_geology","wet_basalt_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","1.283","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429/TX_B31_WetBasaltShoreline_1429_AlbedoSource.png","terrain_geology","wet_basalt_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","2.303","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429/TX_B31_WetBasaltShoreline_1429_HeightSource.png","terrain_geology","wet_basalt_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","0.847","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429/TX_B31_WetBasaltShoreline_1429_MRAOSource.png","terrain_geology","wet_basalt_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","1.293","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429/TX_B31_WetBasaltShoreline_1429_Normal_tile2x2.png","terrain_geology","wet_basalt_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","1.458","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429/TX_B31_WetBasaltShoreline_1429_NormalSource.png","terrain_geology","wet_basalt_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","2.834","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429/TX_B31_WetBasaltShoreline_1429_SourceCrop.png","terrain_geology","wet_basalt_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","2.333","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429_FullSourcePrototype/TX_B31_WetBasaltShoreline_1429_FullSourcePrototype_Albedo_tile2x2.png","terrain_geology","wet_basalt_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","1.288","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429_FullSourcePrototype/TX_B31_WetBasaltShoreline_1429_FullSourcePrototype_AlbedoSource.png","terrain_geology","wet_basalt_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","2.386","","","","missing_meta;not_final_art"
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429_FullSourcePrototype/TX_B31_WetBasaltShoreline_1429_FullSourcePrototype_HeightSource.png","terrain_geology","wet_basalt_source","SOURCE_ONLY_NOT_IMPORTED","1024","1024","0.868","","","","missing_meta;not_final_art"
