Priority,SourceAsset,SourceLine,CuePath,CueId,CueClass,DurationSec,LoadType,Compression,Quality,DirectRefContext,RemediationCategory,CurrentRoute,RequiredOwner,RequiredAction,ProofRequired,EvidenceClass,Disposition
P1,Assets/_Project/Prefabs/Player.prefab,834,Assets/_Project/Audio/Footsteps/Sand/sand step  (1).wav,SAND_STEP_1,DirectPrefabAudioRef,0.44,DecompressOnLoad,ADPCM,0.68,"- {fileID: 8300000, guid: fc514ddc85e8ef6489bdf78e70417fbf, type: 3}",short_sfx,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.44,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,835,Assets/_Project/Audio/Footsteps/Sand/sand step  (2).wav,SAND_STEP_2,DirectPrefabAudioRef,0.517,DecompressOnLoad,ADPCM,0.68,"- {fileID: 8300000, guid: b78173725753a7c41beef13935bdb00c, type: 3}",short_sfx,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.517,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,836,Assets/_Project/Audio/Footsteps/Sand/sand step  (3).wav,SAND_STEP_3,DirectPrefabAudioRef,0.726,DecompressOnLoad,ADPCM,0.68,"- {fileID: 8300000, guid: 0a5a5a393c33ed849800be2904ae20b0, type: 3}",short_sfx,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.726,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,837,Assets/_Project/Audio/Footsteps/Sand/sand step  (4).wav,SAND_STEP_4,DirectPrefabAudioRef,0.569,DecompressOnLoad,ADPCM,0.68,"- {fileID: 8300000, guid: 9a583b7a6b1359c40913ecb529a2efa3, type: 3}",short_sfx,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.569,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,843,Assets/_Project/Audio/Footsteps/Rock/rock step (1).wav,ROCK_STEP_1,DirectPrefabAudioRef,0.525,DecompressOnLoad,ADPCM,1,"- {fileID: 8300000, guid: 48ef994c704d32944bb778971ac37ff2, type: 3}",short_sfx,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.525,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,844,Assets/_Project/Audio/Footsteps/Rock/rock step (2).wav,ROCK_STEP_2,DirectPrefabAudioRef,0.476,DecompressOnLoad,ADPCM,1,"- {fileID: 8300000, guid: 33cd15fae82795f4fa51e9ea4ef89f93, type: 3}",short_sfx,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.476,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,845,Assets/_Project/Audio/Footsteps/Rock/rock step (3).wav,ROCK_STEP_3,DirectPrefabAudioRef,0.42,DecompressOnLoad,ADPCM,1,"- {fileID: 8300000, guid: b8cce0d6fe5092444ac63dd4f87e593b, type: 3}",short_sfx,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.42,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,846,Assets/_Project/Audio/Footsteps/Rock/rock step (4).wav,ROCK_STEP_4,DirectPrefabAudioRef,0.49,DecompressOnLoad,ADPCM,1,"- {fileID: 8300000, guid: 26031565b83a3a74982cf01eb298c29b, type: 3}",short_sfx,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.49,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,852,Assets/_Project/Audio/Footsteps/Wet/wet step (1).wav,WET_STEP_1,DirectPrefabAudioRef,0.832,DecompressOnLoad,ADPCM,0.65,"- {fileID: 8300000, guid: 1c5c9f764bb4e6246b9d970128f34122, type: 3}",short_sfx,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.832,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,853,Assets/_Project/Audio/Footsteps/Wet/wet step (2).wav,WET_STEP_2,DirectPrefabAudioRef,0.962,CompressedInMemory,ADPCM,0.65,"- {fileID: 8300000, guid: f105edf1739644343a1fda6aa3e6be51, type: 3}",short_sfx,Prefab direct ref; load=CompressedInMemory; compression=ADPCM; duration=0.962,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,854,Assets/_Project/Audio/Footsteps/Wet/wet step (3).wav,WET_STEP_3,DirectPrefabAudioRef,0.771,DecompressOnLoad,ADPCM,0.65,"- {fileID: 8300000, guid: 4ec994f577df19141a54d24ac69c18c0, type: 3}",short_sfx,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.771,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,855,Assets/_Project/Audio/Footsteps/Wet/wet step (4).wav,WET_STEP_4,DirectPrefabAudioRef,0.984,DecompressOnLoad,ADPCM,0.65,"- {fileID: 8300000, guid: 9794c77463ff3a843a844a6040768170, type: 3}",short_sfx,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.984,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_FOOTSTEP_DIRECT_REF_OWNER_BLOCKED
P0,Assets/_Project/Prefabs/Player.prefab,1066,Assets/_Project/Audio/Movement/dive_splash.wav,DIVE_SPLASH,DirectPrefabAudioRef,1.729,CompressedInMemory,ADPCM,0.7,"waterEntrySplashClip: {fileID: 8300000, guid: 15bc31b4390305143a4b7f6a365a5a88, type: 3}",player_or_world_loop,Prefab direct ref; load=CompressedInMemory; compression=ADPCM; duration=1.729,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P0_SPLASH_DIRECT_REF_CLASSIFICATION_BLOCKED
P0,Assets/_Project/Prefabs/Player.prefab,1067,Assets/_Project/Audio/Movement/dive_splash.wav,DIVE_SPLASH,DirectPrefabAudioRef,1.729,CompressedInMemory,ADPCM,0.7,"waterExitSplashClip: {fileID: 8300000, guid: 15bc31b4390305143a4b7f6a365a5a88, type: 3}",player_or_world_loop,Prefab direct ref; load=CompressedInMemory; compression=ADPCM; duration=1.729,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P0_SPLASH_DIRECT_REF_CLASSIFICATION_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,1612,Assets/_Project/Audio/UI/blow ui sound (notif or option).mp3,BLOW_UI_SOUND_NOTIF_OR_OPTION,DirectPrefabAudioRef,1.44,CompressedInMemory,ADPCM,1,"openSound: {fileID: 8300000, guid: e4cd905e355be6c4eadf8ff9a6b8aff6, type: 3}",ui_feedback,Prefab direct ref; load=CompressedInMemory; compression=ADPCM; duration=1.44,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_UI_DIRECT_REF_AUDIBILITY_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,1613,Assets/_Project/Audio/UI/electro (nope) sound.flac,ELECTRO_NOPE_SOUND,DirectPrefabAudioRef,1.673,DecompressOnLoad,ADPCM,1,"closeSound: {fileID: 8300000, guid: 1c435bf08460e9a4eb733ac067520435, type: 3}",ui_feedback,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=1.673,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_UI_DIRECT_REF_AUDIBILITY_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,1614,Assets/_Project/Audio/UI/click sound.wav,CLICK_SOUND,DirectPrefabAudioRef,0.172,DecompressOnLoad,ADPCM,1,"tabSwitchSound: {fileID: 8300000, guid: c1c5616d9797e3440b9ef52131f1c3e0, type: 3}",ui_feedback,Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.172,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_UI_DIRECT_REF_AUDIBILITY_BLOCKED
P1,Assets/_Project/Prefabs/Player.prefab,1615,Assets/_Project/Audio/UI/blow ui sound (notif or option).mp3,BLOW_UI_SOUND_NOTIF_OR_OPTION,DirectPrefabAudioRef,1.44,CompressedInMemory,ADPCM,1,"lowBatterySound: {fileID: 8300000, guid: e4cd905e355be6c4eadf8ff9a6b8aff6, type: 3}",ui_feedback,Prefab direct ref; load=CompressedInMemory; compression=ADPCM; duration=1.44,Player/audio lifecycle owner,Classify owner/load/release/playback route; fill Addressables or documented exception,Prefab readback; owner ledger; runtime playback and 0 B/frame proof,STATIC_SOURCE,P1_UI_DIRECT_REF_AUDIBILITY_BLOCKED
