"priority","family","asset_path","blocker_type","static_evidence","likely_owner_packet","required_readback","forbidden_shortcut","proof_required","status"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/mask___family.coral.low.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=packed_mask_source; material_count=3; material_slots=Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_PhoticCoralLow_1428.mat[_MaskMap];Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralLow_1457.mat[_MaskMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_low.mat[_MaskMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_low.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/normal___family.coral.low.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=packed_mask_source; material_count=3; material_slots=Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_PhoticCoralLow_1428.mat[_NormalMap];Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralLow_1457.mat[_NormalMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_low.mat[_NormalMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_low.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/albedo___family.coral.massive.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=bio_material_source; material_count=3; material_slots=Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_PhoticCoralMassive_1428.mat[_BaseMap];Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralMassive_1457.mat[_BaseMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_massive.mat[_BaseMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_massive.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/detail___family.coral.massive.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=bio_material_source; material_count=3; material_slots=Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_PhoticCoralMassive_1428.mat[_DetailMap];Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralMassive_1457.mat[_DetailMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_massive.mat[_DetailMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_massive.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/mask___family.coral.massive.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=packed_mask_source; material_count=3; material_slots=Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_PhoticCoralMassive_1428.mat[_MaskMap];Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralMassive_1457.mat[_MaskMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_massive.mat[_MaskMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_massive.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/normal___family.coral.massive.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=packed_mask_source; material_count=3; material_slots=Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_PhoticCoralMassive_1428.mat[_NormalMap];Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralMassive_1457.mat[_NormalMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_massive.mat[_NormalMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_massive.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/albedo___family.coral.plate.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=bio_material_source; material_count=2; material_slots=Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralPlate_1457.mat[_BaseMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_plate.mat[_BaseMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_plate.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/detail___family.coral.plate.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=bio_material_source; material_count=2; material_slots=Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralPlate_1457.mat[_DetailMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_plate.mat[_DetailMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_plate.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/mask___family.coral.plate.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=packed_mask_source; material_count=2; material_slots=Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralPlate_1457.mat[_MaskMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_plate.mat[_MaskMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_plate.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/normal___family.coral.plate.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=packed_mask_source; material_count=2; material_slots=Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralPlate_1457.mat[_NormalMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_plate.mat[_NormalMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_plate.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/albedo___family.kelp.abyssal.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=bio_material_source; material_count=1; material_slots=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_kelp_abyssal.mat[_BaseMap]; active_scene=NONE_STATIC; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_kelp_abyssal.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
