domain,target_group,readback_field,required_value_or_classification,evidence_artifact,reject_if_missing,notes
player_hud,production_components,VisorHUDController,"Present and enabled or documented owner route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"HUD state owner required."
player_hud,production_components,HUDNotification,"Present and enabled or documented owner route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Notification route must be classified."
player_hud,production_components,ToolLoadoutProvisioner,"Present and enabled or documented owner route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Do not provision or mutate loadout."
player_hud,runtime_context,PlayerRuntimeContextService.binding_state,"Bound to active production player or classified missing/stale",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Read movement/camera/tool/inventory/survival flags if exposed."
player_hud,hud_canvases,active_hud_visor_pda_interaction_quickbar_notification_oxygen_canvases,"Enumerated with active state and render mode",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_surface_sky_aegir_ocean_hud_game.png,YES,"Gameplay HUD cannot be inferred from prefab source only."
player_hud,hud_canvases,canvas_render_mode,"WorldSpace for interactive gameplay HUD or explicit projection proof",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_product_face_primitive_targets_inspector.png,YES,"Reject interactive ScreenSpaceOverlay without projection proof."
player_hud,hud_canvases,HUD_Internal_forceScreenSpaceOverlay_and_compositor_state,"HUD_Internal absent/noninteractive/debug-only or forceScreenSpaceOverlay false for active gameplay HUD route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Latent prefab flag remains blocker until Unity readback proves absence or noninteractive/debug bridge."
player_hud,hud_canvases,GraphicRaycaster.enabled_count,"Count and per-canvas state recorded",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_player_hud_binding_scene_selected.png,YES,"Diegetic UI mandate requires world-space physical/holographic route."
player_hud,hud_canvases,InteractionUI_namespace_state,"Hecton8.UI.InteractionUI or Hecton8.Interaction.InteractionUI exists/enabled classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,NO,"Reject only if interaction owner remains missing."
sky_aegir,active_sky,RenderSettings.skybox,"Active material path recorded; must be 02_HECTON_WORLD route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_sky_aegir_slots_inspector.png,YES,"Orbit/prologue material state is not proof."
sky_aegir,active_sky,Mat_HectonSky._MainCloudTex,"Effective texture path or NULL/MISSING/STALE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_sky_aegir_slots_inspector.png,YES,"Do not assign candidate textures during readback."
sky_aegir,active_sky,Mat_HectonSky._HighCloudTex,"Effective texture path or NULL/MISSING/STALE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_sky_aegir_slots_inspector.png,YES,"Claimed fixes require Unity material/shader effective-property readback."
sky_aegir,active_sky,Mat_HectonSky._MainCloudAtlas,"Effective texture path or NULL/MISSING/STALE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_sky_aegir_slots_inspector.png,YES,"Static YAML is insufficient."
sky_aegir,active_sky,Mat_HectonSky._StarTex,"Effective texture path or NULL/MISSING/STALE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_sky_aegir_slots_inspector.png,NO,"Reject if visible sky route depends on missing star art."
sky_aegir,active_sky,Mat_HectonSky._StarTwinkleLUT,"Effective texture path or NULL/MISSING/STALE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_sky_aegir_slots_inspector.png,NO,"Optional if shader ignores it; classify effective/ignored/stale."
sky_aegir,active_sky,Mat_HectonSky._BakedStarCubemap,"Effective texture path or NULL/MISSING/STALE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_sky_aegir_slots_inspector.png,NO,"Must classify if property exposed."
sky_aegir,cloud_overlay,Mat_HectonSky_CloudOverlay._MainCloudTex,"Effective texture path or NULL/MISSING/STALE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_sky_aegir_slots_inspector.png,YES,"Reject if active cloud overlay lacks effective cloud texture."
sky_aegir,aegir_materials,Aegir_band_cloud_disc_slots,"All exposed band/cloud/disc slots classified effective/ignored/stale/null",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_sky_aegir_slots_inspector.png,YES,"Aegir must not be muddy, smeared, toy-like, or hidden by post/fog."
sky_aegir,moon_materials,moon_albedo_normal_mask_slots,"All exposed moon albedo/normal/mask slots classified",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,NO,"Reject if hero moon relies on generic terrain/rock/basalt maps without route proof."
sky_aegir,active_renderers,sky_aegir_cloud_moon_renderer_state,"Object path, active state, renderer enabled, mesh, material, shader",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_surface_sky_aegir_ocean_hud_game.png,YES,"Must prove active visible route, not candidate-only material."
sky_aegir,render_proof,sky_aegir_frame_debugger_or_stats,"Skybox and visible Aegir/cloud/moon passes if available",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/frame_debugger_stats.md,YES,"Frame Debugger/Stats proves render route only."
crest_ocean,crest_prefab,Ocean_Crest.prefab_route,"Prefab path and active scene instance classification recorded",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"No prefab apply/revert."
crest_ocean,ocean_renderer,active_OceanRenderer_object,"Object path, active state, component state, material route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_crest_ocean_slots_inspector.png,YES,"Crest material state cannot be claimed from static YAML only."
crest_ocean,ocean_material,effective_ocean_material_asset_path,"Assets/Crest/Crest/Materials/Ocean.mat or accepted active Crest canonical route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_crest_ocean_slots_inspector.png,YES,"Custom runtime wrapper/material clone is rejected."
crest_ocean,underwater_material,effective_underwater_material_asset_path,"Assets/Crest/Crest/Materials/Ocean-Underwater.mat or accepted active Crest canonical route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_crest_ocean_slots_inspector.png,YES,"No mutation."
crest_ocean,ocean_slots,normals_texture_slots,"Effective texture path or NULL/MISSING/STALE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_crest_ocean_slots_inspector.png,YES,"Do not bind candidates."
crest_ocean,ocean_slots,foam_texture_slots,"Effective texture path or NULL/MISSING/STALE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_crest_ocean_slots_inspector.png,YES,"Reject repeated final foam.png shoreline/contact art."
crest_ocean,ocean_slots,caustics_texture_slots,"Effective texture path or NULL/MISSING/STALE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_crest_ocean_slots_inspector.png,NO,"Reject if missing caustics is hidden by haze/fog."
crest_ocean,wave_data_slots,_WD_wave_data_slots,"Shader-effective/runtime-populated/stale serialized row classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_crest_ocean_slots_inspector.png,YES,"Do not patch _WD_* slots with artist textures."
crest_ocean,candidate_material,MAT_H8_SurfaceCrestOcean_1428_state,"ACTIVE or CANDIDATE_ONLY_NOT_ACTIVE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Candidate material cannot prove active ocean."
crest_ocean,micro_fauna,SargassumMicroFaunaBoids.boidMesh,"Mesh name/path and UNITY_BUILTIN_PRIMITIVE_MESH or authored/generated classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_product_face_primitive_targets_inspector.png,YES,"Reject built-in Plane if visible product-face micro-fauna route."
crest_ocean,crest_inputs,SargassumWaveDampingInput,"Non-visual data input classification or visible-route classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,NO,"Accepted only if non-visual data input."
crest_ocean,crest_inputs,SargassumFoamDampingInput,"Non-visual data input classification or visible-route classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,NO,"Accepted only if non-visual data input."
crest_ocean,crest_inputs,SargassumOilFilmInput,"Non-visual data input classification or visible-route classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,NO,"Accepted only if non-visual data input."
crest_ocean,visual_capture,bright_ocean_surface_and_waterline,"Screenshot present and readable; no flat green sheet/dark hide",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_surface_shoreline_waterline_game.png,YES,"Visual floor still pending reviewer judgment."
crest_ocean,visual_capture,underwater_0_5m_view,"Screenshot or ABORTED note if impossible safely",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_underwater_0_5m_route_game.png,YES,"Only capture if Play Mode readback is already active and safe."
crest_ocean,render_proof,ocean_foam_contact_frame_debugger_or_stats,"Ocean/foam/contact draws, material instance count, SetPass/batches",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/frame_debugger_stats.md,YES,"Render proof only, not gameplay acceptance."
terrain_material,active_terrain,active_terrain_receiver_path,"Object/asset path and active scene route recorded",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_terrain_material_slots_inspector.png,YES,"Must prove visible active route."
terrain_material,active_terrain,active_terrain_material_path,"Actual visible terrain material path; not stale candidate",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_terrain_material_slots_inspector.png,YES,"Reject if material route accepted without active receiver proof."
terrain_material,active_terrain,active_terrain_shader_name_path,"Shader path/name recorded and compiled state from Unity context if exposed",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_terrain_material_slots_inspector.png,YES,"Static shader path alone is not runtime proof."
terrain_material,terrain_slots,basalt_slot_state,"Effective texture path or NULL/MISSING/STALE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_terrain_material_slots_inspector.png,YES,"Reject dark/noisy/blurry terrain route."
terrain_material,terrain_slots,sand_slot_state,"Effective texture path or NULL/MISSING/STALE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_terrain_material_slots_inspector.png,NO,"Classify even if currently unused."
terrain_material,terrain_slots,wetness_slot_state,"Effective texture path or NULL/MISSING/STALE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_terrain_material_slots_inspector.png,YES,"Shoreline wetness/contact breakup required."
terrain_material,terrain_slots,normal_slot_state,"Effective texture path or NULL/MISSING/STALE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_terrain_material_slots_inspector.png,YES,"Reject flat material route."
terrain_material,terrain_slots,mask_slot_state,"Effective texture path or NULL/MISSING/STALE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_terrain_material_slots_inspector.png,YES,"Include missing GUID/null state."
terrain_material,stale_materials,Mat_Terrain_state,"ACTIVE/STALE/UNUSED/CANDIDATE_ONLY_NOT_ACTIVE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Do not guess GUID fixes."
terrain_material,stale_materials,terrain_mat_state,"ACTIVE/STALE/UNUSED/CANDIDATE_ONLY_NOT_ACTIVE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Reject if visible route uses stale terrain.mat."
terrain_material,stale_materials,Mat_TriplanarRock_state,"ACTIVE/STALE/UNUSED/CANDIDATE_ONLY_NOT_ACTIVE classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Reject if visible route uses unresolved stale material."
terrain_material,mapmagic,terrain_route_relation_to_MapMagic,"Inspector-visible relation or UNKNOWN_NO_MUTATION_READBACK",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,NO,"Do not touch MapMagic settings."
terrain_material,visual_capture,photic_terrain_route_game,"Screenshot present and readable; no flat/dark/noisy hide",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_photic_terrain_route_game.png,YES,"Surface/photic floor is Subnautica-level or rejected by visual review."
terrain_material,render_proof,terrain_frame_debugger_or_stats,"Terrain draw material, SetPass/batches if available",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/frame_debugger_stats.md,YES,"Stats proof does not prove asset quality alone."
product_face,player_prefab,Player.prefab_renderer_materials,"No NULL_MATERIAL/BLOCKOUT_MATERIAL/PACKAGE_DEFAULT_MATERIAL on visible product-face renderers",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_product_face_primitive_targets_inspector.png,YES,"Known static blocker: blockout and URP package default Lit.mat routes."
product_face,tools_held,Tools/Held_renderer_materials_and_meshes,"No PLACEHOLDER_MATERIAL/PACKAGE_DEFAULT_MATERIAL/UNITY_BUILTIN_PRIMITIVE_MESH on visible route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_product_face_primitive_targets_inspector.png,YES,"Include object path, component field, mesh, material."
product_face,tools_items,Items/Tools_renderer_materials_and_meshes,"No PLACEHOLDER_MATERIAL/PACKAGE_DEFAULT_MATERIAL/UNITY_BUILTIN_PRIMITIVE_MESH on visible route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_product_face_primitive_targets_inspector.png,YES,"Do not replace during pass."
product_face,resource_pickups,Resources/Pickups_renderer_materials_and_meshes,"No UNITY_BUILTIN_PRIMITIVE_MESH or placeholder material on visible product-face route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_product_face_primitive_targets_inspector.png,YES,"Known static blocker: built-in primitive mesh IDs."
product_face,transport_prefabs,Transport_renderer_materials_and_meshes,"No UNITY_BUILTIN_PRIMITIVE_MESH or placeholder/default material on visible product-face route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_product_face_primitive_targets_inspector.png,YES,"Known static blocker: built-in primitive mesh IDs."
product_face,sky_system,Sky_System_Sphere_mesh,"Authored/generated sky dome mesh or non-product-face exception; reject Unity built-in Sphere if visible",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_product_face_primitive_targets_inspector.png,YES,"Known static blocker: Sky_System/Sphere built-in primitive risk."
product_face,ocean_crest,SargassumMicroFaunaBoids_visual_classification,"Authored/generated/VAT/impostor proof or non-visual input exception",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_product_face_primitive_targets_inspector.png,YES,"Reject visible built-in Plane route."
product_face,active_scene_instances,02_HECTON_WORLD_product_face_renderers,"Every visible product-face renderer classified player/HUD/sky/Aegir/ocean/terrain/tool/resource/transport/proxy/blockout/default/primitive",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Do not omit hidden or disabled source-visible routes."
product_face,world_proxy,WorldProceduralProxy_routes,"PROXY_MATERIAL_VISIBLE or non-visible/source-only classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Visible proxy material rejects product-face route."
product_face,world_runtime_placeholders,ProceduralPlaceholders_routes,"PROCEDURAL_PLACEHOLDER_VISIBLE or non-visible/source-only classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Visible placeholder rejects product-face route."
product_face,lod_chain,LODGroup_presence_level_count,"Product-face objects >0.5m have at least 3 levels or explicit blocker classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"LOD missing/insufficient remains blocker."
product_face,collider_proxy,collider_type_role,"Visual/trigger/proxy/gameplay collision role classified",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Collider proxy missing remains blocker for replacements."
product_face,addressables,addressables_group_key,"Recorded only if visible in Inspector without creating settings",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,NO,"Do not auto-create Addressables settings."
proof_packet,metadata,session_id,"h8_1475_<YYYYMMDD_HHMMSS>",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/manifest.json,YES,"Machine-readable manifest must identify session."
proof_packet,metadata,unity_editor_version,"Recorded exact version",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/manifest.json,YES,"No version claim without Unity readback."
proof_packet,metadata,artifact_list,"Relative paths for every artifact in packet",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/manifest.json,YES,"No orphan proof artifacts."
proof_packet,metadata,screenshot_names_camera_source_labels,"All screenshots have names and camera/source labels",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/manifest.json,YES,"Required for visual comparison."
proof_packet,metadata,readback_report_path,"Path to no-mutation readback report",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/manifest.json,YES,"Report row schema must include required fields from packet."
proof_packet,metadata,acceptance_state,"PENDING_VERIFICATION only",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/manifest.json,YES,"No ACCEPTED/COMPLETE/READY wording."
proof_packet,checksum,manifest_sha256,"Actual SHA256 of manifest.json",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/manifest.sha256,YES,"Do not invent hashes."
dirty_state,global,dirty_scene_state,"No dirty scene after readback or ABORTED_BEFORE_MUTATION with object path",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/dirty_state_audit.md,YES,"If Unity marks dirty object, stop and report path. Do not save."
dirty_state,global,dirty_prefab_state,"No dirty prefab after readback or ABORTED_BEFORE_MUTATION with object path",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/dirty_state_audit.md,YES,"No apply/revert."
dirty_state,global,dirty_material_state,"No dirty material after readback or ABORTED_BEFORE_MUTATION with object path",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/dirty_state_audit.md,YES,"Do not assign slots."
dirty_state,global,dirty_project_settings_or_importer_state,"No dirty project/importer/Addressables state or ABORTED_BEFORE_MUTATION with object path",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/dirty_state_audit.md,YES,"Do not save settings."
screenshots,canonical,h8_1475_surface_sky_aegir_ocean_hud_game.png,"Present or ABORTED note; bright surface sky/Aegir/ocean/HUD context",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_surface_sky_aegir_ocean_hud_game.png,YES,"Reject if HUD omitted from first-person proof claim."
screenshots,canonical,h8_1475_surface_shoreline_waterline_game.png,"Present or ABORTED note; shoreline/waterline material contact",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_surface_shoreline_waterline_game.png,YES,"Reject flat water adjacent to dark terrain."
screenshots,canonical,h8_1475_photic_terrain_route_game.png,"Present or ABORTED note; photic terrain route readable",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_photic_terrain_route_game.png,YES,"Reject dark/noisy/flat terrain."
screenshots,canonical,h8_1475_underwater_0_5m_route_game.png,"Present or ABORTED note; underwater route volume and cues",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_underwater_0_5m_route_game.png,YES,"Reject full-screen haze/noise/green slab."
screenshots,canonical,h8_1475_player_hud_binding_scene_selected.png,"Present or ABORTED note; selected active player object and component stack",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_player_hud_binding_scene_selected.png,YES,"Must show active production binding context."
screenshots,canonical,h8_1475_sky_aegir_slots_inspector.png,"Present or ABORTED note; active sky/Aegir/cloud/moon slot state",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_sky_aegir_slots_inspector.png,YES,"Must expose effective/stale slot classification."
screenshots,canonical,h8_1475_crest_ocean_slots_inspector.png,"Present or ABORTED note; Crest/ocean slot state",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_crest_ocean_slots_inspector.png,YES,"Must expose material path and _WD_* classification."
screenshots,canonical,h8_1475_terrain_material_slots_inspector.png,"Present or ABORTED note; active terrain material slot state",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_terrain_material_slots_inspector.png,YES,"Must show active receiver/material."
screenshots,canonical,h8_1475_product_face_primitive_targets_inspector.png,"Present or ABORTED note; representative primitive/blockout/default routes",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_product_face_primitive_targets_inspector.png,YES,"Must include player/tool/resource/transport/sky/ocean representatives."
console_log,unity_log,UnityLog.txt,"Copied Unity log for session",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/UnityLog.txt,YES,"No stale log. Capture context required."
console_log,console_export,console_errors_after_scene_handoff,"No errors after scene load/Play Mode handoff or abort report with summary",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/console_export.txt,YES,"Abort if runtime exception or console error appears."
console_log,abort_report,abort_condition_report,"Required if any abort condition occurs",Docs/Reports/AssetSystem_20260605/ASSET_OWNER_26_ABORT_<YYYYMMDD_HHMMSS>.md,YES,"Must include process gate, Unity state, last safe step, exact reason, dirty path if any."
frame_debugger_stats,render_route,sky_aegir_passes,"Skybox and visible Aegir/cloud/moon passes recorded or unavailable reason",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/frame_debugger_stats.md,YES,"Required render route proof."
frame_debugger_stats,render_route,ocean_foam_contact_draws,"Ocean/foam/contact draws, material instances, SetPass/batches recorded",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/frame_debugger_stats.md,YES,"Required Crest/ocean render proof."
frame_debugger_stats,render_route,terrain_draw_materials,"Terrain draw material and SetPass/batches recorded",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/frame_debugger_stats.md,YES,"Required terrain render proof."
frame_debugger_stats,performance_stats,setpass_batches,"SetPass and batches captured; no readiness claim without profiler/memory/GC artifacts",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/frame_debugger_stats.md,YES,"Frame Debugger/Stats proves render route only."
runtime_claims,quality_state,visual_acceptance_state,"PENDING_VERIFICATION until complete proof packet and visual review",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/manifest.json,YES,"Existing MCP screenshots are diagnostic only."
runtime_claims,quality_state,gc_frame_time_memory_state,"PENDING_VERIFICATION unless GCMonitor/Profiler/Memory artifacts exist",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/manifest.json,YES,"Screenshots do not prove GC, memory, frame time, save/load, or platform readiness."
