OwnerId,PacketPresence,PacketFile,Domain,Title,Status,EvidenceClass,LineCount,UnityGateRequired,UsesP0TargetTables,PrimarySourceFiles,AcceptanceBlockedBy,Notes
11,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_11_WATER_FOAM_CONTACT_AUTHORING_PACKET.md,water_foam_contact_authoring,Asset Owner 11 - Water Foam / Contact Authoring Packet,PENDING_VERIFICATION,STATIC_DOC / STATIC_SOURCE / STATIC_IMAGE_QA only,96,CONDITIONAL,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
12,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md,flora_proxy_material_replacement,Asset Owner 12 - Flora Proxy Material Replacement Packet,PENDING UNITY READBACK,UNSTATED,80,YES,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
13,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_13_PRODUCT_FACE_PREFAB_PRIMITIVE_REPLACEMENT_PACKET.md,product_face_prefab_primitive_replacement,ASSET_OWNER_13 - Product-Face Prefab Primitive Replacement Packet,PENDING_VERIFICATION,STATIC_YAML_SCAN + STATIC_DOC only,97,YES,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
14,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_14_SKY_AEGIR_CLOUD_SLOT_PROOF_PACKET.md,sky_aegir_cloud_slot_proof,Asset Owner 14 - Sky / Aegir / Cloud Slot Proof Packet,PENDING_VERIFICATION,"STATIC_SOURCE, STATIC_DOC, STATIC_IMAGE_QA only",132,YES,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
15,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_15_ADDRESSABLES_ASSET_GROUP_EXECUTION_BLOCKERS_PACKET.md,addressables_asset_group_blockers,ASSET_OWNER_15 Addressables Asset Group Execution Blockers Packet,PENDING_VERIFICATION,STATIC_DOC / STATIC_SOURCE only,148,YES,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
16,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_16_TERRAIN_GEOLOGY_PBR_AUTHORING_PACKET.md,terrain_geology_pbr_authoring,Asset Owner 16 - Terrain / Geology PBR Authoring Packet,PENDING_VERIFICATION,STATIC_DOC,205,YES,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
17,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_17_UI_OXYGEN_SPRITE_ATLAS_PACKET.md,ui_oxygen_sprite_atlas,Asset Owner 17 - UI Oxygen Sprite Atlas Packet,PENDING_VERIFICATION,STATIC_DOC + STATIC_SOURCE + STATIC_IMAGE_QA only,144,CONDITIONAL,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
18,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_18_PRODUCT_FACE_VALIDATOR_EVIDENCE_PACKET.md,product_face_validator_evidence,ASSET_OWNER_18 - Product-Face Validator Evidence Packet,PENDING_VERIFICATION,STATIC_DOC + STATIC_SOURCE only,162,YES,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
19,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_19_AUDIO_IMPORT_AUTHORITY_ADOPTION_PACKET.md,audio_import_authority_adoption,Asset Owner 19 - Audio Import Authority Adoption Packet,PENDING_VERIFICATION,"STATIC_DOC, STATIC_SOURCE",146,CONDITIONAL,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
20,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_20_OCEAN_CREST_CONTACT_PROOF_PACKET.md,ocean_crest_contact_proof,Asset Owner 20 - Ocean / Crest Contact Proof Packet,PENDING_VERIFICATION,STATIC_DOC / STATIC_SOURCE only,120,YES,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
21,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_21_TEXTURE_STREAMING_MIP_STATIC_RISK_PACKET.md,texture_streaming_mip_risk,Asset Owner 21 - Texture Streaming/Mip Static Risk Packet,PENDING_VERIFICATION,"STATIC_DOC, STATIC_SOURCE, STATIC_META_SCAN, STATIC_IMAGE_PROBE only",175,CONDITIONAL,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
22,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_22_PREFAB_COLLIDER_LOD_ROW_RISK_PACKET.md,prefab_collider_lod_risk,ASSET_OWNER_22 - Prefab Collider / LOD Row Risk Packet,PENDING_VERIFICATION,STATIC_YAML_SCAN + STATIC_DOC only,181,YES,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
23,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_23_AUDIO_SOURCE_TECHNICAL_REMEDIATION_PACKET.md,audio_source_technical_remediation,Asset Owner 23 - Audio Source Technical Remediation Packet,PENDING_VERIFICATION,"STATIC_DOC, STATIC_SOURCE, AUDIO_PROBE",132,CONDITIONAL,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
24,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md,product_face_material_repair,Asset Owner 24 - Product-Face Material / Texture Repair Packet,PENDING_VERIFICATION,"STATIC_DOC, STATIC_SOURCE, STATIC_YAML_SCAN, STATIC_IMAGE_QA, UNITY_BATCHMODE_LOG",178,YES,YES,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
25,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md,prefab_primitive_mesh_replacement,ASSET_OWNER_25 - Prefab Primitive Mesh Replacement / LOD Collider Proof Packet,PENDING_VERIFICATION,STATIC_DOC + STATIC_YAML_SCAN + UNITY_BATCHMODE_LOG,249,YES,YES,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
26,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_26_UNITY_READBACK_NO_MUTATION_PACKET.md,unity_readback_no_mutation,Asset Owner 26 - Unity Readback No-Mutation Packet,PENDING_VERIFICATION,STATIC_DOC / STATIC_SOURCE / STATIC_IMAGE_QA routing only,513,YES,YES,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
27,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_27_UNDERWATER_VFX_SOURCE_PACKET.md,underwater_vfx_source,ASSET_OWNER_27_UNDERWATER_VFX_SOURCE_PACKET,SOURCE_PACKET_ONLY / PENDING GENERATION / PENDING UNITY PROOF,STATIC_DOC,314,CONDITIONAL,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
28,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_28_AUDIO_REMEDIATION_EXECUTION_PACKET.md,audio_remediation_execution,Asset Owner 28 - Audio Remediation Execution Packet,PENDING_VERIFICATION,"STATIC_DOC, STATIC_SOURCE, AUDIO_SOURCE_PROBE, AUDIO_WAVEFORM_QA",214,CONDITIONAL,YES,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
29,OUTPUT_ONLY_NO_PACKET_FILE,NO_TASKLOCAL_PACKET_FILE_TARGET_TABLE_OUTPUT_ONLY,material_p0_target_table_worker_output,Owner 29 target-table worker output only,NO_TASKLOCAL_PACKET_FILE,STATIC_DOC_OR_STATIC_SOURCE_OUTPUT,0,CONDITIONAL,YES,Docs/AssetAudit/PRODUCT_FACE_MATERIAL_P0_TARGET_TABLE_20260605.md/.csv,No packet file exists; use named target table output and current README/file-map routing,ID was used for target-table worker output; not a missing task packet requiring recreation
30,OUTPUT_ONLY_NO_PACKET_FILE,NO_TASKLOCAL_PACKET_FILE_TARGET_TABLE_OUTPUT_ONLY,prefab_p0_target_table_worker_output,Owner 30 target-table worker output only,NO_TASKLOCAL_PACKET_FILE,STATIC_DOC_OR_STATIC_SOURCE_OUTPUT,0,CONDITIONAL,YES,Docs/AssetAudit/PRODUCT_FACE_PREFAB_P0_TARGET_TABLE_20260605.md/.csv,No packet file exists; use named target table output and current README/file-map routing,ID was used for target-table worker output; not a missing task packet requiring recreation
31,OUTPUT_ONLY_NO_PACKET_FILE,NO_TASKLOCAL_PACKET_FILE_TARGET_TABLE_OUTPUT_ONLY,audio_p0_target_table_worker_output,Owner 31 target-table worker output only,NO_TASKLOCAL_PACKET_FILE,STATIC_DOC_OR_STATIC_SOURCE_OUTPUT,0,CONDITIONAL,YES,Docs/AssetAudit/AUDIO_P0_REMEDIATION_TARGET_TABLE_20260605.md/.csv,No packet file exists; use named target table output and current README/file-map routing,ID was used for target-table worker output; not a missing task packet requiring recreation
32,OUTPUT_ONLY_NO_PACKET_FILE,NO_TASKLOCAL_PACKET_FILE_TARGET_TABLE_OUTPUT_ONLY,h8_1475_readback_manifest_worker_output,Owner 32 target-table worker output only,NO_TASKLOCAL_PACKET_FILE,STATIC_DOC_OR_STATIC_SOURCE_OUTPUT,0,CONDITIONAL,YES,Docs/AssetAudit/H8_1475_READBACK_FIELD_MANIFEST_20260605.md/.csv,No packet file exists; use named target table output and current README/file-map routing,ID was used for target-table worker output; not a missing task packet requiring recreation
33,OUTPUT_ONLY_NO_PACKET_FILE,NO_TASKLOCAL_PACKET_FILE_TARGET_TABLE_OUTPUT_ONLY,visual_reference_capture_gap_worker_output,Owner 33 target-table worker output only,NO_TASKLOCAL_PACKET_FILE,STATIC_DOC_OR_STATIC_SOURCE_OUTPUT,0,CONDITIONAL,YES,Docs/AssetAudit/VISUAL_REFERENCE_CAPTURE_GAP_TABLE_20260605.md/.csv,No packet file exists; use named target table output and current README/file-map routing,ID was used for target-table worker output; not a missing task packet requiring recreation
34,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_34_ACTIVE_ROUTE_TRIAGE_PACKET.md,active_route_triage_packet,Asset Owner 34 - Active Route Triage Packet,STATIC/PENDING UNITY READBACK,STATIC_DOC + STATIC_SOURCE + STATIC_YAML_SCAN + STATIC_IMAGE_QA + UNITY_BATCHMODE_LOG,198,CONDITIONAL,YES,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
35,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_35_UNREFERENCED_SOURCE_CLEANUP_REVIEW_PACKET.md,unreferenced_source_cleanup_review_packet,ASSET_OWNER_35_UNREFERENCED_SOURCE_CLEANUP_REVIEW_PACKET,STATIC / PENDING VERIFICATION,"STATIC_DOC, STATIC_SOURCE",269,CONDITIONAL,YES,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
36,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_36_H8_1475_PROOF_EXECUTION_PACKET.md,h8_1475_proof_execution_packet,ASSET_OWNER_36 - H8_1475 Proof Execution Packet,DISTRIBUTABLE_TASK_PACKET / UNITY_NOT_RUN_BY_PACKET_WRITER,STATIC_DOC / STATIC_REPORT_SYNTHESIS,384,YES,YES,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
