path,pack,extension,bytes,file_role,is_image,width,height,mode,has_alpha,probe_status,policy_flags,evidence_boundary
Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/TX_H8_AegirCloud_CleanedSource_Detail_20260605.png,cleanup_pass,png,421853,SOURCE_ONLY_REFERENCE,True,1024,512,RGB,False,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/TX_H8_AegirCloud_CleanedSource_StormMaskRGBA_20260605.png,cleanup_pass,png,369574,SOURCE_ONLY_REFERENCE,True,1024,512,RGBA,True,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/TX_H8_FoamContact_CleanedSource_Albedo_20260605.png,cleanup_pass,png,1530630,SOURCE_ONLY_REFERENCE,True,1024,1024,RGBA,True,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/TX_H8_FoamContact_CleanedSource_DetailNormal_20260605.png,cleanup_pass,png,1703393,SOURCE_ONLY_REFERENCE,True,1024,1024,RGB,False,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/TX_H8_FoamContact_CleanedSource_MaskRGBA_20260605.png,cleanup_pass,png,1279609,SOURCE_ONLY_REFERENCE,True,1024,1024,RGBA,True,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/TX_H8_FoamContact_CleanedSource_MRAO_20260605.png,cleanup_pass,png,1393681,SOURCE_ONLY_REFERENCE,True,1024,1024,RGBA,True,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/FoamContactPrototype_20260605/FoamContact_ChannelContactSheet_SOURCE_ONLY_20260605.png,foam_contact_prototype,png,911660,CONTACT_SHEET_SOURCE_ONLY,True,1024,918,RGB,False,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/FoamContactPrototype_20260605/FoamContact_SourceReferenceSheet_SOURCE_ONLY_20260605.png,foam_contact_prototype,png,836003,SOURCE_ONLY_REFERENCE,True,1024,628,RGB,False,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/FoamContactPrototype_20260605/FoamContactPrototype_MANIFEST_20260605.md,foam_contact_prototype,md,1955,MANIFEST_OR_REVIEW_DOC,False,0,0,NOT_IMAGE,False,NOT_IMAGE,NONE,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/FoamContactPrototype_20260605/generate_foam_contact_prototype.py,foam_contact_prototype,py,10967,GENERATOR_SCRIPT_SOURCE_ONLY,False,0,0,NOT_IMAGE,False,NOT_IMAGE,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/FoamContactPrototype_20260605/TX_H8_FoamContact_Albedo_SourcePreview_20260605.png,foam_contact_prototype,png,1592659,SOURCE_ONLY_REFERENCE,True,1024,1024,RGBA,True,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/FoamContactPrototype_20260605/TX_H8_FoamContact_DetailNormal_SourcePreview_20260605.png,foam_contact_prototype,png,2132790,SOURCE_ONLY_REFERENCE,True,1024,1024,RGB,False,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/FoamContactPrototype_20260605/TX_H8_FoamContact_MaskRGBA_SourcePreview_20260605.png,foam_contact_prototype,png,2131470,SOURCE_ONLY_REFERENCE,True,1024,1024,RGBA,True,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/FoamContactPrototype_20260605/TX_H8_FoamContact_MRAO_SourcePreview_20260605.png,foam_contact_prototype,png,1682772,SOURCE_ONLY_REFERENCE,True,1024,1024,RGBA,True,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/README.md,asset_system_root,md,1169,MANIFEST_OR_REVIEW_DOC,False,0,0,NOT_IMAGE,False,NOT_IMAGE,NONE,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/TEXTURE_AUTHORING_MANIFEST_3212_20260605.md,asset_system_root,md,21452,MANIFEST_OR_REVIEW_DOC,False,0,0,NOT_IMAGE,False,NOT_IMAGE,NONE,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
