folder,ledger_rows,classes,candidate_dispositions,total_size_mb,max_width,max_height,high_resolution_rows_2048_plus,missing_meta_rows,mipmaps_off_rows,streaming_mips_off_rows,docs_generated_rows,usage_rows,active_build_scene_user_rows,visible_route_user_rows,proxy_placeholder_usage_rows,blocker_rows,highest_priority,primary_blocker,next_packet_or_owner
Assets/_Project/Art/TEXTURES/Terrain Textures/2rock,3,terrain_geology:3,UNASSIGNED_STATIC_SOURCE:3,4.071,1024,1024,0,0,0,0,0,0,0,0,0,0,NONE_STATIC,"Terrain/geology source needs cleaned PBR roles, seam/tile proof, material binding, and bright route screenshot.",TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Assets/_Project/Art/TEXTURES/Terrain Textures/basalt,3,terrain_geology:3,SOURCE_CANDIDATE_NEEDS_CLEAN_PBR:3,6.541,1024,1024,0,0,0,1,0,3,3,3,0,3,P1,Serialized route users exist; active renderer/material proof and screenshot proof required.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Assets/_Project/Art/TEXTURES/Terrain Textures/gravel,3,terrain_geology:3,UNASSIGNED_STATIC_SOURCE:3,3.786,1024,1024,0,0,0,0,0,2,2,2,0,0,NONE_STATIC,Serialized route users exist; active renderer/material proof and screenshot proof required.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Assets/_Project/Art/TEXTURES/Terrain Textures/moss,3,terrain_geology:3,UNASSIGNED_STATIC_SOURCE:3,4.563,1024,1024,0,0,0,0,0,0,0,0,0,0,NONE_STATIC,"Terrain/geology source needs cleaned PBR roles, seam/tile proof, material binding, and bright route screenshot.",TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Assets/_Project/Art/TEXTURES/Terrain Textures/mud,3,terrain_geology:3,UNASSIGNED_STATIC_SOURCE:3,3.591,1024,1024,0,0,0,0,0,0,0,0,0,0,NONE_STATIC,"Terrain/geology source needs cleaned PBR roles, seam/tile proof, material binding, and bright route screenshot.",TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Assets/_Project/Art/TEXTURES/Terrain Textures/rocks,3,terrain_geology:3,UNASSIGNED_STATIC_SOURCE:3,4.093,1024,1024,0,0,0,0,0,2,2,2,0,0,NONE_STATIC,Serialized route users exist; active renderer/material proof and screenshot proof required.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Assets/_Project/Art/TEXTURES/Terrain Textures/sand,2,terrain_geology:2,SOURCE_CANDIDATE_NEEDS_CLEAN_PBR:2,5.263,2048,1829,1,0,0,0,0,2,2,2,0,2,P1,Serialized route users exist; active renderer/material proof and screenshot proof required.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Assets/_Project/Art/TEXTURES/Terrain Textures/sand +green,3,terrain_geology:3,SOURCE_CANDIDATE_NEEDS_CLEAN_PBR:3,4.599,1024,1024,0,0,0,0,0,3,2,2,0,3,P1,Serialized route users exist; active renderer/material proof and screenshot proof required.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Assets/_Project/Art/TEXTURES/Weather,3,flora_coral_fauna:1;unknown:2,CANDIDATE_BLOCKED_BY_MATERIAL_PROOF:1;UNASSIGNED_STATIC_SOURCE:2,0.000,32,1,0,0,0,3,0,0,0,0,0,0,NONE_STATIC,"Organic source needs material family owner, import proof, alpha/dither/LOD proof, and route screenshot.",ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Art/TEXTURES/WorldProceduralFlora,4,flora_coral_fauna:4,CANDIDATE_BLOCKED_BY_MATERIAL_PROOF:4,5.626,1024,1024,0,0,0,4,0,4,0,4,4,4,P0,Flora/coral source folder participates in proxy material contamination; final non-proxy material route and Unity proof required.,ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching,4,flora_coral_fauna:4,CANDIDATE_BLOCKED_BY_MATERIAL_PROOF:4,29.112,2048,2048,4,0,0,4,0,4,4,4,4,4,P0,Flora/coral source folder participates in proxy material contamination; final non-proxy material route and Unity proof required.,ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching.v2,4,flora_coral_fauna:4,CANDIDATE_BLOCKED_BY_MATERIAL_PROOF:4,9.877,1024,1024,0,0,0,4,0,4,0,0,0,4,P2,"Organic source needs material family owner, import proof, alpha/dither/LOD proof, and route screenshot.",ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle,4,flora_coral_fauna:4,CANDIDATE_BLOCKED_BY_MATERIAL_PROOF:4,9.743,1024,1024,0,0,0,4,0,4,4,4,4,4,P0,Flora/coral source folder participates in proxy material contamination; final non-proxy material route and Unity proof required.,ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low,4,flora_coral_fauna:4,CANDIDATE_BLOCKED_BY_MATERIAL_PROOF:4,32.844,2048,2048,4,0,0,4,0,4,4,4,4,4,P0,Flora/coral source folder participates in proxy material contamination; final non-proxy material route and Unity proof required.,ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive,4,flora_coral_fauna:4,CANDIDATE_BLOCKED_BY_MATERIAL_PROOF:4,7.678,1024,1024,0,0,0,4,0,4,4,4,4,4,P0,Flora/coral source folder participates in proxy material contamination; final non-proxy material route and Unity proof required.,ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive.2,4,flora_coral_fauna:4,CANDIDATE_BLOCKED_BY_MATERIAL_PROOF:4,7.552,1024,1024,0,0,0,4,0,4,0,0,0,4,P2,"Organic source needs material family owner, import proof, alpha/dither/LOD proof, and route screenshot.",ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate,4,flora_coral_fauna:4,CANDIDATE_BLOCKED_BY_MATERIAL_PROOF:4,20.532,2048,2048,2,0,0,4,0,4,4,4,4,4,P0,Flora/coral source folder participates in proxy material contamination; final non-proxy material route and Unity proof required.,ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal,4,flora_coral_fauna:4,CANDIDATE_BLOCKED_BY_MATERIAL_PROOF:4,26.088,2048,2048,4,0,0,4,0,4,0,4,4,4,P0,Flora/coral source folder participates in proxy material contamination; final non-proxy material route and Unity proof required.,ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy,4,flora_coral_fauna:4,CANDIDATE_BLOCKED_BY_MATERIAL_PROOF:4,24.616,2048,2048,4,0,0,4,0,4,0,4,4,4,P0,Flora/coral source folder participates in proxy material contamination; final non-proxy material route and Unity proof required.,ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense,4,flora_coral_fauna:4,CANDIDATE_BLOCKED_BY_MATERIAL_PROOF:4,26.322,2048,2048,4,0,0,4,0,4,4,4,4,4,P0,Flora/coral source folder participates in proxy material contamination; final non-proxy material route and Unity proof required.,ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall,4,flora_coral_fauna:4,CANDIDATE_BLOCKED_BY_MATERIAL_PROOF:4,22.024,2048,2048,4,0,0,4,0,4,4,4,4,4,P0,Flora/coral source folder participates in proxy material contamination; final non-proxy material route and Unity proof required.,ASSET_OWNER_12_FLORA_PROXY_MATERIAL_REPLACEMENT_PACKET.md
Assets/_Project/Scenes/02_HECTON_WORLD,1,unknown:1,UNASSIGNED_STATIC_SOURCE:1,0.210,0,0,0,0,0,1,0,0,0,0,0,0,NONE_STATIC,World texture rows have streaming mips disabled; importer readback and residency proof required.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future texture owner
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT,3,sky_aegir_cloud:3,SOURCE_CANDIDATE_BLOCKED_BY_READBACK:2;UNASSIGNED_STATIC_SOURCE:1,13.695,4096,2048,3,0,0,3,0,2,0,0,0,2,P1,Sky/Aegir/cloud source needs hero material slot readback and bright surface screenshot proof.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future sky-Aegir owner
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET,5,sky_aegir_cloud:1;unknown:4,SOURCE_CANDIDATE_BLOCKED_BY_READBACK:1;UNASSIGNED_STATIC_SOURCE:4,9.960,4096,2048,5,0,0,5,0,3,3,3,0,1,P1,Serialized route users exist; active renderer/material proof and screenshot proof required.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future sky-Aegir owner
Docs/GeneratedAssets/Batch31_LocalPBR,1,generated_prototype:1,SOURCE_ONLY_NOT_IMPORTED:1,1.395,1024,768,0,1,1,1,1,0,0,0,0,0,NONE_STATIC,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future texture owner
Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102,7,generated_prototype:7,SOURCE_ONLY_NOT_IMPORTED:7,11.682,1024,1024,0,7,7,7,7,0,0,0,0,0,NONE_STATIC,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future texture owner
Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticShellSandSubstrate_2102,7,terrain_geology:7,SOURCE_ONLY_NOT_IMPORTED:7,11.568,1024,1024,0,7,7,7,7,7,0,0,0,7,P2,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429,7,terrain_geology:7,SOURCE_ONLY_NOT_IMPORTED:7,12.351,1024,1024,0,7,7,7,7,7,0,0,0,7,P1,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429_FullSourcePrototype,6,terrain_geology:6,SOURCE_ONLY_NOT_IMPORTED:6,11.098,1024,1024,0,6,6,6,6,6,0,0,0,6,P1,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Gemini,1,terrain_geology:1,SOURCE_ONLY_NOT_IMPORTED:1,2.894,1024,1024,0,1,1,1,1,1,0,0,0,1,P1,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Gemini/Audit/Batch21,1,generated_prototype:1,SOURCE_ONLY_NOT_IMPORTED:1,0.143,536,268,0,1,1,1,1,0,0,0,0,0,NONE_STATIC,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future texture owner
Docs/GeneratedAssets/Gemini/Audit/Batch21/tile_previews,2,generated_prototype:1;terrain_geology:1,SOURCE_ONLY_NOT_IMPORTED:2,2.239,1024,1024,0,2,2,2,2,1,0,0,0,1,P2,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Gemini/Outputs/Batch21,2,generated_prototype:1;terrain_geology:1,SOURCE_ONLY_NOT_IMPORTED:2,5.486,1024,1024,0,2,2,2,2,1,0,0,0,1,P2,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Gemini/QA,2,generated_prototype:1;terrain_geology:1,SOURCE_ONLY_NOT_IMPORTED:2,4.802,2048,2048,1,2,2,2,2,1,0,0,0,1,P1,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Gemini/QA/1906,1,terrain_geology:1,SOURCE_ONLY_NOT_IMPORTED:1,0.806,1024,568,0,1,1,1,1,1,0,0,0,1,P1,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Gemini/QA/WetBasalt1428,1,terrain_geology:1,SOURCE_ONLY_NOT_IMPORTED:1,0.084,268,268,0,1,1,1,1,1,0,0,0,1,P1,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Gemini/QA/WetBasalt1428/tile_previews,1,terrain_geology:1,SOURCE_ONLY_NOT_IMPORTED:1,1.309,1024,1024,0,1,1,1,1,1,0,0,0,1,P1,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Gemini/QA/WetBasalt1429,1,terrain_geology:1,SOURCE_ONLY_NOT_IMPORTED:1,0.083,268,268,0,1,1,1,1,1,0,0,0,1,P1,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Gemini/QA/WetBasalt1429/tile_previews,1,terrain_geology:1,SOURCE_ONLY_NOT_IMPORTED:1,1.288,1024,1024,0,1,1,1,1,1,0,0,0,1,P1,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Gemini/QA/WetBasalt1429Periodic,1,terrain_geology:1,SOURCE_ONLY_NOT_IMPORTED:1,0.092,268,268,0,1,1,1,1,1,0,0,0,1,P1,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Gemini/QA/WetBasalt1429Periodic/tile_previews,1,terrain_geology:1,SOURCE_ONLY_NOT_IMPORTED:1,1.400,1024,1024,0,1,1,1,1,1,0,0,0,1,P1,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Gemini/QA/WetBasalt1429PeriodicDarkPreserve,1,terrain_geology:1,SOURCE_ONLY_NOT_IMPORTED:1,0.092,268,268,0,1,1,1,1,1,0,0,0,1,P1,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Gemini/QA/WetBasalt1429PeriodicDarkPreserve/tile_previews,1,terrain_geology:1,SOURCE_ONLY_NOT_IMPORTED:1,1.400,1024,1024,0,1,1,1,1,1,0,0,0,1,P1,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Gemini/QA/WetBasalt1429PeriodicMean,1,terrain_geology:1,SOURCE_ONLY_NOT_IMPORTED:1,0.093,268,268,0,1,1,1,1,1,0,0,0,1,P1,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Gemini/QA/WetBasalt1429PeriodicMean/tile_previews,1,terrain_geology:1,SOURCE_ONLY_NOT_IMPORTED:1,1.392,1024,1024,0,1,1,1,1,1,0,0,0,1,P1,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Docs/GeneratedAssets/Gemini/Refined,3,terrain_geology:3,SOURCE_ONLY_NOT_IMPORTED:3,7.565,1024,1024,0,3,3,3,3,3,0,0,0,3,P1,Generated/source-only folder; use as reference only until route-owned import/material proof exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
