path,ledger_class,duration_sec,channels,sample_rate_hz,codec,mean_volume_db_source_probe,max_volume_db_source_probe,measurement_status,ledger_policy_flags,dynamics_policy_flags,future_owner_action,evidence_class,status,evidence_boundary
Assets/_Project/Audio/Atmos 5.wav,ambient,127.000,2,48000,pcm_s16le,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Breathing/breathing breath in and out 1.mp3,player_loop,7.212,2,44100,mp3,-13.6,0.0,MEASURED_FFMPEG_VOLUMEDETECT,MULTICHANNEL_SHORT_OR_PLAYER,SOURCE_PEAK_NEAR_0DB|MULTICHANNEL_CRITICAL_CUE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Breathing/breathing rhytmic 8s - 3 breath in and 3 out.wav,player_loop,8.925,1,44100,pcm_s16le,-18.0,-1.0,MEASURED_FFMPEG_VOLUMEDETECT,NONE,STATIC_NO_IMMEDIATE_FLAG,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Breathing/inside suit sounds (too loud).wav,player_loop,60.000,2,44100,pcm_s24le,-21.0,-6.0,MEASURED_FFMPEG_VOLUMEDETECT,LONG_GT10S|MULTICHANNEL_SHORT_OR_PLAYER,LONG_SOURCE_CONTEXT|MULTICHANNEL_CRITICAL_CUE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (1).ogg,sfx,0.375,1,44100,vorbis,-27.4,-6.5,MEASURED_FFMPEG_VOLUMEDETECT,ABOVE_22K_SFX_UI,STATIC_NO_IMMEDIATE_FLAG,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (2).ogg,sfx,0.375,1,44100,vorbis,-30.9,-13.5,MEASURED_FFMPEG_VOLUMEDETECT,ABOVE_22K_SFX_UI,STATIC_NO_IMMEDIATE_FLAG,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (3).ogg,sfx,0.375,1,44100,vorbis,-32.8,-12.3,MEASURED_FFMPEG_VOLUMEDETECT,ABOVE_22K_SFX_UI,STATIC_NO_IMMEDIATE_FLAG,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (4).ogg,sfx,0.375,1,44100,vorbis,-30.1,-11.2,MEASURED_FFMPEG_VOLUMEDETECT,ABOVE_22K_SFX_UI,STATIC_NO_IMMEDIATE_FLAG,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Metal/metal step (1).wav,sfx,0.614,1,48000,pcm_s24le,-20.7,-3.0,MEASURED_FFMPEG_VOLUMEDETECT,ABOVE_22K_SFX_UI,STATIC_NO_IMMEDIATE_FLAG,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Metal/metal step (2).wav,sfx,0.914,1,48000,pcm_s24le,-24.9,-3.0,MEASURED_FFMPEG_VOLUMEDETECT,ABOVE_22K_SFX_UI,STATIC_NO_IMMEDIATE_FLAG,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Metal/metal step (3).wav,sfx,0.706,1,48000,pcm_s24le,-19.8,-2.9,MEASURED_FFMPEG_VOLUMEDETECT,ABOVE_22K_SFX_UI,STATIC_NO_IMMEDIATE_FLAG,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Metal/metal step (4).wav,sfx,0.730,1,48000,pcm_s24le,-23.3,-3.0,MEASURED_FFMPEG_VOLUMEDETECT,ABOVE_22K_SFX_UI,STATIC_NO_IMMEDIATE_FLAG,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Rock/rock step (1).wav,sfx,0.525,1,44100,pcm_s16le,-20.7,-0.0,MEASURED_FFMPEG_VOLUMEDETECT,ABOVE_22K_SFX_UI,SOURCE_PEAK_NEAR_0DB,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Rock/rock step (2).wav,sfx,0.476,1,44100,pcm_s16le,-22.3,-0.0,MEASURED_FFMPEG_VOLUMEDETECT,ABOVE_22K_SFX_UI,SOURCE_PEAK_NEAR_0DB,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Rock/rock step (3).wav,sfx,0.420,1,44100,pcm_s16le,-21.7,-1.0,MEASURED_FFMPEG_VOLUMEDETECT,ABOVE_22K_SFX_UI,STATIC_NO_IMMEDIATE_FLAG,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Rock/rock step (4).wav,sfx,0.490,1,44100,pcm_s16le,-27.5,-1.0,MEASURED_FFMPEG_VOLUMEDETECT,ABOVE_22K_SFX_UI,STATIC_NO_IMMEDIATE_FLAG,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Sand/sand step  (1).wav,sfx,0.440,2,48000,pcm_s24le,-35.0,-18.9,MEASURED_FFMPEG_VOLUMEDETECT,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,MULTICHANNEL_CRITICAL_CUE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Sand/sand step  (2).wav,sfx,0.517,2,48000,pcm_s24le,-33.6,-18.9,MEASURED_FFMPEG_VOLUMEDETECT,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,MULTICHANNEL_CRITICAL_CUE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Sand/sand step  (3).wav,sfx,0.726,2,48000,pcm_s24le,-36.5,-18.9,MEASURED_FFMPEG_VOLUMEDETECT,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,SOURCE_MEAN_VERY_QUIET|MULTICHANNEL_CRITICAL_CUE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Sand/sand step  (4).wav,sfx,0.569,2,48000,pcm_s24le,-39.4,-18.9,MEASURED_FFMPEG_VOLUMEDETECT,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,SOURCE_MEAN_VERY_QUIET|MULTICHANNEL_CRITICAL_CUE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Wet/wet step (1).wav,sfx,0.833,2,96000,pcm_s24le,-37.8,-9.2,MEASURED_FFMPEG_VOLUMEDETECT,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,SOURCE_MEAN_VERY_QUIET|MULTICHANNEL_CRITICAL_CUE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Wet/wet step (2).wav,sfx,0.962,2,96000,pcm_s24le,-37.9,-6.3,MEASURED_FFMPEG_VOLUMEDETECT,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,SOURCE_MEAN_VERY_QUIET|MULTICHANNEL_CRITICAL_CUE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Wet/wet step (3).wav,sfx,0.771,2,96000,pcm_s24le,-36.3,-6.5,MEASURED_FFMPEG_VOLUMEDETECT,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,SOURCE_MEAN_VERY_QUIET|MULTICHANNEL_CRITICAL_CUE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Footsteps/Wet/wet step (4).wav,sfx,0.984,2,96000,pcm_s24le,-38.7,-7.6,MEASURED_FFMPEG_VOLUMEDETECT,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,SOURCE_MEAN_VERY_QUIET|MULTICHANNEL_CRITICAL_CUE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Impact/landing-hardsurface.wav,sfx,0.736,1,44100,pcm_s16le,-26.6,-10.0,MEASURED_FFMPEG_VOLUMEDETECT,ABOVE_22K_SFX_UI,STATIC_NO_IMMEDIATE_FLAG,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Impact/landing-softsurface.wav,sfx,0.452,1,44100,pcm_s16le,-30.9,-12.1,MEASURED_FFMPEG_VOLUMEDETECT,ABOVE_22K_SFX_UI,STATIC_NO_IMMEDIATE_FLAG,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Movement/dive_splash.wav,sfx,1.729,2,44100,pcm_s16le,-33.4,-16.3,MEASURED_FFMPEG_VOLUMEDETECT,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,MULTICHANNEL_CRITICAL_CUE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Movement/swimming - underwater.ogg,player_loop,6.428,1,44100,vorbis,-22.1,-2.0,MEASURED_FFMPEG_VOLUMEDETECT,NONE,STATIC_NO_IMMEDIATE_FLAG,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Movement/swimming -onwater.wav,player_loop,12.459,2,48000,pcm_s24le,-35.7,-9.7,MEASURED_FFMPEG_VOLUMEDETECT,LONG_GT10S|MULTICHANNEL_SHORT_OR_PLAYER,SOURCE_MEAN_VERY_QUIET|LONG_SOURCE_CONTEXT|MULTICHANNEL_CRITICAL_CUE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Music for Game/abyss_10_or_ambient_deep_5_Seven_Miles_Under.ogg,music,145.842,2,32000,vorbis,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Music for Game/abyss_1_Pitch-Black Silence.ogg,music,113.960,2,32000,vorbis,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Music for Game/abyss_2_Twelve_Leagues_of_Iron.ogg,music,175.517,2,32000,vorbis,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Music for Game/abyss_3_Deep Trench Drone.ogg,music,372.960,2,32000,vorbis,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Music for Game/abyss_4_Hull_At_Capacity.ogg,music,175.882,2,32000,vorbis,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Music for Game/abyss_5_Hull_Under_Strain.ogg,music,155.873,2,32000,vorbis,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Music for Game/abyss_6_Deep Water Pressure Hum (1).ogg,music,317.280,2,32000,vorbis,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Music for Game/abyss_7_Deep Water Pressure Hum.ogg,music,253.280,2,32000,vorbis,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Music for Game/abyss_8_Below_the_Surface_Weight.ogg,music,153.887,2,32000,vorbis,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Music for Game/abyss_9_Iron_Under_Pressure.ogg,music,142.080,2,32000,vorbis,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
Assets/_Project/Audio/Music for Game/abyss_termal_1_Steam-Drip Clatter.ogg,music,137.280,2,32000,vorbis,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,NOT_MEASURED_LONG_BED_DEFERRED_TO_LISTENING_OWNER,LONG_BED_DEFERRED,LONG_GT10S,LONG_BED_DEFERRED|LONG_SOURCE_CONTEXT,LISTENING_AND_IMPORT_READBACK_REQUIRED,AUDIO_SOURCE_PROBE,PENDING_VERIFICATION,SOURCE_DECODE_PROBE_ONLY_NOT_IMPORT_RUNTIME_OR_MIX_PROOF
