path,extension,bytes,duration_sec,ledger_duration_sec,duration_delta_sec,codec,format_name,sample_rate_hz,channels,bit_rate_bps,ledger_class,ledger_load_type,ledger_compression,ledger_quality,ledger_owner,ledger_addressable_group,ledger_placeholder_flag,ledger_route_use,probe_status,ledger_status,policy_flags,evidence_boundary
Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (4).ogg,ogg,8752,0.375,0.375,0.000,vorbis,ogg,44100,1,186782,sfx,DecompressOnLoad,ADPCM,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Metal/metal step (1).wav,wav,93228,0.614,0.614,0.000,pcm_s24le,wav,48000,1,1214366,sfx,DecompressOnLoad,ADPCM,0.59999996,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Metal/metal step (2).wav,wav,137712,0.914,0.914,0.000,pcm_s24le,wav,48000,1,1205795,sfx,DecompressOnLoad,ADPCM,0.59999996,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Metal/metal step (3).wav,wav,106860,0.706,0.706,0.000,pcm_s24le,wav,48000,1,1211020,sfx,CompressedInMemory,ADPCM,0.59999996,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Metal/metal step (4).wav,wav,110492,0.730,0.730,0.000,pcm_s24le,wav,48000,1,1210179,sfx,CompressedInMemory,ADPCM,0.59999996,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Rock/rock step (1).wav,wav,46888,0.525,0.525,0.000,pcm_s16le,wav,44100,1,714191,sfx,DecompressOnLoad,ADPCM,1,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Rock/rock step (2).wav,wav,42564,0.476,0.476,0.000,pcm_s16le,wav,44100,1,715075,sfx,DecompressOnLoad,ADPCM,1,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Rock/rock step (3).wav,wav,37624,0.420,0.420,0.000,pcm_s16le,wav,44100,1,716338,sfx,DecompressOnLoad,ADPCM,1,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Rock/rock step (4).wav,wav,43800,0.490,0.490,0.000,pcm_s16le,wav,44100,1,714804,sfx,DecompressOnLoad,ADPCM,1,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Sand/sand step  (1).wav,wav,126950,0.440,0.440,0.000,pcm_s24le,wav,48000,2,2305886,sfx,DecompressOnLoad,ADPCM,0.68,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Sand/sand step  (2).wav,wav,148940,0.517,0.517,0.000,pcm_s24le,wav,48000,2,2305608,sfx,DecompressOnLoad,ADPCM,0.68,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Sand/sand step  (3).wav,wav,209156,0.726,0.726,0.000,pcm_s24le,wav,48000,2,2305146,sfx,DecompressOnLoad,ADPCM,0.68,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Sand/sand step  (4).wav,wav,163874,0.569,0.569,0.000,pcm_s24le,wav,48000,2,2305462,sfx,DecompressOnLoad,ADPCM,0.68,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Wet/wet step (1).wav,wav,480676,0.833,0.832,0.001,pcm_s24le,wav,96000,2,4619108,sfx,DecompressOnLoad,ADPCM,0.65,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Wet/wet step (2).wav,wav,555196,0.962,0.962,0.000,pcm_s24le,wav,96000,2,4617614,sfx,CompressedInMemory,ADPCM,0.65,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Wet/wet step (3).wav,wav,445036,0.771,0.771,0.000,pcm_s24le,wav,96000,2,4620000,sfx,DecompressOnLoad,ADPCM,0.65,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Wet/wet step (4).wav,wav,568156,0.984,0.984,0.000,pcm_s24le,wav,96000,2,4617394,sfx,DecompressOnLoad,ADPCM,0.65,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Impact/landing-hardsurface.wav,wav,65042,0.736,0.736,0.000,pcm_s16le,wav,44100,1,707208,sfx,CompressedInMemory,ADPCM,0.45,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Impact/landing-softsurface.wav,wav,40034,0.452,0.452,0.000,pcm_s16le,wav,44100,1,708218,sfx,DecompressOnLoad,ADPCM,0.45,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Movement/dive_splash.wav,wav,306366,1.729,1.729,0.000,pcm_s16le,wav,44100,2,1417408,sfx,CompressedInMemory,ADPCM,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,MULTICHANNEL_SHORT_OR_PLAYER|ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Movement/swimming - underwater.ogg,ogg,30179,6.428,6.428,0.000,vorbis,ogg,44100,1,37558,player_loop,Streaming,Vorbis,0.45,PENDING_OWNER,PENDING_ADDRESSABLES,false,player swim loop candidate; not generic SFX,OK,MATCHED_LEDGER,NONE,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Movement/swimming -onwater.wav,wav,3589252,12.459,12.459,0.000,pcm_s24le,wav,48000,2,2304742,player_loop,Streaming,Vorbis,0.45,PENDING_OWNER,PENDING_ADDRESSABLES,false,player surface swim loop candidate; not generic SFX,OK,MATCHED_LEDGER,LONG_GT10S|MULTICHANNEL_SHORT_OR_PLAYER,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/abyss_10_or_ambient_deep_5_Seven_Miles_Under.ogg,ogg,1768188,145.842,145.842,0.000,vorbis,ogg,32000,2,96992,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/abyss_1_Pitch-Black Silence.ogg,ogg,1385789,113.960,113.960,0.000,vorbis,ogg,32000,2,97282,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/abyss_2_Twelve_Leagues_of_Iron.ogg,ogg,2126934,175.517,175.517,0.000,vorbis,ogg,32000,2,96945,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/abyss_3_Deep Trench Drone.ogg,ogg,4525009,372.960,372.960,0.000,vorbis,ogg,32000,2,97061,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/abyss_4_Hull_At_Capacity.ogg,ogg,2131391,175.882,175.882,0.000,vorbis,ogg,32000,2,96946,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/abyss_5_Hull_Under_Strain.ogg,ogg,1890782,155.873,155.873,0.000,vorbis,ogg,32000,2,97042,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/abyss_6_Deep Water Pressure Hum (1).ogg,ogg,3842161,317.280,317.280,0.000,vorbis,ogg,32000,2,96877,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/abyss_7_Deep Water Pressure Hum.ogg,ogg,3067931,253.280,253.280,0.000,vorbis,ogg,32000,2,96902,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/abyss_8_Below_the_Surface_Weight.ogg,ogg,1866774,153.887,153.887,0.000,vorbis,ogg,32000,2,97046,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/abyss_9_Iron_Under_Pressure.ogg,ogg,1724785,142.080,142.080,0.000,vorbis,ogg,32000,2,97116,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/abyss_termal_1_Steam-Drip Clatter.ogg,ogg,1667045,137.280,137.280,0.000,vorbis,ogg,32000,2,97147,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/abyss_termal_2_Steam-Teeth Ritual.ogg,ogg,1926239,158.720,158.720,0.000,vorbis,ogg,32000,2,97088,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/abyss_termal_3_Steam-Teeth Ritual (1).ogg,ogg,2575956,212.200,212.200,0.000,vorbis,ogg,32000,2,97114,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/ambient_deep_1_Underwater Muffled Silence.ogg,ogg,2077122,171.360,171.360,0.000,vorbis,ogg,32000,2,96971,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/ambient_deep_2_Underwater Muffled Silence (1).ogg,ogg,1360869,112.120,112.120,0.000,vorbis,ogg,32000,2,97100,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/ambient_deep_3_The_Leviathan_s_Watch.ogg,ogg,1722544,142.028,142.028,0.000,vorbis,ogg,32000,2,97025,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/ambient_deep_4_krasiviy_Six_Miles_Under.ogg,ogg,1773273,146.260,146.260,0.000,vorbis,ogg,32000,2,96993,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/ambient_dlinni_1_Sub-Bass Throb.ogg,ogg,4935401,407.720,407.720,0.000,vorbis,ogg,32000,2,96839,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/ambient_dlinni_2_Sub-Bass Hive.ogg,ogg,4594467,379.080,379.080,0.000,vorbis,ogg,32000,2,96960,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/ambient_korotki_1_Sub-Bass Throb.ogg,ogg,1606539,132.480,132.480,0.000,vorbis,ogg,32000,2,97013,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/ambient_korotki_2_Sub-Bass Throb (1).ogg,ogg,904343,74.440,74.440,0.000,vorbis,ogg,32000,2,97188,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/ambient_korotki_3_Sub-Bass Throb (2).ogg,ogg,654548,53.760,53.760,0.000,vorbis,ogg,32000,2,97402,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/being_attacked_1_Metallic Alarm Panic.ogg,ogg,2178414,179.440,179.440,0.000,vorbis,ogg,32000,2,97120,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/being_attacked_2_Metallic Alarm Panic (1).ogg,ogg,2239460,184.640,184.640,0.000,vorbis,ogg,32000,2,97030,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/being_attacked_3_Metallic Alarm.ogg,ogg,1865225,153.600,153.600,0.000,vorbis,ogg,32000,2,97147,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/being_attacked_4_Metallic Alarm (1).ogg,ogg,2061856,169.960,169.960,0.000,vorbis,ogg,32000,2,97051,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Music for Game/cave_ambient_10_Volcanic Steam Ritual.ogg,ogg,1878671,154.920,154.920,0.000,vorbis,ogg,32000,2,97013,music,Streaming,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,MusicDirector cue/profile source,OK,MATCHED_LEDGER,LONG_GT10S,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
