packet_id,article_id,file,locale_count,speaker_source,duration_risk,subtitle_risk,unlock_context
P011_DOMAIN_MARKS_2190,human.domain_marks_2190,Docs/Lore/AppliedContent/packets/RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,15,insurer / quarantine relay,low: 15 words,low,unlock.first_multi_domain_mark | poi.domain_tool_stamp/poi.route_cargo_tag/poi.old_safety_plate | biome.crash_shelf/biome.drowned_colony/biome.service_canyons
P012_RELAY_SPINE,transit.relay_spine,Docs/Lore/AppliedContent/packets/RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,15,insurer / quarantine relay,low: 16 words,low,unlock.first_relay_buffer | poi.relay_buffer/poi.packet_spool/poi.beam_schedule_panel | biome.drowned_colony/biome.service_canyons
P013_NEARLIGHT_SHIP_CLASSES,ships.nearlight_classes,Docs/Lore/AppliedContent/packets/RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,15,insurer / quarantine relay,low: 13 words,low,unlock.first_transit_manifest | poi.transit_manifest/poi.sleeper_tag/poi.mass_carrier_record | biome.drowned_colony/biome.crash_shelf
P014_AEGIR_ROUTE_WINDOW,aegir.route_window,Docs/Lore/AppliedContent/packets/RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,15,Black Keel / carrier tender,low: 11 words,low,unlock.first_aegir_window_table | poi.window_table/poi.moon_shadow_timer/poi.radiation_weather_panel | biome.crash_shelf/biome.surface_storm/biome.deep_launch_route
P015_BLACK_KEEL_LEDGER,ships.black_keel_ledger,Docs/Lore/AppliedContent/packets/RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,15,Black Keel / carrier tender,low: 15 words,low,unlock.first_black_keel_ledger | poi.claim_pool_ledger/poi.carrier_debt_record/poi.deep_reach_priority_hook | biome.drowned_colony/biome.deep_launch_route
P016_AEGIR_HOST_STAR,location.aegir.host_star,Docs/Lore/AppliedContent/packets/RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY.packets.json,15,unknown damaged source,low: 11 words,low,unlock.first_host_star_reading | poi.sky_window/poi.route_archive/poi.black_keel_ephemeris | biome.storm_shelf/biome.surface_weather/biome.orbit_window
P017_AEGIR_MOON_LADDER,location.aegir.moon_ladder,Docs/Lore/AppliedContent/packets/RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY.packets.json,15,Black Keel / carrier tender,low: 7 words,low,unlock.first_moon_ladder_map | poi.orbit_dossier/poi.signal_mast/poi.black_keel_ephemeris | biome.storm_shelf/biome.orbit_window/biome.service_canyons
P018_HECTON8_DROWNED_GEOLOGY,location.hecton8.drowned_geology,Docs/Lore/AppliedContent/packets/RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY.packets.json,15,unknown damaged source,low: 10 words,low,unlock.first_geology_route_model | poi.geology_scanner/poi.brine_step/poi.thermal_route_marker | biome.drowned_shelf/biome.brine_stairs/biome.thermal_cathedral
P019_HECTON8_RESOURCE_STACK,location.hecton8.resource_stack,Docs/Lore/AppliedContent/packets/RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY.packets.json,15,Black Keel / carrier tender,low: 14 words,low,unlock.first_resource_stack_scan | poi.resource_casket/poi.salvage_cache/poi.process_stack | biome.service_canyons/biome.industrial_descent/biome.thermal_cathedral
P020_HECTON8_ECOLOGY_REGISTRY,location.hecton8.ecology_registry,Docs/Lore/AppliedContent/packets/RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY.packets.json,15,Atlas fragment / maintenance telemetry,low: 12 words,low,unlock.first_ecology_registry_scan | poi.shallow_biota/poi.cable_flora/poi.altered_fauna | biome.storm_shelf/biome.cable_forest/biome.atlas_bottom
P021_BLACK_KEEL_CUSTODY,ships.black_keel_custody,Docs/Lore/AppliedContent/packets/RS005_CARRIER_ESCAPE_DEEP_REACH_PRESSURE.packets.json,15,Black Keel / carrier tender,low: 12 words,low,unlock.first_black_keel_custody_record | poi.carrier_contract/poi.claim_pool_ledger/poi.orbital_proxy | biome.crash_shelf/biome.surface_weather/biome.orbit_window
P022_DROP_CAPSULE_DAMAGE,arrival.drop_capsule_damage,Docs/Lore/AppliedContent/packets/RS005_CARRIER_ESCAPE_DEEP_REACH_PRESSURE.packets.json,15,ship black box / capsule recorder,low: 9 words,low,unlock.first_drop_capsule_damage_audit | poi.drop_capsule/poi.crash_shelter/poi.reentry_blackbox | biome.crash_shelf/biome.shallow_repair/biome.storm_surge
P023_DEEP_REACH_RETURN_CLAIM,factions.deep_reach_return_claim,Docs/Lore/AppliedContent/packets/RS005_CARRIER_ESCAPE_DEEP_REACH_PRESSURE.packets.json,15,Deep Reach / Recovery Compliance,low: 10 words,low,unlock.first_deep_reach_return_claim | poi.deep_reach_contract/poi.relay_instruction/poi.sanitized_log | biome.drowned_colony/biome.deep_relay/biome.black_archive
P024_FALSE_EXIT_MATERIAL,endings.false_exit_material,Docs/Lore/AppliedContent/packets/RS005_CARRIER_ESCAPE_DEEP_REACH_PRESSURE.packets.json,15,insurer / quarantine relay,low: 10 words,low,unlock.first_material_exit_offer | poi.payload_gantry/poi.carrier_bargain/poi.claim_invoice | biome.deep_launch_route/biome.orbit_window/biome.resource_pressure
P025_PROFESSIONAL_MOTIVE,player.professional_motive,Docs/Lore/AppliedContent/packets/RS005_CARRIER_ESCAPE_DEEP_REACH_PRESSURE.packets.json,15,colony worker / recovered worker record,low: 8 words,low,unlock.first_professional_motive_shift | poi.barnard_mark/poi.personal_object/poi.worker_record | biome.crash_shelf/biome.drowned_colony/biome.deep_archive
P026_SIX_DOMAIN_LEDGER,humanity.six_domain_ledger,Docs/Lore/AppliedContent/packets/RS006_HUMANITY_TRANSIT_SEED_LOGISTICS.packets.json,15,insurer / quarantine relay,low: 14 words,low,unlock.first_six_domain_ledger | poi.domain_plate/poi.route_archive/poi.claim_office | biome.drowned_colony/biome.deep_archive/biome.service_canyon
P027_BARNARD_YARDS_ORIGIN,player.barnard_yards_origin,Docs/Lore/AppliedContent/packets/RS006_HUMANITY_TRANSIT_SEED_LOGISTICS.packets.json,15,colony worker / recovered worker record,low: 12 words,low,unlock.first_barnard_yards_origin_record | poi.worker_locker/poi.tool_stamp/poi.marauder_dossier | biome.crash_shelf/biome.drowned_colony/biome.deep_archive
P028_NO_FTL_TRANSIT_MATH,travel.no_ftl_transit_math,Docs/Lore/AppliedContent/packets/RS006_HUMANITY_TRANSIT_SEED_LOGISTICS.packets.json,15,insurer / quarantine relay,low: 9 words,low,unlock.first_transit_math_record | poi.route_archive/poi.relay_packet/poi.carrier_nav | biome.deep_archive/biome.service_canyon/biome.orbit_window
P029_SEED_SHIP_DOCTRINE,deep_reach.seed_ship_doctrine,Docs/Lore/AppliedContent/packets/RS006_HUMANITY_TRANSIT_SEED_LOGISTICS.packets.json,15,Deep Reach / Recovery Compliance,low: 8 words,authoring/meta wording,unlock.first_seed_ship_doctrine_record | poi.seed_factory_log/poi.atlas_directive/poi.deep_reach_archive | biome.drowned_colony/biome.deep_archive/biome.bottom_factory
P030_RELAY_CUSTODY_DEBT_CHAIN,routes.relay_custody_debt_chain,Docs/Lore/AppliedContent/packets/RS006_HUMANITY_TRANSIT_SEED_LOGISTICS.packets.json,15,Black Keel / carrier tender,low: 11 words,low,unlock.first_relay_debt_chain_record | poi.claim_pool_ledger/poi.relay_packet/poi.contract_terminal | biome.crash_shelf/biome.service_canyon/biome.orbit_window
P031_PHOTIC_SHELF_LIFE,hecton8.photic_shelf_life,Docs/Lore/AppliedContent/packets/RS007_DEPTH_ECOLOGY_FACTORY_TEMPLE.packets.json,15,Atlas fragment / maintenance telemetry,low: 11 words,low,unlock.first_photic_shelf_life | poi.shallow_biome_scan/poi.drop_shelter_window/poi.surface_reef | biome.crash_shelf/biome.photic_shelf/biome.living_shallows
P032_PRESSURE_LADDER_DEPTH_BANDS,hecton8.pressure_ladder_depth_bands,Docs/Lore/AppliedContent/packets/RS007_DEPTH_ECOLOGY_FACTORY_TEMPLE.packets.json,15,Atlas fragment / maintenance telemetry,low: 15 words,low,unlock.first_pressure_ladder | poi.depth_gate/poi.pressure_bulkhead/poi.suit_rating_panel | biome.crash_shelf/biome.service_canyon/biome.abyssal_slope
P033_CABLE_REEF_SYMBIOSIS,hecton8.cable_reef_symbiosis,Docs/Lore/AppliedContent/packets/RS007_DEPTH_ECOLOGY_FACTORY_TEMPLE.packets.json,15,unknown damaged source,low: 10 words,low,unlock.first_cable_reef_symbiosis | poi.cable_reef/poi.service_trench/poi.power_spine | biome.service_canyon/biome.cable_reef/biome.mid_depth
P034_ABYSSAL_REPAIR_FAUNA,hecton8.abyssal_repair_fauna,Docs/Lore/AppliedContent/packets/RS007_DEPTH_ECOLOGY_FACTORY_TEMPLE.packets.json,15,maintenance crew / field work order,low: 9 words,low,unlock.first_abyssal_repair_fauna | poi.repair_fauna_scan/poi.drone_den/poi.deep_bone_cable | biome.abyssal_slope/biome.repair_ecology/biome.deep_fauna
P035_FACTORY_TEMPLE_THRESHOLD,atlas6.factory_temple_threshold,Docs/Lore/AppliedContent/packets/RS007_DEPTH_ECOLOGY_FACTORY_TEMPLE.packets.json,15,Atlas fragment / maintenance telemetry,low: 13 words,low,unlock.first_factory_temple_threshold | poi.factory_threshold/poi.atlas_gate/poi.bottom_spine | biome.bottom_factory/biome.atlas_zone/biome.industrial_flesh
P036_RETURN_VECTOR_WINDOW,hecton8.return_vector_window,Docs/Lore/AppliedContent/packets/RS008_ESCAPE_ENDINGS_ATLAS_QUESTION.packets.json,15,Black Keel / carrier tender,low: 13 words,low,unlock.first_return_vector_window | poi.orbital_comm_window/poi.black_keel_signal/poi.relay_sky | biome.surface_squall/biome.shallow_shelter/biome.high_storm_window
P037_COWARD_EXIT_CHAIN,hecton8.coward_exit_chain,Docs/Lore/AppliedContent/packets/RS008_ESCAPE_ENDINGS_ATLAS_QUESTION.packets.json,15,ship black box / capsule recorder,low: 11 words,low,unlock.first_coward_exit_chain | poi.repaired_ascent_cradle/poi.partial_exit_console/poi.storm_gap | biome.surface_squall/biome.shallow_shelter/biome.claim_beacon
P038_MATERIAL_PAYOUT_LEDGER,hecton8.material_payout_ledger,Docs/Lore/AppliedContent/packets/RS008_ESCAPE_ENDINGS_ATLAS_QUESTION.packets.json,15,insurer / quarantine relay,low: 7 words,low,unlock.first_material_payout_ledger | poi.blue_debt_sample/poi.claim_accounting_terminal/poi.deep_reach_offer | biome.resource_cache/biome.dead_claim/biome.industrial_descent
P039_DEEP_REACH_CLEANSE_ORDER,hecton8.deep_reach_cleanse_order,Docs/Lore/AppliedContent/packets/RS008_ESCAPE_ENDINGS_ATLAS_QUESTION.packets.json,15,Deep Reach / Recovery Compliance,low: 14 words,low,unlock.first_deep_reach_cleanse_order | poi.deep_reach_proxy_order/poi.redacted_liability_node/poi.cleanup_drone_order | biome.dead_claim/biome.industrial_descent/biome.factory_threshold
P040_ATLAS_FINAL_ARGUMENT,hecton8.atlas_final_argument,Docs/Lore/AppliedContent/packets/RS008_ESCAPE_ENDINGS_ATLAS_QUESTION.packets.json,15,Atlas fragment / maintenance telemetry,low: 10 words,low,unlock.first_atlas_final_argument | poi.atlas_argument_core/poi.factory_temple_choice/poi.final_payload_console | biome.factory_temple/biome.atlas_core/biome.ocean_machine_body
P041_WORKER_LOCKER_ROW,hecton8.worker_locker_row,Docs/Lore/AppliedContent/packets/RS009_COLONY_LAYOUT_WORKER_EVIDENCE.packets.json,15,colony worker / recovered worker record,low: 9 words,low,unlock.first_worker_locker_row | poi.worker_locker_row/poi.drowned_hab_module/poi.barnard_mark | biome.drowned_colony/biome.shallow_wreck/biome.pressure_hab
P042_PRESSURE_BUNK_ROUTINE,hecton8.pressure_bunk_routine,Docs/Lore/AppliedContent/packets/RS009_COLONY_LAYOUT_WORKER_EVIDENCE.packets.json,15,maintenance crew / field work order,low: 13 words,low,unlock.first_pressure_bunk_routine | poi.pressure_bunk/poi.hab_sleep_bay/poi.life_support_rack | biome.drowned_colony/biome.pressure_hab/biome.mid_depth_hab
P043_SHIFT_BOARD_ROUTE_HOLDS,hecton8.shift_board_route_holds,Docs/Lore/AppliedContent/packets/RS009_COLONY_LAYOUT_WORKER_EVIDENCE.packets.json,15,unknown damaged source,low: 6 words,low,unlock.first_shift_board_route_holds | poi.shift_board/poi.transit_gate/poi.route_hold_console | biome.drowned_colony/biome.service_canyon/biome.evacuated_module
P044_MEDICAL_LOCK_DELAY,hecton8.medical_lock_delay,Docs/Lore/AppliedContent/packets/RS009_COLONY_LAYOUT_WORKER_EVIDENCE.packets.json,15,unknown damaged source,low: 9 words,low,unlock.first_medical_lock_delay | poi.medical_lock/poi.triage_airlock/poi.decontamination_gate | biome.drowned_colony/biome.quarantine_module/biome.deep_hab
P045_BLACK_BOX_NAME_STACK,hecton8.black_box_name_stack,Docs/Lore/AppliedContent/packets/RS009_COLONY_LAYOUT_WORKER_EVIDENCE.packets.json,15,Atlas fragment / maintenance telemetry,low: 10 words,low,unlock.first_black_box_name_stack | poi.black_box_stack/poi.evacuation_manifest/poi.name_archive | biome.deep_colony/biome.factory_threshold/biome.archive_vault
P046_PUMP_ROOM_HANDSHAKE,hecton8.pump_room_handshake,Docs/Lore/AppliedContent/packets/RS010_PRESSURE_MACHINERY_RETURN_ROUTE.packets.json,15,maintenance crew / field work order,low: 14 words,low,unlock.first_pump_room_handshake | poi.pump_room/poi.sump_control/poi.return_route_valve | biome.pressure_hab/biome.drowned_colony/biome.service_corridor
P047_HATCH_SEAL_LEDGER,hecton8.hatch_seal_ledger,Docs/Lore/AppliedContent/packets/RS010_PRESSURE_MACHINERY_RETURN_ROUTE.packets.json,15,maintenance crew / field work order,low: 8 words,low,unlock.first_hatch_seal_ledger | poi.hatch_seal/poi.airlock_frame/poi.pressure_ledger | biome.drowned_colony/biome.service_corridor/biome.mid_depth_hab
P048_CABLE_SPLICE_SCAR,hecton8.cable_splice_scar,Docs/Lore/AppliedContent/packets/RS010_PRESSURE_MACHINERY_RETURN_ROUTE.packets.json,15,Atlas fragment / maintenance telemetry,low: 9 words,low,unlock.first_cable_splice_scar | poi.cable_splice/poi.atlas_repair_scar/poi.power_trace | biome.service_corridor/biome.cable_reef/biome.factory_threshold
P049_SONAR_RETURN_ROUTE,hecton8.sonar_return_route,Docs/Lore/AppliedContent/packets/RS010_PRESSURE_MACHINERY_RETURN_ROUTE.packets.json,15,colony worker / recovered worker record,low: 13 words,low,unlock.first_sonar_return_route | poi.sonar_pylon/poi.return_beacon/poi.route_echo | biome.shallow_wreck/biome.service_canyon/biome.deep_colony
P050_SALVAGE_TOOL_CUSTODY,hecton8.salvage_tool_custody,Docs/Lore/AppliedContent/packets/RS010_PRESSURE_MACHINERY_RETURN_ROUTE.packets.json,15,insurer / quarantine relay,low: 6 words,low,unlock.first_salvage_tool_custody | poi.tool_custody/poi.salvage_locker/poi.claim_token | biome.drowned_colony/biome.deep_colony/biome.archive_vault
P051_LIGHT_DELAY_AUTHORITY,hecton8.light_delay_authority,Docs/Lore/AppliedContent/packets/RS011_COMM_TARIFF_GRAFFITI_MASKS.packets.json,15,insurer / quarantine relay,low: 10 words,low,unlock.first_light_delay_authority | poi.relay_mast/poi.signal_buffer/poi.storm_window | biome.storm_shelf/biome.surface_relay/biome.drowned_infrastructure
P052_BLACK_KEEL_TARIFF_TABLE,hecton8.black_keel_tariff_table,Docs/Lore/AppliedContent/packets/RS011_COMM_TARIFF_GRAFFITI_MASKS.packets.json,15,Black Keel / carrier tender,low: 12 words,low,unlock.first_black_keel_tariff_table | poi.tariff_plate/poi.claim_terminal/poi.sample_lockbox | biome.corporate_wreck/biome.salvage_route/biome.service_corridor
P053_MARAUDER_GRAFFITI_MASKS,hecton8.marauder_graffiti_masks,Docs/Lore/AppliedContent/packets/RS011_COMM_TARIFF_GRAFFITI_MASKS.packets.json,15,Black Keel / carrier tender,low: 11 words,low,unlock.first_marauder_graffiti_masks | poi.graffiti_mask/poi.pressure_arrow/poi.noise_mark | biome.scrap_canyon/biome.marauder_route/biome.drowned_colony
P054_RELAY_QUEUE_DRIFT,hecton8.relay_queue_drift,Docs/Lore/AppliedContent/packets/RS011_COMM_TARIFF_GRAFFITI_MASKS.packets.json,15,Black Keel / carrier tender,low: 8 words,low,unlock.first_relay_queue_drift | poi.relay_queue/poi.timestamp_panel/poi.decayed_route | biome.surface_relay/biome.service_corridor/biome.return_route
P055_CORPORATE_RESPONSE_LEDGER,hecton8.corporate_response_ledger,Docs/Lore/AppliedContent/packets/RS011_COMM_TARIFF_GRAFFITI_MASKS.packets.json,15,insurer / quarantine relay,low: 8 words,low,unlock.first_corporate_response_ledger | poi.response_ledger/poi.liability_seal/poi.operator_recovery | biome.corporate_wreck/biome.return_route/biome.deep_salvage
P056_EX_DEEP_REACH_MARAUDER,hecton8.ex_deep_reach_marauder,Docs/Lore/AppliedContent/packets/RS012_PLAYER_LIABILITY_ESCAPE.packets.json,15,Deep Reach / Recovery Compliance,low: 15 words,low,unlock.first_ex_deep_reach_recognition | poi.old_credential_lock/poi.drop_capsule_console/poi.deep_reach_seal | biome.crash_shelf/biome.shallow_wreck/biome.service_corridor
P057_GREAT_TIDE_LIABILITY_CHAIN,hecton8.great_tide_liability_chain,Docs/Lore/AppliedContent/packets/RS012_PLAYER_LIABILITY_ESCAPE.packets.json,15,Atlas fragment / maintenance telemetry,low: 12 words,low,unlock.first_great_tide_liability_chain | poi.tide_model/poi.evacuated_shift_board/poi.liability_cache | biome.tide_gauge/biome.drowned_colony/biome.glacier_break
P058_BLACK_KEEL_CLAIM_HOOKS,hecton8.black_keel_claim_hooks,Docs/Lore/AppliedContent/packets/RS012_PLAYER_LIABILITY_ESCAPE.packets.json,15,Black Keel / carrier tender,low: 12 words,low,unlock.first_black_keel_claim_hooks | poi.claim_hook_terminal/poi.carrier_tariff/poi.quarantine_clause | biome.claim_pool/biome.surface_relay/biome.salvage_route
P059_ESCAPE_CHAIN_ASSEMBLY,hecton8.escape_chain_assembly,Docs/Lore/AppliedContent/packets/RS012_PLAYER_LIABILITY_ESCAPE.packets.json,15,colony worker / recovered worker record,low: 16 words,low,unlock.first_escape_chain_assembly | poi.ascent_cradle/poi.pressure_clamp/poi.guidance_core | biome.service_corridor/biome.machine_trench/biome.deep_fabrication
P060_FIRST_HOUR_SPINE,hecton8.first_hour_spine,Docs/Lore/AppliedContent/packets/RS012_PLAYER_LIABILITY_ESCAPE.packets.json,15,Atlas fragment / maintenance telemetry,low: 17 words,low,unlock.first_first_hour_spine | poi.shallow_pump_annex/poi.first_safe_module/poi.repair_biomass_trace | biome.photic_shelf/biome.crash_shelf/biome.tide_gauge
P061_MAINTENANCE_ECOLOGY,hecton8.maintenance_ecology,Docs/Lore/AppliedContent/packets/RS013_COLONY_ATLAS_MAINTENANCE.packets.json,15,Atlas fragment / maintenance telemetry,low: 16 words,low,unlock.first_maintenance_ecology | poi.biofilm_cable/poi.acoustic_filter_colony/poi.vent_micro_node | biome.cable_reef/biome.repair_fauna/biome.vent_field
P062_MARA_VENN_TIDE_MODEL,hecton8.mara_venn_tide_model,Docs/Lore/AppliedContent/packets/RS013_COLONY_ATLAS_MAINTENANCE.packets.json,15,colony worker / recovered worker record,low: 18 words,low,unlock.first_mara_venn_tide_model | poi.tide_model_terminal/poi.glacier_warning/poi.risk_downgrade | biome.tide_gauge/biome.glacier_break/biome.drowned_office
P063_JUNO_KADE_EVACUATION_HOLD,hecton8.juno_kade_evacuation_hold,Docs/Lore/AppliedContent/packets/RS013_COLONY_ATLAS_MAINTENANCE.packets.json,15,Atlas fragment / maintenance telemetry,low: 10 words,low,unlock.first_juno_kade_evacuation_hold | poi.evacuation_console/poi.route_hold_board/poi.quarantine_gate | biome.evacuated_station/biome.drowned_colony/biome.service_corridor
P064_REN_OKOYE_PUMP_63,hecton8.ren_okoye_pump_63,Docs/Lore/AppliedContent/packets/RS013_COLONY_ATLAS_MAINTENANCE.packets.json,15,colony worker / recovered worker record,low: 16 words,low,unlock.first_ren_okoye_pump_63 | poi.pump_room_log/poi.manual_valve/poi.dry_sector_marker | biome.pump_annex/biome.shallow_wreck/biome.service_corridor
P065_SAHANA_IQBAL_ATLAS_SAFETY,hecton8.sahana_iqbal_atlas_safety,Docs/Lore/AppliedContent/packets/RS013_COLONY_ATLAS_MAINTENANCE.packets.json,15,Atlas fragment / maintenance telemetry,low: 8 words,low,unlock.first_sahana_iqbal_atlas_safety | poi.atlas_safety_console/poi.directive_weight_log/poi.continuity_warning | biome.atlas_interface/biome.machine_trench/biome.deep_archive
P066_LIAN_TORRES_LAST_PACKET,hecton8.lian_torres_last_packet,Docs/Lore/AppliedContent/packets/RS014_COLONY_RETURN_WINDOWS.packets.json,15,Black Keel / carrier tender,low: 9 words,low,unlock.first_lian_torres_last_packet | poi.last_packet_buffer/poi.comms_rack/poi.signal_timestamp | biome.relay_spine/biome.drowned_comms/biome.surface_relay
P067_OSKAR_NEUMANN_PRESSURE_FORGE,hecton8.oskar_neumann_pressure_forge,Docs/Lore/AppliedContent/packets/RS014_COLONY_RETURN_WINDOWS.packets.json,15,ship black box / capsule recorder,low: 14 words,low,unlock.first_oskar_neumann_pressure_forge | poi.pressure_forge/poi.clamp_ring_jig/poi.ascent_charge_cradle | biome.deep_fabrication/biome.machine_trench/biome.vent_industry
P068_AYA_MORITA_REPAIR_MEDICINE,hecton8.aya_morita_repair_medicine,Docs/Lore/AppliedContent/packets/RS014_COLONY_RETURN_WINDOWS.packets.json,15,Atlas fragment / maintenance telemetry,low: 16 words,low,unlock.first_aya_morita_repair_medicine | poi.medical_bay/poi.repair_tissue_record/poi.biometal_sample | biome.medical_lock/biome.repair_fauna/biome.cable_reef
P069_PAVEL_SORN_PROCEDURE_HOLD,hecton8.pavel_sorn_procedure_hold,Docs/Lore/AppliedContent/packets/RS014_COLONY_RETURN_WINDOWS.packets.json,15,Atlas fragment / maintenance telemetry,low: 18 words,authoring/meta wording,unlock.first_pavel_sorn_procedure_hold | poi.contract_officer_desk/poi.procedure_hold/poi.liability_stamp | biome.admin_deck/biome.drowned_office/biome.corporate_wreck
P070_DEEP_REACH_PRESENT_WINDOWS,hecton8.deep_reach_present_windows,Docs/Lore/AppliedContent/packets/RS014_COLONY_RETURN_WINDOWS.packets.json,15,Deep Reach / Recovery Compliance,low: 16 words,authoring/meta wording,unlock.first_deep_reach_present_windows | poi.live_window_queue/poi.proxy_ai_notice/poi.evidence_bargain | biome.relay_spine/biome.surface_relay/biome.deep_archive
P071_SOL_CORE_AUTHORITY,human.sol_core_authority,Docs/Lore/AppliedContent/packets/RS015_HUMAN_DOMAINS_ROUTE_ECONOMY.packets.json,15,Black Keel / carrier tender,low: 11 words,low,unlock.first_sol_core_authority | poi.old_law_plate/poi.sol_cert_seal/poi.insurance_stamp | biome.drowned_admin/biome.contract_archive
P072_CENTAURI_COMPACT_LEGITIMACY,human.centauri_compact_legitimacy,Docs/Lore/AppliedContent/packets/RS015_HUMAN_DOMAINS_ROUTE_ECONOMY.packets.json,15,colony worker / recovered worker record,low: 9 words,low,unlock.first_centauri_compact_legitimacy | poi.centauri_hardware_stamp/poi.compact_audit_tag/poi.old_pressure_case | biome.wreck_claim/biome.route_depot
P073_BARNARD_YARDS_MARAUDER_ORIGIN,human.barnard_yards_marauder_origin,Docs/Lore/AppliedContent/packets/RS015_HUMAN_DOMAINS_ROUTE_ECONOMY.packets.json,15,Black Keel / carrier tender,low: 11 words,low,unlock.first_barnard_yards_marauder_origin | poi.barnard_tool_stamp/poi.salvage_belt_patch/poi.cutters_license_plate | biome.shallow_cache/biome.marauder_route
P074_TAU_CETI_PUBLIC_LEDGER,human.tau_ceti_public_ledger,Docs/Lore/AppliedContent/packets/RS015_HUMAN_DOMAINS_ROUTE_ECONOMY.packets.json,15,insurer / quarantine relay,low: 12 words,low,unlock.first_tau_ceti_public_ledger | poi.public_ledger_node/poi.civic_law_cache/poi.redacted_hearing_file | biome.admin_spine/biome.relay_spine
P075_LUYTEN_JUNCTION_PACKET_CUSTODY,human.luyten_junction_packet_custody,Docs/Lore/AppliedContent/packets/RS015_HUMAN_DOMAINS_ROUTE_ECONOMY.packets.json,15,insurer / quarantine relay,low: 9 words,low,unlock.first_luyten_junction_packet_custody | poi.packet_custody_spool/poi.relay_tariff_panel/poi.luyten_route_key | biome.relay_spine/biome.drowned_comms
P076_RAN_AEGIR_ANCHOR,aegir.ran_aegir_anchor,Docs/Lore/AppliedContent/packets/RS016_AEGIR_SYSTEM_MOON_LADDER.packets.json,15,unknown damaged source,low: 11 words,low,unlock.first_ran_aegir_anchor | poi.starfield_nav_plate/poi.ran_spectrum_card/poi.aegir_orbit_buoy | biome.surface_relay/biome.orbital_window
