article_id,packet_id,canonical_owner_doc,allowed_surfaces,forbidden_surfaces,spoiler_level,unlock_gate,in_world_voice_options,runtime_layer
human.domain_marks_2190,P011_DOMAIN_MARKS_2190,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_multi_domain_mark,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
transit.relay_spine,P012_RELAY_SPINE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_relay_buffer,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
ships.nearlight_classes,P013_NEARLIGHT_SHIP_CLASSES,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_transit_manifest,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
aegir.route_window,P014_AEGIR_ROUTE_WINDOW,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.first_aegir_window_table,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
ships.black_keel_ledger,P015_BLACK_KEEL_LEDGER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.first_black_keel_ledger,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
location.aegir.host_star,P016_AEGIR_HOST_STAR,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_host_star_reading,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
location.aegir.moon_ladder,P017_AEGIR_MOON_LADDER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_moon_ladder_map,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
location.hecton8.drowned_geology,P018_HECTON8_DROWNED_GEOLOGY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_geology_route_model,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
location.hecton8.resource_stack,P019_HECTON8_RESOURCE_STACK,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_resource_stack_scan,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
location.hecton8.ecology_registry,P020_HECTON8_ECOLOGY_REGISTRY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_ecology_registry_scan,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
ships.black_keel_custody,P021_BLACK_KEEL_CUSTODY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_black_keel_custody_record,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
arrival.drop_capsule_damage,P022_DROP_CAPSULE_DAMAGE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_drop_capsule_damage_audit,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
factions.deep_reach_return_claim,P023_DEEP_REACH_RETURN_CLAIM,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_deep_reach_return_claim,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
endings.false_exit_material,P024_FALSE_EXIT_MATERIAL,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.first_material_exit_offer,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
player.professional_motive,P025_PROFESSIONAL_MOTIVE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_professional_motive_shift,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
humanity.six_domain_ledger,P026_SIX_DOMAIN_LEDGER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_six_domain_ledger,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
player.barnard_yards_origin,P027_BARNARD_YARDS_ORIGIN,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_barnard_yards_origin_record,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
travel.no_ftl_transit_math,P028_NO_FTL_TRANSIT_MATH,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_transit_math_record,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
deep_reach.seed_ship_doctrine,P029_SEED_SHIP_DOCTRINE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_seed_ship_doctrine_record,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
routes.relay_custody_debt_chain,P030_RELAY_CUSTODY_DEBT_CHAIN,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_relay_debt_chain_record,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.photic_shelf_life,P031_PHOTIC_SHELF_LIFE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_photic_shelf_life,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.pressure_ladder_depth_bands,P032_PRESSURE_LADDER_DEPTH_BANDS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_pressure_ladder,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.cable_reef_symbiosis,P033_CABLE_REEF_SYMBIOSIS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_cable_reef_symbiosis,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.abyssal_repair_fauna,P034_ABYSSAL_REPAIR_FAUNA,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_abyssal_repair_fauna,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
atlas6.factory_temple_threshold,P035_FACTORY_TEMPLE_THRESHOLD,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_factory_temple_threshold,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.return_vector_window,P036_RETURN_VECTOR_WINDOW,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.first_return_vector_window,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.coward_exit_chain,P037_COWARD_EXIT_CHAIN,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.first_coward_exit_chain,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.material_payout_ledger,P038_MATERIAL_PAYOUT_LEDGER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.first_material_payout_ledger,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.deep_reach_cleanse_order,P039_DEEP_REACH_CLEANSE_ORDER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.first_deep_reach_cleanse_order,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.atlas_final_argument,P040_ATLAS_FINAL_ARGUMENT,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.first_atlas_final_argument,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.worker_locker_row,P041_WORKER_LOCKER_ROW,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_worker_locker_row,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.pressure_bunk_routine,P042_PRESSURE_BUNK_ROUTINE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_pressure_bunk_routine,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.shift_board_route_holds,P043_SHIFT_BOARD_ROUTE_HOLDS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_shift_board_route_holds,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.medical_lock_delay,P044_MEDICAL_LOCK_DELAY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_medical_lock_delay,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.black_box_name_stack,P045_BLACK_BOX_NAME_STACK,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_black_box_name_stack,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.pump_room_handshake,P046_PUMP_ROOM_HANDSHAKE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_pump_room_handshake,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.hatch_seal_ledger,P047_HATCH_SEAL_LEDGER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_hatch_seal_ledger,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.cable_splice_scar,P048_CABLE_SPLICE_SCAR,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_cable_splice_scar,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.sonar_return_route,P049_SONAR_RETURN_ROUTE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_sonar_return_route,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.salvage_tool_custody,P050_SALVAGE_TOOL_CUSTODY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_salvage_tool_custody,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.light_delay_authority,P051_LIGHT_DELAY_AUTHORITY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_light_delay_authority,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.black_keel_tariff_table,P052_BLACK_KEEL_TARIFF_TABLE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_black_keel_tariff_table,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.marauder_graffiti_masks,P053_MARAUDER_GRAFFITI_MASKS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_marauder_graffiti_masks,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.relay_queue_drift,P054_RELAY_QUEUE_DRIFT,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_relay_queue_drift,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.corporate_response_ledger,P055_CORPORATE_RESPONSE_LEDGER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_corporate_response_ledger,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.ex_deep_reach_marauder,P056_EX_DEEP_REACH_MARAUDER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_ex_deep_reach_recognition,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.great_tide_liability_chain,P057_GREAT_TIDE_LIABILITY_CHAIN,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_great_tide_liability_chain,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.black_keel_claim_hooks,P058_BLACK_KEEL_CLAIM_HOOKS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_black_keel_claim_hooks,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.escape_chain_assembly,P059_ESCAPE_CHAIN_ASSEMBLY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_escape_chain_assembly,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.first_hour_spine,P060_FIRST_HOUR_SPINE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_first_hour_spine,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.maintenance_ecology,P061_MAINTENANCE_ECOLOGY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_maintenance_ecology,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.mara_venn_tide_model,P062_MARA_VENN_TIDE_MODEL,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_mara_venn_tide_model,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.juno_kade_evacuation_hold,P063_JUNO_KADE_EVACUATION_HOLD,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_juno_kade_evacuation_hold,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.ren_okoye_pump_63,P064_REN_OKOYE_PUMP_63,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_ren_okoye_pump_63,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.sahana_iqbal_atlas_safety,P065_SAHANA_IQBAL_ATLAS_SAFETY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_sahana_iqbal_atlas_safety,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.lian_torres_last_packet,P066_LIAN_TORRES_LAST_PACKET,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_lian_torres_last_packet,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.oskar_neumann_pressure_forge,P067_OSKAR_NEUMANN_PRESSURE_FORGE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_oskar_neumann_pressure_forge,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.aya_morita_repair_medicine,P068_AYA_MORITA_REPAIR_MEDICINE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_aya_morita_repair_medicine,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.pavel_sorn_procedure_hold,P069_PAVEL_SORN_PROCEDURE_HOLD,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_pavel_sorn_procedure_hold,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.deep_reach_present_windows,P070_DEEP_REACH_PRESENT_WINDOWS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_deep_reach_present_windows,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
human.sol_core_authority,P071_SOL_CORE_AUTHORITY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_sol_core_authority,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
human.centauri_compact_legitimacy,P072_CENTAURI_COMPACT_LEGITIMACY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_centauri_compact_legitimacy,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
human.barnard_yards_marauder_origin,P073_BARNARD_YARDS_MARAUDER_ORIGIN,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_barnard_yards_marauder_origin,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
human.tau_ceti_public_ledger,P074_TAU_CETI_PUBLIC_LEDGER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.first_tau_ceti_public_ledger,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
human.luyten_junction_packet_custody,P075_LUYTEN_JUNCTION_PACKET_CUSTODY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_luyten_junction_packet_custody,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
aegir.ran_aegir_anchor,P076_RAN_AEGIR_ANCHOR,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_ran_aegir_anchor,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
aegir.moon_ladder,P077_AEGIR_MOON_LADDER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_aegir_moon_ladder,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
aegir.inner_moon_relay_hazards,P078_INNER_MOON_RELAY_HAZARDS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_inner_moon_relay_hazards,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
aegir.hecton8_orbit_tide_geometry,P079_HECTON8_ORBIT_TIDE_GEOMETRY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_hecton8_orbit_tide_geometry,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
aegir.outer_moon_cold_claims,P080_OUTER_MOON_COLD_CLAIMS,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,0,unlock.first_outer_moon_cold_claims,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.great_tide_physics_record,P081_GREAT_TIDE_PHYSICS_RECORD,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_great_tide_physics_record,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.pressure_glass_formation,P082_PRESSURE_GLASS_FORMATION,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_pressure_glass_formation,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.brine_canyon_route_ladder,P083_BRINE_CANYON_ROUTE_LADDER,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_brine_canyon_route_ladder,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
