packet_id,release_set_id,article_id,title_en,surfaces_present,locale_count,route_card_present,binding_map_present
P029_SEED_SHIP_DOCTRINE,RS006_HUMANITY_TRANSIT_SEED_LOGISTICS,deep_reach.seed_ship_doctrine,Seed Ship Doctrine,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P030_RELAY_CUSTODY_DEBT_CHAIN,RS006_HUMANITY_TRANSIT_SEED_LOGISTICS,routes.relay_custody_debt_chain,Relay Custody Debt Chain,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P031_PHOTIC_SHELF_LIFE,RS007_DEPTH_ECOLOGY_FACTORY_TEMPLE,hecton8.photic_shelf_life,Photic Shelf Life,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P032_PRESSURE_LADDER_DEPTH_BANDS,RS007_DEPTH_ECOLOGY_FACTORY_TEMPLE,hecton8.pressure_ladder_depth_bands,Pressure Ladder,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P033_CABLE_REEF_SYMBIOSIS,RS007_DEPTH_ECOLOGY_FACTORY_TEMPLE,hecton8.cable_reef_symbiosis,Cable Reef Symbiosis,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P034_ABYSSAL_REPAIR_FAUNA,RS007_DEPTH_ECOLOGY_FACTORY_TEMPLE,hecton8.abyssal_repair_fauna,Abyssal Repair Fauna,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P035_FACTORY_TEMPLE_THRESHOLD,RS007_DEPTH_ECOLOGY_FACTORY_TEMPLE,atlas6.factory_temple_threshold,Factory-Temple Threshold,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P036_RETURN_VECTOR_WINDOW,RS008_ESCAPE_ENDINGS_ATLAS_QUESTION,hecton8.return_vector_window,Return Vector Window,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P037_COWARD_EXIT_CHAIN,RS008_ESCAPE_ENDINGS_ATLAS_QUESTION,hecton8.coward_exit_chain,Coward Exit Chain,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P038_MATERIAL_PAYOUT_LEDGER,RS008_ESCAPE_ENDINGS_ATLAS_QUESTION,hecton8.material_payout_ledger,Material Payout Ledger,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P039_DEEP_REACH_CLEANSE_ORDER,RS008_ESCAPE_ENDINGS_ATLAS_QUESTION,hecton8.deep_reach_cleanse_order,Deep Reach Cleanse Order,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P040_ATLAS_FINAL_ARGUMENT,RS008_ESCAPE_ENDINGS_ATLAS_QUESTION,hecton8.atlas_final_argument,Atlas Final Argument,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P041_WORKER_LOCKER_ROW,RS009_COLONY_LAYOUT_WORKER_EVIDENCE,hecton8.worker_locker_row,Worker Locker Row,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P042_PRESSURE_BUNK_ROUTINE,RS009_COLONY_LAYOUT_WORKER_EVIDENCE,hecton8.pressure_bunk_routine,Pressure Bunk Routine,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P043_SHIFT_BOARD_ROUTE_HOLDS,RS009_COLONY_LAYOUT_WORKER_EVIDENCE,hecton8.shift_board_route_holds,Shift Board Route Holds,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P044_MEDICAL_LOCK_DELAY,RS009_COLONY_LAYOUT_WORKER_EVIDENCE,hecton8.medical_lock_delay,Medical Lock Delay,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P045_BLACK_BOX_NAME_STACK,RS009_COLONY_LAYOUT_WORKER_EVIDENCE,hecton8.black_box_name_stack,Black Box Name Stack,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P046_PUMP_ROOM_HANDSHAKE,RS010_PRESSURE_MACHINERY_RETURN_ROUTE,hecton8.pump_room_handshake,Pump Room Handshake,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P047_HATCH_SEAL_LEDGER,RS010_PRESSURE_MACHINERY_RETURN_ROUTE,hecton8.hatch_seal_ledger,Hatch Seal Ledger,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P048_CABLE_SPLICE_SCAR,RS010_PRESSURE_MACHINERY_RETURN_ROUTE,hecton8.cable_splice_scar,Cable Splice Scar,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P049_SONAR_RETURN_ROUTE,RS010_PRESSURE_MACHINERY_RETURN_ROUTE,hecton8.sonar_return_route,Sonar Return Route,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P050_SALVAGE_TOOL_CUSTODY,RS010_PRESSURE_MACHINERY_RETURN_ROUTE,hecton8.salvage_tool_custody,Salvage Tool Custody,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P051_LIGHT_DELAY_AUTHORITY,RS011_COMM_TARIFF_GRAFFITI_MASKS,hecton8.light_delay_authority,Light-Delay Authority,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P052_BLACK_KEEL_TARIFF_TABLE,RS011_COMM_TARIFF_GRAFFITI_MASKS,hecton8.black_keel_tariff_table,Black Keel Tariff Table,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P053_MARAUDER_GRAFFITI_MASKS,RS011_COMM_TARIFF_GRAFFITI_MASKS,hecton8.marauder_graffiti_masks,Marauder Graffiti Masks,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P054_RELAY_QUEUE_DRIFT,RS011_COMM_TARIFF_GRAFFITI_MASKS,hecton8.relay_queue_drift,Relay Queue Drift,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P055_CORPORATE_RESPONSE_LEDGER,RS011_COMM_TARIFF_GRAFFITI_MASKS,hecton8.corporate_response_ledger,Corporate Response Ledger,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P056_EX_DEEP_REACH_MARAUDER,RS012_PLAYER_LIABILITY_ESCAPE,hecton8.ex_deep_reach_marauder,Ex-Deep-Reach Marauder,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P057_GREAT_TIDE_LIABILITY_CHAIN,RS012_PLAYER_LIABILITY_ESCAPE,hecton8.great_tide_liability_chain,Great Tide Liability Chain,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P058_BLACK_KEEL_CLAIM_HOOKS,RS012_PLAYER_LIABILITY_ESCAPE,hecton8.black_keel_claim_hooks,Black Keel Claim Hooks,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P059_ESCAPE_CHAIN_ASSEMBLY,RS012_PLAYER_LIABILITY_ESCAPE,hecton8.escape_chain_assembly,Escape Chain Assembly,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P060_FIRST_HOUR_SPINE,RS012_PLAYER_LIABILITY_ESCAPE,hecton8.first_hour_spine,First Hour Spine,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P061_MAINTENANCE_ECOLOGY,RS013_COLONY_ATLAS_MAINTENANCE,hecton8.maintenance_ecology,Maintenance Ecology,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P062_MARA_VENN_TIDE_MODEL,RS013_COLONY_ATLAS_MAINTENANCE,hecton8.mara_venn_tide_model,Mara Venn Tide Model,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P063_JUNO_KADE_EVACUATION_HOLD,RS013_COLONY_ATLAS_MAINTENANCE,hecton8.juno_kade_evacuation_hold,Juno Kade Evacuation Hold,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P064_REN_OKOYE_PUMP_63,RS013_COLONY_ATLAS_MAINTENANCE,hecton8.ren_okoye_pump_63,Ren Okoye Pump 63,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P065_SAHANA_IQBAL_ATLAS_SAFETY,RS013_COLONY_ATLAS_MAINTENANCE,hecton8.sahana_iqbal_atlas_safety,Sahana Iqbal Atlas Safety,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P066_LIAN_TORRES_LAST_PACKET,RS014_COLONY_RETURN_WINDOWS,hecton8.lian_torres_last_packet,Lian Torres Last Packet,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P067_OSKAR_NEUMANN_PRESSURE_FORGE,RS014_COLONY_RETURN_WINDOWS,hecton8.oskar_neumann_pressure_forge,Oskar Neumann Pressure Forge,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P068_AYA_MORITA_REPAIR_MEDICINE,RS014_COLONY_RETURN_WINDOWS,hecton8.aya_morita_repair_medicine,Aya Morita Repair Medicine,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P069_PAVEL_SORN_PROCEDURE_HOLD,RS014_COLONY_RETURN_WINDOWS,hecton8.pavel_sorn_procedure_hold,Pavel Sorn Procedure Hold,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P070_DEEP_REACH_PRESENT_WINDOWS,RS014_COLONY_RETURN_WINDOWS,hecton8.deep_reach_present_windows,Deep Reach Present Windows,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P071_SOL_CORE_AUTHORITY,RS015_HUMAN_DOMAINS_ROUTE_ECONOMY,human.sol_core_authority,Sol Core Authority,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P072_CENTAURI_COMPACT_LEGITIMACY,RS015_HUMAN_DOMAINS_ROUTE_ECONOMY,human.centauri_compact_legitimacy,Centauri Compact Legitimacy,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P073_BARNARD_YARDS_MARAUDER_ORIGIN,RS015_HUMAN_DOMAINS_ROUTE_ECONOMY,human.barnard_yards_marauder_origin,Barnard Yards Marauder Origin,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P074_TAU_CETI_PUBLIC_LEDGER,RS015_HUMAN_DOMAINS_ROUTE_ECONOMY,human.tau_ceti_public_ledger,Tau Ceti Public Ledger,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P075_LUYTEN_JUNCTION_PACKET_CUSTODY,RS015_HUMAN_DOMAINS_ROUTE_ECONOMY,human.luyten_junction_packet_custody,Luyten Junction Packet Custody,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P076_RAN_AEGIR_ANCHOR,RS016_AEGIR_SYSTEM_MOON_LADDER,aegir.ran_aegir_anchor,Ran / Aegir Anchor,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P077_AEGIR_MOON_LADDER,RS016_AEGIR_SYSTEM_MOON_LADDER,aegir.moon_ladder,Aegir Moon Ladder,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P078_INNER_MOON_RELAY_HAZARDS,RS016_AEGIR_SYSTEM_MOON_LADDER,aegir.inner_moon_relay_hazards,Inner Moon Relay Hazards,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P079_HECTON8_ORBIT_TIDE_GEOMETRY,RS016_AEGIR_SYSTEM_MOON_LADDER,aegir.hecton8_orbit_tide_geometry,HECTON-8 Orbit / Tide Geometry,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P080_OUTER_MOON_COLD_CLAIMS,RS016_AEGIR_SYSTEM_MOON_LADDER,aegir.outer_moon_cold_claims,Outer Moon Cold Claims,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P081_GREAT_TIDE_PHYSICS_RECORD,RS017_HECTON8_GEOLOGY_RESOURCE_ECOLOGY,hecton8.great_tide_physics_record,Great Tide Physics Record,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P082_PRESSURE_GLASS_FORMATION,RS017_HECTON8_GEOLOGY_RESOURCE_ECOLOGY,hecton8.pressure_glass_formation,Pressure Glass Formation,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P083_BRINE_CANYON_ROUTE_LADDER,RS017_HECTON8_GEOLOGY_RESOURCE_ECOLOGY,hecton8.brine_canyon_route_ladder,Brine Canyon Route Ladder,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P084_VENT_FORGE_GEOTHERMAL_ENGINE,RS017_HECTON8_GEOLOGY_RESOURCE_ECOLOGY,hecton8.vent_forge_geothermal_engine,Vent Forge Geothermal Engine,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P085_BIOMETAL_RESOURCE_STACK,RS017_HECTON8_GEOLOGY_RESOURCE_ECOLOGY,hecton8.biometal_resource_stack,Biometal Resource Stack,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P086_AEGIR_RECLAMATION_POOL,RS018_CARRIER_DEBT_CLAIM_AUTHORITY,carrier.aegir_reclamation_pool,Aegir Reclamation Pool,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P087_KEELMARK_MUTUAL_CUSTODY,RS018_CARRIER_DEBT_CLAIM_AUTHORITY,carrier.keelmark_mutual_custody,Keelmark Mutual Custody,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P088_TONNE_WINDOW_DEBT,RS018_CARRIER_DEBT_CLAIM_AUTHORITY,carrier.tonne_window_debt,Tonne-Window Debt,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P089_BLACK_KEEL_FIRST_VOICE,RS018_CARRIER_DEBT_CLAIM_AUTHORITY,carrier.black_keel_first_voice,Black Keel First Voice,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P090_DEEP_REACH_PRIORITY_HOOK,RS018_CARRIER_DEBT_CLAIM_AUTHORITY,carrier.deep_reach_priority_hook,Deep Reach Priority Hook,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P091_COLLISION_FRACTURED_MOON,RS019_HECTON8_PHYSICAL_ATLAS_DEPTH_BANDS,hecton8.collision_fractured_moon,Collision-Fractured Moon,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P092_GLOBAL_OCEAN_DEPTH_BANDS,RS019_HECTON8_PHYSICAL_ATLAS_DEPTH_BANDS,hecton8.global_ocean_depth_bands,Global Ocean Depth Bands,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P093_ACCESSIBLE_SEAFLOOR_WINDOWS,RS019_HECTON8_PHYSICAL_ATLAS_DEPTH_BANDS,hecton8.accessible_seafloor_windows,Accessible Seafloor Windows,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P094_SEED_GEOLOGY_INVARIANTS,RS019_HECTON8_PHYSICAL_ATLAS_DEPTH_BANDS,hecton8.seed_geology_invariants,Seed Geology Invariants,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P095_PRESSURE_CONTAINMENT_FAILURE,RS019_HECTON8_PHYSICAL_ATLAS_DEPTH_BANDS,hecton8.pressure_containment_failure,Pressure Containment Failure,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P096_ATLAS_PERSON_BOUNDARY,RS020_ATLAS_ENDING_AGENCY_DOSSIER,atlas.atlas_person_boundary,Atlas Person Boundary,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P097_RECOVERY_COMPLIANCE_OFFICE,RS020_ATLAS_ENDING_AGENCY_DOSSIER,deep_reach.recovery_compliance_office,Recovery Compliance Office,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P098_FALSE_ENDING_TAXONOMY,RS020_ATLAS_ENDING_AGENCY_DOSSIER,endings.false_ending_taxonomy,False Ending Taxonomy,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P099_MARAUDER_DOSSIER_PERSISTENCE,RS020_ATLAS_ENDING_AGENCY_DOSSIER,progression.marauder_dossier_persistence,Marauder Dossier Persistence,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P100_FINAL_CHOICE_PAYLOAD,RS020_ATLAS_ENDING_AGENCY_DOSSIER,endings.final_choice_payload,Final Choice Payload,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P101_NO_FTL_ROUTE_ECONOMY,RS021_INTERSTELLAR_TRANSIT_ROUTE_HISTORY,human_space.no_ftl_route_economy,No-FTL Route Economy,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P102_BEAM_SAIL_PROBE_ERA,RS021_INTERSTELLAR_TRANSIT_ROUTE_HISTORY,human_space.beam_sail_probe_era,Beam-Sail Probe Era,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P103_PELLET_FUSION_FREIGHT,RS021_INTERSTELLAR_TRANSIT_ROUTE_HISTORY,human_space.pellet_fusion_freight,Pellet-Fusion Freight,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P104_RAN_B_H8_PUBLIC_CATALOG,RS021_INTERSTELLAR_TRANSIT_ROUTE_HISTORY,aegir.ran_b_h8_public_catalog,RAN-B:H8 Public Catalog,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P105_BLACK_KEEL_IN_SYSTEM_TENDER,RS021_INTERSTELLAR_TRANSIT_ROUTE_HISTORY,black_keel.in_system_tender_limit,Black Keel In-System Tender,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P106_ILIYA_VARNEK_TIDE_MARGIN,RS022_DEEP_REACH_SIGNOFF_CHAIN,deep_reach.iliya_varnek_tide_margin,Iliya Varnek Tide Margin,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P107_SELENE_ARENDT_ATLAS_WEIGHTING,RS022_DEEP_REACH_SIGNOFF_CHAIN,deep_reach.selene_arendt_atlas_weighting,Selene Arendt Atlas Weighting,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P108_NOOR_HALDANE_EVAC_CERT,RS022_DEEP_REACH_SIGNOFF_CHAIN,deep_reach.noor_haldane_evac_cert,Noor Haldane Evac Cert,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P109_MAREK_IBARRA_LOSS_CONVERSION,RS022_DEEP_REACH_SIGNOFF_CHAIN,deep_reach.marek_ibarra_loss_conversion,Marek Ibarra Loss Conversion,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P110_VERA_SATO_REN_RETURN_ACTION,RS022_DEEP_REACH_SIGNOFF_CHAIN,deep_reach.vera_sato_ren_return_action,Vera Sato-Ren Return Action,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P111_MANUAL_BILGE_PUMP_KIT,RS023_FIRST_TOOL_CHAIN_SURVIVAL_GATE,first_hour.manual_bilge_pump_kit,Manual Bilge Pump Kit,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P112_COLD_SEALANT_PATCH_GUN,RS023_FIRST_TOOL_CHAIN_SURVIVAL_GATE,first_hour.cold_sealant_patch_gun,Cold Sealant Patch Gun,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P113_LOW_POWER_INDUCTION_CUTTER,RS023_FIRST_TOOL_CHAIN_SURVIVAL_GATE,first_hour.low_power_induction_cutter,Low-Power Induction Cutter,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P114_ACOUSTIC_PINGER_LINE,RS023_FIRST_TOOL_CHAIN_SURVIVAL_GATE,first_hour.acoustic_pinger_line,Acoustic Pinger Line,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P115_P63_FIELD_FABRICATOR,RS023_FIRST_TOOL_CHAIN_SURVIVAL_GATE,first_hour.p63_field_fabricator,P-63 Field Fabricator,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P116_NATIVE_SULFIDE_SALT_STACK,RS024_RESOURCE_RECIPE_TAXONOMY,resources.native_sulfide_salt_stack,Native Sulfide Salt Stack,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P117_NOBLE_GAS_BRINE_POCKETS,RS024_RESOURCE_RECIPE_TAXONOMY,resources.noble_gas_brine_pockets,Noble Gas Brine Pockets,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P118_DEEP_REACH_PRESSURE_CERAMICS,RS024_RESOURCE_RECIPE_TAXONOMY,resources.deep_reach_pressure_ceramics,Deep Reach Pressure Ceramics,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P119_ATLAS_BIOFIBER_SEALANT,RS024_RESOURCE_RECIPE_TAXONOMY,resources.atlas_biofiber_sealant,Atlas Biofiber Sealant,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P120_BIOMETAL_SENSOR_TAGS,RS024_RESOURCE_RECIPE_TAXONOMY,resources.biometal_sensor_tags,Biometal Sensor Tags,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P121_DOMAIN_CIVIC_CORPORATE_SPLIT,RS025_HUMAN_LAW_PUBLIC_MEMORY,human_space.domain_civic_corporate_split,Domain Civic-Corporate Split,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P122_MARAUDER_LEGAL_LOOPHOLE,RS025_HUMAN_LAW_PUBLIC_MEMORY,human_space.marauder_legal_loophole,Marauder Legal Loophole,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P123_SALVAGE_TRUTH_EVIDENCE_STATUS,RS025_HUMAN_LAW_PUBLIC_MEMORY,human_space.salvage_truth_evidence_status,Salvage Truth Evidence Status,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P124_NORMAL_CITIZEN_AEGIR_MEMORY,RS025_HUMAN_LAW_PUBLIC_MEMORY,human_space.normal_citizen_aegir_memory,Normal Citizen Aegir Memory,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P125_DEEP_REACH_ORIGIN_CHAIN,RS025_HUMAN_LAW_PUBLIC_MEMORY,human_space.deep_reach_origin_chain,Deep Reach Origin Chain,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
