packet_id,arc_id,depth_band,route_moment,prereq_packet_ids,next_packet_ids,evidence_type,truth_claim,player_decision,spoiler_tier,primary_surface
AL_SHIFT_B_AIR_COUNT,derived_unassigned,biome.drowned_factories,unlock.audio.shift_b_air_count,,P711_PAD_ATTENTION_DISCIPLINE,derived_from_unlock_and_poi_tags,,,,external_site
AL_WINDOW_WATCH,derived_unassigned,biome.drowned_factories,unlock.audio.window_watch,AL_EVAC_QUEUE,,derived_from_unlock_and_poi_tags,,,,external_site
P001_CRASH_SHELF,derived_unassigned,biome.shallow_reef;biome.storm_shelf,unlock.first_shelter,P002_BLACK_KEEL_CONTACT,P1093_STYX_DROP_POD_CUTAWAY;P002_BLACK_KEEL_CONTACT,derived_from_unlock_and_poi_tags,,,,external_site
P002_BLACK_KEEL_CONTACT,derived_unassigned,biome.storm_shelf;biome.shallow_reef,unlock.black_keel_handshake,P001_CRASH_SHELF,P001_CRASH_SHELF;P017_AEGIR_MOON_LADDER,derived_from_unlock_and_poi_tags,,,,external_site
P003_BARNARD_MARK,derived_unassigned,biome.drowned_infrastructure,unlock.first_barnard_mark,,P043_SHIFT_BOARD_ROUTE_HOLDS;P027_BARNARD_YARDS_ORIGIN;P006_DEAD_CLAIM_CACHE,derived_from_unlock_and_poi_tags,,,,external_site
P004_BLUE_DEBT,derived_unassigned,biome.industrial_descent;biome.thermal_field,unlock.first_blue_debt_sample,,P019_HECTON8_RESOURCE_STACK;P627_BLUE_DEBT_CASKET_HANDLING_ARTICLE,derived_from_unlock_and_poi_tags,,,,external_site
P005_REPAIR_SCAR,derived_unassigned,biome.cable_forest;biome.deep_abyss,unlock.first_atlas_category_error,,P703_TUBULAR_CORAL;P624_CABLE_FOREST_CONDUCTIVE_BIOTA;P008_EVACUATION_HOLD;P082_PRESSURE_GLASS_FORMATION;P085_BIOMETAL_RESOURCE_STACK;P708_PAD_BIOMASS_EUPHEMISM,derived_from_unlock_and_poi_tags,,,,external_site
P006_DEAD_CLAIM_CACHE,derived_unassigned,biome.service_canyons;biome.drowned_infrastructure,unlock.first_marauder_cache,P003_BARNARD_MARK,,derived_from_unlock_and_poi_tags,,,,
P007_BRINE_STAIR,derived_unassigned,biome.brine_stairs;biome.thermal_field,unlock.first_brine_layer_route,,P018_HECTON8_DROWNED_GEOLOGY,derived_from_unlock_and_poi_tags,,,,external_site
P008_EVACUATION_HOLD,derived_unassigned,biome.deep_abyss;biome.drowned_colony,unlock.first_evacuation_hold_record,P005_REPAIR_SCAR,P023_DEEP_REACH_RETURN_CLAIM;P042_PRESSURE_BUNK_ROUTINE;P044_MEDICAL_LOCK_DELAY;P046_PUMP_ROOM_HANDSHAKE;P047_HATCH_SEAL_LEDGER;P057_GREAT_TIDE_LIABILITY_CHAIN;P711_PAD_INTAKE_CATEGORY_OTHER;P801_PRESSURE_BUNK_AIR_TALLY;P802_SHIFT_BOARD_C12_ROUTE_HOLD;P803_MESS_HEATER_LUNCH_TOKEN;P804_BARNARD_TOOL_MARK_FIRST_TRACE,derived_from_unlock_and_poi_tags,,,,external_site
P009_BOTTOM_FACTORY,derived_unassigned,biome.atlas_bottom;biome.factory_temple,unlock.first_bottom_factory_contact,,P010_PAYLOAD_WINDOW;P020_HECTON8_ECOLOGY_REGISTRY;P040_ATLAS_FINAL_ARGUMENT;P084_VENT_FORGE_GEOTHERMAL_ENGINE,derived_from_unlock_and_poi_tags,,,,external_site
P010_PAYLOAD_WINDOW,derived_unassigned,biome.atlas_bottom;biome.deep_launch_route,unlock.first_payload_window,P009_BOTTOM_FACTORY,P024_FALSE_EXIT_MATERIAL,derived_from_unlock_and_poi_tags,,,,external_site
P011_DOMAIN_MARKS_2190,derived_unassigned,biome.crash_shelf;biome.drowned_colony,unlock.first_multi_domain_mark,,P022_DROP_CAPSULE_DAMAGE;P031_PHOTIC_SHELF_LIFE;P060_FIRST_HOUR_SPINE;P111_MANUAL_BILGE_PUMP_KIT;P112_COLD_SEALANT_PATCH_GUN;P152_DROP_CAPSULE_DAMAGE_SEQUENCE;P237_DROP_CAPSULE_DAMAGE_PARTS;P660_EMERGENCY_FLOAT_CRATE_INVENTORY;P661_HEAT_SHIELD_TEETH_SALVAGE_TRAIL,derived_from_unlock_and_poi_tags,,,,external_site
P012_RELAY_SPINE,derived_unassigned,biome.drowned_colony;biome.service_canyons,unlock.first_stale_relay_buffer,,P054_RELAY_QUEUE_DRIFT;P013_NEARLIGHT_SHIP_CLASSES;P014_AEGIR_ROUTE_WINDOW,derived_from_unlock_and_poi_tags,,,,external_site
P013_NEARLIGHT_SHIP_CLASSES,derived_unassigned,biome.drowned_colony;biome.black_keel_link,unlock.first_nearlight_manifest,P012_RELAY_SPINE,,derived_from_unlock_and_poi_tags,,,,external_site
P014_AEGIR_ROUTE_WINDOW,derived_unassigned,biome.crash_shelf;biome.black_keel_link,unlock.first_aegir_window_table,P012_RELAY_SPINE,,derived_from_unlock_and_poi_tags,,,,external_site
P015_BLACK_KEEL_LEDGER,derived_unassigned,biome.drowned_colony;biome.deep_launch_route,unlock.first_black_keel_ledger,,P021_BLACK_KEEL_CUSTODY,derived_from_unlock_and_poi_tags,,,,external_site
P016_AEGIR_HOST_STAR,derived_unassigned,biome.storm_shelf;biome.surface_weather,unlock.first_host_star_reading,,P017_AEGIR_MOON_LADDER;P026_SIX_DOMAIN_LEDGER,derived_from_unlock_and_poi_tags,,,,external_site
P017_AEGIR_MOON_LADDER,derived_unassigned,biome.storm_shelf;biome.orbit_window,unlock.first_moon_ladder_map,P016_AEGIR_HOST_STAR;P002_BLACK_KEEL_CONTACT,,derived_from_unlock_and_poi_tags,,,,external_site
P018_HECTON8_DROWNED_GEOLOGY,derived_unassigned,biome.drowned_shelf;biome.brine_stairs,unlock.first_geology_route_model,P007_BRINE_STAIR,,derived_from_unlock_and_poi_tags,,,,external_site
P019_HECTON8_RESOURCE_STACK,derived_unassigned,biome.service_canyons;biome.industrial_descent,unlock.first_resource_stack_scan,P004_BLUE_DEBT,,derived_from_unlock_and_poi_tags,,,,external_site
P020_HECTON8_ECOLOGY_REGISTRY,derived_unassigned,biome.storm_shelf;biome.cable_forest,unlock.first_ecology_registry_scan,P009_BOTTOM_FACTORY,,derived_from_unlock_and_poi_tags,,,,external_site
P021_BLACK_KEEL_CUSTODY,derived_unassigned,biome.crash_shelf;biome.surface_weather,unlock.first_black_keel_custody_record,P015_BLACK_KEEL_LEDGER,P030_RELAY_CUSTODY_DEBT_CHAIN,derived_from_unlock_and_poi_tags,,,,
P022_DROP_CAPSULE_DAMAGE,derived_unassigned,biome.crash_shelf;biome.shallow_repair,unlock.first_drop_capsule_damage_audit,P011_DOMAIN_MARKS_2190,,derived_from_unlock_and_poi_tags,,,,
P023_DEEP_REACH_RETURN_CLAIM,derived_unassigned,biome.drowned_colony;biome.deep_relay,unlock.first_deep_reach_return_claim,P008_EVACUATION_HOLD,,derived_from_unlock_and_poi_tags,,,,
P024_FALSE_EXIT_MATERIAL,derived_unassigned,biome.deep_launch_route;biome.orbit_window,unlock.first_material_exit_offer,P010_PAYLOAD_WINDOW,,derived_from_unlock_and_poi_tags,,,,
P025_PROFESSIONAL_MOTIVE,derived_unassigned,biome.crash_shelf;biome.drowned_colony,unlock.first_professional_motive_shift,,P041_WORKER_LOCKER_ROW;P065_SAHANA_IQBAL_ATLAS_SAFETY;P070_DEEP_REACH_PRESENT_WINDOWS,derived_from_unlock_and_poi_tags,,,,
P026_SIX_DOMAIN_LEDGER,derived_unassigned,biome.drowned_colony;biome.deep_archive,unlock.first_six_domain_ledger,P016_AEGIR_HOST_STAR,P625_RAN_LONG_CLAIM_TRANSIT_ARTICLE;P028_NO_FTL_TRANSIT_MATH,derived_from_unlock_and_poi_tags,,,,
P027_BARNARD_YARDS_ORIGIN,derived_unassigned,biome.crash_shelf;biome.drowned_colony,unlock.first_barnard_yards_origin_record,P003_BARNARD_MARK,,derived_from_unlock_and_poi_tags,,,,
P028_NO_FTL_TRANSIT_MATH,derived_unassigned,biome.deep_archive;biome.service_canyon,unlock.first_transit_math_record,P026_SIX_DOMAIN_LEDGER,P030_RELAY_CUSTODY_DEBT_CHAIN;P625_RAN_LONG_CLAIM_TRANSIT_ARTICLE,derived_from_unlock_and_poi_tags,,,,
P029_SEED_SHIP_DOCTRINE,derived_unassigned,biome.drowned_colony;biome.deep_archive,unlock.first_seed_ship_doctrine_record,,P035_FACTORY_TEMPLE_THRESHOLD,derived_from_unlock_and_poi_tags,,,,
P030_RELAY_CUSTODY_DEBT_CHAIN,derived_unassigned,biome.crash_shelf;biome.service_canyon,unlock.first_relay_debt_chain_record,P021_BLACK_KEEL_CUSTODY;P028_NO_FTL_TRANSIT_MATH,P086_AEGIR_RECLAMATION_POOL,derived_from_unlock_and_poi_tags,,,,
P031_PHOTIC_SHELF_LIFE,derived_RS007_DEPTH_ECOLOGY_FACTORY_TEMPLE,biome.crash_shelf;biome.photic_shelf,unlock.first_photic_shelf_life,P011_DOMAIN_MARKS_2190,P153_SHALLOW_ANNEX_P63_PUMP_ROOM;P221_PHOTIC_MAT_BASELINE;P223_LANTERN_DRIFT_BLOOM;P293_LANTERN_DRIFT_CODEX_CARD;P664_HALO_SARGASSUM_OXYGEN_LURE;P700_IRON_MINNOW;P700_SILT_DRIFTER,derived_from_unlock_and_poi_tags,,,,
P032_PRESSURE_LADDER_DEPTH_BANDS,derived_unassigned,biome.crash_shelf;biome.service_canyon,unlock.first_pressure_ladder,,P092_GLOBAL_OCEAN_DEPTH_BANDS;P034_ABYSSAL_REPAIR_FAUNA,derived_from_unlock_and_poi_tags,,,,
P033_CABLE_REEF_SYMBIOSIS,derived_unassigned,biome.service_canyon;biome.cable_reef,unlock.first_cable_reef_symbiosis,,P1094_BATHYMETRIC_SOUND_FIELD_GUIDE;P048_CABLE_SPLICE_SCAR;P061_MAINTENANCE_ECOLOGY;P068_AYA_MORITA_REPAIR_MEDICINE;P113_LOW_POWER_INDUCTION_CUTTER;P222_GLASS_GRAZER_SCHOOLS;P224_SHELL_CLAMP_REEF;P402_JUNO_KADE_RELAY_NOTARY_DOSSIER;P704_CATHEDRAL_KELP;P706_AL_ATLAS_REPLY,derived_from_unlock_and_poi_tags,,,,
P034_ABYSSAL_REPAIR_FAUNA,derived_unassigned,biome.abyssal_slope;biome.repair_ecology,unlock.first_abyssal_repair_fauna,P032_PRESSURE_LADDER_DEPTH_BANDS,,derived_from_unlock_and_poi_tags,,,,
P035_FACTORY_TEMPLE_THRESHOLD,derived_unassigned,biome.bottom_factory;biome.atlas_zone,unlock.first_factory_temple_threshold,P029_SEED_SHIP_DOCTRINE,,derived_from_unlock_and_poi_tags,,,,
P036_RETURN_VECTOR_WINDOW,derived_unassigned,biome.surface_squall;biome.shallow_shelter,unlock.first_return_vector_window,,P037_COWARD_EXIT_CHAIN,derived_from_unlock_and_poi_tags,,,,
P037_COWARD_EXIT_CHAIN,derived_unassigned,biome.surface_squall;biome.shallow_shelter,unlock.first_coward_exit_chain,P036_RETURN_VECTOR_WINDOW,,derived_from_unlock_and_poi_tags,,,,
P038_MATERIAL_PAYOUT_LEDGER,derived_unassigned,biome.resource_cache;biome.dead_claim,unlock.first_material_payout_ledger,,P354_BLUE_DEBT_PRESSURE_HISTORY_GUIDE;P039_DEEP_REACH_CLEANSE_ORDER,derived_from_unlock_and_poi_tags,,,,
P039_DEEP_REACH_CLEANSE_ORDER,derived_unassigned,biome.dead_claim;biome.industrial_descent,unlock.first_deep_reach_cleanse_order,P038_MATERIAL_PAYOUT_LEDGER,,derived_from_unlock_and_poi_tags,,,,
P040_ATLAS_FINAL_ARGUMENT,derived_unassigned,biome.factory_temple;biome.atlas_core,unlock.first_atlas_final_argument,P009_BOTTOM_FACTORY,,derived_from_unlock_and_poi_tags,,,,
P041_WORKER_LOCKER_ROW,derived_unassigned,biome.drowned_colony;biome.shallow_wreck,unlock.first_worker_locker_row,P025_PROFESSIONAL_MOTIVE,P800_WORKER_LOCKER_SEAL_FAILURE,derived_from_unlock_and_poi_tags,,,,
P042_PRESSURE_BUNK_ROUTINE,derived_unassigned,biome.drowned_colony;biome.pressure_hab,unlock.first_pressure_bunk_routine,P008_EVACUATION_HOLD,,derived_from_unlock_and_poi_tags,,,,
P043_SHIFT_BOARD_ROUTE_HOLDS,derived_unassigned,biome.drowned_colony;biome.service_canyon,unlock.first_shift_board_route_holds,P003_BARNARD_MARK,,derived_from_unlock_and_poi_tags,,,,
P044_MEDICAL_LOCK_DELAY,derived_unassigned,biome.drowned_colony;biome.quarantine_module,unlock.first_medical_lock_delay,P008_EVACUATION_HOLD,,derived_from_unlock_and_poi_tags,,,,
P045_BLACK_BOX_NAME_STACK,derived_unassigned,biome.deep_colony;biome.factory_threshold,unlock.first_black_box_name_stack,,P050_SALVAGE_TOOL_CUSTODY;P049_SONAR_RETURN_ROUTE,derived_from_unlock_and_poi_tags,,,,
P046_PUMP_ROOM_HANDSHAKE,derived_unassigned,biome.pressure_hab;biome.drowned_colony,unlock.first_pump_room_handshake,P008_EVACUATION_HOLD,P059_ESCAPE_CHAIN_ASSEMBLY;P064_REN_OKOYE_PUMP_63,derived_from_unlock_and_poi_tags,,,,
P047_HATCH_SEAL_LEDGER,derived_unassigned,biome.drowned_colony;biome.service_corridor,unlock.first_hatch_seal_ledger,P008_EVACUATION_HOLD,,derived_from_unlock_and_poi_tags,,,,
P048_CABLE_SPLICE_SCAR,derived_unassigned,biome.service_corridor;biome.cable_reef,unlock.first_cable_splice_scar,P033_CABLE_REEF_SYMBIOSIS,,derived_from_unlock_and_poi_tags,,,,
P049_SONAR_RETURN_ROUTE,derived_unassigned,biome.shallow_wreck;biome.service_canyon,unlock.first_sonar_return_route,P045_BLACK_BOX_NAME_STACK,,derived_from_unlock_and_poi_tags,,,,
P050_SALVAGE_TOOL_CUSTODY,derived_unassigned,biome.drowned_colony;biome.deep_colony,unlock.first_salvage_tool_custody,P045_BLACK_BOX_NAME_STACK,,derived_from_unlock_and_poi_tags,,,,
P051_LIGHT_DELAY_AUTHORITY,derived_unassigned,biome.storm_shelf;biome.surface_relay,unlock.first_light_delay_authority,,P626_BLACK_KEEL_WINDOW_PRICE_ARTICLE,derived_from_unlock_and_poi_tags,,,,
P052_BLACK_KEEL_TARIFF_TABLE,derived_unassigned,biome.corporate_wreck;biome.salvage_route,unlock.first_black_keel_tariff_table,,P055_CORPORATE_RESPONSE_LEDGER;P069_PAVEL_SORN_PROCEDURE_HOLD;P053_MARAUDER_GRAFFITI_MASKS;P058_BLACK_KEEL_CLAIM_HOOKS,derived_from_unlock_and_poi_tags,,,,
P053_MARAUDER_GRAFFITI_MASKS,derived_unassigned,biome.service_corridor;biome.salvage_route,unlock.first_marauder_graffiti_masks,P052_BLACK_KEEL_TARIFF_TABLE,,derived_from_unlock_and_poi_tags,,,,
P054_RELAY_QUEUE_DRIFT,derived_unassigned,biome.surface_relay;biome.storm_shelf,unlock.first_relay_queue_drift,P012_RELAY_SPINE,,derived_from_unlock_and_poi_tags,,,,
P055_CORPORATE_RESPONSE_LEDGER,derived_unassigned,biome.corporate_wreck;biome.return_route,unlock.first_corporate_response_ledger,P052_BLACK_KEEL_TARIFF_TABLE,,derived_from_unlock_and_poi_tags,,,,
P056_EX_DEEP_REACH_MARAUDER,derived_unassigned,biome.crash_shelf;biome.shallow_wreck,unlock.first_ex_deep_reach_recognition,,P1093_STYX_DROP_POD_CUTAWAY,derived_from_unlock_and_poi_tags,,,,
P057_GREAT_TIDE_LIABILITY_CHAIN,derived_unassigned,biome.tide_gauge;biome.drowned_colony,unlock.first_great_tide_liability_chain,P008_EVACUATION_HOLD,P062_MARA_VENN_TIDE_MODEL,derived_from_unlock_and_poi_tags,,,,
P058_BLACK_KEEL_CLAIM_HOOKS,derived_unassigned,biome.claim_pool;biome.surface_relay,unlock.first_black_keel_claim_hooks,P052_BLACK_KEEL_TARIFF_TABLE,,derived_from_unlock_and_poi_tags,,,,
P059_ESCAPE_CHAIN_ASSEMBLY,derived_unassigned,biome.service_corridor;biome.machine_trench,unlock.first_escape_chain_assembly,P046_PUMP_ROOM_HANDSHAKE,,derived_from_unlock_and_poi_tags,,,,
P060_FIRST_HOUR_SPINE,derived_unassigned,biome.photic_shelf;biome.crash_shelf,unlock.first_first_hour_spine,P011_DOMAIN_MARKS_2190,,derived_from_unlock_and_poi_tags,,,,
P061_MAINTENANCE_ECOLOGY,derived_unassigned,biome.cable_reef;biome.repair_fauna,unlock.first_maintenance_ecology,P033_CABLE_REEF_SYMBIOSIS,,derived_from_unlock_and_poi_tags,,,,
P062_MARA_VENN_TIDE_MODEL,derived_unassigned,biome.tide_gauge;biome.glacier_break,unlock.first_mara_venn_tide_model,P057_GREAT_TIDE_LIABILITY_CHAIN,,derived_from_unlock_and_poi_tags,,,,
P063_JUNO_KADE_EVACUATION_HOLD,derived_unassigned,biome.evacuated_station;biome.drowned_colony,unlock.first_juno_kade_evacuation_hold,,P711_PAD_QUARANTINE_HOLD;P108_NOOR_HALDANE_EVAC_CERT,derived_from_unlock_and_poi_tags,,,,
P064_REN_OKOYE_PUMP_63,derived_unassigned,biome.pump_annex;biome.shallow_wreck,unlock.first_ren_okoye_pump_63,P046_PUMP_ROOM_HANDSHAKE,,derived_from_unlock_and_poi_tags,,,,
P065_SAHANA_IQBAL_ATLAS_SAFETY,derived_unassigned,biome.atlas_interface;biome.machine_trench,unlock.first_sahana_iqbal_atlas_safety,P025_PROFESSIONAL_MOTIVE,,derived_from_unlock_and_poi_tags,,,,
P066_LIAN_TORRES_LAST_PACKET,derived_unassigned,biome.relay_spine;biome.drowned_comms,unlock.first_lian_torres_last_packet,,P075_LUYTEN_JUNCTION_PACKET_CUSTODY;P074_TAU_CETI_PUBLIC_LEDGER,derived_from_unlock_and_poi_tags,,,,
P067_OSKAR_NEUMANN_PRESSURE_FORGE,derived_unassigned,biome.deep_fabrication;biome.machine_trench,unlock.first_oskar_neumann_pressure_forge,,P364_ASCENT_ENERGY_CHARGE_ASSEMBLY,derived_from_unlock_and_poi_tags,,,,
P068_AYA_MORITA_REPAIR_MEDICINE,derived_unassigned,biome.medical_lock;biome.repair_fauna,unlock.first_aya_morita_repair_medicine,P033_CABLE_REEF_SYMBIOSIS,,derived_from_unlock_and_poi_tags,,,,
P069_PAVEL_SORN_PROCEDURE_HOLD,derived_unassigned,biome.admin_deck;biome.drowned_office,unlock.first_pavel_sorn_procedure_hold,P052_BLACK_KEEL_TARIFF_TABLE,,derived_from_unlock_and_poi_tags,,,,
P070_DEEP_REACH_PRESENT_WINDOWS,derived_unassigned,biome.relay_spine;biome.surface_relay,unlock.first_deep_reach_present_windows,P025_PROFESSIONAL_MOTIVE,,derived_from_unlock_and_poi_tags,,,,
P074_TAU_CETI_PUBLIC_LEDGER,derived_unassigned,biome.admin_spine;biome.relay_spine,unlock.first_tau_ceti_public_ledger,P066_LIAN_TORRES_LAST_PACKET,,derived_from_unlock_and_poi_tags,,,,
P075_LUYTEN_JUNCTION_PACKET_CUSTODY,derived_unassigned,biome.relay_spine;biome.drowned_comms,unlock.first_luyten_junction_packet_custody,P066_LIAN_TORRES_LAST_PACKET,,derived_from_unlock_and_poi_tags,,,,
P076_RAN_AEGIR_ANCHOR,derived_unassigned,biome.surface_relay;biome.orbital_window,unlock.first_ran_aegir_anchor,,P077_AEGIR_MOON_LADDER;P078_INNER_MOON_RELAY_HAZARDS;P080_OUTER_MOON_COLD_CLAIMS,derived_from_unlock_and_poi_tags,,,,
P077_AEGIR_MOON_LADDER,derived_unassigned,biome.orbital_window;biome.relay_spine,unlock.first_aegir_moon_ladder,P076_RAN_AEGIR_ANCHOR,,derived_from_unlock_and_poi_tags,,,,
P078_INNER_MOON_RELAY_HAZARDS,derived_unassigned,biome.orbital_window;biome.surface_relay,unlock.first_inner_moon_relay_hazards,P076_RAN_AEGIR_ANCHOR,,derived_from_unlock_and_poi_tags,,,,
P079_HECTON8_ORBIT_TIDE_GEOMETRY,derived_unassigned,biome.storm_shelf;biome.brine_canyon,unlock.first_hecton8_orbit_tide_geometry,,P081_GREAT_TIDE_PHYSICS_RECORD;P083_BRINE_CANYON_ROUTE_LADDER;P091_COLLISION_FRACTURED_MOON;P106_ILIYA_VARNEK_TIDE_MARGIN;P114_ACOUSTIC_PINGER_LINE;P116_NATIVE_SULFIDE_SALT_STACK;P123_SALVAGE_TRUTH_EVIDENCE_STATUS;P1305_TIDE_WORK_WINDOW_FIELD_ARTICLE;P1322_BRINE_CANYON_SALT_CRUST_SILT_FIELD_ARTICLE;P135_PUBLIC_LEDGER_LEAK_ROUTE;P1413_BRINE_DENSITY_ROUTE_LEDGER;P167_PRESSURE_JOB_TITLE_TABLE;P170_SHIFT_CREW_STORY_SEEDS;P171_RECIPE_TIER_PRESSURE_BANDS;P174_VENT_FORGE_PROCESS_STEPS;P226_BRINE_VANE_FORESTS;P227_DENSITY_SKATER_FAUNA;P228_VENT_ANCHOR_COLONIES;P239_PRESSURE_SUIT_SERVICE_GRADES;P240_SONAR_PINGER_ROUTE_BEACONS;P294_BRINE_VANE_CODEX_CARD;P368_OLD_PROCEDURE_RECOGNITION_CUE;P371_GREAT_TIDE_SENSOR_MARGIN_PROOF;P383_BRINE_CANYON_LIABILITY_ACT;P388_BRINE_CANYON_PUMP_CATHEDRAL_POI_KIT;P389_EVACUATION_QUEUE_TERMINAL_POI_KIT;P428_BRINE_SALT_PROCESS_LOT_CARD;P441_RESOURCE_YIELD_VALUE_DRAFT_ROWS;P703_BLOOD_KELP,derived_from_unlock_and_poi_tags,,,,
P080_OUTER_MOON_COLD_CLAIMS,derived_unassigned,biome.orbital_window;biome.dead_claim_cache,unlock.first_outer_moon_cold_claims,P076_RAN_AEGIR_ANCHOR,,derived_from_unlock_and_poi_tags,,,,
P081_GREAT_TIDE_PHYSICS_RECORD,derived_unassigned,biome.tide_pump;biome.drowned_admin,unlock.first_great_tide_physics_record,P079_HECTON8_ORBIT_TIDE_GEOMETRY,,derived_from_unlock_and_poi_tags,,,,
P082_PRESSURE_GLASS_FORMATION,derived_unassigned,biome.deep_abyss;biome.thermal_fields,unlock.first_pressure_glass_formation,P005_REPAIR_SCAR,P706_AL_THERMAL_POCKET,derived_from_unlock_and_poi_tags,,,,
P083_BRINE_CANYON_ROUTE_LADDER,derived_unassigned,biome.brine_canyon;biome.drop_zone,unlock.first_brine_canyon_route_ladder,P079_HECTON8_ORBIT_TIDE_GEOMETRY,,derived_from_unlock_and_poi_tags,,,,
P084_VENT_FORGE_GEOTHERMAL_ENGINE,derived_unassigned,biome.thermal_fields;biome.factory_temple,unlock.first_vent_forge_geothermal_engine,P009_BOTTOM_FACTORY,P427_PRESSURE_GLASS_FIELD_CERTIFICATE,derived_from_unlock_and_poi_tags,,,,
P085_BIOMETAL_RESOURCE_STACK,derived_unassigned,biome.factory_temple;biome.deep_abyss,unlock.first_biometal_resource_stack,P005_REPAIR_SCAR,,derived_from_unlock_and_poi_tags,,,,
