prefab_name,prefab_path,family_guess,variant_guess,domain_guess,has_variant_suffix,likely_visual_role,source_confidence,notes
PFB_family_debris_field.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_field.prefab,debris_field,base,hard_surface,FALSE,clutter,HIGH,Root proxy for debris field
PFB_family_debris_field__field.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_field__field.prefab,debris_field,field,hard_surface,TRUE,clutter_volume,HIGH,Broad debris field
PFB_family_debris_field__strip.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_field__strip.prefab,debris_field,strip,hard_surface,TRUE,clutter_linear,HIGH,Linear strip of debris
PFB_family_debris_scatter.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter.prefab,debris_scatter,base,hard_surface,FALSE,clutter,HIGH,Root proxy for debris scatter
PFB_family_debris_scatter__crate.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,debris_scatter,crate,hard_surface,TRUE,clutter_obj,HIGH,Crate debris
PFB_family_debris_scatter__scrap.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__scrap.prefab,debris_scatter,scrap,hard_surface,TRUE,clutter_obj,HIGH,Scrap metal debris
PFB_family_egg_cluster.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_egg_cluster.prefab,egg_cluster,base,fauna,FALSE,interest_point,HIGH,Root proxy for egg cluster
PFB_family_egg_cluster__clutch.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_egg_cluster__clutch.prefab,egg_cluster,clutch,fauna,TRUE,interest_point,HIGH,Egg clutch variant
PFB_family_egg_cluster__nest.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_egg_cluster__nest.prefab,egg_cluster,nest,fauna,TRUE,interest_point,HIGH,Egg nest variant
PFB_family_kelp_abyssal__shroud.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_abyssal__shroud.prefab,kelp_abyssal,shroud,flora,TRUE,vertical_flora,HIGH,Abyssal kelp shroud
PFB_family_kelp_abyssal__strap.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_abyssal__strap.prefab,kelp_abyssal,strap,flora,TRUE,vertical_flora,HIGH,Abyssal kelp strap
PFB_family_kelp_canopy__crown.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_canopy__crown.prefab,kelp_canopy,crown,flora,TRUE,ceiling_flora,HIGH,Canopy kelp crown
PFB_family_kelp_canopy__frond.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_canopy__frond.prefab,kelp_canopy,frond,flora,TRUE,ceiling_flora,HIGH,Canopy kelp frond
PFB_family_kelp_patch_dense.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_patch_dense.prefab,kelp_patch_dense,base,flora,FALSE,dense_flora,HIGH,Root proxy for dense kelp patch
PFB_family_kelp_patch_dense__grove.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_patch_dense__grove.prefab,kelp_patch_dense,grove,flora,TRUE,dense_flora,HIGH,Large grove of dense kelp
PFB_family_kelp_patch_dense__patch.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_patch_dense__patch.prefab,kelp_patch_dense,patch,flora,TRUE,dense_flora,HIGH,Standard patch of dense kelp
PFB_family_kelp_tall.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_tall.prefab,kelp_tall,base,flora,FALSE,vertical_flora,HIGH,Root proxy for tall kelp
PFB_family_kelp_tall__lean.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_tall__lean.prefab,kelp_tall,lean,flora,TRUE,vertical_flora,HIGH,Leaning tall kelp
PFB_family_kelp_tall__stalk.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_tall__stalk.prefab,kelp_tall,stalk,flora,TRUE,vertical_flora,HIGH,Straight tall kelp stalk
PFB_family_landmark_spire.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_landmark_spire.prefab,landmark_spire,base,geology,FALSE,hero_geology,HIGH,Root proxy for landmark spire
PFB_family_landmark_spire__spire.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_landmark_spire__spire.prefab,landmark_spire,spire,geology,TRUE,hero_geology,HIGH,Single landmark spire
PFB_family_landmark_spire__split.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_landmark_spire__split.prefab,landmark_spire,split,geology,TRUE,hero_geology,HIGH,Split landmark spire
PFB_family_plant_giant.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_plant_giant.prefab,plant_giant,base,flora,FALSE,hero_flora,HIGH,Root proxy for giant plant
PFB_family_plant_giant__canopy.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_plant_giant__canopy.prefab,plant_giant,canopy,flora,TRUE,hero_flora,HIGH,Giant plant with canopy
PFB_family_plant_giant__tower.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_plant_giant__tower.prefab,plant_giant,tower,flora,TRUE,hero_flora,HIGH,Towering giant plant
PFB_family_pocket_hazard.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_hazard.prefab,pocket_hazard,base,hazard,FALSE,hazard_zone,HIGH,Root proxy for hazard pocket
PFB_family_pocket_hazard__nest.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_hazard__nest.prefab,pocket_hazard,nest,hazard,TRUE,hazard_zone,HIGH,Hazardous nest pocket
PFB_family_pocket_hazard__vent.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_hazard__vent.prefab,pocket_hazard,vent,hazard,TRUE,hazard_zone,HIGH,Hazardous vent pocket
PFB_family_pocket_resource.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_resource.prefab,pocket_resource,base,resource,FALSE,resource_zone,HIGH,Root proxy for resource pocket
PFB_family_pocket_resource__cache.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_resource__cache.prefab,pocket_resource,cache,resource,TRUE,resource_zone,HIGH,Resource cache pocket
PFB_family_pocket_resource__mound.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_resource__mound.prefab,pocket_resource,mound,resource,TRUE,resource_zone,HIGH,Resource mound pocket
PFB_family_pocket_safe.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_safe.prefab,pocket_safe,base,safe_zone,FALSE,safe_zone,HIGH,Root proxy for safe pocket
PFB_family_pocket_safe__bubble.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_safe__bubble.prefab,pocket_safe,bubble,safe_zone,TRUE,safe_zone,HIGH,Safe bubble pocket
PFB_family_pocket_safe__shelter.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_safe__shelter.prefab,pocket_safe,shelter,safe_zone,TRUE,safe_zone,HIGH,Safe shelter pocket
PFB_family_rock_arch_large.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_arch_large.prefab,rock_arch_large,base,geology,FALSE,hero_geology,HIGH,Root proxy for large rock arch
PFB_family_rock_arch_large__arch.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_arch_large__arch.prefab,rock_arch_large,arch,geology,TRUE,hero_geology,HIGH,Large rock arch
PFB_family_rock_arch_large__split.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_arch_large__split.prefab,rock_arch_large,split,geology,TRUE,hero_geology,HIGH,Large split rock arch
PFB_family_rock_cluster_medium.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_cluster_medium.prefab,rock_cluster_medium,base,geology,FALSE,structural_geology,HIGH,Root proxy for medium rock cluster
PFB_family_rock_cluster_medium__cluster.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_cluster_medium__cluster.prefab,rock_cluster_medium,cluster,geology,TRUE,structural_geology,HIGH,Medium rock cluster
PFB_family_rock_cluster_medium__ridge.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_cluster_medium__ridge.prefab,rock_cluster_medium,ridge,geology,TRUE,structural_geology,HIGH,Medium rock ridge
PFB_family_rock_cluster_medium__stack.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_cluster_medium__stack.prefab,rock_cluster_medium,stack,geology,TRUE,structural_geology,HIGH,Medium rock stack
PFB_family_rock_shelf_large__ledge.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_shelf_large__ledge.prefab,rock_shelf_large,ledge,geology,TRUE,hero_geology,HIGH,Large rock shelf ledge
PFB_family_rock_shelf_large__wall.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_shelf_large__wall.prefab,rock_shelf_large,wall,geology,TRUE,hero_geology,HIGH,Large rock shelf wall
PFB_family_rock_small_floor.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_small_floor.prefab,rock_small_floor,base,geology,FALSE,clutter_geology,HIGH,Root proxy for small floor rock
PFB_family_rock_small_floor__flat.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_small_floor__flat.prefab,rock_small_floor,flat,geology,TRUE,clutter_geology,HIGH,Small flat floor rock
PFB_family_rock_small_floor__group.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_small_floor__group.prefab,rock_small_floor,group,geology,TRUE,clutter_geology,HIGH,Small floor rock group
PFB_family_rock_small_floor__low.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_small_floor__low.prefab,rock_small_floor,low,geology,TRUE,clutter_geology,HIGH,Small low floor rock
PFB_family_route_power.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power.prefab,route_power,base,hard_surface,FALSE,utility,HIGH,Root proxy for power route
PFB_family_route_power__node.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__node.prefab,route_power,node,hard_surface,TRUE,utility,HIGH,Power route node
PFB_family_route_power__relay.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab,route_power,relay,hard_surface,TRUE,utility,HIGH,Power route relay
PFB_family_ruin_cluster_medium.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_cluster_medium.prefab,ruin_cluster_medium,base,hard_surface,FALSE,structural_ruin,HIGH,Root proxy for medium ruin cluster
PFB_family_ruin_cluster_medium__cluster.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_cluster_medium__cluster.prefab,ruin_cluster_medium,cluster,hard_surface,TRUE,structural_ruin,HIGH,Medium ruin cluster
PFB_family_ruin_cluster_medium__corridor.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_cluster_medium__corridor.prefab,ruin_cluster_medium,corridor,hard_surface,TRUE,structural_ruin,HIGH,Medium ruin corridor
PFB_family_ruin_megastructure.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure.prefab,ruin_megastructure,base,hard_surface,FALSE,hero_ruin,HIGH,Root proxy for ruin megastructure
PFB_family_ruin_megastructure__frame.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure__frame.prefab,ruin_megastructure,frame,hard_surface,TRUE,hero_ruin,HIGH,Ruin megastructure frame
PFB_family_ruin_megastructure__stack.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure__stack.prefab,ruin_megastructure,stack,hard_surface,TRUE,hero_ruin,HIGH,Ruin megastructure stack
PFB_family_ruin_megastructure__tower.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure__tower.prefab,ruin_megastructure,tower,hard_surface,TRUE,hero_ruin,HIGH,Ruin megastructure tower
PFB_family_ruin_module_single.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_module_single.prefab,ruin_module_single,base,hard_surface,FALSE,structural_ruin,HIGH,Root proxy for single ruin module
PFB_family_ruin_module_single__block.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_module_single__block.prefab,ruin_module_single,block,hard_surface,TRUE,structural_ruin,HIGH,Single ruin module block
PFB_family_ruin_module_single__breach.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_module_single__breach.prefab,ruin_module_single,breach,hard_surface,TRUE,structural_ruin,HIGH,Single ruin module breach
PFB_family_service_scar.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_service_scar.prefab,service_scar,base,hard_surface,FALSE,decal_ruin,HIGH,Root proxy for service scar
PFB_family_service_scar__pump.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_service_scar__pump.prefab,service_scar,pump,hard_surface,TRUE,decal_ruin,HIGH,Service scar pump
PFB_family_service_scar__strip.prefab,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_service_scar__strip.prefab,service_scar,strip,hard_surface,TRUE,decal_ruin,HIGH,Service scar strip
