record_id,source_asset_path,source_type,material_name,slot,slot_role,category,reference_state,reference_guid,resolved_texture_path,target_texture_path,generated_asset_guid,priority,target_resolution,albedo_compression,normal_compression,orm_compression,estimated_vram_mib,stub_reasons,prompt_id,issue_detail
53e8893016d8,Assets/_Project/Prefabs/Player.prefab,prefab,Player,MaterialRef_1,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,62647c5379e618e40bf73270423be8dd,Assets/_Project/Art/Materials/MAT_Diegetic_HUD_V4_Projection.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Player_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
9af17618dd46,Assets/_Project/Prefabs/Player.prefab,prefab,Player,MaterialRef_128,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,0a7a9fcc24662af4caef76532d12fbe7,Assets/_Project/Art/Materials/Mat_Visor_Glass.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Player_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
1b4e9587c39c,Assets/_Project/Prefabs/Player.prefab,prefab,Player,MaterialRef_132,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,3c9d5ec2c203c77409d0cb6d22c962a1,Assets/_Project/Art/Materials/Gameplay/MAT_PlayerSwimBlockout.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Player_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
fa0c2e7681db,Assets/_Project/Prefabs/Player.prefab,prefab,Player,MaterialRef_145,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,3c9d5ec2c203c77409d0cb6d22c962a1,Assets/_Project/Art/Materials/Gameplay/MAT_PlayerSwimBlockout.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Player_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
5df0918e5cf6,Assets/_Project/Prefabs/Player.prefab,prefab,Player,MaterialRef_149,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,3c9d5ec2c203c77409d0cb6d22c962a1,Assets/_Project/Art/Materials/Gameplay/MAT_PlayerSwimBlockout.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Player_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
303a74b35122,Assets/_Project/Prefabs/Player.prefab,prefab,Player,MaterialRef_166,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,3c9d5ec2c203c77409d0cb6d22c962a1,Assets/_Project/Art/Materials/Gameplay/MAT_PlayerSwimBlockout.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Player_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
fa70f752d5fa,Assets/_Project/Prefabs/Player.prefab,prefab,Player,MaterialRef_168,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,3c9d5ec2c203c77409d0cb6d22c962a1,Assets/_Project/Art/Materials/Gameplay/MAT_PlayerSwimBlockout.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Player_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
19a8966b090a,Assets/_Project/Prefabs/Player.prefab,prefab,Player,MaterialRef_170,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,3c9d5ec2c203c77409d0cb6d22c962a1,Assets/_Project/Art/Materials/Gameplay/MAT_PlayerSwimBlockout.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Player_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
61cc283ab242,Assets/_Project/Prefabs/Sky_System.prefab,prefab,Sky_System,MaterialRef_1,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,c94a1beef2372b8458941c2ed9d05d5e,Assets/_Project/Art/Materials/Mat_HectonSky.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Sky_System_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
3fa226fa2153,Assets/_Project/Prefabs/WorldGenerator.prefab,prefab,WorldGenerator,MaterialRef_0,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,855da5d65cd929c41a0946f4f04488de,Assets/_Project/Art/Materials/Mat_Terrain.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/WorldGenerator_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
7c7f9fd2e86f,Assets/_Project/Prefabs/WorldGenerator.prefab,prefab,WorldGenerator,MaterialRef_2,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,855da5d65cd929c41a0946f4f04488de,Assets/_Project/Art/Materials/Mat_Terrain.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/WorldGenerator_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
88ce3ac84cd3,Assets/_Project/Scripts/BoidFishInstanced.shader,shader,BoidFishInstanced,_BaseMap,ALBEDO,HABITAT_INTERIORS,DECLARED_SHADER_DEFAULT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/BoidFishInstanced_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,default=white
2ec814486362,Assets/_Project/Scripts/BoidFishInstanced.shader,shader,BoidFishInstanced,_VatPositionTex,TEXTURE,HABITAT_INTERIORS,DECLARED_SHADER_DEFAULT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/BoidFishInstanced_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,default=black
17c90f84491d,Assets/_Project/Scripts/BoidFishInstanced.shader,shader,BoidFishInstanced,_VatNormalTex,NORMAL,HABITAT_INTERIORS,DECLARED_SHADER_DEFAULT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/BoidFishInstanced_Normal.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,default=bump
f20c01dc83f5,Assets/_Project/Scripts/HectonBiolumMaster.shader,shader,HectonBiolumMaster,_BaseMap,ALBEDO,FLORA_EPIDERMIS,DECLARED_SHADER_DEFAULT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/FLORA_EPIDERMIS/HectonBiolumMaster_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,default=white
6f4dcbf91be9,Assets/_Project/Scripts/HectonBiolumMaster.shader,shader,HectonBiolumMaster,_BumpMap,NORMAL,FLORA_EPIDERMIS,DECLARED_SHADER_DEFAULT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/FLORA_EPIDERMIS/HectonBiolumMaster_Normal.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,default=bump
6f9051ae3492,Assets/_Project/Scripts/HectonBiolumMaster.shader,shader,HectonBiolumMaster,_MetallicGlossMap,ROUGHNESS,FLORA_EPIDERMIS,DECLARED_SHADER_DEFAULT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/FLORA_EPIDERMIS/HectonBiolumMaster_ORM.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,default=white
2f207bcadc4a,Assets/_Project/Shaders/Hecton_Item_Highlight.shader,shader,Hecton_Item_Highlight,_BaseMap,ALBEDO,HABITAT_INTERIORS,DECLARED_SHADER_DEFAULT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Hecton_Item_Highlight_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,default=white
5b70006bbdad,Assets/_Project/Shaders/Hecton_Item_Highlight.shader,shader,Hecton_Item_Highlight,_NormalMap,NORMAL,HABITAT_INTERIORS,DECLARED_SHADER_DEFAULT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Hecton_Item_Highlight_Normal.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,default=bump
8b684ad676d9,Assets/_Project/Shaders/Hecton_Item_Highlight.shader,shader,Hecton_Item_Highlight,_OcclusionMap,AO,HABITAT_INTERIORS,DECLARED_SHADER_DEFAULT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Hecton_Item_Highlight_ORM.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,default=white
c90e7f0f6103,Assets/_Project/_Archive/HectonOcean.shader,shader,HectonOcean,_NormalMap,NORMAL,HABITAT_INTERIORS,DECLARED_SHADER_DEFAULT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/HectonOcean_Normal.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,default=bump
9d0dc08cd372,Assets/_Project/_Archive/HectonOcean.shader,shader,HectonOcean,_FoamTex,TEXTURE,HABITAT_INTERIORS,DECLARED_SHADER_DEFAULT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/HectonOcean_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,default=white
2d06722f5d73,Assets/_Project/_Archive/Mat_Ocean.mat,material,Mat_Ocean,_BaseMap,ALBEDO,HABITAT_INTERIORS,EMPTY_REQUIRED_SLOT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Mat_Ocean_Albedo.png,PENDING_UNITY_META_GUID,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",1.333,,SHINOBU_361_PROMPT_0033,fileID=0
9ceabfa37e87,Assets/_Project/_Archive/Mat_Ocean.mat,material,Mat_Ocean,_BumpMap,NORMAL,HABITAT_INTERIORS,EMPTY_OPTIONAL_SLOT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Mat_Ocean_Normal.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,fileID=0
dcab0b94c7ad,Assets/_Project/_Archive/Mat_Ocean.mat,material,Mat_Ocean,_DetailAlbedoMap,DETAIL,HABITAT_INTERIORS,EMPTY_OPTIONAL_SLOT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Mat_Ocean_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,fileID=0
f50948d0c18f,Assets/_Project/_Archive/Mat_Ocean.mat,material,Mat_Ocean,_DetailMask,ORM,HABITAT_INTERIORS,EMPTY_OPTIONAL_SLOT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Mat_Ocean_ORM.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,fileID=0
fe9c5eaabb12,Assets/_Project/_Archive/Mat_Ocean.mat,material,Mat_Ocean,_DetailNormalMap,NORMAL,HABITAT_INTERIORS,EMPTY_OPTIONAL_SLOT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Mat_Ocean_Normal.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,fileID=0
3d2a25528558,Assets/_Project/_Archive/Mat_Ocean.mat,material,Mat_Ocean,_EmissionMap,EMISSIVE,HABITAT_INTERIORS,EMPTY_OPTIONAL_SLOT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Mat_Ocean_Emissive.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,fileID=0
2d157c07782b,Assets/_Project/_Archive/Mat_Ocean.mat,material,Mat_Ocean,_FoamTex,TEXTURE,HABITAT_INTERIORS,RESOLVED_TEXTURE,5a090eda5b62ce246909d622e4e48c29,Assets/_Project/Art/TEXTURES/foam.png,Assets/_Project/Art/TEXTURES/foam.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,resolved texture
2105895f4fa1,Assets/_Project/_Archive/Mat_Ocean.mat,material,Mat_Ocean,_MainTex,ALBEDO,HABITAT_INTERIORS,EMPTY_REQUIRED_SLOT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Mat_Ocean_Albedo.png,PENDING_UNITY_META_GUID,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",1.333,,SHINOBU_361_PROMPT_0040,fileID=0
fe6801e05249,Assets/_Project/_Archive/Mat_Ocean.mat,material,Mat_Ocean,_MetallicGlossMap,ROUGHNESS,HABITAT_INTERIORS,EMPTY_OPTIONAL_SLOT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Mat_Ocean_ORM.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,fileID=0
2e7c9ecc4350,Assets/_Project/_Archive/Mat_Ocean.mat,material,Mat_Ocean,_NormalMap,NORMAL,HABITAT_INTERIORS,RESOLVED_TEXTURE,b696535e46c634949914f6635f6c15cd,Assets/_Project/Art/TEXTURES/Terrain Textures/sand/NORMAL.png,Assets/_Project/Art/TEXTURES/Terrain Textures/sand/NORMAL.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,resolved texture
db85648ef3d7,Assets/_Project/_Archive/Mat_Ocean.mat,material,Mat_Ocean,_OcclusionMap,AO,HABITAT_INTERIORS,EMPTY_OPTIONAL_SLOT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Mat_Ocean_ORM.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,fileID=0
d0dde608350e,Assets/_Project/_Archive/Mat_Ocean.mat,material,Mat_Ocean,_ParallaxMap,TEXTURE,HABITAT_INTERIORS,EMPTY_OPTIONAL_SLOT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Mat_Ocean_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,fileID=0
0a87c5e441ad,Assets/_Project/_Archive/Mat_Ocean.mat,material,Mat_Ocean,_SpecGlossMap,ROUGHNESS,HABITAT_INTERIORS,EMPTY_OPTIONAL_SLOT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Mat_Ocean_ORM.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,fileID=0
152debf958ef,Assets/_Project/_Archive/Mat_Ocean.mat,material,Mat_Ocean,unity_Lightmaps,TEXTURE,HABITAT_INTERIORS,EMPTY_OPTIONAL_SLOT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Mat_Ocean_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,fileID=0
ca0c36be211f,Assets/_Project/_Archive/Mat_Ocean.mat,material,Mat_Ocean,unity_LightmapsInd,TEXTURE,HABITAT_INTERIORS,EMPTY_OPTIONAL_SLOT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Mat_Ocean_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,fileID=0
29d7b0f1cd3e,Assets/_Project/_Archive/Mat_Ocean.mat,material,Mat_Ocean,unity_ShadowMasks,ORM,HABITAT_INTERIORS,EMPTY_OPTIONAL_SLOT,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Mat_Ocean_ORM.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,fileID=0
b43e2c6efe40,Assets/_Project/_PROLOGUE_CONTENT/Models/ceiling_10.fbx,fbx,ceiling_10,EmbeddedTexturePath_0,NORMAL,HABITAT_INTERIORS,MISSING_EMBEDDED_TEXTURE,,,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/ceiling_10_trimsheet_normal_Normal.png,PENDING_UNITY_META_GUID,BLOCKER,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",1.333,trimsheet_normal.tga,SHINOBU_361_PROMPT_0049,embedded texture path not found in Assets/_Project: trimsheet_normal.tga
