path,priority,reason,base_maps,normal_maps,occlusion_sources,roughness_sources,metallic_sources,legacy_mask_sources,detail_sources,has_detail
Art/Materials/WorldProceduralProxy/MAT_family_rock_arch_large.mat,LOW,Base material has no prompt ORM slot; author or reuse ORM if the material is near-field.,_BaseMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg;_MainTex:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg,_BumpMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_NormalGL.jpg,_OcclusionMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_AmbientOcclusion.jpg,,,,,False
Art/Materials/WorldProceduralProxy/MAT_family_rock_cluster_medium.mat,LOW,Base material has no prompt ORM slot; author or reuse ORM if the material is near-field.,_BaseMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg;_MainTex:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg,_BumpMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_NormalGL.jpg,_OcclusionMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_AmbientOcclusion.jpg,,,,,False
Art/Materials/WorldProceduralProxy/MAT_family_rock_small_floor.mat,LOW,Base material has no prompt ORM slot; author or reuse ORM if the material is near-field.,_BaseMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg;_MainTex:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg,_BumpMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_NormalGL.jpg,_OcclusionMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_AmbientOcclusion.jpg,,,,,False
Art/Models/Rocks/Rock 6/rock6/rock_6.mat,LOW,Base material has no prompt ORM slot; author or reuse ORM if the material is near-field.,_BaseMap:Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_BaseColor.jpg;_MainTex:Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_BaseColor.jpg,_BumpMap:Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_Normal.jpg,_OcclusionMap:Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_AO.jpg,,,,,False
Art/Models/Rocks/Rock 7/Materials/2.mat,LOW,Base material has no prompt ORM slot; author or reuse ORM if the material is near-field.,_BaseMap:Art/Models/Rocks/Rock 7/Materials/2.jpg;_MainTex:Art/Models/Rocks/Rock 7/Materials/2.jpg,_BumpMap:Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_Normal.jpg,,,,,,False
Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock2.mat,LOW,Base material has no prompt ORM slot; author or reuse ORM if the material is near-field.,_BaseMap:920eb4a5d89009b42a522ff2aa1e6ef3;_MainTex:920eb4a5d89009b42a522ff2aa1e6ef3,_BumpMap:5189dcc817bc5e24095d445209499d1f,_OcclusionMap:df147ac10298ce44e9557850251a533a,,,,,False
Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock_Shared.mat,LOW,Base material has no prompt ORM slot; author or reuse ORM if the material is near-field.,_BaseMap:920eb4a5d89009b42a522ff2aa1e6ef3;_MainTex:920eb4a5d89009b42a522ff2aa1e6ef3,_BumpMap:5189dcc817bc5e24095d445209499d1f,_OcclusionMap:df147ac10298ce44e9557850251a533a,,,,,False
Materials/WorldRuntime/ProceduralPlaceholders/TerrainLod/MAT_family_rock_arch_large_Placeholder.mat,LOW,Base material has no prompt ORM slot; author or reuse ORM if the material is near-field.,_BaseMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg;_MainTex:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg,_BumpMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_NormalGL.jpg,_OcclusionMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_AmbientOcclusion.jpg,,,,,False
_PROLOGUE_CONTENT/Textures/Planets/pLANET/Mat_HectonClouds.mat,LOW,Base material has no prompt ORM slot; author or reuse ORM if the material is near-field.,_BaseMap:_PROLOGUE_CONTENT/Textures/Planets/pLANET/clouds0_diff.png;_MainTex:_PROLOGUE_CONTENT/Textures/Planets/pLANET/clouds0_diff.png,,,,,,,False
_PROLOGUE_CONTENT/Textures/Planets/pLANET/Mat_HectonSurface.mat,LOW,Base material has no prompt ORM slot; author or reuse ORM if the material is near-field.,_BaseMap:_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_diff.png;_MainTex:_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_diff.png,_BumpMap:_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_bump.png,,,,,,False
_PROLOGUE_CONTENT/Textures/Planets/pLANET/Materials/clouds0_diff.mat,LOW,Base material has no prompt ORM slot; author or reuse ORM if the material is near-field.,_BaseMap:_PROLOGUE_CONTENT/Textures/Planets/pLANET/clouds0_diff.png;_MainTex:_PROLOGUE_CONTENT/Textures/Planets/pLANET/clouds0_diff.png,,,,,,,False
