StableId|Hash|MassKg|VolumeL|EnergyDensityMJkg|BaseDurability
Data_TelluricSand|0x48C30EE0|2.06|1.04|1.00|40
Data_SodiumLimestone|0x376DAB55|1.54|1.20|3.70|32
Data_FerroKelpStem|0x84EF3279|1.22|1.50|2.50|25
Data_ShellLacquer|0xEFA63769|1.22|1.50|2.50|25
Data_PressurePearl|0x18952F37|2.54|1.09|5.70|58
Data_BrineSulfurGlass|0x584BEE3B|2.54|1.09|5.70|52
Data_AtlasResidue|0x256B3452|2.54|1.09|5.70|58
Proc_CopperIngot|0x102C7156|1.60|0.70|0.20|44
Proc_TitaniumPlate|0x9D20108F|1.60|0.70|0.20|44
Proc_SilicaGlass|0xDC717F77|1.60|0.70|0.20|44
Proc_ResinBinder|0x5C641BCB|0.70|0.55|4.20|26
Proc_FilterChar|0x7461CBC0|0.70|0.55|4.20|26
Proc_OxygenPellet|0x65638564|0.50|0.45|6.40|18
Proc_EnergyGel|0xD5527C66|0.50|0.45|5.50|18
Proc_ElectrolyteAmpoule|0x6667CD17|0.50|0.45|5.50|18
Proc_EmergencyO2Canister|0xFDF151C3|0.58|0.49|6.20|21
Proc_FieldMedGel|0x748D9BB4|0.58|0.49|6.20|21
Proc_BrineSolvent|0x610541FD|0.80|0.60|5.00|30
Proc_MembranePatch|0x0AFBCAA7|1.86|0.76|0.25|50
Proc_ThermalCatalyst|0xA879A87A|0.80|0.60|5.00|30
Proc_FluxCompound|0xC198E224|0.80|0.60|5.00|30
Proc_DeconFoam|0x17B53E0A|0.80|0.60|5.00|30
Proc_FoodBrick_Algae|0x7E7D4754|0.58|0.49|6.20|21
Proc_WaterFlask_BrineClean|0xBEE981E2|0.66|0.53|6.90|24
Proc_HeatCell|0x6D102E58|0.90|0.65|7.10|34
Proc_BatteryAnodePaste|0xEB1EA3D5|0.90|0.65|7.10|34
Proc_CryoInsulationGel|0xD8666427|0.90|0.65|5.80|40
Proc_BioSealFoam|0xE86E83E4|0.90|0.65|5.80|34
Proc_OpticPolish|0xC7792FAE|0.90|0.65|5.80|34
Proc_LubricantGrease|0xB3992491|0.90|0.65|5.80|34
Proc_NutrientBroth|0xF3B77B76|0.66|0.53|6.90|24
Proc_HydrogenCanister|0x6B643DC7|1.00|0.70|8.10|38
Proc_CO2ScrubberCartridge|0xF9ED3E53|0.74|0.57|7.60|27
Proc_AdhesiveTapeIndustrial|0x924C3D62|2.38|0.88|0.35|62
Proc_SterilePack|0x6DD2C5F3|0.74|0.57|7.60|27
Proc_RadiationPillPack|0xEC6CD16F|0.74|0.57|7.60|27
Proc_SignalDye|0x37D33AF4|1.00|0.70|6.60|38
Comp_BatteryCell|0x98578818|1.10|0.50|1.70|52
Comp_BeaconCore|0x89FF5090|1.10|0.50|0.80|52
Comp_CircuitBoard|0xC9AA3246|1.10|0.50|0.80|52
Comp_CoolingCartridge|0x5D60DE7F|1.10|0.50|0.80|52
Comp_CopperWire|0x98A584EF|1.10|0.50|0.80|52
Comp_FiberMesh|0xD668983E|2.00|0.90|0.10|60
Comp_GlassPanel|0x0FF5B38D|2.00|0.90|0.10|60
Comp_GuidanceModule|0x013D44D5|1.10|0.50|0.80|52
Comp_HighCapacityCell|0xE418797B|1.25|0.54|0.90|59
Comp_HydraulicActuator|0x44131AFF|2.28|0.96|0.12|68
Comp_LubricantResin|0x9A19F4CE|2.28|0.96|0.12|68
Comp_PowerCoupler|0x2CFC0582|1.25|0.54|0.90|59
Comp_PrecisionLens|0x769E4871|1.25|0.54|0.90|59
Comp_PressureSeal|0xB1B70075|2.62|1.01|0.24|84
Comp_PumpRotor|0xA3F61C7B|2.28|0.96|0.12|68
Comp_ReinforcedPlate|0x36B37370|2.28|0.96|0.12|68
Comp_RelayMatrix|0x8904D885|1.25|0.54|0.90|59
Comp_SealantPack|0xCBCEDD02|2.28|0.96|0.12|68
Comp_SensorPackage|0xCB24F3AF|1.25|0.54|0.90|59
Comp_StabilizerCoil|0xD922B295|1.25|0.54|0.90|59
Comp_StructuralBracket|0x26105640|2.56|1.02|0.14|76
Comp_AbyssPressureShell|0xBAC76880|2.94|1.07|0.28|94
Comp_OxygenManifold|0xD62DEE27|2.94|1.07|1.58|88
Comp_ScrubberBed|0x2C049D0A|2.94|1.07|0.28|88
Comp_ThermalRegulator|0x83700DE1|2.94|1.07|0.28|88
Comp_PlasmaNozzle|0x61B68F09|1.40|0.58|1.00|66
Comp_InertialClamp|0xE1BFFB58|2.94|1.07|0.28|88
Comp_FieldTransponder|0x7466814D|1.40|0.58|1.00|66
Comp_FloodValve|0x19522E21|2.94|1.07|0.28|88
Comp_HullLattice|0xBEDE537A|2.94|1.07|0.28|88
Comp_ReactorRod|0x3ED5CD54|2.94|1.07|1.58|88
Comp_MicroPumpArray|0x7E1B40D0|2.94|1.07|0.28|88
Comp_BulkheadLock|0x4ACE68D2|4.76|1.13|0.32|106
Comp_ServiceServo|0xF345E947|1.55|0.62|1.10|73
Comp_AcidNeutralizer|0x2815AFE1|3.26|1.13|0.32|98
Comp_CryoCoil|0x37AE21C9|3.26|1.13|0.32|104
Comp_TurbineBlade|0x23F1A080|2.84|1.08|1.66|84
Comp_AnchorSpike|0x9D0E9910|2.84|1.08|0.16|84
Comp_SonarEmitter|0x2670D3A0|1.55|0.62|1.10|73
Comp_DroneSocket|0xE0F8AB32|1.55|0.62|1.10|73
Item_Tool_BeaconDeployer|0x5C402372|1.90|1.40|1.80|70
Item_Tool_Builder|0x8B0F4FF1|3.80|2.40|1.20|82
Item_Tool_EnvAnalyzer|0x78DA7167|1.90|1.40|1.80|70
Item_Tool_Flashlight|0x2E6D4630|1.90|1.40|1.80|70
Item_Tool_HarpoonLauncher|0x6A7750B9|3.80|2.40|1.20|82
Item_Tool_Knife|0x7F743227|1.90|1.40|1.80|70
Item_Tool_LaserCutter|0xBA784166|4.15|2.52|1.38|92
Item_Tool_Propulsion|0x8C81A5AB|4.15|2.52|1.38|92
Item_Tool_Repair|0x3D523313|2.08|1.48|2.00|78
Item_Tool_SalvageSampler|0xA5248725|2.08|1.48|2.00|78
Item_Tool_Scanner|0x749E0914|2.08|1.48|2.00|78
Item_Tool_StunPistol|0x74A11F1D|2.08|1.48|2.00|78
Item_Tool_DroneLatch|0x73993F12|2.26|1.56|2.20|86
Item_Tool_CableSplicer|0xD6E401AB|2.26|1.56|2.20|86
Item_Tool_PressureProbe|0x49E75965|2.26|1.56|2.20|92
Item_Tool_SeafloorDrill|0xD0A0D666|4.50|2.64|1.56|102
Item_Tool_BrineSiphon|0x953532B9|4.50|2.64|1.56|102
Item_Tool_WeldTorch|0x40467474|4.50|2.64|1.56|102
Item_Tool_TagLauncher|0xFA92EDD2|2.44|1.64|2.40|94
Item_Tool_ScrubberGun|0x93A230AC|4.85|2.76|1.74|112
Item_Tool_HeatShieldProjector|0xF6CBC407|4.85|2.76|1.74|112
Item_Tool_RelayKey|0x6554145E|2.44|1.64|2.40|94
Item_Equip_OxygenRig_T1|0xF0B55FA2|2.60|2.10|1.50|78
Item_Equip_OxygenRig_T2|0xEFB55E0F|5.00|3.00|1.30|92
Item_Equip_PressureHarness_T1|0x204A1C5F|5.00|3.00|0.40|98
Item_Equip_PressureHarness_T2|0x214A1DF2|5.45|3.12|0.46|110
Item_Equip_ThermalLiner_T1|0x120ADBAF|2.84|2.20|0.68|87
Item_Equip_ThermalLiner_T2|0x130ADD42|2.84|2.20|0.68|87
Item_Equip_RadiationVeil|0x68A0D2D9|2.84|2.20|0.68|87
Item_Equip_ScrapPack|0x5F6A5956|3.08|2.30|0.76|96
Item_Equip_ServiceFins|0x1367A143|3.08|2.30|0.76|96
Item_Equip_MagBoots|0x5F5B46A2|5.90|3.24|0.52|116
Item_Equip_HudVisorAtlas|0x7F5F6211|3.32|2.40|0.84|111
Item_Equip_HullPatchRig|0x68747C35|6.35|3.36|0.58|128
Item_Equip_BallastBelt|0xED07A3A0|7.85|3.36|0.58|136
Build_Foundation_Platform|0xA94197BD|12.00|8.00|0.00|134
Build_Corridor_Straight|0x2AF27509|12.00|8.00|0.00|134
Build_Service_Pump|0x70B3E22A|14.00|9.00|0.60|144
Build_Current_Turbine|0x10A7F5F9|14.00|9.00|1.50|144
Build_Utility_Pylon|0x2D65F0DF|12.00|8.00|0.00|134
Build_Corridor_Corner|0x1F09B7BA|12.00|8.00|0.00|134
Build_Corridor_TJunction|0x2A0F5A75|12.00|8.00|0.00|134
Build_Airlock_Hatch|0x61C602EE|12.00|8.00|0.00|134
Build_Service_Relay|0x4EA39731|16.10|9.45|0.70|160
Build_Oxygen_ScrubberRack|0xD4EEB50A|16.10|9.45|1.80|160
Build_Oxygen_Tank|0x02603765|16.10|9.45|1.80|160
Build_Battery_Bank|0x4CD362CC|16.10|9.45|1.80|160
Build_Fabricator_Compact|0x4E415C83|16.10|9.45|0.70|160
Build_Med_Bay_Node|0x894218C6|16.10|9.45|0.70|160
Build_Sonar_Mast|0x25B9CC89|16.10|9.45|0.70|160
Build_Light_Array|0xC4BCBD06|16.10|9.45|0.70|160
Build_Floodgate_Valve|0x186C2282|18.20|9.90|0.80|176
Build_Anchor_Frame|0x1222538F|15.60|8.80|0.00|162
Build_Brine_Filter|0x547E8A1D|18.20|9.90|0.80|176
Build_Thermal_Exchanger|0x7089F511|18.20|9.90|0.80|176
Build_Drone_Dock|0xCEE62684|18.20|9.90|0.80|176
Build_Cargo_Rack|0x95ED5902|15.60|8.80|0.00|162
Build_Sleep_Capsule|0xDD8720C7|15.60|8.80|0.00|162
Build_Observation_Bubble|0x571D5F09|15.60|8.80|0.00|162
Build_Coil_Generator|0x43069DF1|20.30|10.35|2.40|192
Build_Relay_Backbone|0xA266BC27|20.30|10.35|0.90|192
Build_CO2_Reclaimer|0x6A63226F|20.30|10.35|0.90|192
Build_Tool_Locker|0xF24D611B|17.40|9.20|0.00|176
Build_Buoy_Marker|0xE20FDE64|17.40|9.20|0.00|176
Build_Abyssal_Pressure_Door|0x7FD4E326|20.30|10.35|0.90|198
Wreck_RustedBulkheadPlate|0x3C957B81|10.00|5.00|0.00|42
Wreck_FracturedViewport|0x0FA1911A|8.50|5.00|0.00|34
Wreck_CrushedLockerDoor|0x5B2AA9AC|4.00|2.50|0.00|25
Wreck_ServiceConduitBundle|0x529C23E1|8.50|5.00|0.00|34
Wreck_BurnedCircuitCrate|0x38678040|4.00|2.50|0.00|25
Wreck_AtlasDroneShell|0xE3DD6C09|8.50|5.00|0.00|38
Wreck_ExcavatorArmSegment|0xDDCB38D4|8.50|5.00|0.00|34
Wreck_BallastPumpHousing|0x55F1DDD2|10.00|5.00|0.00|42
Wreck_ReactorBaffle|0xFFF497BE|8.50|5.00|0.00|34
Wreck_CollapsedStanchion|0xE11A3F16|8.50|5.00|0.00|34
Wreck_PressureDoorMotor|0xB21F71C6|8.50|5.00|0.00|38
Wreck_CommandConsoleCore|0xFD28E557|8.50|5.00|0.00|34
Wreck_BrokenSonarDish|0xF783D33E|9.20|5.20|0.00|37
Wreck_ScrubberColumn|0x410AE960|9.20|5.20|0.00|37
Wreck_OxygenLineCoil|0x0870F8A3|9.20|5.20|0.00|37
Wreck_MedCabinetFrame|0x9AFE2709|4.30|2.62|0.00|27
Wreck_HabPanelAmber|0x9927A6C8|4.30|2.62|0.00|27
Wreck_FloodSensorBlock|0xF63F8871|4.30|2.62|0.00|27
Wreck_CryoPipeSection|0x65BEB4AA|9.20|5.20|0.00|41
Wreck_ThermalVentCowl|0x1F1EA7D7|9.20|5.20|0.00|37
Wreck_BrineTankerValve|0x1394A29B|9.20|5.20|0.00|37
Wreck_HullRibSection|0x43F884B9|9.20|5.20|0.00|37
Wreck_Datapad_ChenM_01|0x5FBF2613|1.08|0.63|0.00|18
Wreck_Datapad_ChenM_02|0x60BF27A6|1.08|0.63|0.00|18
Wreck_Datapad_ChenM_03|0x61BF2939|1.16|0.66|0.00|20
Wreck_Blueprint_ChenM_Drone|0x214939E0|1.16|0.66|0.00|20
Wreck_SuitTag_ChenM|0x745671AD|1.16|0.66|0.00|20
Wreck_Terminal_CaptainBroadcast|0x2D40D510|1.16|0.66|0.00|20
Wreck_BioSample_Crate|0x4FD7577A|4.60|2.74|0.00|30
Wreck_MedicLocker|0x36C02CD0|4.60|2.74|0.00|30
Wreck_ChildDrawingPlate|0x24B95EDE|1.16|0.66|0.00|20
Wreck_Terminal_AtlasHack|0x8E21A42F|1.16|0.66|0.00|23
Wreck_ShiftRosterBoard|0x2F2C34EB|1.16|0.66|0.00|20
Wreck_MaintenanceLedger|0xE1AE9ECC|1.16|0.66|0.00|20
Wreck_ScrubberServiceTag|0x47F600DF|1.16|0.66|0.00|20
Wreck_PumpTestRecord|0x19574145|1.16|0.66|0.00|20
Wreck_CargoManifestSlate|0xDA1E65B4|1.24|0.69|0.00|21
Wreck_WarningPlacard_Seal|0x4D115835|1.24|0.69|0.00|21
Wreck_WarningPlacard_Atlas|0x314F627B|1.24|0.69|0.00|25
Wreck_RelayCalibrationTape|0xB0C298F5|1.24|0.69|0.00|21
Wreck_O2QuotaLedger|0xBCE758FC|1.24|0.69|0.00|21
Wreck_ThermalSurveyTape|0xF8033FAB|1.24|0.69|0.00|21
Wreck_EvacuationRouteCard|0x872B7930|1.24|0.69|0.00|21
Wreck_ForemanSealKit|0x5C418503|1.24|0.69|0.00|21
Wreck_BlackBox_ShiftB|0x4D3D5F25|1.24|0.69|0.00|21
