"category","prefab_path","preservation_target","target_type","static_evidence","pre_relink_check","post_relink_check","risk_if_broken","status"
"tool_held","Assets/_Project/Prefabs/Tools/Held/Tool_Propulsion_Held.prefab","Tool_Propulsion_Held owner VisualBody and transport feel contract","Tool owner component and visual primitive","MantaScooter _toolData; PlayerToolSwimContract; PlayerTransportFeelContract; VisualBody cube 10202","Snapshot _toolData swim/transport contracts visual local transform; note missing thrust/AUP anchors","Preserve refs; add/compare grip thrust/AUP anchors under Unity owner","Propulsion route may break movement/camera feel coupling","RED_STATIC_PRIMITIVE"
"tool_held","Assets/_Project/Prefabs/Tools/Held/Tool_Repair_Held.prefab","Tool_Repair_Held owner and VisualBody","Tool owner component and visual primitive","RepairTool _toolData; weldLight field; PlayerToolSwimContract; VisualBody cube 10202","Snapshot _toolData weldLight swim contract visual local transform; note missing weld/nozzle anchors","Preserve refs; add/compare grip weld ray nozzle/AUP anchors under Unity owner","Repair/weld origin or light route can drift","RED_STATIC_PRIMITIVE"
"tool_held","Assets/_Project/Prefabs/Tools/Held/Tool_SalvageSampler_Held.prefab","Tool_SalvageSampler_Held owner and VisualBody_SalvageSampler","Tool owner component and visual primitive","SalvageSamplerTool _toolData; PlayerToolSwimContract; VisualBody_SalvageSampler cube 10202","Snapshot _toolData swim contract visual local transform; note missing sample/contact anchors","Preserve refs; add/compare grip sample/contact/AUP anchors under Unity owner","Sampler contact origin can drift","RED_STATIC_PRIMITIVE"
"tool_held","Assets/_Project/Prefabs/Tools/Held/Tool_Scanner_Held.prefab","Tool_Scanner_Held owner and VisualBody","Tool owner component and visual primitive","ScannerTool _toolData; PlayerToolSwimContract; VisualBody cube 10202","Snapshot _toolData swim contract visual local transform; scanner marker assets are support only","Preserve refs; add/compare grip scan lens/screen/AUP anchors under Unity owner","Scanner scan origin/display trust can drift","RED_STATIC_PRIMITIVE"
"tool_held","Assets/_Project/Prefabs/Tools/Held/Tool_StunPistol_Held.prefab","Tool_StunPistol_Held owner and VisualBody_StunPistol","Tool owner component and visual primitive","StunPistolTool _toolData; PlayerToolSwimContract; VisualBody_StunPistol cube 10202","Snapshot _toolData swim contract visual local transform; note missing muzzle anchors","Preserve refs; add/compare grip muzzle/AUP anchors under Unity owner","Stun shot origin can detach from body","RED_STATIC_PRIMITIVE"
"tool_world","Assets/_Project/Prefabs/Items/Tools/Item_Tool_BeaconDeployer_World.prefab","PickupItem itemData and InteractionHighlighter","World pickup owner refs and primitive","PickupItem itemData guid 4846ebe...; InteractionHighlighter; cube 10202","Snapshot itemData highlighter root transform; note missing ANCHOR_Pickup","Preserve itemData/highlighter; add/compare pickup anchor under Unity owner","World pickup identity or pickup origin can break","RED_STATIC_PRIMITIVE"
"tool_world","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Builder_World.prefab","PickupItem itemData and InteractionHighlighter","World pickup owner refs and primitive","PickupItem itemData guid 297ef47...; InteractionHighlighter; cube 10202","Snapshot itemData highlighter root transform; note missing ANCHOR_Pickup","Preserve itemData/highlighter; add/compare pickup anchor under Unity owner","World pickup identity or pickup origin can break","RED_STATIC_PRIMITIVE"
"tool_world","Assets/_Project/Prefabs/Items/Tools/Item_Tool_EnvAnalyzer_World.prefab","PickupItem itemData and InteractionHighlighter","World pickup owner refs and primitive","PickupItem itemData guid a2439d...; InteractionHighlighter; cube 10202","Snapshot itemData highlighter root transform; note missing ANCHOR_Pickup","Preserve itemData/highlighter; add/compare pickup anchor under Unity owner","World pickup identity or pickup origin can break","RED_STATIC_PRIMITIVE"
"tool_world","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Flashlight_World.prefab","PickupItem itemData and InteractionHighlighter","World pickup owner refs and primitive","PickupItem itemData guid 2b9ecc...; InteractionHighlighter; cube 10202","Snapshot itemData highlighter root transform; note missing ANCHOR_Pickup","Preserve itemData/highlighter; add/compare pickup anchor under Unity owner","World pickup identity or pickup origin can break","RED_STATIC_PRIMITIVE"
"tool_world","Assets/_Project/Prefabs/Items/Tools/Item_Tool_HarpoonLauncher_World.prefab","PickupItem itemData and InteractionHighlighter","World pickup owner refs and primitive","PickupItem itemData guid 06eaf0...; InteractionHighlighter; cube 10202","Snapshot itemData highlighter root transform; note missing ANCHOR_Pickup","Preserve itemData/highlighter; add/compare pickup/tether family anchor under Unity owner","World pickup identity or harpoon family origin can break","RED_STATIC_PRIMITIVE"
"tool_world","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Knife_World.prefab","PickupItem itemData and InteractionHighlighter","World pickup owner refs and primitive","PickupItem itemData guid 4fbd2a...; InteractionHighlighter; cube 10202","Snapshot itemData highlighter root transform; note missing ANCHOR_Pickup","Preserve itemData/highlighter; add/compare pickup anchor under Unity owner","World pickup identity or pickup origin can break","RED_STATIC_PRIMITIVE"
"tool_world","Assets/_Project/Prefabs/Items/Tools/Item_Tool_LaserCutter_World.prefab","PickupItem itemData and InteractionHighlighter","World pickup owner refs and primitive","PickupItem itemData guid d8fcb4...; InteractionHighlighter; cube 10202","Snapshot itemData highlighter root transform; note missing ANCHOR_Pickup","Preserve itemData/highlighter; add/compare pickup/beam family anchors under Unity owner","World pickup identity or cutter family origin can break","RED_STATIC_PRIMITIVE"
"tool_world","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Propulsion_World.prefab","PickupItem itemData and InteractionHighlighter","World pickup owner refs and primitive","PickupItem itemData guid 80236d...; InteractionHighlighter; cube 10202","Snapshot itemData highlighter root transform; note missing ANCHOR_Pickup","Preserve itemData/highlighter; add/compare pickup/thrust family anchor under Unity owner","World pickup identity or propulsion family origin can break","RED_STATIC_PRIMITIVE"
"tool_world","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Repair_World.prefab","PickupItem itemData highlighter and ScannableFragment","World pickup owner refs scan refs and primitive","PickupItem itemData guid b73489...; InteractionHighlighter; ScannableFragment canBeScanned 1; cube 10202","Snapshot itemData highlighter scan events root transform; note missing ANCHOR_Pickup","Preserve itemData/highlighter/scan refs; add/compare pickup/weld family anchor","Repair world pickup scan or item route can break","RED_STATIC_PRIMITIVE"
"tool_world","Assets/_Project/Prefabs/Items/Tools/Item_Tool_SalvageSampler_World.prefab","PickupItem itemData and InteractionHighlighter","World pickup owner refs and primitive","PickupItem itemData guid 0b4ba6...; InteractionHighlighter; cube 10202","Snapshot itemData highlighter root transform; note missing ANCHOR_Pickup","Preserve itemData/highlighter; add/compare pickup/sample family anchors","Sampler world pickup route can break","RED_STATIC_PRIMITIVE"
"tool_world","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Scanner_World.prefab","PickupItem itemData and InteractionHighlighter","World pickup owner refs and primitive","PickupItem itemData guid 924f3f...; InteractionHighlighter; cube 10202","Snapshot itemData highlighter root transform; note missing ANCHOR_Pickup","Preserve itemData/highlighter; add/compare pickup/scan family anchors","Scanner world pickup route can break","RED_STATIC_PRIMITIVE"
"tool_world","Assets/_Project/Prefabs/Items/Tools/Item_Tool_StunPistol_World.prefab","PickupItem itemData and InteractionHighlighter","World pickup owner refs and primitive","PickupItem itemData guid 3e2e24...; InteractionHighlighter; cube 10202","Snapshot itemData highlighter root transform; note missing ANCHOR_Pickup","Preserve itemData/highlighter; add/compare pickup/muzzle family anchors","Stun pistol world pickup route can break","RED_STATIC_PRIMITIVE"
"tool_family","Assets/_Project/Prefabs/Tools/Held/Tool_BeaconDeployer_Held.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_BeaconDeployer_World.prefab","BeaconDeployer held/world family pair","Relink sequencing requirement","1869/1879 require held/world family relink together; current YAML has no explicit ANCHOR_*","Before relink compare held _toolData with world itemData GUID and root transforms","After relink compare family visual source anchors and references in same Unity slot","Held/world mismatch creates duplicate visual or data truth","PRESERVE_REFERENCE"
"tool_family","Assets/_Project/Prefabs/Tools/Held/Tool_Builder_Held.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_Builder_World.prefab","Builder held/world family pair","Relink sequencing requirement","1869/1879 require held/world family relink together; current YAML has no explicit ANCHOR_*","Before relink compare held _toolData with world itemData GUID and root transforms","After relink compare family visual source anchors and references in same Unity slot","Held/world mismatch creates duplicate visual or data truth","PRESERVE_REFERENCE"
"tool_family","Assets/_Project/Prefabs/Tools/Held/Tool_EnvAnalyzer_Held.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_EnvAnalyzer_World.prefab","EnvAnalyzer held/world family pair","Relink sequencing requirement","1869/1879 require held/world family relink together; current YAML has no explicit ANCHOR_*","Before relink compare held _toolData with world itemData GUID and root transforms","After relink compare family visual source anchors and references in same Unity slot","Held/world mismatch creates duplicate visual or data truth","PRESERVE_REFERENCE"
"tool_family","Assets/_Project/Prefabs/Tools/Held/Tool_Flashlight_Held.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_Flashlight_World.prefab","Flashlight held/world family pair","Relink sequencing requirement","1869/1879 require held/world family relink together; current YAML has no explicit ANCHOR_*","Before relink compare held _toolData with world itemData GUID and root transforms","After relink compare family visual source anchors and references in same Unity slot","Held/world mismatch creates duplicate visual or data truth","PRESERVE_REFERENCE"
"tool_family","Assets/_Project/Prefabs/Tools/Held/Tool_HarpoonLauncher_Held.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_HarpoonLauncher_World.prefab","HarpoonLauncher held/world family pair","Relink sequencing requirement","1869/1879 require held/world family relink together; current YAML has no explicit ANCHOR_TetherAnchor","Before relink compare held _toolData with world itemData GUID and root transforms","After relink compare grip/muzzle/tether/AUP/pickup anchors and references in same Unity slot","Tether/muzzle route can diverge between held and pickup","PRESERVE_REFERENCE"
"tool_family","Assets/_Project/Prefabs/Tools/Held/Tool_Knife_Held.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_Knife_World.prefab","Knife held/world family pair","Relink sequencing requirement","1869/1879 require held/world family relink together; current YAML has no explicit ANCHOR_*","Before relink compare held _toolData with world itemData GUID and root transforms","After relink compare family visual source anchors and references in same Unity slot","Held/world mismatch creates duplicate visual or data truth","PRESERVE_REFERENCE"
"tool_family","Assets/_Project/Prefabs/Tools/Held/Tool_LaserCutter_Held.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_LaserCutter_World.prefab","LaserCutter held/world family pair","Relink sequencing requirement","1869/1879 require held/world family relink together; current YAML has no explicit ANCHOR_BeamOrigin","Before relink compare held _toolData with world itemData GUID and root transforms","After relink compare grip/beam/nozzle/AUP/pickup anchors and references in same Unity slot","Beam/cut origin can diverge between held and pickup","PRESERVE_REFERENCE"
"tool_family","Assets/_Project/Prefabs/Tools/Held/Tool_Propulsion_Held.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_Propulsion_World.prefab","Propulsion held/world family pair","Relink sequencing requirement","1869/1879 require held/world family relink together; held has PlayerTransportFeelContract","Before relink compare held _toolData with world itemData GUID and transport refs","After relink compare thrust/AUP/pickup anchors and transport refs in same Unity slot","Propulsion movement and item pickup truth can diverge","PRESERVE_REFERENCE"
"tool_family","Assets/_Project/Prefabs/Tools/Held/Tool_Repair_Held.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_Repair_World.prefab","Repair held/world family pair","Relink sequencing requirement","1869/1879 require held/world family relink together; world has ScannableFragment","Before relink compare held _toolData world itemData scan refs and root transforms","After relink preserve scan refs and compare weld/nozzle/pickup anchors in same Unity slot","Repair scan/weld/item route can diverge","PRESERVE_REFERENCE"
"tool_family","Assets/_Project/Prefabs/Tools/Held/Tool_SalvageSampler_Held.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_SalvageSampler_World.prefab","SalvageSampler held/world family pair","Relink sequencing requirement","1869/1879 require held/world family relink together; current YAML has no explicit sample/contact anchors","Before relink compare held _toolData with world itemData GUID and root transforms","After relink compare grip/sample/contact/AUP/pickup anchors in same Unity slot","Sampler contact route can diverge","PRESERVE_REFERENCE"
"tool_family","Assets/_Project/Prefabs/Tools/Held/Tool_Scanner_Held.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_Scanner_World.prefab","Scanner held/world family pair","Relink sequencing requirement","1869/1879 require held/world family relink together; scanner marker assets are support only","Before relink compare held _toolData world itemData and marker refs","After relink compare grip/scan/lens/screen/AUP/pickup anchors in same Unity slot","Scanner trust/display route can diverge","PRESERVE_REFERENCE"
"tool_family","Assets/_Project/Prefabs/Tools/Held/Tool_StunPistol_Held.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_StunPistol_World.prefab","StunPistol held/world family pair","Relink sequencing requirement","1869/1879 require held/world family relink together; current YAML has no explicit muzzle anchor","Before relink compare held _toolData with world itemData GUID and root transforms","After relink compare grip/muzzle/AUP/pickup anchors in same Unity slot","Shot origin can diverge between held and pickup","PRESERVE_REFERENCE"
"resource","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_CopperOre.prefab","PickupItem itemData Data_Copper and BoxCollider","Resource pickup refs and primitive","cube 10202; BoxCollider size 1/1/1; InteractionHighlighter; PickupItem itemData resolves to Data_Copper.asset","Snapshot itemData GUID highlighter collider root transform; record Data_Copper canonical path","Preserve itemData as Data_Copper.asset and compare pickup trigger/collider location","CopperOre can lose canonical Data_Copper identity","PRESERVE_REFERENCE"
"resource","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_FiberKelp.prefab","PickupItem itemData Data_FiberKelp and CapsuleCollider","Resource pickup refs and primitive","plane 10208; CapsuleCollider radius 0.5 height 2; InteractionHighlighter; PickupItem","Snapshot itemData GUID highlighter collider root transform","Preserve itemData/highlighter and compare pickup trigger/collider location","Kelp pickup can lose data or easy pickup bounds","PRESERVE_REFERENCE"
"resource","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_HydrocarbonResin.prefab","PickupItem itemData Data_HydrocarbonResin and CapsuleCollider","Resource pickup refs and primitive","plane 10208; CapsuleCollider radius 0.5 height 2; InteractionHighlighter; PickupItem","Snapshot itemData GUID highlighter collider root transform","Preserve itemData/highlighter and compare pickup trigger/collider location","Resin pickup can lose data or pickup bounds","PRESERVE_REFERENCE"
"resource","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_MembraneTissue.prefab","PickupItem itemData Data_MembraneTissue and SphereCollider","Resource pickup refs and primitive","primitive 10207; SphereCollider radius 0.5; InteractionHighlighter; PickupItem","Snapshot itemData GUID highlighter collider root transform","Preserve itemData/highlighter and compare pickup trigger/collider location","Membrane pickup can lose data or pickup bounds","PRESERVE_REFERENCE"
"resource","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SilicaShards.prefab","PickupItem itemData Data_SilicaShards and SphereCollider","Resource pickup refs and primitive","primitive 10207; SphereCollider radius 0.5; InteractionHighlighter; PickupItem","Snapshot itemData GUID highlighter collider root transform","Preserve itemData/highlighter and compare pickup trigger/collider location","Silica pickup can lose data or pickup bounds","PRESERVE_REFERENCE"
"resource","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SilverOre.prefab","PickupItem itemData Data_SilverOre and BoxCollider","Resource pickup refs and primitive","cube 10202; BoxCollider size 1/1/1; InteractionHighlighter; PickupItem","Snapshot itemData GUID highlighter collider root transform","Preserve itemData/highlighter and compare pickup trigger/collider location","Silver pickup can lose data or pickup bounds","PRESERVE_REFERENCE"
"resource","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SulfurClumps.prefab","PickupItem itemData Data_SulfurClumps and SphereCollider","Resource pickup refs and primitive","primitive 10207; SphereCollider radius 0.5; InteractionHighlighter; PickupItem","Snapshot itemData GUID highlighter collider root transform","Preserve itemData/highlighter and compare pickup trigger/collider location","Sulfur pickup can lose data or pickup bounds","PRESERVE_REFERENCE"
"resource","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_TitaniumScrap.prefab","PickupItem itemData Data_TitaniumScrap and BoxCollider","Resource pickup refs and primitive","cube 10202; BoxCollider size 1/1/1; InteractionHighlighter; PickupItem itemData resolves to Data_TitaniumScrap.asset","Snapshot itemData GUID highlighter collider root transform; record Data_TitaniumScrap canonical path","Preserve itemData as Data_TitaniumScrap.asset and compare pickup trigger/collider location","Titanium scrap can lose canonical data identity","PRESERVE_REFERENCE"
"resource_legacy","Assets/_Project/Prefabs/Item_Titanium.prefab","Loose Item_Titanium Data_TitaniumScrap ScannableTarget","Legacy resource root refs and primitive","cube 10202; BoxCollider; PickupItem itemData Data_TitaniumScrap; InteractionHighlighter; ScannableTarget; unresolved material risk per 1870","Before quarantine/relink prove production references and snapshot Data_TitaniumScrap/scan refs","If retained preserve Data_TitaniumScrap and scan refs; if quarantined prove no production refs","Duplicate titanium truth or broken scan/pickup route","QUARANTINE_OR_RELINK_DECISION"
"resource","Assets/_Project/Prefabs/Resources/Pickups/*.prefab","Current pickup primitive visual state","Visual primitive debt","Copper/Silver/Titanium cube 10202; Fiber/Resin plane 10208; Membrane/Silica/Sulfur primitive 10207","Record RED_STATIC before relink","After relink no enabled built-in primitive visible pickup mesh","Resource identity remains colored primitive currency","RED_STATIC_PRIMITIVE"
"transport","Assets/_Project/Prefabs/Transport/PFB_CargoSled_Transport.prefab","RiderAnchor and DismountAnchor","Transport mount/dismount anchors","RiderAnchor {x:0,y:0.15,z:0}; DismountAnchor {x:1.6,y:0.1,z:0}; identity rotation/scale","Snapshot anchor local transforms and preset refs","Compare exact local transforms and preserve PlayerTransportFeelContract/MountablePlayerTransport","Cargo sled boarding/dismount safety breaks","PRESERVE_AND_COMPARE_TRANSFORM"
"transport","Assets/_Project/Prefabs/Transport/PFB_Exosuit_Frame_Transport.prefab","RiderAnchor and DismountAnchor","Transport mount/dismount anchors","RiderAnchor {x:0,y:0.75,z:0}; DismountAnchor {x:1.3,y:0.2,z:0}; identity rotation/scale","Snapshot anchor local transforms and preset refs","Compare exact local transforms and preserve PlayerTransportFeelContract/MountablePlayerTransport","Exosuit boarding/dismount safety breaks","PRESERVE_AND_COMPARE_TRANSFORM"
"transport","Assets/_Project/Prefabs/Transport/PFB_MicroSub_Transport.prefab","RiderAnchor and DismountAnchor","Transport mount/dismount anchors","RiderAnchor {x:0,y:0.4,z:0}; DismountAnchor {x:2.4,y:0.1,z:0}; identity rotation/scale","Snapshot anchor local transforms and preset refs","Compare exact local transforms and preserve PlayerTransportFeelContract/MountablePlayerTransport","MicroSub boarding/dismount safety breaks","PRESERVE_AND_COMPARE_TRANSFORM"
"transport","Assets/_Project/Prefabs/Transport/PFB_ScoutGlider_Transport.prefab","RiderAnchor and DismountAnchor","Transport mount/dismount anchors","RiderAnchor {x:0,y:0.15,z:0}; DismountAnchor {x:1.6,y:0.1,z:0}; identity rotation/scale","Snapshot anchor local transforms and preset refs","Compare exact local transforms and preserve PlayerTransportFeelContract/MountablePlayerTransport","ScoutGlider boarding/dismount safety breaks","PRESERVE_AND_COMPARE_TRANSFORM"
"transport","Assets/_Project/Prefabs/Transport/PFB_CargoSled_Transport.prefab","Root body mesh collider and transport components","Transport body refs and primitive","cube 10202; root BoxCollider; PlayerTransportFeelContract; MountablePlayerTransport; preset guid 82c2b48...","Snapshot root transform collider and component refs","Preserve refs; replace visual only under VIS/LOD or approved body route","Cargo sled visual relink changes collision or preset truth","RED_STATIC_PRIMITIVE"
"transport","Assets/_Project/Prefabs/Transport/PFB_Exosuit_Frame_Transport.prefab","Root body mesh collider and transport components","Transport body refs and primitive","cube 10202; root BoxCollider; PlayerTransportFeelContract; MountablePlayerTransport; preset guid 74afb0...","Snapshot root transform collider and component refs","Preserve refs; replace visual only under VIS/LOD or approved body route","Exosuit visual relink changes collision or preset truth","RED_STATIC_PRIMITIVE"
"transport","Assets/_Project/Prefabs/Transport/PFB_MicroSub_Transport.prefab","Root body mesh collider and transport components","Transport body refs and primitive","cube 10202; root BoxCollider; PlayerTransportFeelContract; MountablePlayerTransport; preset guid 0344b8...","Snapshot root transform collider and component refs","Preserve refs; replace visual only under VIS/LOD or approved body route","MicroSub visual relink changes collision or preset truth","RED_STATIC_PRIMITIVE"
"transport","Assets/_Project/Prefabs/Transport/PFB_ScoutGlider_Transport.prefab","Root body mesh collider and transport components","Transport body refs and primitive","cube 10202; root BoxCollider; PlayerTransportFeelContract; MountablePlayerTransport; preset guid 288d79...","Snapshot root transform collider and component refs","Preserve refs; replace visual only under VIS/LOD or approved body route","ScoutGlider visual relink changes collision or preset truth","RED_STATIC_PRIMITIVE"
"sky","Assets/_Project/Prefabs/Sky_System.prefab","SkySystemFollowCamera and runtimeCamera route","Sky runtime reference route","Sky_System root has SkySystemFollowCamera; runtimeCamera {fileID:0}; child Sphere primitive 10207","Snapshot follow component and runtimeCamera field; record unresolved static route","Preserve/assign route under Unity owner and prove by scene/runtime capture before claim","Sky can stop following runtime camera or remain primitive source","PRESERVE_REFERENCE"
"sky","Assets/_Project/Prefabs/Sky_System.prefab","Sphere sky source visual","Sky visual primitive debt","child Sphere uses built-in primitive mesh 10207","Record RED_STATIC source primitive","After relink no visible primitive sky source mesh; prove Aegir/moons/clouds by capture","Surface sky remains primitive/placeholder","RED_STATIC_PRIMITIVE"
"ocean","Assets/_Project/Prefabs/Ocean_Crest.prefab","Ocean_Crest Crest.OceanRenderer ShapeFFT primary light follow route","Ocean runtime reference route","Ocean_Crest root has Crest.OceanRenderer; _primaryLight {fileID:0}; _searchForPrimaryLightOnStartup 1; _followSceneCamera 0; ShapeFFT visible","Snapshot Crest component refs and light/follow fields","Preserve Crest material/component route; do not clone/mutate Crest package materials","Ocean renderer or lighting route breaks","PRESERVE_REFERENCE"
"ocean","Assets/_Project/Prefabs/Ocean_Crest.prefab","SargassumOilFilmInput; SargassumWaveDampingInput; SargassumFoamDampingInput","Crest hidden input candidates","Each uses primitive plane 10209 with Crest RegisterAlbedoInput/RegisterAnimWavesInput/RegisterFoamInput","Snapshot exact input object/component refs and primitive plane status","Frame Debugger/runtime proof must show hidden-input-only before exemption","Visible primitive planes can hide as false ocean art","HIDDEN_INPUT_CANDIDATE_PENDING_PROOF"
