"object","material","shader","texture","active-state","proof-state","risk"
"H8_SURFACE_SUN_KEY_1428","Light component","n/a","cookie null","GameObject active; light enabled","STATIC_SOURCE","Engine sun reference points here while RenderSettings sun is null; runtime lighting/cost unproven."
"SURFACE_LOW_SUN_DISC_1428","MAT_SurfaceSunDisc_1428.mat","unresolved shader GUID 650dd9526735d5b46b79224bc6e94025","none","GameObject active; renderer enabled","STATIC_SOURCE","Flat-color sun disc; acceptability depends on player capture and bloom/composition proof."
"MAT_H8SurfaceGasGiantDisc_1428 candidate","MAT_H8SurfaceGasGiantDisc_1428.mat","unresolved shader GUID 650dd9526735d5b46b79224bc6e94025","TX_H8AegirGasGiantBakedDisc_1428.png","material candidate; no active scene renderer found in audited route","STATIC_SOURCE","2048 baked disc is a strong candidate asset but not the active Aegir scene path found."
"H8_SURFACE_GAS_GIANT_DISC_1428","MAT_H8SurfaceGasGiantDisc_1428.mat","unresolved shader GUID 650dd9526735d5b46b79224bc6e94025","TX_H8AegirGasGiantBakedDisc_1428.png","GameObject inactive; renderer enabled","STATIC_SOURCE","Inactive baked-disc route; cannot be cited as active Aegir proof."
"MAT_SurfaceCloudPanorama_1428 candidate","MAT_SurfaceCloudPanorama_1428.mat","H8_SurfaceCloudPanorama_1428.shader","Sky/clod1.png; Sky/clod2.png","material on inactive object","STATIC_SOURCE","May be useful for polish but not active proof."
"H8_SURFACE_CLOUD_DECK_HORIZON_1428","MAT_H8SurfaceCloudDeck_1428.mat","Hecton_SurfaceCloudDeck_1428.shader","Sky/oblaka!.png","GameObject inactive; renderer enabled","STATIC_SOURCE","Inactive horizon cloud route; cannot be cited as active cloud proof."
"SURFACE_HORIZON_SALT_HAZE_1428","unknown material GUID 7e76e41275b378a449e954a7bb73808a","unknown","unknown","GameObject inactive; renderer enabled","STATIC_SOURCE","Inactive haze route; cannot be cited as surface lighting proof."
"Aegir_storms.png","referenced by active and candidate Aegir materials","n/a","4096x2048 source imported max 2048","texture asset active through material reference","STATIC_SOURCE","Possible high/ultra softness risk; requires capture proof before changing import caps."
"clouds0_diff.png","referenced by MAT_AegirGasGiant_Impostor_1428","n/a","4096x2048 source imported max 2048","texture asset active through material reference","STATIC_SOURCE","Possible high/ultra softness risk; requires capture proof before changing import caps."
"TX_H8SurfaceSkyNoirGradient_1428.asset","referenced by inactive noir/card material","unresolved shader GUID 650dd9526735d5b46b79224bc6e94025","512x256 generated Texture2D","inactive route","STATIC_SOURCE","Noir gradient is not valid surface cover-up."
"NOIR_FAR_WATER_CURTAIN / NOIR_MIDWATER_VEIL / NOIR_PRESSURE objects","various world/noir materials","unresolved/shared simple shaders","unknown","active object names found in scene search","STATIC_SOURCE","Not sky/Aegir proof; surface screenshots must prove these do not hide weak sky/water art."
"Common world card shader GUID 650dd9526735d5b46b79224bc6e94025","many simple world materials","unresolved in project meta scan","various","used by active and inactive card materials","UNRESOLVED_STATIC","No project .meta owner found; live Unity must prove concrete shader resolution."
