"path","primitive_refs","category","likely_visibility","risk","severity","proposed_next_owner","notes"
"Assets/_Project/Prefabs/Transport/PFB_MicroSub_Transport.prefab","1","Transport","visible_vehicle_or_transport","transport body cube stand-in","HIGH","Vehicles/transport art owner","Active renderer plus anchors; needs real micro-sub shell."
"Assets/_Project/Prefabs/Transport/PFB_ScoutGlider_Transport.prefab","1","Transport","visible_vehicle_or_transport","transport body cube stand-in","HIGH","Vehicles/transport art owner","Active renderer; needs authored glider body."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Construction/PFB_family_pocket_hazard_Placeholder.prefab","6","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Construction/PFB_family_pocket_safe_Placeholder.prefab","6","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Construction/PFB_family_route_power_Placeholder.prefab","3","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Construction/PFB_family_ruin_cluster_medium_Placeholder.prefab","3","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Construction/PFB_family_ruin_megastructure_Placeholder.prefab","3","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Construction/PFB_family_ruin_module_single_Placeholder.prefab","2","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Construction/PFB_family_service_scar_Placeholder.prefab","3","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Debris/PFB_family_debris_field_Placeholder.prefab","6","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Debris/PFB_family_debris_scatter_Placeholder.prefab","4","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Fauna/PFB_family_creature_spawn_passive_Placeholder.prefab","3","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Fauna/PFB_family_creature_spawn_predator_Placeholder.prefab","4","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Fauna/PFB_family_egg_cluster_Placeholder.prefab","5","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Flora/PFB_family_coral_branching_Placeholder.prefab","8","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Flora/PFB_family_coral_low_Placeholder.prefab","7","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Flora/PFB_family_coral_massive_Placeholder.prefab","7","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Flora/PFB_family_coral_plate_Placeholder.prefab","6","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Flora/PFB_family_kelp_canopy_Placeholder.prefab","8","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Flora/PFB_family_kelp_patch_dense_Placeholder.prefab","14","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Flora/PFB_family_kelp_tall_Placeholder.prefab","10","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Flora/PFB_family_plant_giant_Placeholder.prefab","5","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/LargeThreats/PFB_family_creature_zone_abyss_apex_Placeholder.prefab","6","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/LargeThreats/PFB_family_creature_zone_large_threat_Placeholder.prefab","6","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/LargeThreats/PFB_family_creature_zone_reef_apex_Placeholder.prefab","6","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/LargeThreats/PFB_family_creature_zone_ruin_apex_Placeholder.prefab","6","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/Resources/PFB_family_pocket_resource_Placeholder.prefab","6","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/TerrainLod/PFB_family_cave_entrance_Placeholder.prefab","4","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/TerrainLod/PFB_family_landmark_spire_Placeholder.prefab","3","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/TerrainLod/PFB_family_rock_arch_large_Placeholder.prefab","4","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/TerrainLod/PFB_family_rock_cluster_medium_Placeholder.prefab","5","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders/TerrainLod/PFB_family_rock_small_floor_Placeholder.prefab","3","WorldRuntime/ProceduralPlaceholders","dev_placeholder_visible_if_spawned","placeholder marker present","DEV_ONLY","WorldRuntime/generator owner","WorldProceduralPlaceholderMarker present; quarantine/reference proof required."
"Assets/_Project/Prefabs/WorldSupport/Final/PFB_Support_CreatureSpawn_Passive.prefab","11","WorldSupport/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; primitive spawn/habitat visual carrier."
"Assets/_Project/Prefabs/WorldSupport/Final/PFB_Support_CreatureSpawn_Predator.prefab","12","WorldSupport/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; primitive predator lair visual carrier."
"Assets/_Project/Prefabs/WorldSupport/Final/PFB_Support_Pocket_Hazard.prefab","15","WorldSupport/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; primitive hazard pocket visual carrier."
"Assets/_Project/Prefabs/WorldSupport/Final/PFB_Support_Pocket_Resource.prefab","12","WorldSupport/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; primitive resource pocket visual carrier."
"Assets/_Project/Prefabs/WorldSupport/Final/PFB_Support_Pocket_Safe.prefab","11","WorldSupport/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; primitive safe-pocket visual carrier."
"Assets/_Project/Prefabs/WorldSupport/Final/PFB_Support_Zone_AbyssApex.prefab","12","WorldSupport/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; primitive abyss apex visual carrier."
"Assets/_Project/Prefabs/WorldSupport/Final/PFB_Support_Zone_LargeThreat.prefab","12","WorldSupport/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; primitive large-threat visual carrier."
"Assets/_Project/Prefabs/WorldSupport/Final/PFB_Support_Zone_ReefApex.prefab","12","WorldSupport/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; primitive reef apex visual carrier."
"Assets/_Project/Prefabs/WorldSupport/Final/PFB_Support_Zone_RuinApex.prefab","12","WorldSupport/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; primitive ruin apex visual carrier."
