"asset_stem","asset_family","priority_band","route_use","required_manifest_path","required_proof_filenames","required_views","visual_rejection_conditions","performance_rejection_conditions","status"
"GEN_family_coral_massive__boulder","coral_massive","WAVE_01_FIRST_PROOF","Shallow coral mass landmark and player-scale foreground route object","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_coral_massive__boulder.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_coral_massive__boulder_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__boulder__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__boulder__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__boulder__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__boulder__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__boulder__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__boulder__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__boulder__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","smooth blob; muddy/blurry/flat material; bad channels; no pores/cavities; no route readability; dark/fog masking","missing compact capture; no LOD/HLOD proof; collider proxy over budget or LOD0 collision; no SRP/instancing proof","PENDING UNITY"
"GEN_family_coral_massive__buttress","coral_massive","WAVE_01_FIRST_PROOF","Route composition buttress form near shallow terrain shelf","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_coral_massive__buttress.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_coral_massive__buttress_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__buttress__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__buttress__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__buttress__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__buttress__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__buttress__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__buttress__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__buttress__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","smooth blob; muddy/blurry/flat material; bad channels; no buttress silhouette; no route readability; dark/fog masking","missing compact capture; no LOD/HLOD proof; collider proxy over budget or LOD0 collision; no SRP/instancing proof","PENDING UNITY"
"GEN_family_coral_massive__porous","coral_massive","WAVE_01_FIRST_PROOF","Shallow porous coral material/channel proof and near-field detail check","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_coral_massive__porous.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_coral_massive__porous_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__porous__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__porous__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__porous__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__porous__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__porous__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__porous__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_massive__porous__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","smooth blob; muddy/blurry/flat material; bad channels; pores only painted not shaped; dark/fog masking","missing compact capture; no LOD/HLOD proof; collider proxy over budget or LOD0 collision; no SRP/instancing proof","PENDING UNITY"
"GEN_family_coral_plate__canopy","coral_plate","WAVE_01_FIRST_PROOF","Shallow plate canopy silhouette against water clarity and route landmark","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_coral_plate__canopy.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_coral_plate__canopy_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__canopy__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__canopy__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__canopy__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__canopy__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__canopy__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__canopy__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__canopy__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","flat plate/card read; muddy/blurry material; missing thick rim/underside AO; bad alpha; dark/fog masking","missing compact capture; no LOD/HLOD proof; collider misuse; overdraw/alpha blend field","PENDING UNITY"
"GEN_family_coral_plate__shelf","coral_plate","WAVE_01_FIRST_PROOF","Waterline-to-shallow shelf coral route edge and terrain contact","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_coral_plate__shelf.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_coral_plate__shelf_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__shelf__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__shelf__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__shelf__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__shelf__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__shelf__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__shelf__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__shelf__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","flat plate/card read; muddy/blurry material; missing thick rim/underside AO; bad alpha; dark/fog masking","missing compact capture; no LOD/HLOD proof; collider misuse; overdraw/alpha blend field","PENDING UNITY"
"GEN_family_coral_plate__terrace","coral_plate","WAVE_01_FIRST_PROOF","Photic terrace silhouette and return-path cue in reef composition","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_coral_plate__terrace.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_coral_plate__terrace_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__terrace__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__terrace__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__terrace__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__terrace__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__terrace__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__terrace__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_plate__terrace__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","flat plate/card read; muddy/blurry material; missing thick rim/underside AO; bad alpha; dark/fog masking","missing compact capture; no LOD/HLOD proof; collider misuse; overdraw/alpha blend field","PENDING UNITY"
"GEN_family_kelp_canopy__laminaria__s105-165","kelp_canopy","WAVE_01_FIRST_PROOF","0-30m shallow canopy motion/silhouette cue near Starter_ReefField","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_kelp_canopy__laminaria__s105-165.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_kelp_canopy__laminaria__s105-165_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__laminaria__s105-165__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__laminaria__s105-165__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__laminaria__s105-165__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__laminaria__s105-165__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__laminaria__s105-165__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__laminaria__s105-165__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__laminaria__s105-165__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","ribbon/card primitive; muddy/blurry material; bad alpha; root sways like tip; no holdfast; dark/fog masking","missing compact capture; alpha blend dense field; no dither fade proof; no vertex color R/G/B semantics proof; no instancing/LOD proof","PENDING UNITY"
"GEN_family_kelp_canopy__sheetwall__s150-230","kelp_canopy","WAVE_01_FIRST_PROOF","Shallow sheetwall route boundary and compact overdraw stress test","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_kelp_canopy__sheetwall__s150-230.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_kelp_canopy__sheetwall__s150-230_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__sheetwall__s150-230__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__sheetwall__s150-230__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__sheetwall__s150-230__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__sheetwall__s150-230__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__sheetwall__s150-230__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__sheetwall__s150-230__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__sheetwall__s150-230__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","ribbon/card primitive; muddy/blurry material; bad alpha; root sways like tip; no holdfast; dark/fog masking","missing compact capture; alpha blend dense field; no dither fade proof; no vertex color R/G/B semantics proof; no instancing/LOD proof","PENDING UNITY"
"GEN_family_kelp_canopy__tapestry__s160-240","kelp_canopy","WAVE_01_FIRST_PROOF","Waterline-to-shallow broad kelp read and route composition density","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_kelp_canopy__tapestry__s160-240.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_kelp_canopy__tapestry__s160-240_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__tapestry__s160-240__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__tapestry__s160-240__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__tapestry__s160-240__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__tapestry__s160-240__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__tapestry__s160-240__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__tapestry__s160-240__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__tapestry__s160-240__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","ribbon/card primitive; muddy/blurry material; bad alpha; root sways like tip; no holdfast; dark/fog masking","missing compact capture; alpha blend dense field; no dither fade proof; no vertex color R/G/B semantics proof; no instancing/LOD proof","PENDING UNITY"
"GEN_family_kelp_canopy__windrow__s145-230","kelp_canopy","WAVE_01_FIRST_PROOF","Shallow current/flow visual cue and route edge density","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_kelp_canopy__windrow__s145-230.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_kelp_canopy__windrow__s145-230_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__windrow__s145-230__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__windrow__s145-230__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__windrow__s145-230__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__windrow__s145-230__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__windrow__s145-230__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__windrow__s145-230__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_canopy__windrow__s145-230__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","ribbon/card primitive; muddy/blurry material; bad alpha; root sways like tip; no holdfast; dark/fog masking","missing compact capture; alpha blend dense field; no dither fade proof; no vertex color R/G/B semantics proof; no instancing/LOD proof","PENDING UNITY"
"GEN_family_kelp_patch_dense__frilltuft__s75-125","kelp_patch_dense","WAVE_01_FIRST_PROOF","5-20m dense foreground biota patch and compact density test","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_kelp_patch_dense__frilltuft__s75-125.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_kelp_patch_dense__frilltuft__s75-125_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__frilltuft__s75-125__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__frilltuft__s75-125__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__frilltuft__s75-125__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__frilltuft__s75-125__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__frilltuft__s75-125__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__frilltuft__s75-125__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_kelp_patch_dense__frilltuft__s75-125__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","flat noisy grass/blob; muddy material; bad alpha; no root/holdfast; no route readability; dark/fog masking","missing compact capture; alpha blend dense field; no dither fade proof; no density cap; no LOD/instancing proof","PENDING UNITY"
