"path","primitive_source","prefab_save","production_route","risk_class","evidence","next_action"
"Assets/_Project/Editor/Assembly/InventoryPrefabFactory.cs","no","yes","inventory prefab assembly","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Validate generated outputs; no primitive source blocker found."
"Assets/_Project/Editor/Assembly/HazardPrefabFactory.cs","no","yes","hazard prefab assembly","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Validate generated outputs; no primitive source blocker found."
"Assets/_Project/Editor/Assembly/FloraPrefabFactory.cs","no","yes","flora prefab assembly","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Validate generated outputs; no primitive source blocker found."
"Assets/_Project/Editor/Generators/Fauna/AbyssalAnatomyStudio1610.cs","no","yes","fauna generated asset pipeline","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep under final fauna validators."
"Assets/_Project/Editor/Assembly/FaunaPrefabFactory.cs","no","yes","fauna prefab assembly","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Validate generated outputs; no primitive source blocker found."
"Assets/_Project/Editor/Generators/World/AbyssalScatterPolisherPipeline.cs","no","yes","world scatter generated asset pipeline","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Validate generated outputs; no primitive source blocker found."
"Assets/_Project/Editor/Generators/Structures/ModuleArchitect1712.cs","no","yes","structure generated asset pipeline","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep under hard-surface final validators."
"Assets/_Project/Editor/Generators/Structures/DeepReachStationFabricator.cs","no","yes","station generated asset pipeline","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep under construction/station final validators."
"Assets/_Project/Scripts/Editor/BaseModulePrefabIntegrityEnforcer.cs","no","yes","prefab maintenance","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep validator coverage; no primitive factory blocker by source evidence."
"Assets/_Project/Scripts/Editor/AITextureControlMapBaker/Shinobu269/AITextureImportAndMaterialPipeline.cs","no","yes","texture/material import pipeline","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","No primitive factory blocker by source evidence."
"Assets/_Project/Editor/QA/SceneIntegrityValidator1627.cs","no","yes","QA/scene integrity","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep as QA route; no primitive factory blocker by source evidence."
"Assets/_Project/Editor/ObjectSpawner.cs","yes","no","editor scene tool","DEV_ONLY_SCENE_NO_SAVE","Tools/Spawn Debris creates scene cubes with GameObject.CreatePrimitive; no SaveAsPrefabAsset hit.","Keep out of production scenes or replace with debug-only marker."
"Assets/_Project/Editor/Physics/ColliderOptimizationEngine1609.cs","collider-only","yes","Assets/_Project/Prefabs collider optimization","COLLIDER_ONLY_ACCEPTABLE","Primitive references create Box/Sphere/CapsuleCollider components; no visible primitive renderer route found.","Accept for collider optimization; keep visual mesh validators separate."
"Assets/_Project/Editor/Physics/ColliderOptimizerEngine1716.cs","collider-only","yes","Assets/_Project/Prefabs collider optimization","COLLIDER_ONLY_ACCEPTABLE","Primitive references create collider components and enforce primitive collider budget; no visible primitive renderer route found.","Accept for collider optimization; keep visual mesh validators separate."
"Assets/_Project/Scripts/Editor/ConstructionBootstrapAuthoring.cs","yes","yes","Assets/_Project/Prefabs/Construction/Final","COVERED_BY_1852_GUARD","Legacy final primitive authoring exists, but 1852 fail-closed guard gates rebuild through WorldProceduralFinalPrefabQualityGate.","Keep guard; do not regenerate legacy final primitives except explicit remediation."
"Assets/_Project/Scripts/Editor/ContentSanityValidator.cs","no","yes","content validation/repair","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep validator coverage; no primitive factory blocker by source evidence."
"Assets/_Project/Scripts/Editor/CreatureProxyPrefabAuthoring.cs","yes","yes","Assets/_Project/Data/AI/GeneratedProxies/Prefabs","MEDIUM_PROXY","Visible primitive creature proxies are saved; ResolveDefaultProxyPrefab can return them.","Quarantine as generated proxies; never route as final creature art."
"Assets/_Project/Editor/Generators/Interiors/InteriorFinisherStudio1608.cs","no","yes","interior generated asset pipeline","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep under interior final validators."
"Assets/_Project/Scripts/Editor/FaunaColliderValidator.cs","no","yes","fauna collider validation","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","No primitive factory blocker by source evidence."
"Assets/_Project/Scripts/Editor/FabricationBootstrapAuthoring.cs","yes","no","starter fabrication scene bootstrap","DEV_ONLY_SCENE_NO_SAVE","Creates a scene station primitive with GameObject.CreatePrimitive; no prefab save hit.","Keep out of final art path or replace with authored station prefab."
"Assets/_Project/Scripts/Editor/FloraFoundationAuthoring.cs","yes","yes","Assets/_Project/Data/Flora/GeneratedProxies/Prefabs","MEDIUM_PROXY","BuildProxyVisual/AddPrimitiveChild creates visible primitive proxy flora and saves proxy prefabs.","Quarantine as proxy/debug content; require authored final flora assets for runtime finals."
"Assets/_Project/Editor/Generators/Interiors/EquipmentPropBaker1715.cs","no","yes","equipment/interior generated asset pipeline","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep under prop final validators."
"Assets/_Project/Scripts/Editor/HectonPrefabIntegrityScanner.cs","yes","yes","diagnostics plus repair of arbitrary prefab paths","HIGH_CONDITIONAL","Ensures PFB_ErrorCube from PrimitiveType.Cube and can SaveAsPrefabAsset back to broken prefab paths during repair.","Make repair dry-run/diagnostics-only unless explicit scoped approval exists."
"Assets/_Project/Editor/Generators/Geology/RockSculptorEngine1713.cs","no","yes","geology generated asset pipeline","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep under geology final validators."
"Assets/_Project/Scripts/Editor/HectonArtOptimizationTools.cs","no","yes","art optimization tooling","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","No primitive factory blocker by source evidence."
"Assets/_Project/Scripts/Editor/GeologyForge/GeologyForgeGenerator.cs","no","yes","geology forge generator","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep under geology final validators."
"Assets/_Project/Scripts/Editor/LoadingScreenPrefabCreator.cs","no","yes","loading screen prefab generation","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","No primitive factory blocker by source evidence."
"Assets/_Project/Scripts/Editor/OfflineGeometryBaker/Shinobu213/Unoptimized_Mesh_Scanner.cs","no","yes","offline geometry tooling","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","No primitive factory blocker by source evidence."
"Assets/_Project/Scripts/Editor/MissingScriptProbe.cs","no","yes","missing script probe/repair","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep repair behavior scoped; no primitive source blocker found."
"Assets/_Project/Scripts/Editor/OfflineGeometryBaker/Shinobu213/OfflineGeometryBaker.cs","no","yes","offline geometry baker","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep generated outputs under mesh validators."
"Assets/_Project/Scripts/Editor/OfflineGeometryBaker/InteriorClutterForge.cs","no","yes","interior clutter forge","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep under interior prop validators."
"Assets/_Project/Scripts/Editor/RelayRouteAuthoringUtility.cs","no","yes","relay route authoring","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","No primitive factory blocker by source evidence."
"Assets/_Project/Scripts/Editor/Narrative/H8AppliedLoreBindingCatalogWindow.cs","yes","yes","Assets/_Project/Prefabs/Narrative/AppliedLore","HIGH_CONDITIONAL","Terminal anchor starts as PrimitiveType.Cube, then loads custom terminal mesh if present; mesh/material exist on disk in read-only check.","Fail if terminal mesh/material missing; do not save cube fallback."
"Assets/_Project/Scripts/Editor/PrefabMaintenanceTool.cs","no","yes","prefab maintenance","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep repair behavior scoped; no primitive source blocker found."
"Assets/_Project/Scripts/Editor/ProceduralGen/BioForgeGenerator.cs","no","yes","bio procedural generator","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep under biological final validators."
"Assets/_Project/Scripts/Editor/ResourceWorldBootstrapAuthoring.cs","yes","yes","Assets/_Project/Prefabs/Resources/Pickups","BLOCKER","CreatePickupPrefab creates visible cube/sphere/capsule pickups and saves production resource pickup prefabs.","Replace with authored resource pickup meshes; hidden colliders only may use primitive colliders."
"Assets/_Project/Scripts/Editor/ResourceDistributionBootstrapAuthoring.cs","yes","yes","Assets/_Project/Prefabs/Resources/Nodes","BLOCKER","Creates PFB_Ore_Generic from cube and PFB_Ore_MagmaVentMarker from cylinder, then saves resource node prefabs.","Replace with authored ore/vent assets or fail when final assets are absent."
"Assets/_Project/Scripts/Editor/SargassumGenerator.cs","no","yes","sargassum generation","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep under flora validators."
"Assets/_Project/Scripts/Editor/WorldProceduralFloraBakedStarterGenerator.cs","no","yes","world procedural flora starter generation","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep under flora final validators."
"Assets/_Project/Scripts/Editor/WorldProceduralFloraProxyShapeBuilder.cs","yes","no","proxy helper","DEV_ONLY_HELPER","Creates visible primitive proxy shapes for caller; no direct SaveAsPrefabAsset hit.","Only allow through proxy-only callers; never final-ready output."
"Assets/_Project/Scripts/Editor/WorldProceduralGeologyFinalAuthoring.cs","no","yes","world procedural geology final authoring","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep under geology final validators."
"Assets/_Project/Scripts/Editor/WorldProceduralInteriorColonyFinalAuthoring.cs","yes","yes","Assets/_Project/Prefabs/Construction/Final/InteriorColony","BLOCKER","Unguarded final authoring creates visible primitive interior/colony prefabs and saves them to Final folder.","Guard fail-closed or replace with authored final meshes before regeneration."
"Assets/_Project/Scripts/Editor/WorldProceduralOrganicMiscFinalAuthoring.cs","yes","yes","Assets/_Project/Prefabs/Nature/OrganicMisc/Final","COVERED_BY_1852_GUARD","Legacy primitive final authoring exists but is gated by WorldProceduralFinalPrefabQualityGate.","Keep guard; replace with real organic final assets."
"Assets/_Project/Scripts/Editor/WorldProceduralPlaceholderAuthoring.cs","yes","yes","Assets/_Project/Prefabs/WorldRuntime/ProceduralPlaceholders plus finalReady family variants","BLOCKER","Creates primitive placeholder prefabs and sets variant proxyOnly=false and finalReady=true.","Never promote placeholders to final-ready; force proxyOnly or fail when real final variant is absent."
"Assets/_Project/Scripts/Editor/WorldProceduralProxyAuthoring.cs","yes","yes","Assets/_Project/Prefabs/WorldProceduralProxy","DEV_ONLY_PROXY_SAVE","Saves primitive proxy prefabs but writes proxyOnly=true and finalReady=false.","Keep invariant enforced; never use proxy prefabs as final art."
"Assets/_Project/Scripts/Editor/WorldProceduralProxySceneBuilder.cs","yes","no","scene proxy placement","DEV_ONLY_SCENE_NO_SAVE","Creates fallback scene proxy cube when no variant prefab exists; no prefab save hit.","Keep as editor proxy scene only."
"Assets/_Project/Scripts/Editor/WorldProceduralSupportFinalAuthoring.cs","yes","yes","Assets/_Project/Prefabs/WorldSupport/Final","COVERED_BY_1852_GUARD","Legacy primitive final authoring exists but is gated by WorldProceduralFinalPrefabQualityGate.","Keep guard; replace with real support final assets."
"Assets/_Project/Scripts/Editor/WorldRuntimeBootstrapAuthoring.cs","no","yes","world runtime bootstrap","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","No primitive factory blocker by source evidence."
