step_id,domain,action,files_or_scene_paths,dependencies,proof_required,rejection_condition
1816_STEP_11_INDUSTRIAL_TRACE,UNITY_OWNER_AND_OFFLINE_PREP,"Make dock, sub, turbine, wreck, and service traces read as machinery/history; use offline bake/source kit rather than primitive hero props.","SUB_PRESSURE_HULL; SUB_PORTLIGHT_*; Power_CurrentTurbine; Assets/SciFiFacility; Assets/_Project/Scripts/World/OfflineWreckageBaker; MESH_SurfaceDropPodBurnt_1428.asset; MAT_SurfaceDropPodCharredHull_1428.mat; TECH_DEBRIS.prefab","1816_STEP_10_LOWER_PHOTIC","PENDING UNITY SLOT: 1810_PROOF_07 wide and close screenshots plus batches/SetPass/profiler notes if dressed.","Reject primitive boxes/tubes as final, package mutation, clean plastic sci-fi, or machinery with no decision/evidence value."
1816_STEP_12_COPPER_ROUTE,UNITY_OWNER_WITH_DATA_DEPENDENCY,"Verify Node_Copper_A as physical resource target; keep copper catalog collision pending unless data owner fixes it.","Node_Copper_A; ResourceNodeTemplate_CopperVein.asset; Assets/_Project/Data/Items/Resources/Raw/Data_Copper.asset; Assets/_Project/Data/Items/Data_Copper.asset legacy collision","1816_STEP_09_RESOURCE_BOWL; 1814_COPPER_CATALOG_COLLISION_AUDIT.md","PENDING UNITY SLOT: 1810_PROOF_08 screenshot and interaction note; PENDING DATA VALIDATION for duplicate Data_Copper until fixed.","Reject UI-only target, abstract sparkle, hidden node, or claim that copper identity collision is resolved without validation."
1816_STEP_13_SCRAP_ROUTE,UNITY_OWNER,"Verify Scrap_A as physical salvage with material wear, route cost, and readable approach/return context.","Scrap_A; Assets/_Project/Prefabs/TECH_DEBRIS.prefab; MESH_SurfaceDropPodBurnt_1428.asset; MAT_SurfaceDropPodCharredHull_1428.mat; SciFiFacility source kit","1816_STEP_11_INDUSTRIAL_TRACE","PENDING UNITY SLOT: 1810_PROOF_09 route-distance and close salvage screenshots plus interaction/GC proof if exercised.","Reject primitive loot prop, sparkle-only reward, free no-risk corridor reward, or runtime debris simulation without proof."
1816_STEP_14_FABRICATOR_SAFE_POCKET,UNITY_OWNER,"Verify Forward_Fabricator and Fabrication_Outpost as physical station/safe pocket with unobstructed approach and biota perimeter.","Forward_Fabricator; Fabrication_Outpost; ZoneProfile_Fabrication_Early; family_coral_low; family_kelp_tall; Suit_HUD_Canvas.prefab","1816_STEP_12_COPPER_ROUTE; 1816_STEP_13_SCRAP_ROUTE","PENDING UNITY SLOT: 1810_PROOF_10 approach and close frame plus interaction/GC proof if exercised.","Reject flat UI menu, clean prop, primitive construction hero asset, or biota blocking station interaction clearance."
1816_STEP_15_RETURN_AND_COCKPIT,UNITY_OWNER,"Prove return path from copper/scrap/fabricator to Route_Anchor/coast and cockpit/HUD/shallow readability without debug map dependence.","Route_Anchor; Route_Frontier; coast/foam landmarks; MAT_HUD_AcousticRadarOverlay.mat; Hecton_DiegeticVisorCurvedHUD.shader; Hecton_PDA_SonarMap.shader","1816_STEP_14_FABRICATOR_SAFE_POCKET","PENDING UNITY SLOT: 1810_PROOF_11 and 1810_PROOF_12 screenshots, oxygen display proof, HUD/sonar GC proof if active.","Reject debug-map dependency, UI overlap, route hidden by darkness, or oxygen/instrument state unreadable."
1816_STEP_16_FIRST_SCREENSHOT_SET,UNITY_OWNER,"Capture the first required screenshot set: surface coast, waterline close-up, under-surface 5-20 m, 30-100 m route, Aegir horizon, cockpit/shallow readability, and industrial/resource/fabricator close set.","Docs/Reports/Batch18/1810_Captures/; proof IDs 1810_PROOF_01 through 1810_PROOF_12 and 1810_PROOF_15","1816_STEP_15_RETURN_AND_COCKPIT","PENDING UNITY SLOT: current artifact paths for every captured shot or exact blocked proof IDs.","Reject beauty-only shots, old 1428 screenshots, static baselines used as current proof, or screenshots lacking route/gameplay context."
1816_STEP_17_PROFILER_DEBUGGER_GC,UNITY_OWNER,"Produce profiler, GC, Frame Debugger, memory/VRAM, batches, SetPass, and console artifacts for the same route sequence and quality tier context.","Unity Profiler; GCMonitor or ProfilerRecorder; Frame Debugger; Docs/Reports/Batch18/1810_Captures/1810_PROF_16_route_packet_<tier>_<timestamp>.*","1816_STEP_16_FIRST_SCREENSHOT_SET","PENDING UNITY SLOT: 1810_PROOF_16 artifact packet with scene, timestamp, tier, hardware/context, and repro route.","Reject fake numbers, no artifact path, metrics from another scene, static estimates, or hidden hot-path generation."
1816_STEP_18_PLAYER_SMOKE_GATES,UNITY_OWNER,"Run player route smoke gates: oxygen loop, copper/tool route, scrap/tool route, fabricator route, safe-room/base return, hazard readability, and death/drop only if reachable.","Player; oxygen/HUD; Node_Copper_A; Scrap_A; Forward_Fabricator; Fabrication_Outpost; Route_Anchor; first hazard/fauna/weather/pressure cue if active","1816_STEP_17_PROFILER_DEBUGGER_GC","PENDING UNITY SLOT: Play Mode notes and artifact paths for 1810_PROOF_08 through 1810_PROOF_14.","Reject behavior claims from static names, fatal surprise without evidence, missing oxygen loop, or route smoke proof without current Play Mode artifact."
1816_STEP_19_QUALITY_TIERS,UNITY_OWNER,"Compare Compact, Middle, High, and Ultra from matched cameras; GlobalQualityWeight may scale sensory density only.","GlobalQualityWeight; matched surface/waterline/photic cameras; water/sky/coast/biota/HUD paths touched by prior steps","1816_STEP_18_PLAYER_SMOKE_GATES","PENDING UNITY SLOT: 1810_PROOF_15 screenshots and profiler/memory/VRAM deltas per tier.","Reject binary quality switch, ugly Compact mode, tier-only route readability, or quality changing gameplay truth, save identity, DTO layout, resource identity, or authority route."
1816_STEP_20_FINAL_PROOF_PACKET,UNITY_OWNER,"Write final future report with exact artifact paths, blocker list, and one allowed final state; do not upgrade proof labels without artifacts.","Docs/Reports/Batch18 future Unity report; Docs/Reports/Batch18/1816_SURFACE_ROUTE_UNITY_SLOT_ORDER.csv","1816_STEP_19_QUALITY_TIERS","Future state must be RUNTIME PROOF PASS WITH CURRENT ARTIFACTS, BLOCKED BY SPECIFIC UNITY EVIDENCE, or ABORTED DUE TO UNITY SLOT/BUSY BUILD GATE.","Reject vague pass/fail, fake screenshots, fake profiler claims, missing blocked proof IDs, or broad unrelated scene cleanup."
