"step_id","phase","owner_mode","action","allowed_files_or_routes","blocked_files_or_routes","inputs_required","preflight_check","proof_required","rollback_or_abort_condition","parallel_allowed_before_step","status"
"PF1892-011","material_texture_gate_pre_relink","single Unity owner","Run Product-Face Material Texture Gate before relink.","Hecton8/Validation/Product-Face Material Texture Gate","Prefab save; broad material slot mutation before gate","1890 validator; ProductFace material manifest","Unity ready; material assets imported; no prefab mutations pending","Structured validator findings","Abort on missing texture slot, package/default/placeholder material, absent packed-channel declaration, or environment misuse","Reports; static audits","PENDING UNITY SLOT"
"PF1892-012","player_relink","single Unity owner","Relink Player.prefab visual roots only after sources and materials pass.","Assets/_Project/Prefabs/Player.prefab visual MeshFilter/sharedMaterial under VIS/LOD equivalent roots","Movement CapsuleCollider; HandAnchor; camera stack; HUD; Suit_Visor transform; Swim_*Attachment transforms","1885 player anchor snapshot; generated PlayerSuit meshes; material manifest","Pre/post transform snapshot captured","Anchor transform comparison; prefab validator result; first-person and external player screenshots later","Rollback whole player category on anchor drift, controller ref loss, primitive mesh, flat material, or validator red gate","No Unity work; reports only","PENDING UNITY SLOT"
"PF1892-013","tool_relink","single Unity owner","Relink held/world tool families as paired units.","Assets/_Project/Prefabs/Tools/Held/*.prefab; Assets/_Project/Prefabs/Items/Tools/*.prefab visual slots","Splitting held/world pair; _toolData loss; deriving anchors from mesh bounds; Tool_Propulsion_Held default material retention","1885 tool preservation; 1880 role package; generated tool meshes/materials","Held and world backups exist for each family","Pair diff report; validator results; held/world screenshots later","Rollback whole tool family on missing _toolData, primitive mesh, default material, moved origins, or validator failure","Reports; manifest updates","PENDING UNITY SLOT"
"PF1892-014","resource_relink","single Unity owner","Relink canonical resource pickup visual roots.","Assets/_Project/Prefabs/Resources/Pickups/*.prefab visual slots","Changing item ids; Data_CopperOre invention; duplicate titanium truth; visual MeshCollider","1881 role package; 1885 resource refs; generated resources; material manifest","Data refs and pickup components snapshotted","Resource prefab diff; validator results; pickup close screenshots later","Rollback resource on data ref drift, unreadable pickup, missing collider split, default material, or validator failure","Reports; no-mutation scans","PENDING UNITY SLOT"
"PF1892-015","item_titanium_decision","single Unity owner","Classify Item_Titanium as retained canonical titanium scrap or quarantine candidate after proof.","Assets/_Project/Prefabs/Item_Titanium.prefab with .meta if retained/quarantined together","Blind deletion; separate item identity; unresolved default GUID","1887 decision packet; 1885 resource refs; scoped GUID/path/object scans","Scoped production-reference proof completed in same Unity state","Reference scan report; Data_TitaniumScrap preservation proof","Abort/quarantine blocked if any active production reference remains or rollback is incomplete","Reports; reference audit prep","PENDING UNITY SLOT"
"PF1892-016","transport_relink","single Unity owner","Relink transport visual bodies one transport at a time.","Assets/_Project/Prefabs/Transport/PFB_*_Transport.prefab visual slots","RiderAnchor/DismountAnchor movement; preset edits; collision truth changes; vehicle runtime edits","1882 role package; 1885 transport anchor transforms; generated transport meshes/materials","Pre/post anchor snapshot captured","Transport diff; validator result; boarding/near screenshot later","Rollback transport on anchor drift, preset loss, primitive mesh, untextured hull, or behavior change","Reports; manifest updates","PENDING UNITY SLOT"
"PF1892-017","sky_ocean_source_cleanup","single Unity owner","Run sky/ocean source gate and clean only authorized visible primitive debt.","Sky_System.prefab; Ocean_Crest.prefab; approved sky/ocean source routes","Crest package material clone/mutation; broad hidden-input bypass; environment donor use for ProductFace","1878 validator; 1883 role package; 1885 sky/ocean preservation; 1889 exclusions","Crest input candidates and active instances identified","Sky-Ocean Source Primitive Gate findings; Frame Debugger proof later","Abort on visible primitive, muddy/dark surface, weak Aegir/moons, failed hidden-input proof, or Crest package mutation attempt","Reports; sky/ocean shot-list prep","PENDING UNITY SLOT"
"PF1892-018","structures_cube_decision","single Unity owner","Classify STRUCTURES and Buildings/Cube after scoped reference proof.","STRUCTURES.prefab and Buildings/Cube.prefab with .meta only if retained/quarantined by owner","Blind deletion; moving without .meta; ignoring MapMagic Terrain.asset reference; primitive child retention","1887 quarantine packet; construction/MapMagic owner input if needed","Scoped GUID/path/stem/object scan completed","Decision report; validator rerun","Abort deletion/quarantine if active reference remains or owner classification is absent","Reports; reference audit prep","PENDING UNITY SLOT"
"PF1892-019","static_audit_nonfatal","single Unity owner","Run GeneratedAssetProductionAudit non-fatal after relink batch.","python Tools/GeneratedAssetProductionAudit.py --root .","Treating warnings/errors as acceptance; running from stale state","Current post-relink project state","Unity saves flushed; no import pending","Audit output artifact","Rollback/repair if ProductFace primitive/default/material errors remain in touched category","Reports only before this step","PENDING UNITY SLOT"
"PF1892-020","static_audit_fail_on_error","single Unity owner","Run GeneratedAssetProductionAudit fail-on-error hard gate.","python Tools/GeneratedAssetProductionAudit.py --root . --fail-on-error","Ignoring exit code; claiming pass with unrelated errors unclassified","Post-relink audit baseline","Nonfatal audit already reviewed","Exit code and audit artifact","Abort acceptance on nonzero exit unless unrelated pre-existing errors are explicitly isolated by Integrator policy","Reports only before this step","PENDING UNITY SLOT"
"PF1892-021","prefab_quality_gate","single Unity owner","Run Unity Product-Face Prefab Quality Gate.","Hecton8/Validation/Product-Face Prefab Quality Gate","Skipping Unity gate; accepting static audit only","ProductFacePrefabQualityValidator.cs; current prefab state","Unity compile/import ready","Console/log structured findings","Rollback touched category on red gate or missing required prefab/root","No Unity parallel work","PENDING UNITY SLOT"
"PF1892-022","sky_ocean_gate","single Unity owner","Run Sky-Ocean Source Primitive Gate.","Hecton8/Validation/Sky-Ocean Source Primitive Gate","Broad whitelist for Ocean_Crest primitives; storm/noir visual masking","ProductFaceSkyOceanSourceValidator.cs; Sky_System/Ocean_Crest state","Prefab quality gate done or sky/ocean category active","Console/log structured findings","Rollback sky/ocean cleanup if gate fails or hidden-input proof is absent","No Unity parallel work","PENDING UNITY SLOT"
"PF1892-023","material_texture_gate","single Unity owner","Run Product-Face Material Texture Gate after all material relinks.","Hecton8/Validation/Product-Face Material Texture Gate","Skipping 1890; treating report-only material packets as live proof","ProductFaceMaterialTextureValidator.cs; material assignments","All intended material slots assigned from ProductFace sources","Console/log structured findings","Rollback category on missing slots, default GUID, placeholder, package Lit.mat, or forbidden environment material","No Unity parallel work","PENDING UNITY SLOT"
"PF1892-024","route_screenshot_set","single Unity owner","Capture required ProductFace route screenshot set.","Surface coastline; Aegir/moons horizon; waterline close-up; 5-20m under-surface; photic 30-100m; medium-depth hero; cockpit/tool/resource close-ups; transport/player close-ups","Using only storm/eclipse/night/depth/noir proof; hiding weak art with fog/crop/darkness","Validators green in same Unity state; shot-list ready","Compact and normal/high matched camera settings chosen","Screenshot artifacts with route labels and tier labels","Abort acceptance on primitive body, flat material, empty slot, muddy water, dark surface, unreadable pickup, untextured transport, crude tool silhouette","Reports and content packets only","PENDING UNITY SLOT"
"PF1892-025","frame_debugger_profiler_gc","single Unity owner","Capture Frame Debugger/profiler/GC/memory proof when claiming runtime/render acceptance.","Unity Frame Debugger; Profiler; GC allocation check; memory/VRAM review","Fake timing numbers; static proof upgraded to runtime proof; profiler from different editor state","Green validators; screenshot set; exact route scene/repro","No import/compile pending; same Unity state as relink","Profiler/Frame Debugger/GC/memory artifacts","Abort runtime/performance acceptance if proof absent, over-budget cause unresolved, GC allocation appears, or SRP Batcher/render sanity fails","Reports only","PENDING UNITY SLOT"
"PF1892-026","gameplay_route_repro","single Unity owner","Check product-face cleanup did not break first route gameplay.","Oxygen loop; starter tools; copper/material pickups; safe-room/base return; marker/sonar readability; hostile route fairness","Changing gameplay truth to satisfy art cleanup; ignoring route blockers","Relinked prefabs; current route scene; owner repro checklist","Visual gates passed enough to enter route repro","Gameplay repro notes and blocker list","Rollback touched category if oxygen, tool route, pickup, base return, marker/sonar, or early hostile fairness breaks","Reports and static planning only","PENDING UNITY SLOT"
"PF1892-027","rollback_rerun","single Unity owner","After any rollback, rerun static audit and Unity validators from same state.","Rollback folder or VCS checkpoint; audit and validator stack","Partial category save; mixed-slot proof; skipping rerun","Touched asset list; rollback inventory","Rollback completed and import idle","Fresh audit and gate outputs","Abort closure if rerun fails or category state is mixed","Reports only","PENDING UNITY SLOT"
"PF1892-028","acceptance_packet","single Unity owner","Write final future owner acceptance packet only after all proof exists.","Docs/Reports future owner packet; proof artifact links","Runtime/visual/profiler claims without artifacts; static docs as acceptance","Audit outputs; Unity gate logs; screenshots; profiler/Frame Debugger/GC/memory; gameplay repro","All prior steps green in same Unity state","Acceptance report with evidence class per claim","Do not accept if any route remains PENDING UNITY SLOT for claimed acceptance","Static reports can continue in parallel before Unity slot closes","PENDING UNITY SLOT"
