source_id,blocked_factory,current_or_expected_runtime_prefab,required_asset_path_convention,mesh_silhouette_scale,texture_material_identity,collider_proxy_split,lod_hlod_minimum,manifest_proof_required,existing_source_candidate_static_result,cube_cylinder_sphere_fallback_prohibited_reason,low_middle_high_ultra_consequences,status
Resource_MembraneTissue,ResourceWorldBootstrapAuthoring,Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_MembraneTissue.prefab,Assets/_Project/Prefabs/Resources/Sources/PFB_RES_MembraneTissue_Source.prefab plus MESH_RES_MembraneTissue_LOD0..LOD2 and MAT_RES_MembraneTissue,"0.25-0.45m folded organic membrane sample, layered translucent flaps, torn edge, wet thickness","Pale pearl/pink biological membrane, vein lines, wet subsurface hint, AO in folds; MRAO with wetness/emission mask only if justified","COL_MembraneTissue trigger/low convex blob; no thin sheet collision","LOD0/1/2; HLOD/icon silhouette","Manifest, Data_MembraneTissue link, validation, material import, biological decay/use proof link, captures","PFB_Resource_MembraneTissue.prefab and Data_MembraneTissue.asset exist; texture prompt workpack has Mat_Resource_Membrane prompt only, not final source/proof.","Sphere fallback destroys folded membrane/readable biological origin","Low keeps folded tissue silhouette; Middle adds vein/cut edges; High adds wet translucent material; Ultra adds micro wrinkles and color variation",BLOCKED_PRIMITIVE_CURRENT
Resource_SilverOre,ResourceWorldBootstrapAuthoring,Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SilverOre.prefab,Assets/_Project/Prefabs/Resources/Sources/PFB_RES_SilverOre_Source.prefab plus MESH_RES_SilverOre_LOD0..LOD2 and MAT_RES_SilverOre,"0.22-0.35m angular ore chunk with silver veins in darker host rock, broken planar facets","Dark host stone, bright silver metallic veins, wet AO cavities; MRAO metallic only on vein regions","COL_SilverOre low-poly convex/trigger; visual separate","LOD0/1/2 and HLOD/icon silhouette","Manifest, Data_SilverOre link, validation, material import, proof captures","PFB_Resource_SilverOre.prefab and Data_SilverOre.asset exist; current route primitive. No real mesh/proof found.","Cube fallback makes precious ore look like voxel currency","Low keeps angular vein-bearing silhouette; Middle adds vein facets; High adds mineral normals/wetness; Ultra adds small inclusions and richer vein breakup",BLOCKED_PRIMITIVE_CURRENT
Resource_SulfurClumps,ResourceWorldBootstrapAuthoring,Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SulfurClumps.prefab,Assets/_Project/Prefabs/Resources/Sources/PFB_RES_SulfurClumps_Source.prefab plus MESH_RES_SulfurClumps_LOD0..LOD2 and MAT_RES_SulfurClumps,"0.2-0.4m cluster of brittle nodules/chips, vent-stained irregular sulfur growth","Yellow sulfur crystals/nodules with gray vent crust, porous dirt, rough high-AO cavities; MRAO mostly nonmetallic rough","COL_SulfurClumps coarse convex/trigger; no per-chip collision","LOD0/1/2; HLOD/icon silhouette","Manifest, Data_SulfurClumps link, validation, material import, proof captures","PFB_Resource_SulfurClumps.prefab and Data_SulfurClumps.asset exist; current route primitive. No real source/proof found.","Sphere fallback reads as toy ball and erases vent chemistry","Low keeps nodule cluster; Middle adds crystal/chip variation; High adds porous normal detail; Ultra adds dusty edges and vent staining",BLOCKED_PRIMITIVE_CURRENT
Resource_HydrocarbonResin,ResourceWorldBootstrapAuthoring,Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_HydrocarbonResin.prefab,Assets/_Project/Prefabs/Resources/Sources/PFB_RES_HydrocarbonResin_Source.prefab plus MESH_RES_HydrocarbonResin_LOD0..LOD2 and MAT_RES_HydrocarbonResin,"0.25-0.45m resin pod/lump, tacky sagging mass with broken skin or container scrap, not capsule","Dark amber/black resin, glossy wet highlights, trapped bubbles/impurities, organic crust; MRAO roughness/smoothness declared","COL_HydrocarbonResin trigger/low convex; no sticky physics unless separate gameplay owner","LOD0/1/2; HLOD/icon silhouette","Manifest, Data_HydrocarbonResin link, validation, material import, proof captures","PFB_Resource_HydrocarbonResin.prefab and Data_HydrocarbonResin.asset exist; current route primitive. No source/proof found.","Capsule fallback cannot represent viscous resin or industrial/biological origin","Low keeps lumpy resin silhouette; Middle adds trapped bubbles/crust; High adds glossy wet response; Ultra adds impurities and surface sag detail",BLOCKED_PRIMITIVE_CURRENT
Node_Ore_Generic,ResourceDistributionBootstrapAuthoring,Assets/_Project/Prefabs/Resources/Nodes/PFB_Ore_Generic.prefab,Assets/_Project/Prefabs/Resources/Nodes/Sources/PFB_NODE_Ore_Generic_Source.prefab plus Assets/_Project/Art/Meshes/Resources/Nodes/MESH_NODE_Ore_Generic_LOD0..LOD2 and MAT_NODE_Ore_Generic,"0.8-1.8m world ore outcrop; stratified host rock, exposed mineral seam, chipped harvest faces, route-readable silhouette","Basalt/sediment host, configurable vein material mask, wet AO, fracture normals; texture array or atlas with channel-packed PBR","COL_Ore_Generic convex hull or compound rock proxy under 200 tris; separate harvest trigger; no visual LOD0 MeshCollider","LOD0/1/2 plus HLOD; ore seam readable in LOD1 and silhouette in LOD2","Manifest with ResourceNodeTemplate links, validation, material import, collider proxy, compact/high route captures","Assets/_Project/Prefabs/Resources/Nodes is missing. ResourceNodeTemplate_TitaniumScrap and biological templates exist, but no Ore_Generic source prefab/mesh found. Geology source meshes exist elsewhere but are source-only pending proof.","Cube fallback is a marker, not a mineable outcrop; it breaks geology/resource identity","Low keeps outcrop/seam silhouette; Middle adds seam/mask variation; High adds stratified wet material; Ultra adds chipped harvest faces, decals, richer mineral inclusions",BLOCKED_NO_REAL_NODE_SOURCE
Node_Ore_MagmaVentMarker,ResourceDistributionBootstrapAuthoring,Assets/_Project/Prefabs/Resources/Nodes/PFB_Ore_MagmaVentMarker.prefab,Assets/_Project/Prefabs/Resources/Nodes/Sources/PFB_NODE_MagmaVentMarker_Source.prefab plus MESH_NODE_MagmaVentMarker_LOD0..LOD2 and MAT_NODE_MagmaVentMarker,"1.5-4m hydrothermal vent marker; chimney cluster, mineral crust, warm flow holes, sulfur/copper deposits, clear hazard silhouette","Black smoker basalt, sulfur crust, oxidized copper/iron stains, heat-glow/emissive fissure mask if gameplay supports; MRAO with AO-heavy cavities","COL_MagmaVent coarse chimney hulls plus hazard/interaction trigger; no full visual MeshCollider","LOD0/1/2 plus HLOD plume/marker silhouette; VFX sockets named but VFX not source truth","Manifest with node/hazard sockets, validation, material import, collider, compact/high route captures","Resources/Nodes folder missing. No magma vent source mesh found. Geology folders can provide rock language only after manifest/proof.","Cylinder marker is a debug pin, not a vent source; it cannot communicate heat, mineral, or hazard","Low keeps chimney/hazard read; Middle adds mineral crust; High adds heat stain/emissive fissures; Ultra adds dense chimneys/deposits and VFX socket richness",BLOCKED_NO_REAL_NODE_SOURCE
Interior_PanelTrim,WorldProceduralInteriorColonyFinalAuthoring,Assets/_Project/Prefabs/Construction/Final/InteriorColony/PFB_Interior_PanelTrim.prefab,Assets/_Project/Prefabs/Construction/Final/InteriorColony/Sources/PFB_INT_PanelTrim_Source.prefab plus Assets/_Project/Art/Meshes/Construction/InteriorColony/MESH_INT_PanelTrim_LOD0..LOD2 and MAT_INT_PanelTrim,"3.2m x 2.4m trim panel kit; beveled wall/floor trims, gasket strips, bolts, cable race, readable service edges","Painted pressure panel metal, rubber gasket, worn cyan/amber labels, grime/wet AO; shared interior atlas with MRAO","COL_PanelTrim simple wall/floor boxes if needed; visual trims non-colliding where decorative","LOD0/1/2; HLOD trim strip for distant interiors","Manifest, validation, material import, collider/no-collider policy, flat/final/wire captures","InteriorColony final folder missing. ScifiFacility FBX source class from 1855 is plausible for trims, but no InteriorColony source package exists.","Cube trim panels are decoration without pressure-vessel craft or service logic","Low keeps bevel/gasket silhouette; Middle adds labels/cables; High adds grime/wetness; Ultra adds micro screws, scratches, decal density",BLOCKED_NO_INTERIOR_SOURCE
Interior_ConduitRun,WorldProceduralInteriorColonyFinalAuthoring,Assets/_Project/Prefabs/Construction/Final/InteriorColony/PFB_Interior_ConduitRun.prefab,Assets/_Project/Prefabs/Construction/Final/InteriorColony/Sources/PFB_INT_ConduitRun_Source.prefab plus MESH_INT_ConduitRun_LOD0..LOD2 and MAT_INT_ConduitRun,"4.6m service conduit bundle; pipes/cables with clamps, junction boxes, drip loops, service labels; nonuniform routing","Dark rubber cable, painted pipe, copper/brass couplers, salt/wear at clamps; packed PBR and optional tiny emission labels","COL_ConduitRun only if route-blocking; otherwise no collision plus repair/scan trigger anchors","LOD0/1/2; HLOD line silhouette","Manifest, socket/anchor list, validation, material import, compact/high captures","No InteriorColony source folder. ScifiFacility tubes/props are plausible candidates per 1855 but not packaged/proven.","Cylinder-only pipe run is primitive tubing without clamps, junctions, or maintenance read","Low keeps cable/pipe/clamp silhouette; Middle adds labels/junctions; High adds coupler/wetness detail; Ultra adds dense wiring and grime",BLOCKED_NO_INTERIOR_SOURCE
Interior_ServiceClutter,WorldProceduralInteriorColonyFinalAuthoring,Assets/_Project/Prefabs/Construction/Final/InteriorColony/PFB_Interior_ServiceClutter.prefab,Assets/_Project/Prefabs/Construction/Final/InteriorColony/Sources/PFB_INT_ServiceClutter_Source.prefab plus MESH_INT_ServiceClutter_LOD0..LOD2 and MAT_INT_ServiceClutter,"2.4m x 1.8m x 2.1m cluster of boxes, tools, hoses, panels, brackets; hand-authored scatter silhouette not random pile","Mixed worn equipment metal, rubber hose, dirty labels, salt, tool wear; shared atlas with material IDs","COL_ServiceClutter coarse compound boxes/capsules only for blockers; small detail non-colliding; scan/salvage anchors explicit","LOD0/1/2; HLOD clutter mass keeps manufactured read","Manifest with salvage/scan anchors, validation, material import, collider budget, captures","No InteriorColony source. ScifiFacility props/control panels/tubes are plausible kitbash candidates but not source package/proof.","Random cubes/capsules read as debug junk and fail salvage/evidence taste","Low keeps manufactured clutter silhouette; Middle adds tools/labels; High adds hoses/wet grime; Ultra adds many small fasteners and paper/label details",BLOCKED_NO_INTERIOR_SOURCE
Colony_HabitatLimb,WorldProceduralInteriorColonyFinalAuthoring,Assets/_Project/Prefabs/Construction/Final/InteriorColony/PFB_Colony_HabitatLimb.prefab,Assets/_Project/Prefabs/Construction/Final/InteriorColony/Sources/PFB_COL_HabitatLimb_Source.prefab plus MESH_COL_HabitatLimb_LOD0..LOD2/HLOD and MAT_COL_HabitatHull,"9.4m x 4.2m x 8.8m habitat limb module; pressure tube/shell segment, ribs, docking collar hints, broken/maintained variants","Hull metal, reinforced frame, gasket bands, wet streaks, worn paint, colony labels; atlas with MRAO and decal masks","COL_HabitatLimb modular primitive/convex shell; interior triggers separated; no visual MeshCollider","LOD0/1/2 plus HLOD shell/impostor mandatory","Manifest, module/socket/proxy bounds, validation, material import, collider, route composition captures","InteriorColony source missing. ScifiFacility structural walls/connectors plausible but no package/proof exists.","Stretched cubes/cylinders cannot sell pressure habitat scale or survival infrastructure","Low keeps pressure tube, ribs, collar; Middle adds panels/labels; High adds wet/corrosion/frame detail; Ultra adds dense seams, bolts, secondary cables",BLOCKED_NO_INTERIOR_SOURCE
Colony_DockingBay,WorldProceduralInteriorColonyFinalAuthoring,Assets/_Project/Prefabs/Construction/Final/InteriorColony/PFB_Colony_DockingBay.prefab,Assets/_Project/Prefabs/Construction/Final/InteriorColony/Sources/PFB_COL_DockingBay_Source.prefab plus MESH_COL_DockingBay_LOD0..LOD2/HLOD and MAT_COL_DockingBay,"13.6m x 6.2m x 12.4m docking bay; bay mouth, pressure door frame, guide rails, clamps, service gantry, seal rings","Heavy hull/door metal, rubber seals, warning stripes, wet rails, hydraulic grime, emissive docking markers; packed PBR/decal atlas","COL_DockingBay shell/rails/door-frame compound; docking trigger/socket transforms named; visual mesh separate","LOD0/1/2 and HLOD/impostor; bay mouth readable at route distance","Manifest with docking sockets, collision/trigger map, validation, material import, route/compact/high captures","No InteriorColony source. ScifiFacility walls/rails/scaffolds/stairs are plausible inputs, but 1855 warns some prefabs contain primitive contamination and need sanitizing.","Box/cylinder bay cannot communicate docking function, scale, or pressure-door truth","Low keeps bay mouth/rails/seals; Middle adds gantry/labels; High adds hydraulic/wet material; Ultra adds dense clamps, lights, decals",BLOCKED_NO_INTERIOR_SOURCE
Colony_HabitatShell,WorldProceduralInteriorColonyFinalAuthoring,Assets/_Project/Prefabs/Construction/Final/InteriorColony/PFB_Colony_HabitatShell.prefab,Assets/_Project/Prefabs/Construction/Final/InteriorColony/Sources/PFB_COL_HabitatShell_Source.prefab plus MESH_COL_HabitatShell_LOD0..LOD2/HLOD and MAT_COL_HabitatHull,"11.8m x 7.2m x 10.8m colony shell; large pressure hull, ribbed frame, panel fields, window/patch scars, maintenance hatches","Aged colony hull alloy, wet streaks, oxidized bolts, gasketed windows/patches, Deep Reach labels; packed PBR with decal/wet masks","COL_HabitatShell simplified convex/box shell and interior trigger volumes; no per-panel collision","LOD0/1/2 plus HLOD shell; silhouette must survive without fog hiding","Manifest, module/proxy bounds, validation, material import, collider and route captures","No InteriorColony source. ScifiFacility structural kit is a candidate but not an approved source package.","Primitive shell is generic sci-fi blockout, not a pressure colony artifact","Low keeps hull/rib/window-scar silhouette; Middle adds panel/wear breakup; High adds wet/corrosion/decal detail; Ultra adds dense hatches, bolts, grime, interior hints",BLOCKED_NO_INTERIOR_SOURCE
