"path","product_exposure_class","primitive_evidence","why_primitive_unacceptable","required_real_mesh_silhouette","required_material_texture_identity","required_collision_proxy_split","lod_hlod_expectation","required_owner_source_system","proof_needed_before_acceptance","continuous_quality_consequence"
"Assets/_Project/Prefabs/Tools/Held/Tool_SalvageSampler_Held.prefab","first-person","Active VisualBody_SalvageSampler cube primitive; placeholder material.","Sampler must read as extraction/scanning tool; cube cannot show jaws, tube, cartridge, or sample path.","Sampler with clamp jaws, sample tube, sensor fork, grip, cartridge slot, small readout.","Worn stainless/polymer, glass sample tube, biological residue masks, warning labels, packed normal/MRAO.","Visual separated from sample contact proxy, grip collider, pickup trigger; no visual mesh collider.","LOD0 first-person; LOD1 world pickup; LOD2 coarse dropped tool.","Tools/salvage owner plus item art owner.","Prefab YAML, mesh/material proof, sample contact proxy, held/world screenshot, player capture, compact readability.","Low keeps jaws/tube silhouette; Middle adds labels/residue; High adds glass/material response; Ultra adds sample fluid/detail presentation."
"Assets/_Project/Prefabs/Tools/Held/Tool_Scanner_Held.prefab","first-person","Active VisualBody cube primitive; placeholder scanner material.","Scanner is product-face instrument; cube cannot communicate lens, grip, readout, or scan confidence.","Scanner with sensor lens array, grip, rugged display, antenna/speaker grille, sealed casing.","Scratched glass, dark polymer, cyan phosphor accents, salt/wetness, packed PBR maps.","Visual separate from scan origin, grip proxy, pickup/interaction triggers.","LOD0 first-person hero; LOD1 world pickup; LOD2 coarse; no HLOD unless clutter.","Scanner/tools owner; source from equipment prop pipeline.","Prefab YAML, lens/ray anchor proof, mesh/material proof, held/world screenshot, player capture, collider proof, compact readability.","Low keeps lens/display readable; Middle adds labels/grime; High adds glass response; Ultra adds subtle scan glow and micro detail."
"Assets/_Project/Prefabs/Tools/Held/Tool_StunPistol_Held.prefab","first-person","Active VisualBody_StunPistol cube primitive; placeholder material.","Weapon/tool hybrid needs muzzle, grip, capacitor and safety read; cube hides threat and interaction class.","Stun pistol with insulated grip, twin electrodes/muzzle, capacitor pack, safety latch, worn rails.","Dark metal/polymer, ceramic insulators, hazard marks, blue emission mask, scratches, packed masks.","Visual separate from muzzle origin, grip collider, pickup trigger; hit truth owned by tool/combat route.","LOD0 first-person; LOD1 world pickup; LOD2 coarse item.","Tools/combat owner plus tools art owner.","Prefab YAML, muzzle/proxy proof, mesh/material proof, screenshot/player capture, profiler if VFX/render changes.","Low keeps muzzle/electrode read; Middle adds hazard labels; High adds material/wear; Ultra adds secondary charge detail only."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_BeaconDeployer_World.prefab","pickup","Active cube primitive; Mat_Tool_BeaconDeployer_Placeholder.mat.","World pickup is inspected/collected; cube pickup is abstract loot, not physical equipment.","Dropped beacon deployer variant matching held silhouette, folded and readable from top/side.","Same material family as held variant with dirt/wear; no placeholder material.","World pickup trigger/collider separate from visual mesh; coarse COL_* pickup bounds.","LOD1/L0 shared with held family depending camera; LOD2 coarse pickup; clustered HLOD for loot fields if needed.","Tools art owner and inventory item data owner.","Prefab YAML, shared mesh/material proof with held variant, pickup screenshot, collider trigger proof, compact readability.","Low keeps folded deployer silhouette; Middle adds labels; High adds material detail; Ultra adds small hardware only."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Builder_World.prefab","pickup","Active cube primitive; Mat_Tool_Builder_Placeholder.mat.","Builder pickup as cube fails construction-tool identity and inventory physicality.","Dropped builder with projector fork/grip visible and stable pickup silhouette.","Shared builder material family, grime/labels/glass; no placeholder.","Visual separate from pickup trigger and coarse collider.","LOD1 world pickup; LOD2 coarse; HLOD for placed clutter groups only.","Tools art owner plus inventory data owner.","Prefab YAML, mesh/material path proof, world screenshot, compact readability, trigger/collider proof.","Low keeps fork/grip; Middle labels; High material richness; Ultra micro details."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_EnvAnalyzer_World.prefab","pickup","Active cube primitive; Mat_Tool_EnvAnalyzer_Placeholder.mat.","Analyzer cube gives no sensor/readout identity; breaks pickup/inventory credibility.","Dropped analyzer with lens head/display/grip readable at pickup distance.","Shared analyzer material family with glass, scuffs, diagnostic markings.","Visual separated from pickup trigger/collider.","LOD1 pickup; LOD2 coarse; optional clutter HLOD.","Tools/scanner art owner plus inventory data owner.","Prefab YAML, mesh/material proof, pickup screenshot, collider proof, compact readability.","Low sensor/display silhouette; Middle decals; High glass/wetness; Ultra small sensor detail."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Flashlight_World.prefab","pickup","Active cube primitive; Mat_Tool_Flashlight_Placeholder.mat.","Flashlight cube fails lens and beam-source identity; product-facing pickup reads as placeholder.","Dropped flashlight with lens bezel, body tube, strap/clamp visible.","Shared flashlight material with lens glass, rubber, worn metal.","Visual separate from pickup collider/trigger; optional lens anchor remains source truth.","LOD1 pickup; LOD2 coarse; HLOD only as clutter.","Tools/lighting art owner plus inventory owner.","Prefab YAML, mesh/material proof, pickup screenshot, collider proof.","Low lens/body silhouette; Middle strap/labels; High glass/material; Ultra micro scratches."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_HarpoonLauncher_World.prefab","pickup","Active cube primitive; Mat_Tool_HarpoonLauncher_Placeholder.mat.","Harpoon cube hides barrel/spool and cannot communicate dangerous tool identity.","Dropped harpoon launcher with barrel rail, spool and grip visible.","Shared harpoon material with cable/rubber/hazard paint.","Visual separated from pickup trigger and coarse body collider.","LOD1 pickup; LOD2 coarse; clutter HLOD if needed.","Tools/physics art owner plus inventory owner.","Prefab YAML, mesh/material proof, pickup screenshot, collider proof.","Low barrel/spool silhouette; Middle cable/labels; High bevel/wear; Ultra small rail details."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Knife_World.prefab","pickup","Active cube primitive; Mat_Tool_Knife_Placeholder.mat.","Knife cube removes blade identity and salvage/combat affordance.","Dropped dive knife with blade, guard, grip, sheath clip.","Shared knife material with metal edge, rubber grip, scratches.","Visual separate from pickup trigger and coarse safe bounds.","LOD1 pickup; LOD2 coarse; no HLOD unless clutter.","Tools/combat/inventory owner.","Prefab YAML, blade mesh/material proof, pickup screenshot, collider proof.","Low blade silhouette; Middle grip; High edge wear; Ultra micro scratches."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_LaserCutter_World.prefab","pickup","Active cube primitive; Mat_Tool_LaserCutter_Placeholder.mat.","Laser cutter pickup must show emitter and heat identity; cube is unacceptable core tool placeholder.","Dropped laser cutter with emitter, fins, grip, power cell.","Shared laser cutter material with heat-stain, ceramic, decals.","Visual separate from pickup trigger; no visual MeshCollider.","LOD1 pickup; LOD2 coarse; optional clutter HLOD.","Tools/laser cutter owner plus inventory owner.","Prefab YAML, mesh/material proof, pickup screenshot, collider proof.","Low emitter/fins; Middle labels; High heat/material response; Ultra small vents/screws."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Propulsion_World.prefab","pickup","Active cube primitive; Mat_Tool_Propulsion_Placeholder.mat.","Propulsion pickup must show nozzle/intake; cube hides force tool identity.","Dropped propulsion device with nozzle, intake grille, grip, battery body.","Shared propulsion material with wet metal/rubber and warning paint.","Visual separate from pickup trigger and coarse collider.","LOD1 pickup; LOD2 coarse; clutter HLOD if needed.","Tools/physics/inventory owner.","Prefab YAML, mesh/material proof, pickup screenshot, collider proof.","Low nozzle/intake; Middle grille/labels; High wetness/bevel; Ultra small intake detail."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Repair_World.prefab","pickup","Active cube primitive; Mat_Tool_Repair_Placeholder.mat.","Repair tool cube gives no nozzle/heat/patch affordance.","Dropped repair tool with nozzle, heat shield, grip, gauge.","Shared repair material with ceramic nozzle, heat wear, labels.","Visual separate from pickup trigger/coarse collider.","LOD1 pickup; LOD2 coarse; clutter HLOD if needed.","Tools/repair owner plus inventory owner.","Prefab YAML, mesh/material proof, pickup screenshot, collider proof.","Low nozzle/gauge; Middle labels; High heat wear; Ultra small hardware."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_SalvageSampler_World.prefab","pickup","Active cube primitive; Mat_Tool_SalvageSampler_Placeholder.mat.","Sampler cube does not show clamp/tube/sample function.","Dropped sampler with jaws, tube, cartridge and grip.","Shared sampler material with residue, glass, scuffed metal.","Visual separate from pickup trigger/collider.","LOD1 pickup; LOD2 coarse; optional clutter HLOD.","Tools/salvage owner plus inventory owner.","Prefab YAML, mesh/material proof, pickup screenshot, collider proof.","Low jaws/tube; Middle residue/labels; High glass/material; Ultra sample detail."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Scanner_World.prefab","pickup","Active cube primitive; Mat_Tool_Scanner_Placeholder.mat.","Scanner pickup as cube damages one of the main instrument identities.","Dropped scanner with lens array, display, grip, antenna/grille.","Shared scanner material with scratched glass, cyan accents, wear.","Visual separate from pickup trigger/collider.","LOD1 pickup; LOD2 coarse; optional clutter HLOD.","Scanner/tools owner plus inventory owner.","Prefab YAML, mesh/material proof, pickup screenshot, collider proof.","Low lens/display; Middle labels; High glass response; Ultra subtle glow detail."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_StunPistol_World.prefab","pickup","Active cube primitive; Mat_Tool_StunPistol_Placeholder.mat.","Stun pistol pickup cube hides muzzle/electrode danger read.","Dropped stun pistol with electrode muzzle, grip, capacitor body.","Shared stun pistol material with insulators, hazard paint, emission mask.","Visual separate from pickup trigger/collider.","LOD1 pickup; LOD2 coarse; optional clutter HLOD.","Tools/combat owner plus inventory owner.","Prefab YAML, mesh/material proof, pickup screenshot, collider proof.","Low muzzle/electrodes; Middle labels; High material/wear; Ultra charge details."
"Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_CopperOre.prefab","pickup","Active cube primitive; Mat_Resource_Copper.mat.","Copper ore as cube is colored-rock currency; fails material credibility and salvage economy identity.","Irregular copper-bearing rock/vein chunk with chipped edges and scale witnesses.","Copper oxide/mineral streaks, basalt host rock, roughness/AO/normal; material exists but mesh is primitive.","Visual ore mesh separate from pickup trigger/collider; no visual MeshCollider.","LOD0 pickup chunk; LOD1 reduced shard; LOD2 coarse pebble; HLOD for resource fields.","Inventory/resource art owner plus resource data owner.","Prefab YAML, mesh/material/texture proof, pickup screenshot, compact readability, collider proof.","Low preserves ore silhouette/color truth; Middle adds mineral streaks; High adds normal/mask richness; Ultra adds micro chips/crystals."
"Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_FiberKelp.prefab","pickup","Active plane primitive; Mat_Resource_Fiber.mat.","Flat plane kelp pickup reads as card placeholder, not harvested fiber.","Bundled kelp fiber strips/fronds tied or curled with thickness and ragged edges.","Wet green/brown kelp fiber, translucency mask if used, vein normals, no flat color.","Visual mesh/card cluster separate from pickup trigger; no collision except coarse trigger.","LOD0 frond bundle; LOD1 reduced cards; LOD2 coarse crossed cards; HLOD only for clusters.","Inventory/resource art owner plus flora/resource owner.","Prefab YAML, mesh/material proof, screenshot, compact readability, collider proof.","Low keeps bundle silhouette; Middle adds veins; High adds wetness/translucency; Ultra adds edge fray and secondary fronds."
"Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_HydrocarbonResin.prefab","pickup","Active plane primitive; Mat_Resource_Resin.mat.","Resin as plane cannot show sticky mass, translucency, or resource origin.","Irregular resin pod/clump with sagging blobs and broken shell residue.","Amber/dark hydrocarbon translucency, oily roughness, embedded grit, packed masks.","Visual clump separate from pickup trigger/collider.","LOD0 resin clump; LOD1 reduced blob; LOD2 coarse shard; cluster HLOD if placed dense.","Inventory/resource art owner plus material/resource owner.","Prefab YAML, mesh/material proof, screenshot, compact readability, collider proof.","Low preserves clump silhouette and color; Middle adds embedded grit; High adds translucency/wetness; Ultra adds micro bubbles/edge detail."
"Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_MembraneTissue.prefab","pickup","Active sphere primitive; Mat_Resource_Membrane.mat.","Sphere tissue reads as toy blob; biological resource needs cut/organic evidence.","Folded membrane scrap with torn edges, thickness, veins, and wet folds.","Pale/organic membrane, subsurface/wet masks if shader supports, vein normals, cavity AO.","Visual tissue mesh separate from pickup trigger; soft collider proxy only.","LOD0 folded tissue; LOD1 reduced sheet; LOD2 coarse organic scrap.","Inventory/resource art owner plus biology/flora owner.","Prefab YAML, mesh/material proof, screenshot, compact readability, collider proof.","Low keeps torn membrane read; Middle adds veins; High adds wet/subsurface response; Ultra adds micro folds."
"Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SilicaShards.prefab","pickup","Active sphere primitive; Mat_Resource_Silica.mat.","Sphere shards contradict shard identity and make resource abstract.","Cluster of angular silica shards with sharp silhouette and fracture planes.","Milky/glassy silica, chipped edges, roughness variance, normal/MRAO.","Visual shard cluster separate from pickup trigger; coarse safe pickup bounds.","LOD0 shard cluster; LOD1 fewer shards; LOD2 coarse angular lump; HLOD for fields.","Inventory/resource art owner plus geology/resource owner.","Prefab YAML, mesh/material proof, screenshot, compact readability, collider proof.","Low preserves angular shard silhouette; Middle adds fracture normals; High adds glassy response; Ultra adds small chips."
"Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SilverOre.prefab","pickup","Active cube primitive; Mat_Resource_Silver.mat.","Silver ore cube is abstract currency, not physical salvage/resource.","Irregular ore chunk with silver veins in host rock, chipped fracture edges.","Silver/gray mineral streaks, basalt/rock host, packed normal/MRAO, AO cavities.","Visual ore mesh separate from pickup collider/trigger.","LOD0 ore chunk; LOD1 reduced; LOD2 coarse; HLOD for fields.","Inventory/resource art owner plus geology/resource owner.","Prefab YAML, mesh/material proof, screenshot, compact readability, collider proof.","Low keeps vein silhouette/read; Middle adds streaks; High adds material response; Ultra adds micro mineral glints."
"Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SulfurClumps.prefab","pickup","Active sphere primitive; Mat_Resource_Sulfur.mat.","Sphere sulfur fails clump/mineral identity and looks like placeholder collectible.","Cluster of brittle sulfur nodules, vent-stained and irregular.","Yellow sulfur crystals/clumps, dark vent residue, roughness/AO/normal maps.","Visual cluster separate from pickup trigger; coarse collider only.","LOD0 clump cluster; LOD1 fewer nodules; LOD2 coarse lump; HLOD if dense.","Inventory/resource art owner plus geology/resource owner.","Prefab YAML, mesh/material proof, screenshot, compact readability, collider proof.","Low preserves nodule silhouette; Middle adds residue; High adds crystal/material response; Ultra adds tiny crystal chips."
"Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_TitaniumScrap.prefab","pickup","Active cube primitive; Mat_Resource_Scrap.mat.","Titanium scrap cube fails salvage weight and material origin; high early resource risk.","Cut salvage plate shard with bent metal, bolt holes, torn edges, stamp/paint remnants.","Scratched titanium/paint, exposed cut edges, salt, oil grime, packed masks.","Visual scrap separate from pickup trigger/collider; no visual MeshCollider.","LOD0 scrap piece; LOD1 reduced bent plate; LOD2 coarse shard; HLOD for scrap fields.","Inventory/resource art owner plus salvage owner.","Prefab YAML, mesh/material proof, screenshot, compact readability, collider proof.","Low keeps bent scrap silhouette; Middle adds paint/labels; High adds cut-edge wear; Ultra adds bolts/weld scars."
"Assets/_Project/Prefabs/Item_Titanium.prefab","inventory route","Active cube primitive; unresolved material GUID in _Project scan.","Root titanium item is product-facing if spawned; cube duplicates the resource problem and may contaminate inventory route.","Same as titanium scrap or quarantined legacy wrapper; must become physical titanium scrap shard if used.","Resolved titanium/scrap material with metal/paint/cut masks; unresolved GUID must be proven or replaced.","Visual separate from pickup trigger/collider; legacy root wrapper must not own final collision truth.","LOD0/1/2 same as titanium scrap if retained; otherwise quarantine and remove production refs.","Inventory/resource art owner; source should point to canonical resource pickup or data-owned prefab route.","Prefab YAML proving no primitive or proof of quarantine/no production refs, material GUID resolution, screenshot if retained, collider proof.","Low keeps physical scrap read; Middle adds labels; High material wear; Ultra micro scratches; if quarantined, no runtime consequence."
"Assets/_Project/Prefabs/Transport/PFB_CargoSled_Transport.prefab","vehicle","Active cube primitive body; unresolved material GUID; rider/dismount anchors exist.","Cargo sled is vehicle/transport product face; cube cannot show load clamps, buoyancy, industrial mass, or ride affordance.","Cargo sled with frame rails, buoyancy tanks, cargo clamps, tow points, skid plates, anchor points.","Worn metal, rubber pads, yellow hazard strips, salt/wetness, scratched load bed, packed masks.","Visual hull/frame separate from ride/dismount anchors, primitive/compound vehicle collision proxies, and trigger volumes.","LOD0 vehicle shell; LOD1 reduced rails/tanks; LOD2 coarse silhouette; HLOD/impostor for parked distant vehicles with hysteresis.","Vehicles/transport owner plus vehicle art owner; source authored pressure-rated transport asset.","Prefab YAML, mesh/material proof, anchor preservation proof, collider/proxy split, Unity screenshot/player capture, vehicle capture/profiler if runtime touched.","Low keeps sled rails/clamps readable; Middle adds labels/grime; High adds bevel/wetness; Ultra adds secondary straps/cargo detail without changing vehicle truth."
"Assets/_Project/Prefabs/Transport/PFB_Exosuit_Frame_Transport.prefab","vehicle","Active cube primitive body; unresolved material GUID; rider/dismount anchors exist.","Exosuit frame cannot be a cube; it must read as pressure-rated mechanical frame and survival liability.","Exosuit frame with torso cage, limb hardpoints, thruster/mount sockets, hydraulic housings, cockpit/strap cues.","Heavy worn metal, rubber seals, hydraulic grime, hazard paint, scratched glass/plates, packed maps.","Visual frame separated from occupant/dismount anchors, capsule/box limb/body proxies, trigger zones.","LOD0 exosuit frame; LOD1 reduced mechanical detail; LOD2 coarse frame; HLOD/impostor for parked units.","Vehicles/exosuit owner plus vehicle art owner.","Prefab YAML, mesh/material proof, anchor/collider split, Unity/player capture, compact/high capture, profiler if runtime vehicle path changes.","Low keeps frame/limb hardpoint silhouette; Middle adds labels/grime; High adds hydraulic/material detail; Ultra adds secondary cables and panel detail."
"Assets/_Project/Prefabs/Transport/PFB_MicroSub_Transport.prefab","vehicle","Active cube primitive body; unresolved material GUID; rider/dismount anchors exist.","Micro-sub as cube fails vehicle bible: no pressure vessel, cockpit, thrusters, or readable mass.","Small pressure-rated micro-sub shell with viewport, thrusters, ballast tanks, docking clamps, service panels.","Worn painted hull, glass viewport, rubber seals, corrosion, decals, wetness, normal/MRAO.","Visual hull separate from compound collision proxies, docking/ride anchors, trigger zones; no LOD0 MeshCollider.","LOD0 micro-sub shell; LOD1 simplified hull; LOD2 coarse pressure vessel; HLOD/impostor for parked/distant.","Vehicles/submarine owner plus art owner.","Prefab YAML, mesh/material proof, anchors/collider split, Unity/player vehicle capture, cockpit/scale capture if applicable, profiler if runtime path changes.","Low keeps pressure vessel/viewport/thrusters; Middle adds panels/decals; High hull material/wetness; Ultra adds small fittings, lights, grime."
