reference,file,target_asset,risk,required_future_action,evidence_class
resource_channel_tectonic,Assets/_Project/Data/Biomes/ResourceChannels/ResourceChannel_biome_family_tectonic_spine.asset,raw Data_Copper,Resource channel references raw GUID for pocket/node items,Leave raw GUID unchanged,STATIC_SOURCE
resource_channel_sediment,Assets/_Project/Data/Biomes/ResourceChannels/ResourceChannel_biome_family_sediment_drift.asset,raw Data_Copper,Resource channel references raw GUID for node/route hint,Leave raw GUID unchanged,STATIC_SOURCE
resource_channel_granite,Assets/_Project/Data/Biomes/ResourceChannels/ResourceChannel_biome_family_granite_escarpment.asset,raw Data_Copper,Resource channel references raw GUID for node/route hint,Leave raw GUID unchanged,STATIC_SOURCE
family_profile_tectonic,Assets/_Project/Data/Biomes/FamilyProfiles/BiomeFamilyProfile_biome_family_tectonic_spine.asset,raw Data_Copper,Biome family primary resource references raw GUID,Leave raw GUID unchanged,STATIC_SOURCE
family_profile_sediment,Assets/_Project/Data/Biomes/FamilyProfiles/BiomeFamilyProfile_biome_family_sediment_drift.asset,raw Data_Copper,Biome family secondary resource references raw GUID,Leave raw GUID unchanged,STATIC_SOURCE
family_profile_granite,Assets/_Project/Data/Biomes/FamilyProfiles/BiomeFamilyProfile_biome_family_granite_escarpment.asset,raw Data_Copper,Biome family secondary resource references raw GUID,Leave raw GUID unchanged,STATIC_SOURCE
barter_offer_repair_loop,Assets/_Project/Data/Barter/Offer_RepairLoop.asset,raw Data_Copper,Barter offer references raw GUID,Leave raw GUID unchanged and validate economy if touched,STATIC_SOURCE
barter_offer_relay,Assets/_Project/Data/Barter/Offer_RelayStarter.asset,raw Data_Copper,Barter offer references raw GUID,Leave raw GUID unchanged,STATIC_SOURCE
barter_offer_illumination,Assets/_Project/Data/Barter/Offer_Illumination.asset,raw Data_Copper,Barter offer references raw GUID,Leave raw GUID unchanged,STATIC_SOURCE
harvestable_titanium_outcrop,Assets/_Project/Data/World/HarvestableTemplate_TitaniumOutcrop.asset,raw Data_Copper,Name/loot mismatch may be separate authoring issue,Do not mutate in copper identity patch; route owner should verify if intentional,STATIC_SOURCE
survival_runtime_table,Assets/_Project/Data/Survival/SurvivalDatabaseRuntime.txt,stableId Data_Copper,Generated/source data contains Data_Copper hash row,After identity patch and DataMonolith bake verify single raw semantics,STATIC_SOURCE
content_validator_duplicate_id,Assets/_Project/Scripts/Editor/ContentSanityValidator.cs,all ItemData PersistentId,Existing validator can fail duplicate PersistentId across Data root,Future owner must run Hecton-8/Validate Content and require ItemDataDuplicatePersistentId=0,STATIC_SOURCE
item_catalog_lookup,Assets/_Project/Scripts/ItemCatalog.cs,catalog aliases,Catalog adds PersistentId name and hash aliases; legacy m_Name Data_Copper remains risky,Future patch must change legacy m_Name as well as stableId or delete,STATIC_SOURCE
itemdata_hash_route,Assets/_Project/Scripts/ItemData.cs,stableId Data_Copper,MatchesPersistentHash uses persistent hash; duplicate IDs collapse route truth,Keep one Data_Copper owner only,STATIC_SOURCE
