"artifact_path","artifact_type","current_identity","current_visual_or_material_route","canonical_owner","allowed_future_action","forbidden_action","data_monolith_implication","proof_required","status"
"Assets/_Project/Data/Scavenging/ResourceNodes/ResourceNodeTemplate_TitaniumBasaltMass.asset","resource_node","stableId resource.node.titanium_basalt_mass; extractor and harvest yield Data_TitaniumScrap","Ore/mass visual separate; pickup item remains TitaniumScrap","Resource/ore data owner","Keep ore node as titanium material source that emits Data_TitaniumScrap inventory item","Do not use basalt mass to justify Data_Titanium inventory identity","Ore/node facts need bake validation if DataMonolith owns resource nodes","Resource node YAML, extractor validation, harvest validation","GREEN_STATIC_ORE_TO_SCRAP_ROUTE"
"Assets/_Project/Data/World/HarvestableTemplate_TitaniumOutcrop.asset","harvestable_template","stableId harvestable.titanium_outcrop; loot includes Data_TitaniumScrap","Outcrop visual separate from pickup; yield item remains TitaniumScrap","Harvestable/data owner","Keep titanium outcrop as source of Data_TitaniumScrap plus secondary resources","Do not treat natural outcrop material as same as pickup item identity","Harvestable loot table needs bake validation if DataMonolith owns harvestables","Harvestable YAML and loot validation","GREEN_STATIC_ORE_TO_SCRAP_ROUTE"
"Assets/_Project/Scripts/VoxelDeltaProcessor.cs","ore_to_scrap_signal_source","Distinguishes TitaniumOreHash from TitaniumScrapItemHash","No visual route","Voxel/resource signal owner","Preserve separation between ore/material hash and emitted scrap item hash","Do not collapse ore material truth into inventory item identity","If baked, hashes must match canonical Data_TitaniumScrap emission route","Source text, hash audit, runtime telemetry/profiler proof by future owner","GREEN_STATIC_SEPARATED_AUTHORITY"
"Assets/_Project/Scripts/World/Resources/ProceduralOreSpawner.cs","ore_spawn_source","Uses WorldOreTypeIds.Titanium and serialized titaniumItemHash for yields","Ore spawn visual separate from pickup item","World resource spawn owner","Keep ore distribution as titanium source and resolve emitted item through canonical Data_TitaniumScrap hash","Do not create Data_Titanium item as spawn shortcut","Spawner config/static records need DataMonolith proof only if schema owns ore spawning","Source text, spawn config audit, runtime validation by future owner","GREEN_STATIC_SEPARATED_AUTHORITY"
"Assets/_Project/Scripts/Editor/ScanIntelValidator.cs","scanner_validator","Looks for scene path --- GAMEPLAY ---/Item_Titanium and ScannableTarget","No material route; scanner presentation depends on legacy prefab","Scanner/editor validation owner","Migrate scanner validation to canonical pickup or dedicated scan proxy before deleting legacy Item_Titanium","Do not delete Item_Titanium before scanner reference proof","Scanner text can remain source/editor data unless DataMonolith owns scan intel records","Source text, scene reference migration proof, scanner validation","YELLOW_STATIC_BLOCKS_BLIND_QUARANTINE"
"Assets/_Project/Scripts/Editor/ConstructionBootstrapAuthoring.cs","editor_bootstrap_reference","TitaniumPrefabPath points to Assets/_Project/Prefabs/Item_Titanium.prefab","Spawns legacy primitive/default-material prefab in editor bootstrap routes","Editor/bootstrap owner","Migrate bootstrap to PFB_Resource_TitaniumScrap or explicit alias after scan route is handled","Do not let editor bootstrap path define canonical runtime item identity","Should not create runtime DataMonolith item truth; may seed authoring scenes only","Source text, bootstrap migration proof, scene validation","YELLOW_STATIC_COMPATIBILITY_BLOCKER"
"Assets/_Project/Scripts/Editor/ResourceWorldBootstrapAuthoring.cs","editor_bootstrap_authoring","Loads Data_TitaniumScrap and creates PFB_Resource_TitaniumScrap cube/material route","Creates primitive cube and flat scrap material as bootstrap output","Resource editor/bootstrap owner","Update authoring generator to produce or reference approved canonical mesh/material route","Do not regenerate primitive cube as final product-face route","Generated authoring output must match DataMonolith proxy/static route after bake if applicable","Source text, generated prefab diff, validator pass","RED_STATIC_GENERATOR_CAN_RECREATE_PLACEHOLDER"
"Assets/_Project/Scripts/FieldToolRuntimeSmokeTester.cs","stale_test_reference","Attempts to load missing Assets/_Project/Data/Items/Data_Titanium.asset","No visual route","Test/tooling owner","Replace stale path with Data_TitaniumScrap or explicit test fixture after owner review","Do not create Data_Titanium asset just to satisfy stale smoke test path","No DataMonolith alias row unless migration packet owns it","Source text, missing asset proof, smoke test update validation","RED_STATIC_STALE_REFERENCE"
"Assets/_Project/Data/Items/Resources/Raw/Data_CarbonGraphite.asset","cross_contamination_risk","References worldPrefab GUID cc05a4753de6c1f48b51d49126443a9c shared with TitaniumScrap","Would inherit TitaniumScrap pickup visual if unchanged","CarbonGraphite data/prefab owner","Give CarbonGraphite its own prefab/proxy or document intentional shared generic scrap route","Do not silently share canonical TitaniumScrap pickup prefab for unrelated resource identity","DataMonolith item/proxy rows must not collapse unrelated resources into one pickup identity","YAML data search, prefab ownership proof, validator flag","YELLOW_STATIC_CROSS_RESOURCE_CONTAMINATION_RISK"
"Assets/_Project/Prefabs/STRUCTURES.prefab","legacy_aggregate_prefab","Prior packet 1887 found Item_Titanium child inside aggregate prefab","Legacy child inherits primitive/default-material Item_Titanium risk","Structures/prefab owner","Migrate child to canonical PFB_Resource_TitaniumScrap or explicit scan alias after reference proof","Do not preserve primitive legacy child as product-face route","Scene/prefab authoring only unless DataMonolith owns structure spawn templates","Prior static packet plus future scoped prefab YAML proof","YELLOW_STATIC_LEGACY_CHILD_RISK"
"Data/Balance/Items.csv","datamonolith_source_csv","Scoped first rows did not show Data_TitaniumScrap or Data_Titanium","No visual route","DataMonolith source data owner","Add or verify canonical Data_TitaniumScrap row if this CSV owns item runtime truth","Do not add Data_Titanium duplicate alias without migration row","Feeds DataMonolith item section through compiler route","CSV scan, compiler validation, bake output validation","YELLOW_STATIC_MISSING_CANONICAL_ROW_IN_SCOPED_CHECK"
"Data/Balance/Recipes.csv","datamonolith_source_csv","Scoped first rows did not show titanium recipes","No visual route","DataMonolith source data owner","Add or verify recipe rows if this CSV owns runtime crafting truth","Do not bake recipes against Data_Titanium alias","Feeds DataMonolith recipe section through compiler route","CSV scan, compiler validation, craft validation","YELLOW_STATIC_MISSING_CANONICAL_ROWS_IN_SCOPED_CHECK"
"Assets/StreamingAssets/Hecton8/DataMonolith/static_data.h8bin","datamonolith_binary","Existing binary present; contents not proven by this text pass","No visual route","DataMonolith binary owner","Rebake after source data route is corrected and run boot validation","Do not claim runtime Data_TitaniumScrap proof from file existence alone","Must contain canonical static item/reference facts only after bake validation","Binary bake log, import validation, boot validation","YELLOW_STATIC_BINARY_EXISTS_CONTENT_UNPROVEN"
"Assets/_Project/Scripts/Editor/DataMonolith/H8DataMonolithCompiler.cs","datamonolith_compiler","Owns source folders and output path for DataMonolith compile","No visual route","DataMonolith compiler owner","Use compiler duplicate-hash and section validation for canonical Data_TitaniumScrap route","Do not bypass compiler with hand-edited binary or source-only claims","Defines how source CSV/static rows become static_data.h8bin","Source text, compiler run, validation output","GREEN_STATIC_AUTHORITY_ROUTE_FOUND"
