packet_id,title,surface,locale_policy,route_beat,POI_candidate,proof_source,blocker,next_owner
P012_RELAY_SPINE,Relay Spine,terminal_note,en_US source candidate; non_en draft_native_review_pending,first relay buffer lesson,poi.relay_buffer;poi.packet_spool,AppliedLore CSV + 1774 terminal inventory,runtime terminal placement proof pending,TerminalOS owner
P014_AEGIR_ROUTE_WINDOW,Aegir Route Window,terminal_note,en_US source candidate; non_en draft_native_review_pending,first orbital/weather window lesson,poi.window_table;poi.moon_shadow_timer,AppliedLore CSV + 1816 first-route context,runtime terminal placement proof pending,TerminalOS owner
P015_BLACK_KEEL_LEDGER,Black Keel Ledger,terminal_note,en_US source candidate; non_en draft_native_review_pending,first claim/debt pressure reveal,poi.claim_pool_ledger;poi.carrier_debt_record,AppliedLore CSV + 1774 terminal inventory,runtime terminal placement proof pending,TerminalOS owner
P016_AEGIR_HOST_STAR,Aegir Host Star,encyclopedia_entry,en_US source candidate; non_en draft_native_review_pending,surface/sky identity after sky-window observation,poi.sky_window;poi.route_archive,AppliedLore CSV + VISION_LOCKS/TASTE surface-light rule,runtime PDA/visual context proof pending,PDA encyclopedia owner
P017_AEGIR_MOON_LADDER,Aegir Moon Ladder,scanner_fact,en_US source candidate; non_en draft_native_review_pending,sky/moon route instrument read,poi.orbit_dossier;poi.signal_mast,AppliedLore CSV + 1773 scanner inventory,runtime scanner UI/DataMonolith proof pending,Scanner UI owner
P018_HECTON8_DROWNED_GEOLOGY,Drowned Geology,scanner_fact,en_US source candidate; non_en draft_native_review_pending,early geology/GPR route teaching,poi.geology_scanner;poi.brine_step,AppliedLore CSV + 1773 scanner inventory,runtime scanner/GPR placement proof pending,Scanner UI owner + GPR route owner
P019_HECTON8_RESOURCE_STACK,Resource Stack,scanner_fact,en_US source candidate; non_en draft_native_review_pending,early resource taxonomy,poi.resource_casket;poi.salvage_cache,AppliedLore CSV + 1773 hazard/tool tags,runtime scanner/resource placement proof pending,Scanner UI owner + resource owner
P020_HECTON8_ECOLOGY_REGISTRY,Ecology Registry,encyclopedia_entry,en_US source candidate; non_en draft_native_review_pending,early ecology baseline after shallow scan,poi.shallow_biota;poi.cable_flora,AppliedLore CSV + TASTE surface beauty rule,runtime PDA/string-pool proof pending,PDA encyclopedia owner
P021_BLACK_KEEL_CUSTODY,Black Keel Custody,terminal_note,en_US source candidate; non_en draft_native_review_pending,carrier contract pressure after first contact,poi.carrier_contract;poi.claim_pool_ledger,AppliedLore CSV + 1774 terminal inventory,runtime terminal placement proof pending,TerminalOS owner
P022_DROP_CAPSULE_DAMAGE,Drop Capsule Damage,scanner_fact,en_US source candidate; non_en draft_native_review_pending,drop capsule cannot return,poi.drop_capsule;poi.crash_shelter,AppliedLore CSV + 1775 audio inventory,runtime scanner placement proof pending,Scanner UI owner
P023_DEEP_REACH_RETURN_CLAIM,Deep Reach Return Claim,terminal_note,en_US source candidate; non_en draft_native_review_pending,early Deep Reach motive seed,poi.deep_reach_contract;poi.relay_instruction,AppliedLore CSV + 1774 terminal inventory,runtime terminal placement proof pending,TerminalOS owner
P031_PHOTIC_SHELF_LIFE,Photic Shelf Life,encyclopedia_entry,en_US source candidate; non_en draft_native_review_pending,surface/shallow awe baseline,poi.shallow_biome_scan;poi.drop_shelter_window,AppliedLore CSV + VISION_LOCKS/TASTE visual floor,runtime PDA/visual placement proof pending,PDA encyclopedia owner
P032_PRESSURE_LADDER_DEPTH_BANDS,Pressure Ladder,scanner_fact,en_US source candidate; non_en draft_native_review_pending,pressure bands teach progression,poi.depth_gate;poi.pressure_bulkhead,AppliedLore CSV + 1773 depth_route tag,runtime scanner/UI proof pending,Scanner UI owner
P151_BLACK_KEEL_CONTRACT_APPROACH,Black Keel Claim Acceptance,terminal_note,en_US source candidate; non_en native review pending; ru_RU wiki/site status_drift,pre-drop claim console,poi.black_keel_contract_console;poi.claim_acceptance_stamp,1774 handoff + AppliedLore CSV + 1820 terminal candidate,runtime terminal UI proof pending; localized publication drift,TerminalOS owner + localization queue owner
P151_BLACK_KEEL_CONTRACT_APPROACH,Black Keel Claim Acceptance,audiolog_script,en_US script candidate; non_en subtitles native review pending,first carrier pressure beat,black keel contract console,1775 audio handoff + AppliedLore CSV,VO/subtitle timing proof pending,Audio/VO/subtitle owner
P152_DROP_CAPSULE_DAMAGE_SEQUENCE,Drop Capsule Damage Sequence,scanner_fact,en_US source candidate; non_en native review pending; ru_RU wiki/site status_drift,capsule diagnostic damage prop,poi.drop_capsule_damage_panel;poi.warped_crush_frame,1774 handoff + AppliedLore CSV,runtime scan-stage/UI proof pending,Scanner UI owner
P153_SHALLOW_ANNEX_P63_PUMP_ROOM,Shallow Annex P-63 Pump Room,terminal_note,en_US source candidate; non_en native review pending; ru_RU wiki/site status_drift,P-63 pump room first repair,poi.shallow_annex_p63_pump;poi.manual_bilge_kit,1774 handoff + AppliedLore CSV,runtime terminal placement proof pending,TerminalOS owner + Unity route placer
P154_FIRST_SANITIZED_ACCIDENT_PACKET,First Sanitized Accident Packet,terminal_note,en_US source candidate; non_en native review pending; ru_RU wiki/site status_drift,first Deep Reach lie vs physical contradiction,poi.sanitized_accident_packet;poi.deep_reach_status_notice,1774 handoff + AppliedLore CSV,runtime terminal/evidence pairing proof pending,TerminalOS owner + route narrative owner
P155_FIRST_ATLAS_REPAIR_TRACE,First Atlas Repair Trace,scanner_fact,en_US source candidate; non_en native review pending; ru_RU wiki/site status_drift,first useful-wrong Atlas repair,poi.life_sealed_machine_joint;poi.sensor_tagged_fauna,1774 handoff + AppliedLore CSV,runtime scan-stage/evidence proof pending,Scanner UI owner + route placer
P246_BLACK_KEEL_APPROACH_AUDIO_PACKET,Black Keel Approach Packet,audiolog_script,en_US script candidate; non_en subtitles native review pending,first-hour carrier audio,poi.black_keel_approach_log;poi.tender_audio_buffer,1775 audio inventory + AppliedLore CSV,VO/subtitle timing proof pending,Audio/VO/subtitle owner
P247_DROP_CAPSULE_DIAGNOSTIC_READOUT,Drop Capsule Diagnostic Readout,terminal_note,en_US source candidate; non_en native review pending,first-hour capsule diagnostic readout,poi.capsule_diagnostic_screen;poi.flooded_ascent_bus,1774 handoff + AppliedLore CSV,runtime terminal column/layout proof pending,TerminalOS owner
P248_P63_PUMP_ROOM_FIRST_REPAIR_TASK,P-63 Pump Room First Repair Task,terminal_note,en_US source candidate; non_en native review pending,first repair task order,poi.p63_manual_pump;poi.cold_sealant_patch,1774 handoff + AppliedLore CSV,runtime terminal placement proof pending,TerminalOS owner
P249_SANITIZED_ACCIDENT_PACKET_BODY,Sanitized Accident Packet Body,terminal_note,en_US source candidate; non_en native review pending,public lie paired with physical evidence,poi.deep_reach_accident_packet;poi.public_report_cache,1774/1775 handoffs + AppliedLore CSV,runtime evidence-pairing proof pending,TerminalOS owner + route narrative owner
P250_FIRST_ATLAS_REPAIR_TRACE_SCENE,First Atlas Repair Trace,scanner_fact,en_US source candidate; non_en native review pending,useful-wrong repair object,poi.repaired_human_object;poi.biofilm_seal_trace,1774/1775 handoffs + AppliedLore CSV,runtime scan-stage/object proof pending,Scanner UI owner + Unity route placer
P286_CAPSULE_BLACKBOX_AUDIO_01,Capsule Blackbox Audio 01,audiolog_script,en_US script candidate; non_en subtitles native review pending,first blackbox audio after capsule power,poi.capsule_blackbox_audio;poi.flooded_avionics_bus,1775 audio inventory + AppliedLore CSV,VO/subtitle timing proof pending; narrow UI frame text risk,Audio/VO/subtitle owner
P287_P63_PUMP_ROOM_WORK_ORDER,P-63 Pump Room Work Order,terminal_note,en_US source candidate; non_en native review pending,P-63 soaked clipboard/terminal,poi.p63_work_order_card;poi.manual_pump_handle,1774 handoff + AppliedLore CSV,runtime terminal/prop proof pending,TerminalOS owner + route placer
P288_WORKER_LOCKER_NAMEPLATE_SAMPLE,Worker Locker Nameplate Sample,survivor_log,en_US source candidate; non_en native review pending,worker locker human proof,poi.worker_locker_nameplate;poi.route_permission_tag,1774 handoff + AppliedLore CSV,runtime prop/UI proof pending,NarrativeDiscovery placer
P289_MARAUDER_CORRECTION_NOTE_SAMPLE,Marauder Correction Note Sample,player_note,en_US source candidate; non_en native review pending,prior survivor correction note,poi.marauder_correction_note;poi.bad_claim_margin,1774 handoff + AppliedLore CSV,runtime prop/UI proof pending,NarrativeDiscovery placer
P290_QUARANTINE_RELAY_FRAGMENT,Quarantine Relay Fragment,audiolog_script,en_US script candidate; non_en subtitles native review pending,partial-exit custody relay,poi.quarantine_relay_fragment;poi.stale_air_counter,1775 audio inventory + AppliedLore CSV,VO/subtitle timing proof pending; long denial beat split needed,Audio/VO/subtitle owner
P316_FIRST_HOUR_PLACEMENT_PRIORITY_LOCK,First Hour Placement Priority Lock,block,authoring lock only; not player-facing,placement planning reference,poi.first_hour_priority_board;poi.capsule_p63_anchor_list,AppliedLore CSV + 1778 binding matrix,writer specification must not be shipped as player text,Integrator/route placer
P320_TERMINAL_BACKLOG_TRIAGE_LOCK,Terminal Backlog Triage Lock,block,authoring lock only; not player-facing,terminal triage reference,poi.terminal_backlog_triage_card;poi.route_decision_terminal_anchor,AppliedLore CSV + 1778 binding matrix,writer specification must not be shipped as player text,TerminalOS owner + integrator
P432_SCANNER_STAGE_COPY_ESCALATION_RULE,Scanner Stage Copy Escalation Rule,block,authoring/presentation rule only; not player-facing,scanner stage copy constraints,poi.scanner_stage_rule;poi.scan_stage_badge,AppliedLore CSV + 1773 scanner rules,writer specification must not be shipped as player text,Scanner UI owner
P433_TERMINAL_OPERATOR_SURFACE_RULE,Terminal Operator Surface Rule,block,authoring/presentation rule only; not player-facing,terminal voice constraints,poi.terminal_operator_rule;poi.legal_boilerplate_style,AppliedLore CSV + 1774 handoff,writer specification must not be shipped as player text,TerminalOS owner
P436_BLACK_KEEL_APPROACH_TRANSCRIPT_SEED,Black Keel Approach Transcript,audiolog_script,en_US script candidate; non_en subtitles native review pending,first-hour transcript seed,poi.black_keel_approach_transcript;poi.opening_caption_card,1775 handoff + AppliedLore CSV,VO/subtitle timing proof pending,Audio/VO/subtitle owner
P437_DEEP_REACH_SANITIZED_PACKET_TRANSCRIPT_SEED,Deep Reach Sanitized Packet Transcript,audiolog_script,en_US script candidate; non_en subtitles native review pending,early/mid Deep Reach pressure transcript,poi.deep_reach_sanitized_transcript;poi.legal_delay_caption,1775 handoff + AppliedLore CSV,VO/subtitle timing proof pending; legal line expansion risk,Audio/VO/subtitle owner + localization queue owner
P438_WORKER_DOSSIER_AUDIO_TRANSCRIPT_SEED,Worker Dossier Audio Transcript,survivor_log,en_US script candidate; non_en subtitles native review pending,worker evidence voice note,poi.worker_dossier_transcript;poi.pump_chief_voice_note,1775 handoff + AppliedLore CSV,VO/subtitle timing proof pending,Audio/VO/subtitle owner
P439_ATLAS_REPAIR_TRACE_TRANSCRIPT_SEED,Atlas Repair Trace Transcript,audiolog_script,en_US script candidate; non_en subtitles native review pending,after first Atlas trace context,poi.atlas_repair_trace_transcript;poi.conductive_biofilm_caption,1775 handoff + AppliedLore CSV,requires first Atlas trace context; VO/subtitle timing proof pending,Audio/VO/subtitle owner + route narrative owner
P440_ENDING_RECORD_TRANSCRIPT_SEED,Ending Record Transcript,block,en_US script candidate but ending-gated; non_en subtitles native review pending,ending dossier only,poi.ending_record_transcript;poi.after_action_dossier,1775 handoff + AppliedLore CSV,spoiler/ending gate; VO proof pending,Ending route owner + audio owner
P446_FIRST_HOUR_PLACEMENT_BRIEF,First Hour Placement Brief,block,authoring brief only; not player-facing,first-hour Unity placement reference,poi.first_hour_anchor_batch;poi.capsule_p63_lie_trace,AppliedLore CSV + 1816 first-route context + 1778 scene backlog,writer specification must not be shipped as player text,Unity route placer
P456_SITE_HOME_LONGFORM_BRIEF,HECTON-8: Pressure Claim,public_site,en_US static public candidate; non_en draft_native_review_pending,public home page seed,poi.site_home_longform;poi.public_home_pressure_route,1811 P456 repair + 1820 public candidate,editorial/spoiler/site integration proof pending,Public site editorial owner
P456_SITE_HOME_LONGFORM_BRIEF,HECTON-8: Pressure Claim,external_wiki,en_US static candidate; non_en draft_native_review_pending,external article seed after editorial gate,poi.site_home_longform;poi.public_home_pressure_route,1811 P456 repair + 1820 queue,site publish proof pending; not multilingual final,Public site/editorial owner
P457_AEGIR_HARD_SCIFI_LONGFORM_BRIEF,Aegir Hard Sci-Fi Longform Brief,block,blocked_production_residue,do not place public/game until rewrite,poi.aegir_hard_scifi_longform;poi.moon_ladder_article_spine,1820 release queue,text residue: article_instruction|longform_spine|public_brief|should_explain,Writer/source repair owner
P458_DEEP_REACH_LIABILITY_LONGFORM_BRIEF,Deep Reach Liability Longform Brief,block,blocked_production_residue,do not place public/game until rewrite,poi.deep_reach_liability_longform;poi.public_liability_chain_article,1820 release queue,text residue: article_instruction|longform_spine|public_brief,Writer/source repair owner
P459_ATLAS_SPOILER_LONGFORM_BRIEF,Atlas Spoiler Longform Brief,block,blocked_production_residue; spoiler-gated,do not place before spoiler route and rewrite,poi.atlas_spoiler_longform;poi.factory_temple_article_spine,1820 release queue,text residue: longform_spine|public_brief; spoiler gate,Writer/source repair owner + ending route owner
P460_BLUE_DEBT_RESOURCE_LONGFORM_BRIEF,Blue Debt Resource Longform Brief,block,blocked_production_residue,do not place public/game until rewrite,poi.blue_debt_resource_longform;poi.resource_custody_article,1820 release queue,text residue: article_instruction|longform_spine|public_brief,Writer/source repair owner
