asset_stem,family,path,likely_use,proof_need,manifest_need,risk,future_owner
GEN_family_coral_massive__boulder,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_massive/GEN_family_coral_massive__boulder.prefab,P1 coral mass blocker/reef anchor,collider/no-collider and final material proof,MANIFEST_GEN_family_coral_massive__boulder,Can read as rock blob; collision policy absent,GeneratedAssetProof
GEN_family_coral_massive__buttress,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_massive/GEN_family_coral_massive__buttress.prefab,P1 reef structure buttress,route composition/collider proof,MANIFEST_GEN_family_coral_massive__buttress,Large silhouette quality and proxy policy pending,GeneratedAssetProof
GEN_family_coral_massive__porous,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_massive/GEN_family_coral_massive__porous.prefab,P1 porous coral close inspection,flat/final/normal/AO proof,MANIFEST_GEN_family_coral_massive__porous,Pores may be only texture noise without mesh proof,GeneratedAssetProof
GEN_family_coral_plate__canopy,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_plate/GEN_family_coral_plate__canopy.prefab,P1 canopy plate route frame,route composition plus underside AO proof,MANIFEST_GEN_family_coral_plate__canopy,Underside/edge thickness unproven,GeneratedAssetProof
GEN_family_coral_plate__shelf,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_plate/GEN_family_coral_plate__shelf.prefab,P1 shelf coral route shelf,flat/final/collider-or-no-collider proof,MANIFEST_GEN_family_coral_plate__shelf,Can become flat shelf/card; no visual proof,GeneratedAssetProof
GEN_family_coral_plate__terrace,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_plate/GEN_family_coral_plate__terrace.prefab,P1 terrace reef layering,route composition/LOD proof,MANIFEST_GEN_family_coral_plate__terrace,Layering and silhouettes unproven,GeneratedAssetProof
GEN_family_kelp_canopy__laminaria__s105-165,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_canopy/GEN_family_kelp_canopy__laminaria__s105-165.prefab,P1 canopy kelp identity,flat/final/sway-mask/compact proof,MANIFEST_GEN_family_kelp_canopy__laminaria__s105-165,Blade thickness and alpha mode unproven,GeneratedAssetProof
GEN_family_kelp_canopy__sheetwall__s150-230,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_canopy/GEN_family_kelp_canopy__sheetwall__s150-230.prefab,P1 kelp wall route frame,gameplay distance and overdraw proof,MANIFEST_GEN_family_kelp_canopy__sheetwall__s150-230,Dense sheet can block route/readability or overdraw,GeneratedAssetProof
GEN_family_kelp_canopy__tapestry__s160-240,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_canopy/GEN_family_kelp_canopy__tapestry__s160-240.prefab,P1 tall canopy hero view,route composition/compact/high proof,MANIFEST_GEN_family_kelp_canopy__tapestry__s160-240,Hero-scale visual proof missing,GeneratedAssetProof
GEN_family_kelp_canopy__windrow__s145-230,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_canopy/GEN_family_kelp_canopy__windrow__s145-230.prefab,P1 current-shaped canopy field,flow/sway mask and composition proof,MANIFEST_GEN_family_kelp_canopy__windrow__s145-230,Current/growth logic unproven,GeneratedAssetProof
GEN_family_kelp_patch_dense__frilltuft__s75-125,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_patch_dense/GEN_family_kelp_patch_dense__frilltuft__s75-125.prefab,P1 dense shallow tuft,compact density and alpha clip proof,MANIFEST_GEN_family_kelp_patch_dense__frilltuft__s75-125,Dense alpha/card risk,GeneratedAssetProof
GEN_family_kelp_patch_dense__patch,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_patch_dense/GEN_family_kelp_patch_dense__patch.prefab,P1 kelp patch filler,gameplay distance/LOD proof,MANIFEST_GEN_family_kelp_patch_dense__patch,May read as flat carpet; no proof,GeneratedAssetProof
GEN_family_kelp_patch_dense__patch_tall,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_patch_dense/GEN_family_kelp_patch_dense__patch_tall.prefab,P1 tall kelp patch,route composition/LOD proof,MANIFEST_GEN_family_kelp_patch_dense__patch_tall,Silhouette/overdraw unknown,GeneratedAssetProof
GEN_family_kelp_tall__colossus__s160-240,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_tall/GEN_family_kelp_tall__colossus__s160-240.prefab,P1 tall kelp hero landmark,close/final/route/compact/high proof,MANIFEST_GEN_family_kelp_tall__colossus__s160-240,Hero scale without visual proof,GeneratedAssetProof
GEN_family_kelp_tall__seedling__s55-90,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_tall/GEN_family_kelp_tall__seedling__s55-90.prefab,P1 scale contrast young kelp,flat/final proof,MANIFEST_GEN_family_kelp_tall__seedling__s55-90,Small prop can vanish or read generic,GeneratedAssetProof
GEN_family_kelp_tall__tower__s130-185,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_tall/GEN_family_kelp_tall__tower__s130-185.prefab,P1 kelp tower route marker,gameplay distance/compact proof,MANIFEST_GEN_family_kelp_tall__tower__s130-185,Route readability pending,GeneratedAssetProof
CaveEntrance_00,world_procedural_geology_meshes,Assets/_Project/Art/Meshes/WorldProceduralGeology/CaveEntrance/CaveEntrance_00_LOD0.asset,P1 cave mouth route anchor,flat/final/collider/route composition proof,MANIFEST_CaveEntrance_00,Source-only; no material/prefab/proof; cave route critical,GeneratedAssetProof
LandmarkSpire_00,world_procedural_geology_meshes,Assets/_Project/Art/Meshes/WorldProceduralGeology/LandmarkSpire/LandmarkSpire_00_LOD0.asset,P1 shallow landmark silhouette,flat/final/route/compact proof,MANIFEST_LandmarkSpire_00,Landmark cannot be blob; no render proof,GeneratedAssetProof
RockArch_00,world_procedural_geology_meshes,Assets/_Project/Art/Meshes/WorldProceduralGeology/RockArchLarge/RockArch_00_LOD0.asset,P1 route arch frame,collider/nav/route composition proof,MANIFEST_RockArch_00,Collision/navigation fit and wet material unproven,GeneratedAssetProof
RockShelf_00,world_procedural_geology_meshes,Assets/_Project/Art/Meshes/WorldProceduralGeology/RockShelfLarge/RockShelf_00_LOD0.asset,P1 shallow shelf terrain carrier,flat/final/collider proof,MANIFEST_RockShelf_00,Can read as smooth shelf; material route absent,GeneratedAssetProof
GEN_family_kelp_abyssal__cathedral__s140-240,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_abyssal/GEN_family_kelp_abyssal__cathedral__s140-240.prefab,P2 medium-depth hero kelp,final/route/medium-depth compact-high proof,MANIFEST_GEN_family_kelp_abyssal__cathedral__s140-240,Hero name and medium-depth route proof missing,GeneratedAssetProof
GEN_family_kelp_abyssal__cowl__s110-180,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_abyssal/GEN_family_kelp_abyssal__cowl__s110-180.prefab,P2 medium-depth canopy variation,flat/final/LOD proof,MANIFEST_GEN_family_kelp_abyssal__cowl__s110-180,Shape readability unknown,GeneratedAssetProof
GEN_family_kelp_abyssal__lantern__s100-180,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_abyssal/GEN_family_kelp_abyssal__lantern__s100-180.prefab,P2 biolum route cue candidate,emission/mask/final/route proof,MANIFEST_GEN_family_kelp_abyssal__lantern__s100-180,Biolum may become random glow noise,GeneratedAssetProof
GEN_family_kelp_abyssal__petal__s100-170,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_abyssal/GEN_family_kelp_abyssal__petal__s100-170.prefab,P2 medium-depth petal kelp,flat/final/compact proof,MANIFEST_GEN_family_kelp_abyssal__petal__s100-170,Card/thin-shell risk,GeneratedAssetProof
GEN_family_kelp_abyssal__tatterveil__s110-185,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_abyssal/GEN_family_kelp_abyssal__tatterveil__s110-185.prefab,P2 damaged/torn medium-depth kelp,close/final/route proof,MANIFEST_GEN_family_kelp_abyssal__tatterveil__s110-185,Tear/scar detail may be texture-only,GeneratedAssetProof
GEN_family_kelp_abyssal__veilwall__s150-240,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_abyssal/GEN_family_kelp_abyssal__veilwall__s150-240.prefab,P2 medium-depth wall silhouette,route composition/compact proof,MANIFEST_GEN_family_kelp_abyssal__veilwall__s150-240,Occlusion/overdraw and route-block risk,GeneratedAssetProof
CaveEntrance_01,world_procedural_geology_meshes,Assets/_Project/Art/Meshes/WorldProceduralGeology/CaveEntrance/CaveEntrance_01_LOD0.asset,P2 medium-depth cave route,collider/material/route proof,MANIFEST_CaveEntrance_01,Source-only; visual/collider proof pending,GeneratedAssetProof
CaveEntrance_02,world_procedural_geology_meshes,Assets/_Project/Art/Meshes/WorldProceduralGeology/CaveEntrance/CaveEntrance_02_LOD0.asset,P2 medium-depth cave variant,collider/material/route proof,MANIFEST_CaveEntrance_02,Source-only; route readability pending,GeneratedAssetProof
LandmarkSpire_01,world_procedural_geology_meshes,Assets/_Project/Art/Meshes/WorldProceduralGeology/LandmarkSpire/LandmarkSpire_01_LOD0.asset,P2 medium-depth landmark,flat/final/route proof,MANIFEST_LandmarkSpire_01,Landmark silhouette unproven,GeneratedAssetProof
LandmarkSpire_02,world_procedural_geology_meshes,Assets/_Project/Art/Meshes/WorldProceduralGeology/LandmarkSpire/LandmarkSpire_02_LOD0.asset,P2 medium-depth landmark variant,flat/final/route proof,MANIFEST_LandmarkSpire_02,Material/process proof missing,GeneratedAssetProof
RockArch_01,world_procedural_geology_meshes,Assets/_Project/Art/Meshes/WorldProceduralGeology/RockArchLarge/RockArch_01_LOD0.asset,P2 medium-depth arch route frame,collider/nav/material proof,MANIFEST_RockArch_01,Source-only; collider fit unproven,GeneratedAssetProof
RockArch_02,world_procedural_geology_meshes,Assets/_Project/Art/Meshes/WorldProceduralGeology/RockArchLarge/RockArch_02_LOD0.asset,P2 medium-depth arch variant,collider/nav/material proof,MANIFEST_RockArch_02,Source-only; route proof missing,GeneratedAssetProof
RockCluster_00,world_procedural_geology_meshes,Assets/_Project/Art/Meshes/WorldProceduralGeology/RockClusterMedium/RockCluster_00_LOD0.asset,P2 route cover/scale cluster,flat/final/collider proof,MANIFEST_RockCluster_00,Could read as random blobs; material route absent,GeneratedAssetProof
RockCluster_01,world_procedural_geology_meshes,Assets/_Project/Art/Meshes/WorldProceduralGeology/RockClusterMedium/RockCluster_01_LOD0.asset,P2 route cover/scale cluster variant,flat/final/collider proof,MANIFEST_RockCluster_01,Geology process unproven,GeneratedAssetProof
RockShelf_01,world_procedural_geology_meshes,Assets/_Project/Art/Meshes/WorldProceduralGeology/RockShelfLarge/RockShelf_01_LOD0.asset,P2 shelf route platform,collider/nav/material proof,MANIFEST_RockShelf_01,Traversal/collider proof missing,GeneratedAssetProof
RockShelf_02,world_procedural_geology_meshes,Assets/_Project/Art/Meshes/WorldProceduralGeology/RockShelfLarge/RockShelf_02_LOD0.asset,P2 shelf route platform variant,collider/nav/material proof,MANIFEST_RockShelf_02,Traversal/collider proof missing,GeneratedAssetProof
