"family_id","asset_category","target_material_family","allowed_shader_route","required_albedo","required_normal","required_packed_map","packed_channel_contract","required_optional_masks","forbidden_donor_sources","allowed_output_folder","prefab_binding_allowed","proof_required","status"
"TRANSPORT_CargoSled_RUBBER_GRIP","transport_rubber","CargoSled rubber pads grips tow buffers","Hecton_MraoAtlasLit after rubber manifest or dedicated rubber shader","Project-owned rubber albedo for matte pads handles straps","Project-owned pressure crease ribbed rubber normal","TX_Transport_CargoSled_RUBBER_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask or declared wetness/wear mask if shader owner approves","hand-wear; salt; gasket edge mask","third-party rubber; flat color; default GUID; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","rubber source maps; import report; channel preview; future boarding screenshot","MISSING_SOURCE_REQUIRED"
"TRANSPORT_CargoSled_LABEL_TRIM","transport_trim","CargoSled labels clamps hazard trims","Hecton_MraoAtlasLit after decal/trim manifest or dedicated trim shader","Project-owned trim/decal atlas albedo with service labels hazard paint","Project-owned raised label clamp chip normal","TX_Transport_CargoSled_TRIM_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask","emissive/cyan/amber trim; label alpha; wear mask","RuntimeVisualProof label swatches as final; flat color signal; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","decal atlas source; import report; readability screenshot later","MISSING_SOURCE_REQUIRED"
"TRANSPORT_ExosuitFrame_FRAME","transport_hull","ExosuitFrame structural metal/composite frame","Hecton_MraoAtlasLit after exosuit frame manifest or dedicated transport shader","Project-owned exosuit frame albedo with plate metal composite paint wear","Project-owned frame scrape hydraulic grime normal","TX_Transport_ExosuitFrame_FRAME_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask or declared wetness/wear mask","hydraulic grime; scrape; decal; edge wear","default GUID; package Lit.mat; RuntimeVisualProof swatch as final; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","source maps; import report; transport relink dry-run later","MISSING_SOURCE_REQUIRED"
"TRANSPORT_ExosuitFrame_RUBBER_SEALS","transport_rubber","ExosuitFrame rubber seals grips straps","Hecton_MraoAtlasLit after rubber/seal manifest or dedicated rubber shader","Project-owned seal albedo with black rubber creases and salt wear","Project-owned seal crease strap rib normal","TX_Transport_ExosuitFrame_RUBBER_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask or declared wetness/wear mask","seal edge wear; salt; contact grime","third-party ScifiFacility route; flat color; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","rubber source maps; import report; channel preview","MISSING_SOURCE_REQUIRED"
"TRANSPORT_ExosuitFrame_SIGNAL_LABELS","transport_trim","ExosuitFrame labels latches instrument trims","Hecton_MraoAtlasLit after decal/trim manifest or dedicated trim shader","Project-owned exosuit decal atlas albedo with latch labels instrument strips","Project-owned latch chip label relief normal","TX_Transport_ExosuitFrame_TRIM_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask","cyan/amber emission; service labels; latch wear","RuntimeVisualProof swatches as final; flat emission color; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","decal atlas source; import report; future readability screenshot","MISSING_SOURCE_REQUIRED"
"TRANSPORT_MicroSub_HULL","transport_hull","MicroSub pressure hull panels waterline grime and salt wear","Hecton_MraoAtlasLit after micro-sub hull manifest or dedicated transport shader","Project-owned micro-sub hull albedo with wet steel paint salt corrosion","Project-owned rounded-hull panel dent scratch normal","TX_Transport_MicroSub_HULL_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask or declared wetness/wear mask","waterline grime; pressure-panel decals; salt/corrosion","Crest/ocean/waterline donors as hull wetness; default GUID; package Lit.mat; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","source maps; import report; boarding-view screenshots later","MISSING_SOURCE_REQUIRED"
"TRANSPORT_MicroSub_GLASS","transport_glass","MicroSub viewport glass lens grime scratch droplet runoff","BLOCKED until transport glass shader/channel contract exists","Project-owned viewport glass base albedo/tint or shader color source","Project-owned scratch/runoff normal; not SuitVisor texture reuse unless derivative manifest","TX_Transport_MicroSub_GLASS_MASK","BLOCKED_CHANNEL_CONTRACT_REQUIRED: scratch/droplet/runoff/grime/alpha compact fallback must be defined by shader owner","scratch; droplet; runoff; fingerprint/grime; compact opaque fallback","SuitVisor droplet/runoff direct reuse; Crest/ocean water textures; RuntimeVisualProof glass as final; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","transport glass contract; source maps; import report; Frame Debugger/capture later","BLOCKED_CHANNEL_CONTRACT_REQUIRED"
"TRANSPORT_MicroSub_TRIM","transport_trim","MicroSub labels clamps signal trims","Hecton_MraoAtlasLit after decal/trim manifest or dedicated trim shader","Project-owned micro-sub decal atlas albedo with service labels clamp marks","Project-owned label/clamp wear normal","TX_Transport_MicroSub_TRIM_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask","cyan/amber emission; clamp edge wear; label alpha","RuntimeVisualProof swatches as final; flat color trims; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","decal atlas source; import report; readability screenshot later","MISSING_SOURCE_REQUIRED"
"TRANSPORT_ScoutGlider_BODY","transport_hull","ScoutGlider directional body fins battery shell","Hecton_MraoAtlasLit after glider body manifest or dedicated transport shader","Project-owned glider body albedo with graphite composite fins battery wear","Project-owned hydrodynamic body/fins scrape normal","TX_Transport_ScoutGlider_BODY_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask or declared wetness/wear mask","battery wear; fin scrape; hydrodynamic grime","default GUID; package Lit.mat; ocean/terrain donors; RuntimeVisualProof swatches as final; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","source maps; import report; future ride/boarding screenshot","MISSING_SOURCE_REQUIRED"
"TRANSPORT_ScoutGlider_GRIPS_RUBBER","transport_rubber","ScoutGlider hand rails and rubber grips","Hecton_MraoAtlasLit after rubber manifest or dedicated rubber shader","Project-owned grip rubber albedo with hand wear salt","Project-owned ribbed grip normal","TX_Transport_ScoutGlider_RUBBER_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask or declared wetness/wear mask","hand-wear; salt; wetness","flat color rubber; third-party donor; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","rubber source maps; import report; compact readability proof later","MISSING_SOURCE_REQUIRED"
"TRANSPORT_ScoutGlider_LENS_SIGNAL","transport_glass_trim","ScoutGlider nose lens signal labels","BLOCKED for glass until transport glass contract; MRAO for label/signal trims after manifest","Project-owned lens/signal/label albedo with service marks","Project-owned lens scratch and label relief normal","TX_Transport_ScoutGlider_LENS_SIGNAL_MASK","BLOCKED_CHANNEL_CONTRACT_REQUIRED for lens glass; MRAO trims: R=Metallic; G=Roughness; B=AO; A=EmissionMask","lens scratch; signal emission; warning/service decals","DirtyPressureGlass as final; SuitVisor direct donor; flat cyan material; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","glass/trim source contract; import report; future screenshot","BLOCKED_CHANNEL_CONTRACT_REQUIRED"
"PLAYER_FP_GLOVES_FOREARMS","player_suit","First-person gloves forearms graphite rubber plates seams tool-contact wear","Hecton_MraoAtlasLit after player suit body manifest or dedicated suit shader","Project-owned glove/forearm albedo with graphite rubber plates seams stains","Project-owned knuckle plate seam tool-contact wear normal","TX_Player_FP_GLOVES_FOREARMS_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask or declared wetness/wear mask","decal labels; wetness; tool-contact grime; seam masks","MAT_PlayerSwimBlockout; unresolved GUID; RuntimeVisualProof swatch as final; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/PlayerSuit; Assets/_Project/Materials/ProductFace/PlayerSuit","false","player suit manifest; import report; first-person screenshot later","MISSING_SOURCE_REQUIRED"
"PLAYER_TORSO_PELVIS_LEGS_FINS","player_suit","Player torso pelvis legs fins full-suit surfaces","Hecton_MraoAtlasLit after full suit manifest or dedicated suit shader","Project-owned full suit albedo with fabric rubber plates fins wear","Project-owned suit panel seam fin edge normal","TX_Player_TORSO_PELVIS_LEGS_FINS_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask or declared wetness/wear mask","fabric/rubber/plate masks; fin wear; wetness; decals","MAT_PlayerSwimBlockout; unresolved GUID; cube blockout material; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/PlayerSuit; Assets/_Project/Materials/ProductFace/PlayerSuit","false","full-suit source manifest; import report; third-person/external screenshot later","MISSING_SOURCE_REQUIRED"
"PLAYER_HELMET_VISOR_HOUSING","player_suit","Helmet and visor housing shell rim gasket pressure seals","Hecton_MraoAtlasLit after helmet housing manifest or dedicated suit shader","Project-owned helmet housing albedo with graphite shell rim gasket metal screws","Project-owned shell rim seal screw normal","TX_Player_HELMET_VISOR_HOUSING_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask or declared wetness/wear mask","gasket mask; edge wear; screw/seal decals","primitive Suit_Visor sphere proof; RuntimeVisualProof swatch as final; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/PlayerSuit; Assets/_Project/Materials/ProductFace/PlayerSuit","false","helmet source manifest; import report; visor housing screenshots later","MISSING_SOURCE_REQUIRED"
"PLAYER_VISOR_GLASS_RIM","visor","Visor glass and rim with scratch droplet runoff HUD glass semantics","SuitVisor dedicated slots only","Project-owned visor glass/base and rim albedo where shader needs it; existing Mat_Visor_Glass partial source only","ScratchNormalMap and WaterRunoffNormalTex required; existing runoff normal is partial static source","SuitVisor dedicated masks not generic packed PBR","SuitVisor: _VisorMaskTex R=Dirt; G=Scratch; B=Salt; A=Condensation; _FingerprintTex R mask; _WaterDropletMaskTex droplet mask; _HUD_RenderTexture HUD","scratch normal; fingerprint; droplet; runoff normal; rim/housing masks; compact fallback","using SuitVisor maps for non-visor assets; treating visor masks as MRAO/ORM/ARM; primitive sphere as proof; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/PlayerSuit; Assets/_Project/Materials/ProductFace/PlayerSuit","false","complete visor slot manifest; import report; Frame Debugger and HUD/glass screenshot later","PARTIAL_SOURCE_STATIC"
