AnchorPath,Domain,Exists,EvidenceClass,StaticSignals,StaticRisks,ForbiddenHits,RequiredUnityProof,Status
Assets/_Project/Scripts/UI/InteractionUI.cs,LegacyUI,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.UI; class InteractionUI implements ILateFrameTickable ILocalizationLanguageChangedListener IGlobalRegistryHotSwapListener; SetCharArray; SignalBus<InputStateSignal>","Duplicate/suspect InteractionUI route; must prove inactive or justified","No HUD string mutation hits in narrowed scan","Unity readback of active/inactive status; if active prove no duplicate prompt authority and 0B GC","PENDING VERIFICATION"
Assets/_Project/Scripts/Core/PlayerRuntimeContextService.cs,RuntimeContext,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.Core; class PlayerRuntimeContextService implements IPlayerRuntimeContext IPlayerSurvivalEnvironmentReadModel IUpdatable ISlowTickable IServiceHeartbeat IServiceShutdown IGlobalRegistryHotSwapListener","Context publisher must publish from owner phase only; static cannot prove active bindings","Static scan shows runtime/global context patterns","Read movement/camera/survival/tool/inventory/PDA/visor/flashlight/collider/HUD binding flags in Unity","PENDING VERIFICATION"
Assets/_Project/Scripts/Core/PlayerRuntimeContext.cs,RuntimeContextDTO,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.Core; structs PlayerMovementRuntimeState PlayerMovementStressRuntimeState PlayerLookState PlayerSurvivalRuntimeState PlayerInteractionRuntimeState; class PlayerRuntimeContext; SignalBus CombatDamageSignal","DTO owner exists statically; layout/save/runtime identity proof absent","None in narrowed scan","Verify DTO source owner, immutable snapshot cadence, save/load state restoration, no accessor mutation","PENDING VERIFICATION"
Assets/_Project/Scripts/Core/PlayerInputState.cs,InputDTO,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.Core; InputState PlayerInputState XRInputState; layout helper","Action bit layout exists statically; semantics and device matrix unproven","None in narrowed scan","Verify action id map, bitmask semantics, buffered window, keyboard/gamepad/Steam Deck claims if any","PENDING VERIFICATION"
Assets/_Project/Scripts/Core/InputDispatcher.cs,Input,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.Core; class InputDispatcher implements IInputService ISlowTickable ILateFrameTickable IServiceHeartbeat IServiceShutdown IGlobalRegistryHotSwapListener; InputBlackBoxCapacity=300; SignalBus<InputStateSignal>; SignalBus<PlayerInputSignal>; haptic request consumption; Dump_INPUT_DETERMINISM.bin","Large input owner; static cannot prove single polling boundary, device matrix, no hot string lookup, or 0B GC","No direct Input.Get hits in narrowed scan; GlobalRegistry/DataVault paths require phase proof","Unity readback of only gameplay input boundary, action refs cached, device matrix, GC/profiler, black-box dump manifest","PENDING VERIFICATION"
Assets/_Project/Scripts/Core/HectonInputRuntime_HapticSynth.cs,Haptics/Input,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.Core; partial InputDispatcher; haptic synthesis simulation/post-simulation systems","Haptics must map to named physical causes and avoid decorative rumble; static cannot prove cadence or device behavior","Static SignalBus/haptic route only","Play/device proof for haptic command queue, priority, device disconnect, no per-frame device discovery","PENDING VERIFICATION"
Assets/_Project/Scripts/Core/Signals/PlayerMovementPresentationSignals.cs,Signals,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.Core.Contracts.Signals; PlayerFootstepSignal PlayerWaterSplashSignal WaterTransitionSignal PlayerExhaleSignal PlayerSprintStateSignal PlayerFatalPressureSignal PlayerTransportBailoutSignal","Signal lane layout appears present; route card/overflow/runtime duplicate proof not established here","None in narrowed scan","Verify producer/consumer phases, max frame capacity, overflow telemetry, duplicate lane scan, compile/runtime proof","PENDING VERIFICATION"
Assets/_Project/Scripts/UI/SuitHUDV4CanvasOverlay.cs,HUD,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.UI; class SuitHUDV4CanvasOverlay implements ISlowTickable ILateFrameTickable IUIService and listeners; GlobalQualityWeight; SetCharArray; SignalBus snapshots; DataVault reads","Large HUD owner; active route, render mode, clipping, 0B GC, and source ownership unproven","No HUD string mutation hits in narrowed scan; GlobalRegistry/DataVault paths require phase proof","Unity readback of active HUD owner, diegetic/visor projection, 720p/aspect screenshots, Profiler/GC text flush proof","PENDING VERIFICATION"
Assets/_Project/Scripts/UI/SurvivalHUDController.cs,HUD,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.UI; class SurvivalHUDController implements ILateFrameTickable IGlobalRegistryHotSwapListener","Could duplicate survival HUD authority if active beside SuitHUDV4; active route unproven","GlobalRegistry player context static hits; no text mutation hits in narrowed scan","Read active HUD stack and source owner; prove no duplicate oxygen/depth/pressure truth; GC proof","PENDING VERIFICATION"
Assets/_Project/Scripts/UI/TMP_TextRegistry.cs,UITextUtility,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.UI; TMP_TextEntry; TMP_TextRegistry","Registry path must use baked hashes and avoid runtime hierarchy/string hashing; static scan not full proof","No HUD string mutation hits in narrowed scan","Verify registration lifecycle, baked hash source, no runtime hierarchy traversal, UI stress GC","PENDING VERIFICATION"
Assets/_Project/Scripts/UI/TmpTextNoAlloc.cs,UITextUtility,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.UI; TmpTextNoAlloc; SetCharArray utility","Utility favorable statically; active callers and overflow handling need proof","No HUD string mutation hits in narrowed scan","HUD text stress proof and clipping/overflow screenshots","PENDING VERIFICATION"
Assets/_Project/Scripts/UI/CharBufferPool.cs,UITextUtility,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.UI; CharBufferPool; fixed leases","Pool size/overflow behavior must be runtime stressed","No HUD string mutation hits in narrowed scan","HUD/PDA/rebind stress proof, pool exhaustion behavior, 0B GC","PENDING VERIFICATION"
Assets/_Project/Scripts/UI/DiegeticPDAController.cs,PDA/UI,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.UI; class DiegeticPDAController implements ILateFrameTickable IPanelInteractable IGlobalRegistryHotSwapListener","PDA focus/navigation and gameplay lock must be proven; UI raycast cadence/alloc proof needed","GraphicRaycaster.Raycast static hit; no direct input hits","Open/close PDA x10, focus lock, cancel/return, UI navigation action layer, GC/profiler","PENDING VERIFICATION"
Assets/_Project/Scripts/UI/PDAControlsRebindUI.cs,Rebinding/UI,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.UI; class PDAControlsRebindUI implements IPDAEventListener IGlobalRegistryHotSwapListener; RebindRow; SetCharArray","Rebinding must be menu-safe; action name/string path and conflict handling need runtime/static deeper proof","No HUD string mutation hits in narrowed scan","Rebind duplicate/conflict test, keyboard/gamepad UI navigation, return to gameplay, GC proof","PENDING VERIFICATION"
Assets/_Project/Scripts/UI/PauseMenuController.cs,Pause/UI,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.UI; class PauseMenuController implements IUnscaledFastTickable ILateFrameTickable ISaveEventListener ILocalizationLanguageChangedListener IGlobalRegistryHotSwapListener; CanvasGroup; SetCharArray; SignalBus<PlayerInputSignal>","Creates fallback EventSystem cold path; pause/save/load focus and input lock require runtime proof","No HUD string mutation hits in narrowed scan; many cold TryGetComponent/AddComponent paths","Pause open/close x10, save notification, default focus, input lock, save/load route, 0B GC","PENDING VERIFICATION"
Assets/_Project/Scripts/UI/PauseMenuHost.cs,Pause/UI,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.UI; class PauseMenuHost","Host component; active route unproven","TryGetComponent static hits only","Read scene/prefab host binding and controller active state","PENDING VERIFICATION"
Assets/_Project/Scripts/Gameplay/FirstHourDirector.cs,First20Route,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.Gameplay; FirstHourEvents; FirstHourDirector implements ISaveable ISlowTickable ILateFrameTickable route/listener interfaces; SignalBus<CraftingCompletedSignal>; telemetry warnings","Route read model exists; first-20 authority remains unproven; native queues require owner/phase/capacity proof","GlobalTelemetryBus and GlobalRegistry static hits; no direct input hits","Play first-20 route milestones, save/load restore, event overflow telemetry, no route-blocking errors","PENDING VERIFICATION"
Assets/_Project/Scripts/World/HectonWorldShellController1428.cs,WorldShell/Blocker,YES,STATIC_SOURCE_SCAN,"namespace Hecton8.World; class HectonWorldShellController1428 implements IUpdatable; SystemDispatcher environment registration","If active, it owns movement/camera through shell transform writes and direct input polling; production blocker","Keyboard.current; Mouse.current; Input.GetKey; Input.GetMouseButton; Input.GetAxisRaw; transform position/rotation writes in Tick","Unity readback must prove inactive or explicitly classify temporary shell; if active, replace via production player route before acceptance","PENDING VERIFICATION"
