pattern,path,count
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS029_ROUTE_TIME_DISTANCE_MODEL.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS030_DEEP_REACH_SHELL_ORG_CHART.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS031_FIRST_HOUR_PLAYABLE_SPINE.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS032_COLONY_HUMAN_EVIDENCE_LAYER.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS033_DOMAIN_EPHEMERIS_ROUTE_TABLE.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS034_WORKER_NAME_JOB_EVIDENCE_TABLE.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS035_RESOURCE_RECIPE_PRESSURE_RULES.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS036_DOSSIER_SAVE_PRESENTATION_RULES.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS037_AEGIR_MOON_PUBLIC_ATLAS.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS038_DEEP_REACH_TRUE_CAUSE_KNOWLEDGE.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS039_FINAL_DECISION_EMOTIONAL_AXIS.packets.json,390
placeholder,Docs\Lore\AppliedContent\packets\RS040_NUMERIC_TUNING_SOURCE_RULES.packets.json,34
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS040_NUMERIC_TUNING_SOURCE_RULES.packets.json,392
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS041_DEEP_REACH_LOWER_SIGNATURES.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS042_COLONY_ROSTER_AUTHORING_POOL.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS043_WORKER_PROP_EVIDENCE_KIT.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS044_PUBLICATION_SPOILER_LOCALIZATION_PROTOCOL.packets.json,392
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS045_PHOTIC_SHELF_NATIVE_ECOLOGY.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS046_BRINE_CANYON_ABYSS_ECOLOGY.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS047_ATLAS_MAINTENANCE_BIOMECH_LAYER.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS048_HARDWARE_AND_VEHICLE_EVIDENCE_STACK.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS049_CONTRACT_SEED_RISK_REWARD_SURFACES.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS050_FIRST_HOUR_MICRO_SCRIPT_SURFACES.packets.json,490
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS051_PUBLIC_SITE_PILLAR_ARTICLES.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS052_LOCALIZATION_GLOSSARY_AUDIO_STYLE.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS053_NUMERIC_AUTHORING_BRIDGE_SURFACES.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS054_DOSSIER_CONTRACT_UI_COPY_DECK.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS055_ENDING_PAYLOAD_RECORD_SURFACES.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS057_PUBLIC_SITE_READY_ARTICLE_SECTIONS.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS058_IN_GAME_ARTIFACT_AUDIO_SURFACES.packets.json,490
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS059_ECOLOGY_CODEX_SPECIMEN_CARDS.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS060_FINAL_DESCENT_ROUTE_FRAGMENTS.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS061_TABLE_VALUE_HANDOFF_CONTRACTS.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS062_RUNTIME_UI_PROOF_BACKLOG.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS063_PUBLICATION_COMPOSITION_PROOF_PACK.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS064_UNITY_PLACEMENT_PRIORITY_BACKLOG.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS065_CARRIER_CONTRACT_OWNERSHIP_SURFACES.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS066_DEEP_REACH_PRESENT_COMMS_CHAIN.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS067_ATLAS_REPAIR_NETWORK_MECHANICS.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS068_FALSE_EXIT_AFTER_ACTION_RECORDS.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS069_SHIP_TECH_TRANSIT_ENCYCLOPEDIA.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS070_AEGIR_MOON_SYSTEM_ATLAS.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS071_HECTON8_GEOLOGY_RESOURCE_FIELDGUIDE.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS072_COLONY_DAILY_LIFE_EVIDENCE_ATLAS.packets.json,490
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS073_ESCAPE_ASCENT_ENGINEERING_COMPONENTS.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS074_PLAYER_EX_DEEP_REACH_PROFESSIONAL_DOSSIER.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS075_DEEP_REACH_LIE_PHYSICAL_PROOF_CHAIN.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS076_ATLAS_FINAL_PAYLOAD_RECEIVER_PROTOCOLS.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS077_LONG_CAMPAIGN_ACT_SPINE.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS078_MAJOR_POI_EVIDENCE_KITS.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS079_REPLAY_CONTRACT_SEED_FAMILIES.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS080_PUBLIC_WIKI_ARTICLE_MODULES.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS082_DEEP_REACH_ARTIFACT_MEMO_PACK.packets.json,490
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS083_FAUNA_ENCOUNTER_GRAMMAR.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS084_SITE_WIKI_NAVIGATION_CLUSTERS.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS086_RESOURCE_ECONOMY_ARTIFACTS.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS087_PDA_CODEX_PRESENTATION_RULES.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS088_AUDIO_TRANSCRIPT_ARTICLE_SEEDS.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS089_NUMERIC_GAMEPLAY_TABLE_VALUE_DRAFTS.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS090_UNITY_PLACEMENT_SCENE_BRIEFS.packets.json,455
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS091_NATIVE_LOCALIZATION_AND_ACCESSIBILITY_QA_BRIEFS.packets.json,455
machine localization phrase,Docs\Lore\AppliedContent\packets\RS091_NATIVE_LOCALIZATION_AND_ACCESSIBILITY_QA_BRIEFS.packets.json,15
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS092_PUBLIC_SITE_LONGFORM_ARTICLE_BRIEFS.packets.json,455
placeholder,Docs\Lore\AppliedContent\in_game_wiki\ar_SA\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\in_game_wiki\ar_SA\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\ar_SA\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\ar_SA\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
placeholder,Docs\Lore\AppliedContent\in_game_wiki\de_DE\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\in_game_wiki\de_DE\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\de_DE\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\de_DE\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
placeholder,Docs\Lore\AppliedContent\in_game_wiki\en_US\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\in_game_wiki\en_US\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\en_US\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\en_US\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
placeholder,Docs\Lore\AppliedContent\in_game_wiki\es_ES\INDEX.md,3
TODO,Docs\Lore\AppliedContent\in_game_wiki\es_ES\P010_PAYLOAD_WINDOW.md,2
TODO,Docs\Lore\AppliedContent\in_game_wiki\es_ES\P020_HECTON8_ECOLOGY_REGISTRY.md,1
TODO,Docs\Lore\AppliedContent\in_game_wiki\es_ES\P021_BLACK_KEEL_CUSTODY.md,1
TODO,Docs\Lore\AppliedContent\in_game_wiki\es_ES\P026_SIX_DOMAIN_LEDGER.md,1
TODO,Docs\Lore\AppliedContent\in_game_wiki\es_ES\P029_SEED_SHIP_DOCTRINE.md,1
placeholder,Docs\Lore\AppliedContent\in_game_wiki\es_ES\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\es_ES\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\es_ES\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
placeholder,Docs\Lore\AppliedContent\in_game_wiki\fr_FR\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\in_game_wiki\fr_FR\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\fr_FR\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\fr_FR\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
placeholder,Docs\Lore\AppliedContent\in_game_wiki\he_IL\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\in_game_wiki\he_IL\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\he_IL\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\he_IL\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
placeholder,Docs\Lore\AppliedContent\in_game_wiki\id_ID\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\in_game_wiki\id_ID\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\id_ID\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\id_ID\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
placeholder,Docs\Lore\AppliedContent\in_game_wiki\ja_JP\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\in_game_wiki\ja_JP\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\ja_JP\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\ja_JP\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
placeholder,Docs\Lore\AppliedContent\in_game_wiki\ko_KR\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\in_game_wiki\ko_KR\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\ko_KR\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\ko_KR\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
placeholder,Docs\Lore\AppliedContent\in_game_wiki\nl_NL\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\in_game_wiki\nl_NL\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\nl_NL\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\nl_NL\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
placeholder,Docs\Lore\AppliedContent\in_game_wiki\pl_PL\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\in_game_wiki\pl_PL\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\pl_PL\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\pl_PL\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
placeholder,Docs\Lore\AppliedContent\in_game_wiki\pt_BR\INDEX.md,3
TODO,Docs\Lore\AppliedContent\in_game_wiki\pt_BR\P021_BLACK_KEEL_CUSTODY.md,1
TODO,Docs\Lore\AppliedContent\in_game_wiki\pt_BR\P026_SIX_DOMAIN_LEDGER.md,1
TODO,Docs\Lore\AppliedContent\in_game_wiki\pt_BR\P029_SEED_SHIP_DOCTRINE.md,1
placeholder,Docs\Lore\AppliedContent\in_game_wiki\pt_BR\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\pt_BR\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\pt_BR\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
placeholder,Docs\Lore\AppliedContent\in_game_wiki\ru_RU\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\in_game_wiki\ru_RU\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\ru_RU\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\ru_RU\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
placeholder,Docs\Lore\AppliedContent\in_game_wiki\uk_UA\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\in_game_wiki\uk_UA\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\uk_UA\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\uk_UA\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
placeholder,Docs\Lore\AppliedContent\in_game_wiki\zh_CN\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\in_game_wiki\zh_CN\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\zh_CN\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\in_game_wiki\zh_CN\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
placeholder,Docs\Lore\AppliedContent\external_site\ar_SA\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\external_site\ar_SA\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,2
draft native pass phrase,Docs\Lore\AppliedContent\external_site\ar_SA\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\external_site\ar_SA\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
machine localization phrase,Docs\Lore\AppliedContent\external_site\ar_SA\P451_RU_NATIVE_ENCODING_QA_BRIEF.md,1
placeholder,Docs\Lore\AppliedContent\external_site\de_DE\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\external_site\de_DE\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,2
draft native pass phrase,Docs\Lore\AppliedContent\external_site\de_DE\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\external_site\de_DE\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
machine localization phrase,Docs\Lore\AppliedContent\external_site\de_DE\P451_RU_NATIVE_ENCODING_QA_BRIEF.md,1
placeholder,Docs\Lore\AppliedContent\external_site\en_US\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\external_site\en_US\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,2
draft native pass phrase,Docs\Lore\AppliedContent\external_site\en_US\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\external_site\en_US\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
machine localization phrase,Docs\Lore\AppliedContent\external_site\en_US\P451_RU_NATIVE_ENCODING_QA_BRIEF.md,1
placeholder,Docs\Lore\AppliedContent\external_site\es_ES\INDEX.md,3
TODO,Docs\Lore\AppliedContent\external_site\es_ES\P010_PAYLOAD_WINDOW.md,1
TODO,Docs\Lore\AppliedContent\external_site\es_ES\P019_HECTON8_RESOURCE_STACK.md,1
TODO,Docs\Lore\AppliedContent\external_site\es_ES\P020_HECTON8_ECOLOGY_REGISTRY.md,1
TODO,Docs\Lore\AppliedContent\external_site\es_ES\P021_BLACK_KEEL_CUSTODY.md,1
placeholder,Docs\Lore\AppliedContent\external_site\es_ES\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,2
draft native pass phrase,Docs\Lore\AppliedContent\external_site\es_ES\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\external_site\es_ES\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
machine localization phrase,Docs\Lore\AppliedContent\external_site\es_ES\P451_RU_NATIVE_ENCODING_QA_BRIEF.md,1
placeholder,Docs\Lore\AppliedContent\external_site\fr_FR\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\external_site\fr_FR\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,2
draft native pass phrase,Docs\Lore\AppliedContent\external_site\fr_FR\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\external_site\fr_FR\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
machine localization phrase,Docs\Lore\AppliedContent\external_site\fr_FR\P451_RU_NATIVE_ENCODING_QA_BRIEF.md,1
placeholder,Docs\Lore\AppliedContent\external_site\he_IL\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\external_site\he_IL\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,2
draft native pass phrase,Docs\Lore\AppliedContent\external_site\he_IL\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\external_site\he_IL\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
machine localization phrase,Docs\Lore\AppliedContent\external_site\he_IL\P451_RU_NATIVE_ENCODING_QA_BRIEF.md,1
placeholder,Docs\Lore\AppliedContent\external_site\id_ID\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\external_site\id_ID\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,2
draft native pass phrase,Docs\Lore\AppliedContent\external_site\id_ID\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\external_site\id_ID\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
machine localization phrase,Docs\Lore\AppliedContent\external_site\id_ID\P451_RU_NATIVE_ENCODING_QA_BRIEF.md,1
placeholder,Docs\Lore\AppliedContent\external_site\ja_JP\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\external_site\ja_JP\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,2
draft native pass phrase,Docs\Lore\AppliedContent\external_site\ja_JP\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\external_site\ja_JP\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
machine localization phrase,Docs\Lore\AppliedContent\external_site\ja_JP\P451_RU_NATIVE_ENCODING_QA_BRIEF.md,1
placeholder,Docs\Lore\AppliedContent\external_site\ko_KR\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\external_site\ko_KR\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,2
draft native pass phrase,Docs\Lore\AppliedContent\external_site\ko_KR\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\external_site\ko_KR\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
machine localization phrase,Docs\Lore\AppliedContent\external_site\ko_KR\P451_RU_NATIVE_ENCODING_QA_BRIEF.md,1
placeholder,Docs\Lore\AppliedContent\external_site\nl_NL\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\external_site\nl_NL\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,2
draft native pass phrase,Docs\Lore\AppliedContent\external_site\nl_NL\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\external_site\nl_NL\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
machine localization phrase,Docs\Lore\AppliedContent\external_site\nl_NL\P451_RU_NATIVE_ENCODING_QA_BRIEF.md,1
placeholder,Docs\Lore\AppliedContent\external_site\pl_PL\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\external_site\pl_PL\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,2
draft native pass phrase,Docs\Lore\AppliedContent\external_site\pl_PL\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\external_site\pl_PL\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
machine localization phrase,Docs\Lore\AppliedContent\external_site\pl_PL\P451_RU_NATIVE_ENCODING_QA_BRIEF.md,1
placeholder,Docs\Lore\AppliedContent\external_site\pt_BR\INDEX.md,3
TODO,Docs\Lore\AppliedContent\external_site\pt_BR\P021_BLACK_KEEL_CUSTODY.md,1
placeholder,Docs\Lore\AppliedContent\external_site\pt_BR\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,2
draft native pass phrase,Docs\Lore\AppliedContent\external_site\pt_BR\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\external_site\pt_BR\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
machine localization phrase,Docs\Lore\AppliedContent\external_site\pt_BR\P451_RU_NATIVE_ENCODING_QA_BRIEF.md,1
placeholder,Docs\Lore\AppliedContent\external_site\ru_RU\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\external_site\ru_RU\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,2
draft native pass phrase,Docs\Lore\AppliedContent\external_site\ru_RU\P200_NATIVE_LOCALIZATION_PASS_CONTRACT.md,1
draft native pass phrase,Docs\Lore\AppliedContent\external_site\ru_RU\P220_NATIVE_LANGUAGE_BACKLOG_RULES.md,1
machine localization phrase,Docs\Lore\AppliedContent\external_site\ru_RU\P451_RU_NATIVE_ENCODING_QA_BRIEF.md,1
placeholder,Docs\Lore\AppliedContent\external_site\uk_UA\INDEX.md,3
placeholder,Docs\Lore\AppliedContent\external_site\uk_UA\P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT.md,2
