locale,direction,field,total_required,present,missing,empty,draft_marker_hits,mojibake_hits,english_fallback_risk,script_mismatch_risk,static_over_bound_risk,max_chars,max_chars_packet
ja_JP,ltr,external_site,460,460,0,0,400,0,414,414,0,480,P456_SITE_HOME_LONGFORM_BRIEF
ja_JP,ltr,field_note,460,460,0,0,400,0,414,414,0,283,P445_ENDING_PAYOUT_VALUE_DRAFT_ROWS
zh_CN,ltr,title,460,460,0,0,226,0,414,415,204,88,P378_PAYLOAD_PRESERVE_QUARANTINE_RECEIVER_PROTOCOL
zh_CN,ltr,scanner,460,460,0,0,400,0,414,414,5,191,P048_CABLE_SPLICE_SCAR
zh_CN,ltr,terminal,460,460,0,0,401,0,419,419,13,291,P190_FALSE_PUBLIC_REPORT_PACKET
zh_CN,ltr,audio,460,460,0,0,401,0,414,414,0,174,P346_AEGIR_PRIMARY_LIGHT_AND_RADIATION
zh_CN,ltr,in_game_wiki,460,460,0,0,400,0,414,414,0,388,P121_DOMAIN_CIVIC_CORPORATE_SPLIT
zh_CN,ltr,external_site,460,460,0,0,400,0,414,414,0,480,P456_SITE_HOME_LONGFORM_BRIEF
zh_CN,ltr,field_note,460,460,0,0,400,0,414,414,0,283,P445_ENDING_PAYOUT_VALUE_DRAFT_ROWS
fr_FR,ltr,title,460,460,0,0,226,0,0,0,205,88,P378_PAYLOAD_PRESERVE_QUARANTINE_RECEIVER_PROTOCOL
fr_FR,ltr,scanner,460,460,0,0,396,0,0,0,5,187,P448_ECOLOGY_SCAN_PLACEMENT_BRIEF
fr_FR,ltr,terminal,460,460,0,0,398,0,0,0,13,291,P190_FALSE_PUBLIC_REPORT_PACKET
fr_FR,ltr,audio,460,460,0,0,398,0,0,0,0,174,P346_AEGIR_PRIMARY_LIGHT_AND_RADIATION
fr_FR,ltr,in_game_wiki,460,460,0,0,395,0,0,0,0,608,P001_CRASH_SHELF
fr_FR,ltr,external_site,460,460,0,0,397,0,0,0,0,480,P456_SITE_HOME_LONGFORM_BRIEF
fr_FR,ltr,field_note,460,460,0,0,395,0,0,0,0,283,P445_ENDING_PAYOUT_VALUE_DRAFT_ROWS
es_ES,ltr,title,460,460,0,0,226,0,0,0,204,88,P378_PAYLOAD_PRESERVE_QUARANTINE_RECEIVER_PROTOCOL
es_ES,ltr,scanner,460,460,0,0,396,0,0,0,5,187,P448_ECOLOGY_SCAN_PLACEMENT_BRIEF
es_ES,ltr,terminal,460,460,0,0,396,0,0,0,13,291,P190_FALSE_PUBLIC_REPORT_PACKET
es_ES,ltr,audio,460,460,0,0,399,0,0,0,0,174,P346_AEGIR_PRIMARY_LIGHT_AND_RADIATION
es_ES,ltr,in_game_wiki,460,460,0,0,396,0,0,0,0,592,P001_CRASH_SHELF
es_ES,ltr,external_site,460,460,0,0,396,0,0,0,0,480,P456_SITE_HOME_LONGFORM_BRIEF
es_ES,ltr,field_note,460,460,0,0,395,0,0,0,0,283,P445_ENDING_PAYOUT_VALUE_DRAFT_ROWS
de_DE,ltr,title,460,460,0,0,226,0,0,0,204,88,P378_PAYLOAD_PRESERVE_QUARANTINE_RECEIVER_PROTOCOL
de_DE,ltr,scanner,460,460,0,0,396,0,0,0,4,187,P448_ECOLOGY_SCAN_PLACEMENT_BRIEF
de_DE,ltr,terminal,460,460,0,0,396,0,0,0,13,291,P190_FALSE_PUBLIC_REPORT_PACKET
de_DE,ltr,audio,460,460,0,0,396,0,0,0,0,174,P346_AEGIR_PRIMARY_LIGHT_AND_RADIATION
de_DE,ltr,in_game_wiki,460,460,0,0,395,0,0,0,0,578,P001_CRASH_SHELF
de_DE,ltr,external_site,460,460,0,0,395,0,0,0,0,480,P456_SITE_HOME_LONGFORM_BRIEF
de_DE,ltr,field_note,460,460,0,0,395,0,0,0,0,283,P445_ENDING_PAYOUT_VALUE_DRAFT_ROWS
pl_PL,ltr,title,460,460,0,0,226,0,0,0,204,88,P378_PAYLOAD_PRESERVE_QUARANTINE_RECEIVER_PROTOCOL
pl_PL,ltr,scanner,460,460,0,0,396,0,0,0,5,187,P448_ECOLOGY_SCAN_PLACEMENT_BRIEF
pl_PL,ltr,terminal,460,460,0,0,396,0,0,0,13,291,P190_FALSE_PUBLIC_REPORT_PACKET
pl_PL,ltr,audio,460,460,0,0,396,0,0,0,0,174,P346_AEGIR_PRIMARY_LIGHT_AND_RADIATION
pl_PL,ltr,in_game_wiki,460,460,0,0,395,0,0,0,0,534,P001_CRASH_SHELF
pl_PL,ltr,external_site,460,460,0,0,395,0,0,0,0,480,P456_SITE_HOME_LONGFORM_BRIEF
pl_PL,ltr,field_note,460,460,0,0,395,0,0,0,0,283,P445_ENDING_PAYOUT_VALUE_DRAFT_ROWS
uk_UA,ltr,title,460,460,0,0,226,0,414,416,204,88,P378_PAYLOAD_PRESERVE_QUARANTINE_RECEIVER_PROTOCOL
uk_UA,ltr,scanner,460,460,0,0,396,0,414,414,5,187,P448_ECOLOGY_SCAN_PLACEMENT_BRIEF
uk_UA,ltr,terminal,460,460,0,0,396,0,419,419,13,291,P190_FALSE_PUBLIC_REPORT_PACKET
uk_UA,ltr,audio,460,460,0,0,396,0,414,414,0,174,P346_AEGIR_PRIMARY_LIGHT_AND_RADIATION
uk_UA,ltr,in_game_wiki,460,460,0,0,395,0,414,414,0,513,P001_CRASH_SHELF
uk_UA,ltr,external_site,460,460,0,0,395,0,414,414,0,480,P456_SITE_HOME_LONGFORM_BRIEF
uk_UA,ltr,field_note,460,460,0,0,395,0,414,414,0,283,P445_ENDING_PAYOUT_VALUE_DRAFT_ROWS
ar_SA,rtl,title,460,460,0,0,226,0,414,415,204,88,P378_PAYLOAD_PRESERVE_QUARANTINE_RECEIVER_PROTOCOL
ar_SA,rtl,scanner,460,460,0,0,396,0,414,414,4,187,P448_ECOLOGY_SCAN_PLACEMENT_BRIEF
ar_SA,rtl,terminal,460,460,0,0,396,0,419,419,13,291,P190_FALSE_PUBLIC_REPORT_PACKET
ar_SA,rtl,audio,460,460,0,0,396,0,414,414,0,174,P346_AEGIR_PRIMARY_LIGHT_AND_RADIATION
ar_SA,rtl,in_game_wiki,460,460,0,0,395,0,414,414,0,426,P001_CRASH_SHELF
ar_SA,rtl,external_site,460,460,0,0,395,0,414,414,0,480,P456_SITE_HOME_LONGFORM_BRIEF
ar_SA,rtl,field_note,460,460,0,0,395,0,414,414,0,283,P445_ENDING_PAYOUT_VALUE_DRAFT_ROWS
id_ID,ltr,title,460,460,0,0,226,0,0,0,204,88,P378_PAYLOAD_PRESERVE_QUARANTINE_RECEIVER_PROTOCOL
id_ID,ltr,scanner,460,460,0,0,396,0,0,0,5,187,P448_ECOLOGY_SCAN_PLACEMENT_BRIEF
id_ID,ltr,terminal,460,460,0,0,396,0,0,0,13,291,P190_FALSE_PUBLIC_REPORT_PACKET
id_ID,ltr,audio,460,460,0,0,396,0,0,0,0,174,P346_AEGIR_PRIMARY_LIGHT_AND_RADIATION
id_ID,ltr,in_game_wiki,460,460,0,0,395,0,0,0,0,532,P001_CRASH_SHELF
id_ID,ltr,external_site,460,460,0,0,395,0,0,0,0,480,P456_SITE_HOME_LONGFORM_BRIEF
id_ID,ltr,field_note,460,460,0,0,395,0,0,0,0,283,P445_ENDING_PAYOUT_VALUE_DRAFT_ROWS
ko_KR,ltr,title,460,460,0,0,226,0,414,415,204,88,P378_PAYLOAD_PRESERVE_QUARANTINE_RECEIVER_PROTOCOL
ko_KR,ltr,scanner,460,460,0,0,396,0,414,414,4,187,P448_ECOLOGY_SCAN_PLACEMENT_BRIEF
ko_KR,ltr,terminal,460,460,0,0,396,0,419,419,13,291,P190_FALSE_PUBLIC_REPORT_PACKET
ko_KR,ltr,audio,460,460,0,0,396,0,414,414,0,174,P346_AEGIR_PRIMARY_LIGHT_AND_RADIATION
ko_KR,ltr,in_game_wiki,460,460,0,0,395,0,414,414,0,388,P121_DOMAIN_CIVIC_CORPORATE_SPLIT
ko_KR,ltr,external_site,460,460,0,0,395,0,414,414,0,480,P456_SITE_HOME_LONGFORM_BRIEF
ko_KR,ltr,field_note,460,460,0,0,395,0,414,414,0,283,P445_ENDING_PAYOUT_VALUE_DRAFT_ROWS
he_IL,rtl,title,460,460,0,0,226,0,414,415,204,88,P378_PAYLOAD_PRESERVE_QUARANTINE_RECEIVER_PROTOCOL
he_IL,rtl,scanner,460,460,0,0,396,0,414,414,4,187,P448_ECOLOGY_SCAN_PLACEMENT_BRIEF
he_IL,rtl,terminal,460,460,0,0,396,0,419,419,13,291,P190_FALSE_PUBLIC_REPORT_PACKET
he_IL,rtl,audio,460,460,0,0,396,0,414,414,0,174,P346_AEGIR_PRIMARY_LIGHT_AND_RADIATION
he_IL,rtl,in_game_wiki,460,460,0,0,395,0,414,414,0,417,P001_CRASH_SHELF
he_IL,rtl,external_site,460,460,0,0,395,0,414,414,0,480,P456_SITE_HOME_LONGFORM_BRIEF
he_IL,rtl,field_note,460,460,0,0,395,0,414,414,0,283,P445_ENDING_PAYOUT_VALUE_DRAFT_ROWS
pt_BR,ltr,title,460,460,0,0,226,0,0,0,212,88,P378_PAYLOAD_PRESERVE_QUARANTINE_RECEIVER_PROTOCOL
pt_BR,ltr,scanner,460,460,0,0,396,0,0,0,6,187,P448_ECOLOGY_SCAN_PLACEMENT_BRIEF
pt_BR,ltr,terminal,460,460,0,0,396,0,0,0,13,291,P190_FALSE_PUBLIC_REPORT_PACKET
pt_BR,ltr,audio,460,460,0,0,397,0,0,0,0,174,P346_AEGIR_PRIMARY_LIGHT_AND_RADIATION
pt_BR,ltr,in_game_wiki,460,460,0,0,396,0,0,0,0,564,P001_CRASH_SHELF
pt_BR,ltr,external_site,460,460,0,0,395,0,0,0,0,480,P456_SITE_HOME_LONGFORM_BRIEF
pt_BR,ltr,field_note,460,460,0,0,395,0,0,0,0,283,P445_ENDING_PAYOUT_VALUE_DRAFT_ROWS
nl_NL,ltr,title,460,460,0,0,226,0,0,0,204,88,P378_PAYLOAD_PRESERVE_QUARANTINE_RECEIVER_PROTOCOL
nl_NL,ltr,scanner,460,460,0,0,396,0,0,0,6,187,P448_ECOLOGY_SCAN_PLACEMENT_BRIEF
nl_NL,ltr,terminal,460,460,0,0,397,0,0,0,13,291,P190_FALSE_PUBLIC_REPORT_PACKET
nl_NL,ltr,audio,460,460,0,0,398,0,0,0,0,174,P346_AEGIR_PRIMARY_LIGHT_AND_RADIATION
nl_NL,ltr,in_game_wiki,460,460,0,0,395,0,0,0,0,531,P001_CRASH_SHELF
nl_NL,ltr,external_site,460,460,0,0,396,0,0,0,0,480,P456_SITE_HOME_LONGFORM_BRIEF
nl_NL,ltr,field_note,460,460,0,0,395,0,0,0,0,283,P445_ENDING_PAYOUT_VALUE_DRAFT_ROWS
