source_packet,target_packet,edge_type,shared_term,spoiler_relation,reason
P473,P497,TERMINOLOGY_SHARED,TERM_26,None,Logical connection
P477,P533,CONTRADICTS,TERM_33,None,Logical connection
P483,P449,CONTRADICTS,TERM_9,None,Logical connection
P470,P444,UNLOCKS_CONTEXT,TERM_71,None,Logical connection
P459,P532,EVIDENCE_PRECEDES,TERM_78,None,Logical connection
P446,P454,CONTRADICTS,TERM_56,None,Logical connection
P551,P461,PUBLIC_SITE_REUSES,TERM_55,None,Logical connection
P555,P533,LOCALIZATION_RISK_SHARED,TERM_70,None,Logical connection
P543,P509,UNLOCKS_CONTEXT,TERM_96,None,Logical connection
P467,P553,LOCALIZATION_RISK_SHARED,TERM_47,None,Logical connection
P458,P548,UNLOCKS_CONTEXT,TERM_54,None,Logical connection
P516,P503,SCANNER_TO_CODEX,TERM_75,None,Logical connection
P514,P534,FALSE_EXIT_VARIANT,TERM_84,None,Logical connection
P454,P546,UNLOCKS_CONTEXT,TERM_86,None,Logical connection
P511,P441,UNLOCKS_CONTEXT,TERM_31,None,Logical connection
P495,P534,LOCALIZATION_RISK_SHARED,TERM_57,None,Logical connection
P479,P524,CONTRADICTS,TERM_88,None,Logical connection
P463,P558,TERMINOLOGY_SHARED,TERM_80,None,Logical connection
P491,P467,LOCALIZATION_RISK_SHARED,TERM_87,None,Logical connection
P551,P499,LOCALIZATION_RISK_SHARED,TERM_60,None,Logical connection
P455,P516,LOCALIZATION_RISK_SHARED,TERM_20,None,Logical connection
P463,P504,LOCALIZATION_RISK_SHARED,TERM_68,None,Logical connection
P555,P500,UNLOCKS_CONTEXT,TERM_59,None,Logical connection
P443,P520,EVIDENCE_PRECEDES,TERM_41,None,Logical connection
P496,P467,UNLOCKS_CONTEXT,TERM_15,None,Logical connection
P488,P470,TERMINOLOGY_SHARED,TERM_21,None,Logical connection
P505,P547,EVIDENCE_PRECEDES,TERM_74,None,Logical connection
P529,P480,TERMINOLOGY_SHARED,TERM_44,None,Logical connection
P538,P501,EVIDENCE_PRECEDES,TERM_85,None,Logical connection
P459,P513,FALSE_EXIT_VARIANT,TERM_65,None,Logical connection
P510,P518,UNLOCKS_CONTEXT,TERM_33,None,Logical connection
P508,P515,SCANNER_TO_CODEX,TERM_66,None,Logical connection
P550,P553,SCANNER_TO_CODEX,TERM_95,None,Logical connection
P475,P500,TERMINOLOGY_SHARED,TERM_27,None,Logical connection
P510,P476,SCANNER_TO_CODEX,TERM_47,None,Logical connection
P478,P531,FALSE_EXIT_VARIANT,TERM_14,None,Logical connection
P480,P526,CONTRADICTS,TERM_37,None,Logical connection
P526,P441,PUBLIC_SITE_REUSES,TERM_49,None,Logical connection
P553,P458,SCANNER_TO_CODEX,TERM_62,None,Logical connection
P471,P535,EVIDENCE_PRECEDES,TERM_52,None,Logical connection
P509,P540,LOCALIZATION_RISK_SHARED,TERM_63,None,Logical connection
P526,P505,EVIDENCE_PRECEDES,TERM_26,None,Logical connection
P450,P448,EVIDENCE_PRECEDES,TERM_6,None,Logical connection
P489,P506,CONTRADICTS,TERM_67,None,Logical connection
P526,P499,EVIDENCE_PRECEDES,TERM_53,None,Logical connection
P492,P507,TERMINOLOGY_SHARED,TERM_48,None,Logical connection
P444,P489,UNLOCKS_CONTEXT,TERM_62,None,Logical connection
P471,P519,LOCALIZATION_RISK_SHARED,TERM_33,None,Logical connection
P544,P468,CONTRADICTS,TERM_10,None,Logical connection
P553,P513,LOCALIZATION_RISK_SHARED,TERM_60,None,Logical connection
P504,P555,CONTRADICTS,TERM_21,None,Logical connection
P490,P526,LOCALIZATION_RISK_SHARED,TERM_96,None,Logical connection
P465,P531,SCANNER_TO_CODEX,TERM_78,None,Logical connection
P470,P513,PUBLIC_SITE_REUSES,TERM_61,None,Logical connection
P502,P441,PUBLIC_SITE_REUSES,TERM_90,None,Logical connection
P498,P487,CONTRADICTS,TERM_87,None,Logical connection
P492,P533,EVIDENCE_PRECEDES,TERM_52,None,Logical connection
P467,P457,LOCALIZATION_RISK_SHARED,TERM_87,None,Logical connection
P449,P507,LOCALIZATION_RISK_SHARED,TERM_10,None,Logical connection
P476,P540,PUBLIC_SITE_REUSES,TERM_71,None,Logical connection
P460,P466,PUBLIC_SITE_REUSES,TERM_80,None,Logical connection
P482,P445,SCANNER_TO_CODEX,TERM_92,None,Logical connection
P544,P524,TERMINOLOGY_SHARED,TERM_27,None,Logical connection
P459,P511,EVIDENCE_PRECEDES,TERM_87,None,Logical connection
P523,P464,SCANNER_TO_CODEX,TERM_44,None,Logical connection
P549,P541,UNLOCKS_CONTEXT,TERM_50,None,Logical connection
P478,P523,SCANNER_TO_CODEX,TERM_91,None,Logical connection
P524,P447,PUBLIC_SITE_REUSES,TERM_72,None,Logical connection
P543,P479,CONTRADICTS,TERM_74,None,Logical connection
P498,P537,FALSE_EXIT_VARIANT,TERM_44,None,Logical connection
P499,P453,PUBLIC_SITE_REUSES,TERM_1,None,Logical connection
P445,P559,TERMINOLOGY_SHARED,TERM_92,None,Logical connection
P444,P476,FALSE_EXIT_VARIANT,TERM_93,None,Logical connection
P512,P461,FALSE_EXIT_VARIANT,TERM_18,None,Logical connection
P532,P525,FALSE_EXIT_VARIANT,TERM_28,None,Logical connection
P464,P534,EVIDENCE_PRECEDES,TERM_74,None,Logical connection
P543,P474,UNLOCKS_CONTEXT,TERM_8,None,Logical connection
P515,P442,LOCALIZATION_RISK_SHARED,TERM_49,None,Logical connection
P501,P475,LOCALIZATION_RISK_SHARED,TERM_49,None,Logical connection
P440,P441,SCANNER_TO_CODEX,TERM_5,None,Logical connection
P551,P512,PUBLIC_SITE_REUSES,TERM_51,None,Logical connection
P505,P442,PUBLIC_SITE_REUSES,TERM_68,None,Logical connection
P484,P490,TERMINOLOGY_SHARED,TERM_87,None,Logical connection
P558,P534,SCANNER_TO_CODEX,TERM_63,None,Logical connection
P456,P510,TERMINOLOGY_SHARED,TERM_33,None,Logical connection
P556,P510,LOCALIZATION_RISK_SHARED,TERM_17,None,Logical connection
P537,P514,PUBLIC_SITE_REUSES,TERM_97,None,Logical connection
P441,P551,EVIDENCE_PRECEDES,TERM_29,None,Logical connection
P497,P457,LOCALIZATION_RISK_SHARED,TERM_13,None,Logical connection
P488,P441,PUBLIC_SITE_REUSES,TERM_47,None,Logical connection
P444,P558,SCANNER_TO_CODEX,TERM_99,None,Logical connection
P538,P463,LOCALIZATION_RISK_SHARED,TERM_22,None,Logical connection
P559,P503,PUBLIC_SITE_REUSES,TERM_92,None,Logical connection
P554,P542,TERMINOLOGY_SHARED,TERM_87,None,Logical connection
P549,P495,TERMINOLOGY_SHARED,TERM_49,None,Logical connection
P481,P530,FALSE_EXIT_VARIANT,TERM_98,None,Logical connection
P501,P550,FALSE_EXIT_VARIANT,TERM_73,None,Logical connection
P512,P503,TERMINOLOGY_SHARED,TERM_96,None,Logical connection
P527,P445,SCANNER_TO_CODEX,TERM_93,None,Logical connection
P550,P510,TERMINOLOGY_SHARED,TERM_1,None,Logical connection
P459,P440,EVIDENCE_PRECEDES,TERM_8,None,Logical connection
P535,P538,TERMINOLOGY_SHARED,TERM_66,None,Logical connection
P527,P446,SCANNER_TO_CODEX,TERM_15,None,Logical connection
P452,P499,LOCALIZATION_RISK_SHARED,TERM_15,None,Logical connection
P510,P460,LOCALIZATION_RISK_SHARED,TERM_0,None,Logical connection
P479,P536,EVIDENCE_PRECEDES,TERM_60,None,Logical connection
P485,P531,EVIDENCE_PRECEDES,TERM_8,None,Logical connection
P473,P550,UNLOCKS_CONTEXT,TERM_91,None,Logical connection
P516,P535,SCANNER_TO_CODEX,TERM_43,None,Logical connection
P447,P479,EVIDENCE_PRECEDES,TERM_59,None,Logical connection
P502,P477,LOCALIZATION_RISK_SHARED,TERM_55,None,Logical connection
P469,P478,LOCALIZATION_RISK_SHARED,TERM_97,None,Logical connection
P456,P461,FALSE_EXIT_VARIANT,TERM_38,None,Logical connection
P486,P442,TERMINOLOGY_SHARED,TERM_42,None,Logical connection
P553,P446,SCANNER_TO_CODEX,TERM_67,None,Logical connection
P495,P544,SCANNER_TO_CODEX,TERM_31,None,Logical connection
P541,P468,EVIDENCE_PRECEDES,TERM_95,None,Logical connection
P442,P501,EVIDENCE_PRECEDES,TERM_50,None,Logical connection
P472,P543,PUBLIC_SITE_REUSES,TERM_63,None,Logical connection
P490,P443,TERMINOLOGY_SHARED,TERM_23,None,Logical connection
P550,P559,UNLOCKS_CONTEXT,TERM_46,None,Logical connection
P472,P517,EVIDENCE_PRECEDES,TERM_55,None,Logical connection
P470,P498,SCANNER_TO_CODEX,TERM_58,None,Logical connection
P467,P494,CONTRADICTS,TERM_20,None,Logical connection
P495,P471,PUBLIC_SITE_REUSES,TERM_62,None,Logical connection
P500,P466,SCANNER_TO_CODEX,TERM_40,None,Logical connection
P503,P541,EVIDENCE_PRECEDES,TERM_77,None,Logical connection
P462,P440,UNLOCKS_CONTEXT,TERM_3,None,Logical connection
P556,P510,EVIDENCE_PRECEDES,TERM_48,None,Logical connection
P441,P516,CONTRADICTS,TERM_23,None,Logical connection
P445,P488,TERMINOLOGY_SHARED,TERM_91,None,Logical connection
P535,P557,UNLOCKS_CONTEXT,TERM_100,None,Logical connection
P452,P507,TERMINOLOGY_SHARED,TERM_78,None,Logical connection
P515,P508,TERMINOLOGY_SHARED,TERM_71,None,Logical connection
P489,P538,PUBLIC_SITE_REUSES,TERM_34,None,Logical connection
P541,P512,UNLOCKS_CONTEXT,TERM_16,None,Logical connection
P502,P457,CONTRADICTS,TERM_61,None,Logical connection
P526,P534,PUBLIC_SITE_REUSES,TERM_39,None,Logical connection
P534,P479,SCANNER_TO_CODEX,TERM_61,None,Logical connection
P453,P456,LOCALIZATION_RISK_SHARED,TERM_2,None,Logical connection
P463,P466,LOCALIZATION_RISK_SHARED,TERM_28,None,Logical connection
P546,P539,CONTRADICTS,TERM_82,None,Logical connection
P555,P559,SCANNER_TO_CODEX,TERM_76,None,Logical connection
P525,P454,LOCALIZATION_RISK_SHARED,TERM_38,None,Logical connection
P444,P498,EVIDENCE_PRECEDES,TERM_25,None,Logical connection
P506,P550,SCANNER_TO_CODEX,TERM_91,None,Logical connection
P491,P470,FALSE_EXIT_VARIANT,TERM_11,None,Logical connection
P446,P542,SCANNER_TO_CODEX,TERM_66,None,Logical connection
P486,P482,PUBLIC_SITE_REUSES,TERM_98,None,Logical connection
P492,P463,LOCALIZATION_RISK_SHARED,TERM_20,None,Logical connection
P543,P536,SCANNER_TO_CODEX,TERM_9,None,Logical connection
P535,P539,TERMINOLOGY_SHARED,TERM_78,None,Logical connection
P473,P484,TERMINOLOGY_SHARED,TERM_94,None,Logical connection
P526,P453,UNLOCKS_CONTEXT,TERM_20,None,Logical connection
P471,P559,SCANNER_TO_CODEX,TERM_96,None,Logical connection
P453,P481,CONTRADICTS,TERM_80,None,Logical connection
P461,P497,UNLOCKS_CONTEXT,TERM_52,None,Logical connection
P555,P510,FALSE_EXIT_VARIANT,TERM_6,None,Logical connection
P519,P490,SCANNER_TO_CODEX,TERM_70,None,Logical connection
P502,P516,FALSE_EXIT_VARIANT,TERM_21,None,Logical connection
P505,P526,TERMINOLOGY_SHARED,TERM_8,None,Logical connection
P509,P493,UNLOCKS_CONTEXT,TERM_22,None,Logical connection
P497,P538,PUBLIC_SITE_REUSES,TERM_81,None,Logical connection
P440,P493,SCANNER_TO_CODEX,TERM_19,None,Logical connection
P473,P498,TERMINOLOGY_SHARED,TERM_33,None,Logical connection
P555,P494,PUBLIC_SITE_REUSES,TERM_8,None,Logical connection
P500,P497,PUBLIC_SITE_REUSES,TERM_62,None,Logical connection
P501,P496,UNLOCKS_CONTEXT,TERM_56,None,Logical connection
P519,P454,SCANNER_TO_CODEX,TERM_4,None,Logical connection
P501,P454,PUBLIC_SITE_REUSES,TERM_50,None,Logical connection
P510,P552,LOCALIZATION_RISK_SHARED,TERM_37,None,Logical connection
P480,P445,LOCALIZATION_RISK_SHARED,TERM_89,None,Logical connection
P549,P513,TERMINOLOGY_SHARED,TERM_59,None,Logical connection
P543,P475,CONTRADICTS,TERM_10,None,Logical connection
P538,P527,SCANNER_TO_CODEX,TERM_45,None,Logical connection
P536,P506,FALSE_EXIT_VARIANT,TERM_40,None,Logical connection
P556,P550,EVIDENCE_PRECEDES,TERM_14,None,Logical connection
P442,P492,FALSE_EXIT_VARIANT,TERM_44,None,Logical connection
P479,P520,LOCALIZATION_RISK_SHARED,TERM_64,None,Logical connection
P445,P477,FALSE_EXIT_VARIANT,TERM_89,None,Logical connection
P489,P547,LOCALIZATION_RISK_SHARED,TERM_81,None,Logical connection
P509,P453,LOCALIZATION_RISK_SHARED,TERM_14,None,Logical connection
P530,P447,FALSE_EXIT_VARIANT,TERM_98,None,Logical connection
P482,P530,SCANNER_TO_CODEX,TERM_74,None,Logical connection
P492,P502,EVIDENCE_PRECEDES,TERM_29,None,Logical connection
P440,P497,TERMINOLOGY_SHARED,TERM_38,None,Logical connection
P535,P441,FALSE_EXIT_VARIANT,TERM_8,None,Logical connection
P461,P509,TERMINOLOGY_SHARED,TERM_43,None,Logical connection
P481,P464,LOCALIZATION_RISK_SHARED,TERM_100,None,Logical connection
P509,P531,PUBLIC_SITE_REUSES,TERM_86,None,Logical connection
P558,P518,TERMINOLOGY_SHARED,TERM_72,None,Logical connection
P492,P502,TERMINOLOGY_SHARED,TERM_89,None,Logical connection
P514,P539,FALSE_EXIT_VARIANT,TERM_53,None,Logical connection
P450,P512,SCANNER_TO_CODEX,TERM_54,None,Logical connection
P535,P521,PUBLIC_SITE_REUSES,TERM_55,None,Logical connection
P501,P527,SCANNER_TO_CODEX,TERM_19,None,Logical connection
P550,P496,FALSE_EXIT_VARIANT,TERM_63,None,Logical connection
P494,P469,FALSE_EXIT_VARIANT,TERM_69,None,Logical connection
P517,P483,SCANNER_TO_CODEX,TERM_77,None,Logical connection
P451,P524,CONTRADICTS,TERM_80,None,Logical connection
P535,P556,TERMINOLOGY_SHARED,TERM_97,None,Logical connection
P488,P457,LOCALIZATION_RISK_SHARED,TERM_99,None,Logical connection
P458,P465,UNLOCKS_CONTEXT,TERM_49,None,Logical connection
P448,P490,FALSE_EXIT_VARIANT,TERM_48,None,Logical connection
P534,P453,EVIDENCE_PRECEDES,TERM_46,None,Logical connection
P503,P522,TERMINOLOGY_SHARED,TERM_29,None,Logical connection
P525,P530,PUBLIC_SITE_REUSES,TERM_82,None,Logical connection
P476,P485,EVIDENCE_PRECEDES,TERM_58,None,Logical connection
P558,P489,UNLOCKS_CONTEXT,TERM_92,None,Logical connection
P558,P451,TERMINOLOGY_SHARED,TERM_2,None,Logical connection
P456,P471,TERMINOLOGY_SHARED,TERM_30,None,Logical connection
P530,P455,PUBLIC_SITE_REUSES,TERM_93,None,Logical connection
P490,P489,CONTRADICTS,TERM_51,None,Logical connection
P532,P558,PUBLIC_SITE_REUSES,TERM_47,None,Logical connection
P536,P542,LOCALIZATION_RISK_SHARED,TERM_16,None,Logical connection
P515,P557,SCANNER_TO_CODEX,TERM_58,None,Logical connection
P492,P527,SCANNER_TO_CODEX,TERM_52,None,Logical connection
P478,P531,UNLOCKS_CONTEXT,TERM_45,None,Logical connection
P531,P551,CONTRADICTS,TERM_100,None,Logical connection
P534,P491,UNLOCKS_CONTEXT,TERM_72,None,Logical connection
P519,P535,EVIDENCE_PRECEDES,TERM_45,None,Logical connection
P468,P453,EVIDENCE_PRECEDES,TERM_65,None,Logical connection
P501,P553,PUBLIC_SITE_REUSES,TERM_11,None,Logical connection
P534,P501,SCANNER_TO_CODEX,TERM_41,None,Logical connection
P559,P495,LOCALIZATION_RISK_SHARED,TERM_7,None,Logical connection
P538,P510,FALSE_EXIT_VARIANT,TERM_28,None,Logical connection
P499,P535,PUBLIC_SITE_REUSES,TERM_40,None,Logical connection
P541,P514,PUBLIC_SITE_REUSES,TERM_30,None,Logical connection
P503,P447,TERMINOLOGY_SHARED,TERM_96,None,Logical connection
P512,P546,CONTRADICTS,TERM_76,None,Logical connection
P484,P505,CONTRADICTS,TERM_7,None,Logical connection
P464,P503,FALSE_EXIT_VARIANT,TERM_16,None,Logical connection
P470,P440,EVIDENCE_PRECEDES,TERM_5,None,Logical connection
P536,P531,TERMINOLOGY_SHARED,TERM_12,None,Logical connection
P550,P538,PUBLIC_SITE_REUSES,TERM_58,None,Logical connection
P486,P481,CONTRADICTS,TERM_73,None,Logical connection
P559,P498,TERMINOLOGY_SHARED,TERM_85,None,Logical connection
P544,P513,PUBLIC_SITE_REUSES,TERM_47,None,Logical connection
P464,P546,EVIDENCE_PRECEDES,TERM_35,None,Logical connection
P442,P548,TERMINOLOGY_SHARED,TERM_74,None,Logical connection
P470,P507,EVIDENCE_PRECEDES,TERM_51,None,Logical connection
P549,P548,TERMINOLOGY_SHARED,TERM_22,None,Logical connection
P557,P524,EVIDENCE_PRECEDES,TERM_77,None,Logical connection
P499,P529,CONTRADICTS,TERM_33,None,Logical connection
P493,P441,EVIDENCE_PRECEDES,TERM_5,None,Logical connection
P458,P488,CONTRADICTS,TERM_65,None,Logical connection
P555,P530,CONTRADICTS,TERM_89,None,Logical connection
P537,P522,CONTRADICTS,TERM_75,None,Logical connection
P557,P553,PUBLIC_SITE_REUSES,TERM_70,None,Logical connection
P477,P510,PUBLIC_SITE_REUSES,TERM_39,None,Logical connection
P487,P486,FALSE_EXIT_VARIANT,TERM_12,None,Logical connection
P457,P509,EVIDENCE_PRECEDES,TERM_77,None,Logical connection
P526,P534,PUBLIC_SITE_REUSES,TERM_24,None,Logical connection
P530,P523,TERMINOLOGY_SHARED,TERM_11,None,Logical connection
P534,P444,PUBLIC_SITE_REUSES,TERM_48,None,Logical connection
P456,P496,TERMINOLOGY_SHARED,TERM_58,None,Logical connection
P495,P531,PUBLIC_SITE_REUSES,TERM_33,None,Logical connection
P541,P505,FALSE_EXIT_VARIANT,TERM_82,None,Logical connection
P453,P474,TERMINOLOGY_SHARED,TERM_82,None,Logical connection
P478,P506,CONTRADICTS,TERM_33,None,Logical connection
P490,P515,UNLOCKS_CONTEXT,TERM_100,None,Logical connection
P503,P472,EVIDENCE_PRECEDES,TERM_25,None,Logical connection
P484,P556,SCANNER_TO_CODEX,TERM_2,None,Logical connection
P517,P547,SCANNER_TO_CODEX,TERM_76,None,Logical connection
P539,P507,CONTRADICTS,TERM_82,None,Logical connection
P497,P516,SCANNER_TO_CODEX,TERM_42,None,Logical connection
P488,P456,CONTRADICTS,TERM_74,None,Logical connection
P492,P517,TERMINOLOGY_SHARED,TERM_57,None,Logical connection
P558,P454,EVIDENCE_PRECEDES,TERM_44,None,Logical connection
P440,P492,TERMINOLOGY_SHARED,TERM_76,None,Logical connection
P555,P441,TERMINOLOGY_SHARED,TERM_75,None,Logical connection
P539,P458,LOCALIZATION_RISK_SHARED,TERM_35,None,Logical connection
P518,P552,TERMINOLOGY_SHARED,TERM_94,None,Logical connection
P534,P440,EVIDENCE_PRECEDES,TERM_32,None,Logical connection
P512,P514,CONTRADICTS,TERM_56,None,Logical connection
P541,P548,PUBLIC_SITE_REUSES,TERM_69,None,Logical connection
P499,P452,LOCALIZATION_RISK_SHARED,TERM_16,None,Logical connection
P451,P481,EVIDENCE_PRECEDES,TERM_76,None,Logical connection
P509,P457,UNLOCKS_CONTEXT,TERM_83,None,Logical connection
P463,P447,EVIDENCE_PRECEDES,TERM_20,None,Logical connection
P498,P490,CONTRADICTS,TERM_49,None,Logical connection
P480,P539,LOCALIZATION_RISK_SHARED,TERM_31,None,Logical connection
P448,P468,UNLOCKS_CONTEXT,TERM_34,None,Logical connection
P484,P469,LOCALIZATION_RISK_SHARED,TERM_21,None,Logical connection
P474,P552,LOCALIZATION_RISK_SHARED,TERM_28,None,Logical connection
P487,P518,EVIDENCE_PRECEDES,TERM_35,None,Logical connection
P484,P461,TERMINOLOGY_SHARED,TERM_67,None,Logical connection
P470,P547,SCANNER_TO_CODEX,TERM_30,None,Logical connection
P470,P515,LOCALIZATION_RISK_SHARED,TERM_71,None,Logical connection
P533,P459,FALSE_EXIT_VARIANT,TERM_60,None,Logical connection
P533,P441,CONTRADICTS,TERM_2,None,Logical connection
P473,P523,LOCALIZATION_RISK_SHARED,TERM_44,None,Logical connection
P484,P532,LOCALIZATION_RISK_SHARED,TERM_66,None,Logical connection
P460,P512,LOCALIZATION_RISK_SHARED,TERM_95,None,Logical connection
P460,P448,CONTRADICTS,TERM_65,None,Logical connection
P527,P449,UNLOCKS_CONTEXT,TERM_70,None,Logical connection
P464,P517,UNLOCKS_CONTEXT,TERM_53,None,Logical connection
P522,P467,TERMINOLOGY_SHARED,TERM_88,None,Logical connection
P513,P470,CONTRADICTS,TERM_46,None,Logical connection
P545,P454,SCANNER_TO_CODEX,TERM_43,None,Logical connection
P472,P538,CONTRADICTS,TERM_71,None,Logical connection
P488,P550,FALSE_EXIT_VARIANT,TERM_86,None,Logical connection
P450,P527,LOCALIZATION_RISK_SHARED,TERM_39,None,Logical connection
P469,P483,UNLOCKS_CONTEXT,TERM_33,None,Logical connection
P499,P479,EVIDENCE_PRECEDES,TERM_21,None,Logical connection
P535,P467,EVIDENCE_PRECEDES,TERM_6,None,Logical connection
P476,P487,EVIDENCE_PRECEDES,TERM_45,None,Logical connection
P530,P518,EVIDENCE_PRECEDES,TERM_64,None,Logical connection
P474,P476,LOCALIZATION_RISK_SHARED,TERM_21,None,Logical connection
P546,P489,PUBLIC_SITE_REUSES,TERM_81,None,Logical connection
P538,P492,EVIDENCE_PRECEDES,TERM_5,None,Logical connection
P441,P547,FALSE_EXIT_VARIANT,TERM_18,None,Logical connection
P480,P456,TERMINOLOGY_SHARED,TERM_62,None,Logical connection
P529,P454,EVIDENCE_PRECEDES,TERM_50,None,Logical connection
P469,P490,LOCALIZATION_RISK_SHARED,TERM_47,None,Logical connection
P550,P456,LOCALIZATION_RISK_SHARED,TERM_44,None,Logical connection
P506,P525,UNLOCKS_CONTEXT,TERM_80,None,Logical connection
P467,P548,TERMINOLOGY_SHARED,TERM_46,None,Logical connection
P454,P541,TERMINOLOGY_SHARED,TERM_53,None,Logical connection
P519,P470,PUBLIC_SITE_REUSES,TERM_28,None,Logical connection
P512,P495,SCANNER_TO_CODEX,TERM_6,None,Logical connection
P523,P501,EVIDENCE_PRECEDES,TERM_58,None,Logical connection
P499,P453,SCANNER_TO_CODEX,TERM_24,None,Logical connection
P512,P548,UNLOCKS_CONTEXT,TERM_16,None,Logical connection
P553,P472,UNLOCKS_CONTEXT,TERM_83,None,Logical connection
P455,P543,PUBLIC_SITE_REUSES,TERM_21,None,Logical connection
P489,P523,EVIDENCE_PRECEDES,TERM_86,None,Logical connection
P548,P461,UNLOCKS_CONTEXT,TERM_100,None,Logical connection
P558,P470,CONTRADICTS,TERM_63,None,Logical connection
P445,P445,UNLOCKS_CONTEXT,TERM_14,None,Logical connection
P538,P513,SCANNER_TO_CODEX,TERM_54,None,Logical connection
P504,P545,TERMINOLOGY_SHARED,TERM_84,None,Logical connection
P526,P473,SCANNER_TO_CODEX,TERM_27,None,Logical connection
P513,P543,PUBLIC_SITE_REUSES,TERM_65,None,Logical connection
P556,P516,EVIDENCE_PRECEDES,TERM_3,None,Logical connection
P469,P506,CONTRADICTS,TERM_71,None,Logical connection
P472,P477,LOCALIZATION_RISK_SHARED,TERM_44,None,Logical connection
P498,P454,LOCALIZATION_RISK_SHARED,TERM_47,None,Logical connection
P462,P468,EVIDENCE_PRECEDES,TERM_26,None,Logical connection
P468,P467,LOCALIZATION_RISK_SHARED,TERM_64,None,Logical connection
P492,P542,CONTRADICTS,TERM_24,None,Logical connection
P473,P517,CONTRADICTS,TERM_73,None,Logical connection
P513,P553,LOCALIZATION_RISK_SHARED,TERM_27,None,Logical connection
P510,P505,UNLOCKS_CONTEXT,TERM_55,None,Logical connection
P530,P484,UNLOCKS_CONTEXT,TERM_55,None,Logical connection
P554,P495,TERMINOLOGY_SHARED,TERM_16,None,Logical connection
P507,P559,TERMINOLOGY_SHARED,TERM_34,None,Logical connection
P514,P476,FALSE_EXIT_VARIANT,TERM_83,None,Logical connection
P465,P448,SCANNER_TO_CODEX,TERM_72,None,Logical connection
P476,P444,SCANNER_TO_CODEX,TERM_19,None,Logical connection
P538,P454,UNLOCKS_CONTEXT,TERM_10,None,Logical connection
P486,P497,FALSE_EXIT_VARIANT,TERM_90,None,Logical connection
P527,P549,SCANNER_TO_CODEX,TERM_2,None,Logical connection
P489,P500,TERMINOLOGY_SHARED,TERM_42,None,Logical connection
P518,P514,UNLOCKS_CONTEXT,TERM_46,None,Logical connection
P486,P486,EVIDENCE_PRECEDES,TERM_36,None,Logical connection
P503,P554,UNLOCKS_CONTEXT,TERM_51,None,Logical connection
P495,P455,LOCALIZATION_RISK_SHARED,TERM_74,None,Logical connection
P463,P461,LOCALIZATION_RISK_SHARED,TERM_49,None,Logical connection
P537,P524,TERMINOLOGY_SHARED,TERM_82,None,Logical connection
P509,P556,SCANNER_TO_CODEX,TERM_83,None,Logical connection
P513,P486,UNLOCKS_CONTEXT,TERM_56,None,Logical connection
P476,P559,PUBLIC_SITE_REUSES,TERM_66,None,Logical connection
P497,P524,SCANNER_TO_CODEX,TERM_61,None,Logical connection
P550,P531,FALSE_EXIT_VARIANT,TERM_64,None,Logical connection
P459,P452,UNLOCKS_CONTEXT,TERM_83,None,Logical connection
P492,P457,EVIDENCE_PRECEDES,TERM_13,None,Logical connection
P486,P453,FALSE_EXIT_VARIANT,TERM_2,None,Logical connection
