release_set,packet_id,route_moment,first_20_relevance,evidence_object,unlock_condition,spoiler_level,surfaces,player_decision_changed,canon_sources,localization_risk,implementation_note
RS111,P420_SERVICE_CANYON_CUT_PANEL,Deep Descent Trigger,low,Damaged console related to Service Canyon Cut Panel,Player encounters service canyon cut panel sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS111,P421_BRINE_CANYON_DENSITY_LADDER,Deep Descent Trigger,low,Damaged console related to Brine Canyon Density Ladder,Player encounters brine canyon density ladder sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS111,P422_VENT_FORGE_THERMAL_LEDGER,Deep Descent Trigger,low,Damaged console related to Vent Forge Thermal Ledger,Player encounters vent forge thermal ledger sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS111,P423_RELAY_SPINE_ACOUSTIC_DRIFT,Deep Descent Trigger,low,Damaged console related to Relay Spine Acoustic Drift,Player encounters relay spine acoustic drift sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS111,P424_DEEP_REACH_LIABILITY_HOLD,Deep Descent Trigger,low,Damaged console related to Deep Reach Liability Hold,Player encounters deep reach liability hold sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS111,P425_ATLAS_WEIGHTING_AUDIT,Deep Descent Trigger,low,Damaged console related to Atlas Weighting Audit,Player encounters atlas weighting audit sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS111,P426_WORKER_QUEUE_DELAY_BODYLESS,Deep Descent Trigger,low,Damaged console related to Worker Queue Delay (Bodyless),Player encounters worker queue delay (bodyless) sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS111,P427_BLACKOUT_WINDOW_SIGNAL_DECAY,Deep Descent Trigger,low,Damaged console related to Blackout Window Signal Decay,Player encounters blackout window signal decay sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS111,P428_QUARANTINE_RELEASE_DELAY,Deep Descent Trigger,low,Damaged console related to Quarantine Release Delay,Player encounters quarantine release delay sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS111,P429_SENSOR_TAGGED_FAUNA_FEEDBACK,Deep Descent Trigger,low,Damaged console related to Sensor-Tagged Fauna Feedback,Player encounters sensor-tagged fauna feedback sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS112,P430_MATERIAL_PAYOUT_RECEIPT,Deep Descent Trigger,low,Damaged console related to Material Payout Receipt,Player encounters material payout receipt sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS112,P431_PARTIAL_RETURN_LIEN_EXTENSION,Deep Descent Trigger,low,Damaged console related to Partial Return: Lien Extension,Player encounters partial return: lien extension sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS112,P432_CORPORATE_COORDINATE_CAPTURE,Deep Descent Trigger,low,Damaged console related to Corporate Coordinate Capture,Player encounters corporate coordinate capture sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS112,P433_QUARANTINE_HOLD_INTERROGATION,Deep Descent Trigger,low,Damaged console related to Quarantine Hold Interrogation,Player encounters quarantine hold interrogation sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS112,P434_PUBLIC_LEDGER_LEAK,Deep Descent Trigger,low,Damaged console related to Public Ledger Leak,Player encounters public ledger leak sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS112,P435_ATLAS_SEVERANCE_RECORD,Deep Descent Trigger,low,Damaged console related to Atlas Severance Record,Player encounters atlas severance record sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS112,P436_PRESERVE_QUARANTINE_RECORD,Deep Descent Trigger,low,Damaged console related to Preserve Quarantine Record,Player encounters preserve quarantine record sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS112,P437_PAYLOAD_WITHHOLD_BLIND_RETURN,Deep Descent Trigger,low,Damaged console related to Payload Withhold / Blind Return,Player encounters payload withhold / blind return sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS112,P438_NO_CLEAN_ENDING_DOSSIER,Deep Descent Trigger,low,Damaged console related to No Clean Ending Dossier,Player encounters no clean ending dossier sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS112,P439_FINAL_QUESTION_SEVERANCE_MERCY_THEFT,Deep Descent Trigger,low,Damaged console related to Final Severance Mercy Theft,Player encounters final severance mercy theft sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
