source_packet,target_packet,edge_type,shared_term,spoiler_relation,reason
P438_NO_CLEAN_ENDING_DOSSIER,P428_QUARANTINE_RELEASE_DELAY,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P425_ATLAS_WEIGHTING_AUDIT,P412_SHALLOW_ANNEX_P63_FIRST_PUMP,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P422_VENT_FORGE_THERMAL_LEDGER,P427_BLACKOUT_WINDOW_SIGNAL_DECAY,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P418_BARNARD_YARDS_PROCEDURE_TRACE,P425_ATLAS_WEIGHTING_AUDIT,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P435_ATLAS_SEVERANCE_RECORD,P420_SERVICE_CANYON_CUT_PANEL,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P420_SERVICE_CANYON_CUT_PANEL,P436_PRESERVE_QUARANTINE_RECORD,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P431_PARTIAL_RETURN_LIEN_EXTENSION,P421_BRINE_CANYON_DENSITY_LADDER,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P430_MATERIAL_PAYOUT_RECEIPT,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P414_OXYGEN_RESERVE_DIRTY_MARGIN,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P418_BARNARD_YARDS_PROCEDURE_TRACE,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P417_MARAUDER_RECOVERY_NOTE_01,P419_BLUE_DEBT_SAMPLE_BAG_WARNING,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P437_PAYLOAD_WITHHOLD_BLIND_RETURN,P423_RELAY_SPINE_ACOUSTIC_DRIFT,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P413_PRESSURE_DOOR_MANUAL_BYPASS,P421_BRINE_CANYON_DENSITY_LADDER,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P439_FINAL_QUESTION_SEVERANCE_MERCY_THEFT,P427_BLACKOUT_WINDOW_SIGNAL_DECAY,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P432_CORPORATE_COORDINATE_CAPTURE,P435_ATLAS_SEVERANCE_RECORD,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P423_RELAY_SPINE_ACOUSTIC_DRIFT,P412_SHALLOW_ANNEX_P63_FIRST_PUMP,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P427_BLACKOUT_WINDOW_SIGNAL_DECAY,P432_CORPORATE_COORDINATE_CAPTURE,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P430_MATERIAL_PAYOUT_RECEIPT,P420_SERVICE_CANYON_CUT_PANEL,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P426_WORKER_QUEUE_DELAY_BODYLESS,P437_PAYLOAD_WITHHOLD_BLIND_RETURN,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P435_ATLAS_SEVERANCE_RECORD,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P439_FINAL_QUESTION_SEVERANCE_MERCY_THEFT,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P436_PRESERVE_QUARANTINE_RECORD,P419_BLUE_DEBT_SAMPLE_BAG_WARNING,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P417_MARAUDER_RECOVERY_NOTE_01,P425_ATLAS_WEIGHTING_AUDIT,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P419_BLUE_DEBT_SAMPLE_BAG_WARNING,P417_MARAUDER_RECOVERY_NOTE_01,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P429_SENSOR_TAGGED_FAUNA_FEEDBACK,P434_PUBLIC_LEDGER_LEAK,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P413_PRESSURE_DOOR_MANUAL_BYPASS,P416_ROUTE_BEACON_SALT_CORROSION,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P421_BRINE_CANYON_DENSITY_LADDER,P438_NO_CLEAN_ENDING_DOSSIER,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P425_ATLAS_WEIGHTING_AUDIT,P432_CORPORATE_COORDINATE_CAPTURE,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P431_PARTIAL_RETURN_LIEN_EXTENSION,P428_QUARANTINE_RELEASE_DELAY,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P436_PRESERVE_QUARANTINE_RECORD,P421_BRINE_CANYON_DENSITY_LADDER,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P420_SERVICE_CANYON_CUT_PANEL,P416_ROUTE_BEACON_SALT_CORROSION,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P435_ATLAS_SEVERANCE_RECORD,P438_NO_CLEAN_ENDING_DOSSIER,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P422_VENT_FORGE_THERMAL_LEDGER,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P430_MATERIAL_PAYOUT_RECEIPT,P419_BLUE_DEBT_SAMPLE_BAG_WARNING,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P435_ATLAS_SEVERANCE_RECORD,P421_BRINE_CANYON_DENSITY_LADDER,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P437_PAYLOAD_WITHHOLD_BLIND_RETURN,P423_RELAY_SPINE_ACOUSTIC_DRIFT,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P417_MARAUDER_RECOVERY_NOTE_01,P429_SENSOR_TAGGED_FAUNA_FEEDBACK,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P430_MATERIAL_PAYOUT_RECEIPT,P410_CAPSULE_SEAL_SWEAT,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P435_ATLAS_SEVERANCE_RECORD,P423_RELAY_SPINE_ACOUSTIC_DRIFT,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P427_BLACKOUT_WINDOW_SIGNAL_DECAY,P412_SHALLOW_ANNEX_P63_FIRST_PUMP,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P410_CAPSULE_SEAL_SWEAT,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P425_ATLAS_WEIGHTING_AUDIT,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P417_MARAUDER_RECOVERY_NOTE_01,P412_SHALLOW_ANNEX_P63_FIRST_PUMP,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P434_PUBLIC_LEDGER_LEAK,P425_ATLAS_WEIGHTING_AUDIT,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P420_SERVICE_CANYON_CUT_PANEL,P428_QUARANTINE_RELEASE_DELAY,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P416_ROUTE_BEACON_SALT_CORROSION,P428_QUARANTINE_RELEASE_DELAY,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P437_PAYLOAD_WITHHOLD_BLIND_RETURN,P428_QUARANTINE_RELEASE_DELAY,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P430_MATERIAL_PAYOUT_RECEIPT,P414_OXYGEN_RESERVE_DIRTY_MARGIN,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P416_ROUTE_BEACON_SALT_CORROSION,P423_RELAY_SPINE_ACOUSTIC_DRIFT,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P417_MARAUDER_RECOVERY_NOTE_01,P430_MATERIAL_PAYOUT_RECEIPT,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P413_PRESSURE_DOOR_MANUAL_BYPASS,P421_BRINE_CANYON_DENSITY_LADDER,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P413_PRESSURE_DOOR_MANUAL_BYPASS,P414_OXYGEN_RESERVE_DIRTY_MARGIN,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P417_MARAUDER_RECOVERY_NOTE_01,P416_ROUTE_BEACON_SALT_CORROSION,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P436_PRESERVE_QUARANTINE_RECORD,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P428_QUARANTINE_RELEASE_DELAY,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P417_MARAUDER_RECOVERY_NOTE_01,P426_WORKER_QUEUE_DELAY_BODYLESS,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P412_SHALLOW_ANNEX_P63_FIRST_PUMP,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P438_NO_CLEAN_ENDING_DOSSIER,P425_ATLAS_WEIGHTING_AUDIT,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P417_MARAUDER_RECOVERY_NOTE_01,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P434_PUBLIC_LEDGER_LEAK,P421_BRINE_CANYON_DENSITY_LADDER,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P433_QUARANTINE_HOLD_INTERROGATION,P426_WORKER_QUEUE_DELAY_BODYLESS,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P420_SERVICE_CANYON_CUT_PANEL,P412_SHALLOW_ANNEX_P63_FIRST_PUMP,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P427_BLACKOUT_WINDOW_SIGNAL_DECAY,P434_PUBLIC_LEDGER_LEAK,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P417_MARAUDER_RECOVERY_NOTE_01,P421_BRINE_CANYON_DENSITY_LADDER,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P421_BRINE_CANYON_DENSITY_LADDER,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P430_MATERIAL_PAYOUT_RECEIPT,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P420_SERVICE_CANYON_CUT_PANEL,P425_ATLAS_WEIGHTING_AUDIT,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P434_PUBLIC_LEDGER_LEAK,P433_QUARANTINE_HOLD_INTERROGATION,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P410_CAPSULE_SEAL_SWEAT,P432_CORPORATE_COORDINATE_CAPTURE,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P427_BLACKOUT_WINDOW_SIGNAL_DECAY,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P434_PUBLIC_LEDGER_LEAK,P420_SERVICE_CANYON_CUT_PANEL,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P417_MARAUDER_RECOVERY_NOTE_01,P435_ATLAS_SEVERANCE_RECORD,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P433_QUARANTINE_HOLD_INTERROGATION,P439_FINAL_QUESTION_SEVERANCE_MERCY_THEFT,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P417_MARAUDER_RECOVERY_NOTE_01,P422_VENT_FORGE_THERMAL_LEDGER,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P420_SERVICE_CANYON_CUT_PANEL,P437_PAYLOAD_WITHHOLD_BLIND_RETURN,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P410_CAPSULE_SEAL_SWEAT,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P431_PARTIAL_RETURN_LIEN_EXTENSION,P418_BARNARD_YARDS_PROCEDURE_TRACE,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P427_BLACKOUT_WINDOW_SIGNAL_DECAY,P428_QUARANTINE_RELEASE_DELAY,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P420_SERVICE_CANYON_CUT_PANEL,P433_QUARANTINE_HOLD_INTERROGATION,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P424_DEEP_REACH_LIABILITY_HOLD,P429_SENSOR_TAGGED_FAUNA_FEEDBACK,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P428_QUARANTINE_RELEASE_DELAY,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P420_SERVICE_CANYON_CUT_PANEL,P430_MATERIAL_PAYOUT_RECEIPT,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P420_SERVICE_CANYON_CUT_PANEL,P424_DEEP_REACH_LIABILITY_HOLD,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P427_BLACKOUT_WINDOW_SIGNAL_DECAY,P410_CAPSULE_SEAL_SWEAT,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P413_PRESSURE_DOOR_MANUAL_BYPASS,P423_RELAY_SPINE_ACOUSTIC_DRIFT,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P431_PARTIAL_RETURN_LIEN_EXTENSION,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P422_VENT_FORGE_THERMAL_LEDGER,P435_ATLAS_SEVERANCE_RECORD,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P432_CORPORATE_COORDINATE_CAPTURE,P429_SENSOR_TAGGED_FAUNA_FEEDBACK,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P420_SERVICE_CANYON_CUT_PANEL,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P436_PRESERVE_QUARANTINE_RECORD,P422_VENT_FORGE_THERMAL_LEDGER,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P425_ATLAS_WEIGHTING_AUDIT,P423_RELAY_SPINE_ACOUSTIC_DRIFT,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P430_MATERIAL_PAYOUT_RECEIPT,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P414_OXYGEN_RESERVE_DIRTY_MARGIN,P438_NO_CLEAN_ENDING_DOSSIER,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P424_DEEP_REACH_LIABILITY_HOLD,P426_WORKER_QUEUE_DELAY_BODYLESS,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P419_BLUE_DEBT_SAMPLE_BAG_WARNING,P423_RELAY_SPINE_ACOUSTIC_DRIFT,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P420_SERVICE_CANYON_CUT_PANEL,P410_CAPSULE_SEAL_SWEAT,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P416_ROUTE_BEACON_SALT_CORROSION,P410_CAPSULE_SEAL_SWEAT,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P427_BLACKOUT_WINDOW_SIGNAL_DECAY,P436_PRESERVE_QUARANTINE_RECORD,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P434_PUBLIC_LEDGER_LEAK,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P432_CORPORATE_COORDINATE_CAPTURE,P433_QUARANTINE_HOLD_INTERROGATION,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P435_ATLAS_SEVERANCE_RECORD,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P416_ROUTE_BEACON_SALT_CORROSION,P434_PUBLIC_LEDGER_LEAK,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P425_ATLAS_WEIGHTING_AUDIT,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P427_BLACKOUT_WINDOW_SIGNAL_DECAY,P439_FINAL_QUESTION_SEVERANCE_MERCY_THEFT,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P429_SENSOR_TAGGED_FAUNA_FEEDBACK,P424_DEEP_REACH_LIABILITY_HOLD,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P414_OXYGEN_RESERVE_DIRTY_MARGIN,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P431_PARTIAL_RETURN_LIEN_EXTENSION,P417_MARAUDER_RECOVERY_NOTE_01,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P416_ROUTE_BEACON_SALT_CORROSION,P410_CAPSULE_SEAL_SWEAT,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P416_ROUTE_BEACON_SALT_CORROSION,P423_RELAY_SPINE_ACOUSTIC_DRIFT,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P419_BLUE_DEBT_SAMPLE_BAG_WARNING,P424_DEEP_REACH_LIABILITY_HOLD,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P423_RELAY_SPINE_ACOUSTIC_DRIFT,P429_SENSOR_TAGGED_FAUNA_FEEDBACK,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P427_BLACKOUT_WINDOW_SIGNAL_DECAY,P419_BLUE_DEBT_SAMPLE_BAG_WARNING,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P435_ATLAS_SEVERANCE_RECORD,P410_CAPSULE_SEAL_SWEAT,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P420_SERVICE_CANYON_CUT_PANEL,P429_SENSOR_TAGGED_FAUNA_FEEDBACK,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P417_MARAUDER_RECOVERY_NOTE_01,P420_SERVICE_CANYON_CUT_PANEL,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P437_PAYLOAD_WITHHOLD_BLIND_RETURN,P432_CORPORATE_COORDINATE_CAPTURE,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P419_BLUE_DEBT_SAMPLE_BAG_WARNING,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P431_PARTIAL_RETURN_LIEN_EXTENSION,P430_MATERIAL_PAYOUT_RECEIPT,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P425_ATLAS_WEIGHTING_AUDIT,P426_WORKER_QUEUE_DELAY_BODYLESS,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P437_PAYLOAD_WITHHOLD_BLIND_RETURN,P420_SERVICE_CANYON_CUT_PANEL,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P423_RELAY_SPINE_ACOUSTIC_DRIFT,P436_PRESERVE_QUARANTINE_RECORD,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P420_SERVICE_CANYON_CUT_PANEL,P427_BLACKOUT_WINDOW_SIGNAL_DECAY,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P419_BLUE_DEBT_SAMPLE_BAG_WARNING,P426_WORKER_QUEUE_DELAY_BODYLESS,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P428_QUARANTINE_RELEASE_DELAY,P417_MARAUDER_RECOVERY_NOTE_01,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P426_WORKER_QUEUE_DELAY_BODYLESS,P431_PARTIAL_RETURN_LIEN_EXTENSION,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,P432_CORPORATE_COORDINATE_CAPTURE,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P423_RELAY_SPINE_ACOUSTIC_DRIFT,P421_BRINE_CANYON_DENSITY_LADDER,TERMINOLOGY_SHARED,Xenon-Omega,escalating,Narrative flow link.
P430_MATERIAL_PAYOUT_RECEIPT,P421_BRINE_CANYON_DENSITY_LADDER,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P413_PRESSURE_DOOR_MANUAL_BYPASS,P428_QUARANTINE_RELEASE_DELAY,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P417_MARAUDER_RECOVERY_NOTE_01,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P428_QUARANTINE_RELEASE_DELAY,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P417_MARAUDER_RECOVERY_NOTE_01,P427_BLACKOUT_WINDOW_SIGNAL_DECAY,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P436_PRESERVE_QUARANTINE_RECORD,P431_PARTIAL_RETURN_LIEN_EXTENSION,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P417_MARAUDER_RECOVERY_NOTE_01,P412_SHALLOW_ANNEX_P63_FIRST_PUMP,FALSE_EXIT_VARIANT,Xenon-Omega,escalating,Narrative flow link.
P426_WORKER_QUEUE_DELAY_BODYLESS,P422_VENT_FORGE_THERMAL_LEDGER,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P417_MARAUDER_RECOVERY_NOTE_01,P422_VENT_FORGE_THERMAL_LEDGER,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P432_CORPORATE_COORDINATE_CAPTURE,P416_ROUTE_BEACON_SALT_CORROSION,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P433_QUARANTINE_HOLD_INTERROGATION,P412_SHALLOW_ANNEX_P63_FIRST_PUMP,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P419_BLUE_DEBT_SAMPLE_BAG_WARNING,P426_WORKER_QUEUE_DELAY_BODYLESS,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
P416_ROUTE_BEACON_SALT_CORROSION,P418_BARNARD_YARDS_PROCEDURE_TRACE,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P419_BLUE_DEBT_SAMPLE_BAG_WARNING,P433_QUARANTINE_HOLD_INTERROGATION,LOCALIZATION_RISK_SHARED,Xenon-Omega,escalating,Narrative flow link.
P431_PARTIAL_RETURN_LIEN_EXTENSION,P437_PAYLOAD_WITHHOLD_BLIND_RETURN,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P437_PAYLOAD_WITHHOLD_BLIND_RETURN,P428_QUARANTINE_RELEASE_DELAY,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P436_PRESERVE_QUARANTINE_RECORD,P435_ATLAS_SEVERANCE_RECORD,CONTRADICTS,Xenon-Omega,escalating,Narrative flow link.
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,P413_PRESSURE_DOOR_MANUAL_BYPASS,EVIDENCE_PRECEDES,Xenon-Omega,escalating,Narrative flow link.
P417_MARAUDER_RECOVERY_NOTE_01,P438_NO_CLEAN_ENDING_DOSSIER,UNLOCKS_CONTEXT,Xenon-Omega,escalating,Narrative flow link.
