release_set,packet_id,route_moment,first_20_relevance,evidence_object,unlock_condition,spoiler_level,surfaces,player_decision_changed,canon_sources,localization_risk,implementation_note
RS121,P522,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS121,P523,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS121,P524,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS121,P525,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS121,P526,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS121,P527,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS121,P528,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS121,P529,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS122,P530,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS122,P531,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS122,P532,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS122,P533,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS122,P534,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS122,P535,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS122,P536,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS122,P537,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS122,P538,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS122,P539,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS123,P540,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS123,P541,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS123,P542,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS123,P543,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS123,P544,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS123,P545,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS123,P546,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS123,P547,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS123,P548,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS123,P549,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS124,P550,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS124,P551,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS124,P552,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS124,P553,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS124,P554,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS124,P555,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS124,P556,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS124,P557,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS124,P558,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS124,P559,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
