"Path","Width","Height","StandaloneFormat","TextureCompression","EstimatedRGBA32MB","PotentialSavingsMB","Flags","CinematicFake"
"Assets/AstarPathfindingProject/Editor/EditorAssets/DarkSkin/lock_open@1x.png","27","28","Automatic","Uncompressed","0.003","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/AstarPathfindingProject/Editor/EditorAssets/DarkSkin/lock_open@2x.png","54","56","Automatic","Uncompressed","0.012","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/AstarPathfindingProject/Editor/EditorAssets/LightSkin/hex_diameter@1x.png","32","32","Automatic","Uncompressed","0.004","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/AstarPathfindingProject/Editor/EditorAssets/LightSkin/hex_diameter@2x.png","64","64","Automatic","Uncompressed","0.016","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/AstarPathfindingProject/Editor/EditorAssets/LightSkin/hex_width@1x.png","32","32","Automatic","Uncompressed","0.004","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/AstarPathfindingProject/Editor/EditorAssets/LightSkin/hex_width@2x.png","64","64","Automatic","Uncompressed","0.016","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/AstarPathfindingProject/Resources/handles_aaline.png","4","4","RGBA32","Uncompressed","0.000","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Bakery/emptyDirection.tga","1","1","Automatic","Uncompressed","0.000","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|NO_MIP_WORLD|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Bakery/ftUnitySpotTexture.bmp","0","0","Automatic","Uncompressed","0.000","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Crest/Crest/Icons/crest-oceanrender-logomark.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Crest/Crest/Textures/foam.png","512","512","Automatic","Compressed","1.333","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Crest/Crest/Textures/Foam2.png","450","450","Automatic","Compressed","1.030","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Crest/Crest/Textures/Caustics/Caustics_tex_color.png","630","630","Automatic","Compressed","2.019","2.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Crest/Crest/Textures/WaveNormals/WaveNormals.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC5_NORMAL","BC5 normal plus detail-normal atlas"
"Assets/Editor/x64/Bakery/icon.png","19","16","Automatic","Compressed","0.002","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMFeedbacks/Editor/Resources/FeelArrowDown.png","16","16","Automatic","Compressed","0.001","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMFeedbacks/Editor/Resources/FeelArrowUp.png","16","16","Automatic","Compressed","0.001","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMFeedbacks/Editor/Resources/FeelSetupRequired.png","16","16","Automatic","Compressed","0.001","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMFeedbacks/Editor/Sequencing/Resources/SequencerButtonBackground.png","32","32","Automatic","Compressed","0.004","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMFeedbacks/Editor/Sequencing/Resources/SequencerDotBackground.png","16","16","Automatic","Compressed","0.001","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Demos/MMBezierLineRenderer/MMBezierLineRendererDemoDude.png","512","512","Automatic","Compressed","1.000","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Demos/MMBezierLineRenderer/MMBezierLineRendererDemoDudeHand.png","128","128","Automatic","Compressed","0.063","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Demos/MMControls/Sprites/MMControlsDemoSpritesheet.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Demos/MMPrototypeTextures/MMPrototypeTexturesDemo/ReflectionProbe-0.exr","0","0","Automatic","Compressed","0.000","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Demos/MMTween/Textures/PlotterAxis.png","2048","2048","Automatic","Uncompressed","21.333","16.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMAchievements/Sprites/AchievementBackground.png","512","128","Automatic","Compressed","0.250","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMAchievements/Sprites/AchievementBackgroundUnlocked.png","512","128","Automatic","Compressed","0.333","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMAchievements/Sprites/AchievementIcon.png","128","128","Automatic","Compressed","0.083","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMDebugMenu/Sprites/MMDebugMenuSpritesheet.png","1024","1024","Automatic","Compressed","4.000","3.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMDebugOnScreen/Sprites/MMLogo16x16.png","32","32","Automatic","Compressed","0.004","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMGUI/Sprites/MMFaderRoundMask.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMGUI/Sprites/MMTools_GUI_1x1.png","1","1","Automatic","Compressed","0.000","0.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMCheckers/MMCheckers.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMPlastic/MMPlasticAO.png","2048","2048","Automatic","Compressed","21.333","16.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMPlastic/MMPlasticMetal.png","2048","2048","Automatic","Compressed","21.333","16.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMPlastic/MMPlasticNormal.png","2048","2048","Automatic","Compressed","21.333","16.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC5_NORMAL","BC5 normal plus detail-normal atlas"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_BlueCrosses.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_BlueDots.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_BlueFrame.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_BlueSquares.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_DarkGreyCrosses.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_DarkGreyDots.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_DarkGreyFrame.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_DarkGreySquares.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_GreenCrosses.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_GreenDots.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_GreenFrame.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_GreenSquares.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_LightGreyCrosses.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_LightGreyDots.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_LightGreyFrame.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_LightGreySquares.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_RedCrosses.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_RedDots.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_RedFrame.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_RedSquares.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_YellowCrosses.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_YellowDots.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_YellowFrame.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_YellowSquares.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|STRICT_EXPECT_BC7_WORLD","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMSceneLoading/Sprites/LoadingAnimation.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMSceneLoading/Sprites/LoadingCompleteAnimation.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMSceneLoading/Sprites/LoadingProgressBar.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMSceneLoading/Sprites/MoreMountainsLogo.png","512","512","Automatic","Compressed","1.333","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMBloomDirt/MMBloomDirt1.png","3840","2160","Automatic","Compressed","42.187","32.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|OVERSIZED_GT_2048","Downscale to 1024/2048 tier or replace distant use with impostor/atlas slice"
"Assets/Feel/MMTools/Tools/MMVFX/MMBloomDirt/MMBloomDirt2.png","3840","2160","Automatic","Compressed","42.187","32.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|OVERSIZED_GT_2048","Downscale to 1024/2048 tier or replace distant use with impostor/atlas slice"
"Assets/Feel/MMTools/Tools/MMVFX/MMBloomDirt/MMBloomDirt3.png","1920","1080","Automatic","Compressed","10.547","8.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMBloomDirt/MMBloomDirt4.png","3840","2160","Automatic","Compressed","42.187","32.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO|OVERSIZED_GT_2048","Downscale to 1024/2048 tier or replace distant use with impostor/atlas slice"
"Assets/Feel/MMTools/Tools/MMVFX/MMBrushes/MMBrush0.png","512","512","Automatic","Compressed","1.333","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMBrushes/MMBrush1.png","512","512","Automatic","Compressed","1.333","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMBrushes/MMBrush2.png","512","512","Automatic","Compressed","1.333","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMBrushes/MMBrush3.png","512","512","Automatic","Compressed","1.333","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMBrushes/MMBrush4.png","512","512","Automatic","Compressed","1.333","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMBrushes/MMBrush5.png","512","512","Automatic","Compressed","1.333","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMNoise/MMBayerNoise.png","512","512","Automatic","Compressed","1.333","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMNoise/MMBlueNoise.png","512","512","Automatic","Compressed","1.333","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMNoise/MMBrushNoise.png","512","512","Automatic","Compressed","1.333","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMNoise/MMCellNoise.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMNoise/MMCloudsNoise.png","512","512","Automatic","Compressed","1.333","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMNoise/MMFireDirectionalAltNoise.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMNoise/MMFireDirectionalNoise.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMNoise/MMFireNoise.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMNoise/MMFlowNoise.png","512","512","Automatic","Compressed","1.333","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMNoise/MMPerlinNoise.png","512","512","Automatic","Compressed","1.333","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMNoise/MMSimplexNoise.png","512","512","Automatic","Compressed","1.333","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMNoise/MMVoronoiNoise.png","1024","1024","Automatic","Compressed","5.333","4.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
"Assets/Feel/MMTools/Tools/MMVFX/MMNoise/MMWhiteNoise.png","512","512","Automatic","Compressed","1.333","1.000","VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA_OR_AUTO","BC7/atlas/channel-pack masks; impostor if distant"
