Path,Width,Height,ActualFormat,Compression,MipMap,EstimatedActualMB,Flags
"Assets/_Project/Art/TEXTURES/Sky/clod2.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/normal___family.coral.plate.png",1024,1024,"BC5","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/Terrain Textures/sand +green/Ground074_1K-JPG_Color.jpg",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/ScifiFacility/Textures/Stripes_basecolor.png",2048,2048,"DXT5","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/normal___family.kelp.tall.png",2048,2048,"BC5","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/clouds.png",4096,2048,"BC7","Compressed",True,10.667,"OVERSIZED_GT_2048"
"Assets/_Project/Art/TEXTURES/Terrain Textures/moss/Ground047_1K-JPG_NormalGL.jpg",1024,1024,"BC5","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/detail___family.coral.low.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/Terrain Textures/basalt/Rock031_1K-JPG_Color.jpg",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/mask___family.kelp.tall.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/albedo___family.kelp.patch.dense.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/Skyboxes/panorama_den.png",1456,720,"BC7","Compressed",True,1.333,""
"Assets/Crest/Crest/Textures/Caustics/Caustics_tex_color.png",630,630,"DXT1","Compressed",True,0.252,""
"Assets/_Project/Art/TEXTURES/Terrain Textures/sand +green/Ground074_1K-JPG_NormalGL.jpg",1024,1024,"BC5","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/mask___family.coral.plate.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/Aegir_storms.png",4096,2048,"BC7","Compressed",True,10.667,"OVERSIZED_GT_2048"
"Assets/_Project/Art/TEXTURES/Terrain Textures/mud/Ground051_1K-JPG_AmbientOcclusion.jpg",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_NormalGL.jpg",2048,2048,"BC5","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/mask___family.coral.low.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/Terrain Textures/2rock/Rocks007_1K-JPG_AmbientOcclusion.jpg",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/albedo___family.kelp.tall.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/Detali/Mineral Seep Mask - second try.png",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/normal___family.coral.branching.png",2048,2048,"BC5","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/Terrain Textures/sand/Ground079S_1K-PNG_Color.png",1024,1024,"BC7","Compressed",True,1.333,""
"Packages/com.unity.ugui/Editor Resources/Gizmos/TMP - Font Asset Icon.psd",128,128,"RGBA32","Uncompressed",False,0.063,"VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA|NO_MIP"
"Assets/_Project/Art/TEXTURES/Terrain Textures/gravel/Gravel020_1K-JPG_AmbientOcclusion.jpg",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/Terrain Textures/rocks/Rocks019_1K-JPG_Color.jpg",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/normal___family.kelp.canopy.png",2048,2048,"BC5","Compressed",True,5.333,""
"Assets/_Project/Art/Sprites/oxygen-tank.png",512,512,"BC7","Compressed",False,0.250,"NO_MIP"
"Assets/VolumetricLightBeam/Editor/Icons/VolumetricLightBeam_icon.png",256,256,"DXT5","Compressed",True,0.083,""
"Assets/Crest/Crest/Textures/WaveNormals/WaveNormals.png",1024,1024,"DXT5","Compressed",True,1.333,""
"Assets/_Project/Art/Sprites/ring.png",601,616,"BC7","Compressed",False,0.353,"NO_MIP"
"Assets/Crest/Crest/Textures/Foam2.png",450,450,"DXT1","Compressed",True,0.129,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/albedo___family.coral.plate.png",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/Terrain Textures/2rock/Rocks007_1K-JPG_Color.jpg",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/detail___family.kelp.abyssal.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/ScifiFacility/Textures/DetailSheet_mask.png",4096,4096,"DXT5","Compressed",True,21.333,"OVERSIZED_GT_2048"
"Assets/_Project/Art/TEXTURES/Terrain Textures/sand +green/Ground074_1K-JPG_AmbientOcclusion.jpg",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/Sky/bo2.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/Terrain Textures/rocks/Rocks019_1K-JPG_NormalGL.jpg",1024,1024,"BC5","Compressed",True,1.333,""
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMPlastic/MMPlasticNormal.png",2048,2048,"DXT5","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/normal___family.coral.brittle.png",1024,1024,"BC5","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/detail___family.kelp.tall.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/mask___family.kelp.abyssal.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/ScifiFacility/Textures/Base_05_normal.png",2048,2048,"DXT5","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/Terrain Textures/moss/Ground047_1K-JPG_AmbientOcclusion.jpg",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/Detali/visor runoff normal.png",1024,1024,"BC5","Compressed",True,1.333,""
"Assets/_Project/Scenes/02_HECTON_WORLD/ReflectionProbe-0.exr",768,128,"BC6H","Compressed",True,0.125,""
"Assets/Crest/Crest/Icons/crest-oceanrender-logomark.png",1024,1024,"DXT5","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/mask___family.coral.massive.png",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/Sprites/ui/COPPER.png",1024,1024,"BC7","Compressed",False,1.000,"NO_MIP"
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMPlastic/MMPlasticAO.png",2048,2048,"DXT1","Compressed",True,2.667,""
"Assets/_Project/Art/TEXTURES/Terrain Textures/gravel/Gravel020_1K-JPG_NormalGL.jpg",1024,1024,"BC5","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/mask___family.kelp.patch.dense.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/normal___family.coral.low.png",2048,2048,"BC5","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/detail___family.coral.massive.png",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_AmbientOcclusion.jpg",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/detail___family.coral.brittle.png",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/normal___family.coral.massive.png",1024,1024,"BC5","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/Terrain Textures/mud/Ground051_1K-JPG_Color.jpg",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/ScifiFacility/Textures/DetailSheet_normal.png",4096,4096,"DXT5","Compressed",True,21.333,"OVERSIZED_GT_2048"
"Assets/_Project/Art/TEXTURES/Detali/visor droplet mask.png",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/albedo___family.kelp.abyssal.png",2048,2048,"BC7","Compressed",True,5.333,""
"Packages/com.unity.render-pipelines.core/Editor/PostProcessing/LensFlareResource/Flare128.png",128,128,"DXT5","Compressed",True,0.021,""
"Assets/VolumetricLightBeam/Editor/Icons/TrackRealtimeChangesOnLight_icon.png",256,256,"DXT5","Compressed",True,0.083,""
"Assets/VolumetricLightBeam/Resources/DustParticles.psd",512,512,"DXT5","Compressed",True,0.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/normal___family.kelp.abyssal.png",2048,2048,"BC5","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/Terrain Textures/basalt/Rock031_1K-JPG_NormalGL.jpg",1024,1024,"BC5","Compressed",True,1.333,""
"Assets/MapMagic/Map_Graph/New Gen/heightmap.png",4096,4096,"R8","Uncompressed",False,64.000,"VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA|OVERSIZED_GT_2048|NO_MIP"
"Assets/_Project/Art/TEXTURES/Sky/oblaka!.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/mask___family.kelp.canopy.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/clouds0_diff.png",4096,2048,"BC7","Compressed",True,10.667,"OVERSIZED_GT_2048"
"Assets/_Project/Art/TEXTURES/Terrain Textures/mud/Ground051_1K-JPG_NormalGL.jpg",1024,1024,"BC5","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/Terrain Textures/moss/Ground047_1K-JPG_Color.jpg",1024,1024,"BC7","Compressed",True,1.333,""
"Packages/com.unity.ugui/Editor Resources/Gizmos/TMP - Text Component Icon.psd",128,128,"RGBA32","Uncompressed",False,0.063,"VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA|NO_MIP"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/albedo___family.coral.brittle.png",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/albedo___family.coral.low.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/mask___family.coral.branching.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/Sprites/cardiogram.png",512,512,"BC7","Compressed",False,0.250,"NO_MIP"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/detail___family.coral.branching.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/Sky/oblakajip.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/Skyboxes/panorama_noch.png",1472,720,"BC7","Compressed",True,1.348,""
"Assets/ScifiFacility/Textures/BrushedMetal_dirt_roughness.png",4096,4096,"DXT1","Compressed",True,10.667,"OVERSIZED_GT_2048"
