Path,SizeMB,LoadType,CompressionFormat,Flags,CinematicFake
"Assets/_Project/Audio/VO/Stubs/VOStub_Chen_Log01_EN.wav",0.491,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/VO/Stubs/VOStub_Chen_Log01_RU.wav",0.491,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/Demo/_Common/Sounds/NiceVibrationsContinuous.wav",0.013,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/Demo/_Common/Sounds/NiceVibrationsEmphasis.wav",0.004,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/CarDemo/Sounds/NVCarEngine.wav",0.673,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Sounds/NVCarillon.wav",0.430,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Sounds/NVDice.wav",0.162,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Sounds/NVGameOver.wav",0.349,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Sounds/NVHeartbeats.wav",0.303,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Sounds/NVLaser.wav",0.395,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Sounds/NVPowerOff.wav",0.708,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Sounds/NVReload.wav",0.502,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Sounds/NVTeleport.wav",0.045,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/WobbleDemo/Sounds/NVWobbleSpring.wav",0.289,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Alert1.wav",0.338,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Award1.wav",0.080,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Beep1.wav",0.031,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Beep2.wav",0.017,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Beep3.wav",0.017,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Button1.wav",0.009,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Button2.wav",0.007,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Button3.wav",0.013,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Button4.wav",0.041,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/CameraShutter1.wav",0.020,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Hover1.wav",0.044,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Hover2.wav",0.039,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/ApplicationUX/Pop1.wav",0.013,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Footsteps/FootstepGrass1.wav",0.084,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Footsteps/FootstepGrass2.wav",0.084,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Footsteps/FootstepGrass3.wav",0.061,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Footsteps/FootstepGravel1.wav",0.032,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Footsteps/FootstepGravel2.wav",0.026,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Footsteps/FootstepGravel3.wav",0.022,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Footsteps/FootstepSnow1.wav",0.037,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Body1.wav",0.053,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Body2.wav",0.032,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Body3.wav",0.023,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/BulletCrack1.wav",0.250,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/BulletCrack2.wav",0.180,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/BulletCrack3.wav",0.170,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/BulletMetal1.wav",0.043,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/CarCrash1.wav",0.046,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/CombatPunch1.wav",0.015,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/CombatPunch2.wav",0.024,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Concrete1.wav",0.018,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Concrete2.wav",0.035,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Concrete3.wav",0.071,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Glass1.wav",0.143,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Glass2.wav",0.097,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Glass3.wav",0.173,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/ImpactMetal1.wav",0.198,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Punch1.wav",0.048,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Wood1.wav",0.098,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Wood2.wav",0.065,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Impacts/Wood3.wav",0.092,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Nature/CatPurr1.wav",1.332,"DecompressOnLoad","Vorbis","DECOMPRESS_ON_LOAD_GT_1MB|SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Nature/CreatureRoar1.wav",0.115,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Nature/Rain1.wav",1.178,"DecompressOnLoad","Vorbis","DECOMPRESS_ON_LOAD_GT_1MB|SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Nature/RaininCar1.wav",1.344,"DecompressOnLoad","Vorbis","DECOMPRESS_ON_LOAD_GT_1MB|SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Nature/RainonUmbrella1.wav",0.415,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Nature/Splash1.wav",0.290,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Nature/Thunder1.wav",0.680,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Nature/Thunder2.wav",0.968,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Book1.wav",0.085,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Book2.wav",0.085,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Book3.wav",0.146,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Cash2.wav",0.117,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Cash5.wav",0.077,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Cash8.wav",0.182,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Coin1.wav",0.051,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Coins2.wav",0.027,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Coins3.wav",0.026,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Coins4.wav",0.036,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Coins5.wav",0.032,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Coins7.wav",0.026,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/DoorKnob1.wav",0.030,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Fan1.wav",0.253,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Fan2.wav",0.253,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Fireplace1.wav",0.169,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Fireplace2.wav",0.169,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Flashlight1.wav",0.085,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Flashlight2.wav",0.085,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Hammer1.wav",0.085,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Hammer2.wav",0.085,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Hammer3.wav",0.085,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Keyboard1.wav",0.043,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Keyboard2.wav",0.043,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Keyboard3.wav",0.043,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Keys1.wav",0.085,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Keys2.wav",0.043,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Pen1.wav",0.043,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Switch6.wav",0.022,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/SwitchHeavy1.wav",0.022,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/SwitchHeavy2.wav",0.022,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/SwitchLight1.wav",0.022,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/SwitchLight2.wav",0.022,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/SwitchLight3.wav",0.022,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/SwitchMed1.wav",0.022,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/SwitchMed2.wav",0.022,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/Feel/NiceVibrations/HapticSamples/Objects/Velcro1.wav",0.085,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
