biome_id,biome_hash32,biome_display_name,depth_min_m,depth_max_m,distance_from_origin_m,depth_multiplier,resource_id,resource_hash32,resource_display_name,resource_tier,base_value_units,base_rarity,rarity_formula,resource_depth_bias,rarity_score,lcg_spawn_weight_u16,laser_hits_tier1,laser_hits_tier2,laser_hits_tier3
biome.kelp_karst,989463989,Kelp Karst,80,250,600,1.00,Data_SilicaShards,3920354616,Silica Shards,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.60,1.360,68,3,2,1
biome.kelp_karst,989463989,Kelp Karst,80,250,600,1.00,Data_FiberKelp,2069849578,Fiber Kelp,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.40,1.240,123,2,1,1
biome.kelp_karst,989463989,Kelp Karst,80,250,600,1.00,Data_HydrocarbonResin,248205602,Hydrocarbon Resin,1,1.50,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.70,2.420,53,4,2,1
biome.kelp_karst,989463989,Kelp Karst,80,250,600,1.00,Data_SulfurClumps,3346875565,Sulfur Clumps,1,1.20,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.80,2.480,17,4,3,2
biome.kelp_karst,989463989,Kelp Karst,80,250,600,1.00,Data_SilverOre,884621125,Silver Ore,1,2.00,3,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.00,3.600,13,5,3,2
biome.kelp_karst,989463989,Kelp Karst,80,250,600,1.00,Data_GoldOre,4056809162,Gold Ore,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.10,4.660,4,6,4,2
biome.kelp_karst,989463989,Kelp Karst,80,250,600,1.00,Data_LithiumCrystal,3763503872,Lithium Crystal,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.20,4.720,5,6,4,2
biome.kelp_karst,989463989,Kelp Karst,80,250,600,1.00,Data_NickelOre,1037165092,Nickel Ore,2,4.00,5,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.30,5.780,1,7,4,3
biome.kelp_karst,989463989,Kelp Karst,80,250,600,1.00,Data_CobaltAlloy,857583970,Cobalt Alloy,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.40,6.840,1,8,5,3
biome.kelp_karst,989463989,Kelp Karst,80,250,600,1.00,Data_ThermalGel,1601052383,Thermal Gel,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.50,6.900,1,7,5,3
biome.kelp_karst,989463989,Kelp Karst,80,250,600,1.00,Data_CarbonGraphite,2008184373,Carbon Graphite,3,6.00,7,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.60,7.960,1,8,5,3
biome.kelp_karst,989463989,Kelp Karst,80,250,600,1.00,Data_RareEarthDust,1997058338,Rare Earth Dust,3,8.00,8,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.80,9.080,1,10,6,4
biome.kelp_karst,989463989,Kelp Karst,80,250,600,1.00,Data_AbyssalCrystal,702456815,Abyssal Crystal,3,12.00,10,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,2.00,11.200,1,12,8,5
biome.sediment_drift,802545004,Sediment Drift,150,450,900,1.15,Data_TitaniumScrap,3511699502,Titanium Scrap,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,1.518,67,3,2,1
biome.sediment_drift,802545004,Sediment Drift,150,450,900,1.15,Data_Copper,2276338585,Copper Ore,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,1.518,86,3,2,1
biome.sediment_drift,802545004,Sediment Drift,150,450,900,1.15,Data_SilicaShards,3920354616,Silica Shards,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.60,1.621,110,3,2,1
biome.sediment_drift,802545004,Sediment Drift,150,450,900,1.15,Data_FiberKelp,2069849578,Fiber Kelp,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.40,1.414,24,2,1,1
biome.sediment_drift,802545004,Sediment Drift,150,450,900,1.15,Data_HydrocarbonResin,248205602,Hydrocarbon Resin,1,1.50,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.70,2.724,43,4,2,1
biome.sediment_drift,802545004,Sediment Drift,150,450,900,1.15,Data_SulfurClumps,3346875565,Sulfur Clumps,1,1.20,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.80,2.828,23,4,3,2
biome.sediment_drift,802545004,Sediment Drift,150,450,900,1.15,Data_SilverOre,884621125,Silver Ore,1,2.00,3,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.00,4.035,42,5,3,2
biome.sediment_drift,802545004,Sediment Drift,150,450,900,1.15,Data_GoldOre,4056809162,Gold Ore,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.10,5.139,11,6,4,2
biome.sediment_drift,802545004,Sediment Drift,150,450,900,1.15,Data_LithiumCrystal,3763503872,Lithium Crystal,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.20,5.242,11,6,4,2
biome.sediment_drift,802545004,Sediment Drift,150,450,900,1.15,Data_NickelOre,1037165092,Nickel Ore,2,4.00,5,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.30,6.345,9,7,4,3
biome.sediment_drift,802545004,Sediment Drift,150,450,900,1.15,Data_CobaltAlloy,857583970,Cobalt Alloy,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.40,7.449,1,8,5,3
biome.sediment_drift,802545004,Sediment Drift,150,450,900,1.15,Data_ThermalGel,1601052383,Thermal Gel,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.50,7.553,1,7,5,3
biome.sediment_drift,802545004,Sediment Drift,150,450,900,1.15,Data_CarbonGraphite,2008184373,Carbon Graphite,3,6.00,7,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.60,8.656,1,8,5,3
biome.sediment_drift,802545004,Sediment Drift,150,450,900,1.15,Data_RareEarthDust,1997058338,Rare Earth Dust,3,8.00,8,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.80,9.863,1,10,6,4
biome.sediment_drift,802545004,Sediment Drift,150,450,900,1.15,Data_AbyssalCrystal,702456815,Abyssal Crystal,3,12.00,10,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,2.00,12.070,1,12,8,5
biome.fossil_reef,3131419416,Fossil Reef,250,700,1300,1.30,Data_TitaniumScrap,3511699502,Titanium Scrap,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,1.845,47,3,2,1
biome.fossil_reef,3131419416,Fossil Reef,250,700,1300,1.30,Data_Copper,2276338585,Copper Ore,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,1.845,56,3,2,1
biome.fossil_reef,3131419416,Fossil Reef,250,700,1300,1.30,Data_SilicaShards,3920354616,Silica Shards,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.60,2.014,74,3,2,1
biome.fossil_reef,3131419416,Fossil Reef,250,700,1300,1.30,Data_FiberKelp,2069849578,Fiber Kelp,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.40,1.676,52,2,1,1
biome.fossil_reef,3131419416,Fossil Reef,250,700,1300,1.30,Data_HydrocarbonResin,248205602,Hydrocarbon Resin,1,1.50,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.70,3.183,64,4,2,1
biome.fossil_reef,3131419416,Fossil Reef,250,700,1300,1.30,Data_SulfurClumps,3346875565,Sulfur Clumps,1,1.20,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.80,3.352,34,4,3,2
biome.fossil_reef,3131419416,Fossil Reef,250,700,1300,1.30,Data_SilverOre,884621125,Silver Ore,1,2.00,3,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.00,4.690,31,5,3,2
biome.fossil_reef,3131419416,Fossil Reef,250,700,1300,1.30,Data_GoldOre,4056809162,Gold Ore,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.10,5.859,17,6,4,2
biome.fossil_reef,3131419416,Fossil Reef,250,700,1300,1.30,Data_LithiumCrystal,3763503872,Lithium Crystal,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.20,6.028,15,6,4,2
biome.fossil_reef,3131419416,Fossil Reef,250,700,1300,1.30,Data_NickelOre,1037165092,Nickel Ore,2,4.00,5,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.30,7.197,13,7,4,3
biome.fossil_reef,3131419416,Fossil Reef,250,700,1300,1.30,Data_CobaltAlloy,857583970,Cobalt Alloy,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.40,8.366,1,8,5,3
biome.fossil_reef,3131419416,Fossil Reef,250,700,1300,1.30,Data_ThermalGel,1601052383,Thermal Gel,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.50,8.535,1,7,5,3
biome.fossil_reef,3131419416,Fossil Reef,250,700,1300,1.30,Data_CarbonGraphite,2008184373,Carbon Graphite,3,6.00,7,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.60,9.704,1,8,5,3
biome.fossil_reef,3131419416,Fossil Reef,250,700,1300,1.30,Data_RareEarthDust,1997058338,Rare Earth Dust,3,8.00,8,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.80,11.042,1,10,6,4
biome.fossil_reef,3131419416,Fossil Reef,250,700,1300,1.30,Data_AbyssalCrystal,702456815,Abyssal Crystal,3,12.00,10,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,2.00,13.380,1,12,8,5
biome.volcanic_glass,2233374817,Volcanic Glass,450,1100,1800,1.55,Data_TitaniumScrap,3511699502,Titanium Scrap,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,2.395,31,3,2,1
biome.volcanic_glass,2233374817,Volcanic Glass,450,1100,1800,1.55,Data_Copper,2276338585,Copper Ore,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,2.395,36,3,2,1
biome.volcanic_glass,2233374817,Volcanic Glass,450,1100,1800,1.55,Data_SilicaShards,3920354616,Silica Shards,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.60,2.674,123,3,2,1
biome.volcanic_glass,2233374817,Volcanic Glass,450,1100,1800,1.55,Data_FiberKelp,2069849578,Fiber Kelp,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.40,2.116,5,2,1,1
biome.volcanic_glass,2233374817,Volcanic Glass,450,1100,1800,1.55,Data_HydrocarbonResin,248205602,Hydrocarbon Resin,1,1.50,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.70,3.953,35,4,2,1
biome.volcanic_glass,2233374817,Volcanic Glass,450,1100,1800,1.55,Data_SulfurClumps,3346875565,Sulfur Clumps,1,1.20,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.80,4.232,68,4,3,2
biome.volcanic_glass,2233374817,Volcanic Glass,450,1100,1800,1.55,Data_SilverOre,884621125,Silver Ore,1,2.00,3,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.00,5.790,25,5,3,2
biome.volcanic_glass,2233374817,Volcanic Glass,450,1100,1800,1.55,Data_GoldOre,4056809162,Gold Ore,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.10,7.069,26,6,4,2
biome.volcanic_glass,2233374817,Volcanic Glass,450,1100,1800,1.55,Data_LithiumCrystal,3763503872,Lithium Crystal,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.20,7.348,32,6,4,2
biome.volcanic_glass,2233374817,Volcanic Glass,450,1100,1800,1.55,Data_NickelOre,1037165092,Nickel Ore,2,4.00,5,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.30,8.627,19,7,4,3
biome.volcanic_glass,2233374817,Volcanic Glass,450,1100,1800,1.55,Data_CobaltAlloy,857583970,Cobalt Alloy,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.40,9.906,1,8,5,3
biome.volcanic_glass,2233374817,Volcanic Glass,450,1100,1800,1.55,Data_ThermalGel,1601052383,Thermal Gel,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.50,10.185,21,7,5,3
biome.volcanic_glass,2233374817,Volcanic Glass,450,1100,1800,1.55,Data_CarbonGraphite,2008184373,Carbon Graphite,3,6.00,7,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.60,11.464,1,8,5,3
biome.volcanic_glass,2233374817,Volcanic Glass,450,1100,1800,1.55,Data_RareEarthDust,1997058338,Rare Earth Dust,3,8.00,8,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.80,13.022,1,10,6,4
biome.volcanic_glass,2233374817,Volcanic Glass,450,1100,1800,1.55,Data_AbyssalCrystal,702456815,Abyssal Crystal,3,12.00,10,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,2.00,15.580,1,12,8,5
biome.thermal_vent,3360498722,Thermal Vent Stack,700,1600,2400,1.80,Data_TitaniumScrap,3511699502,Titanium Scrap,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,3.160,20,3,2,1
biome.thermal_vent,3360498722,Thermal Vent Stack,700,1600,2400,1.80,Data_Copper,2276338585,Copper Ore,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,3.160,31,3,2,1
biome.thermal_vent,3360498722,Thermal Vent Stack,700,1600,2400,1.80,Data_SilicaShards,3920354616,Silica Shards,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.60,3.592,48,3,2,1
biome.thermal_vent,3360498722,Thermal Vent Stack,700,1600,2400,1.80,Data_FiberKelp,2069849578,Fiber Kelp,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.40,2.728,1,2,1,1
biome.thermal_vent,3360498722,Thermal Vent Stack,700,1600,2400,1.80,Data_HydrocarbonResin,248205602,Hydrocarbon Resin,1,1.50,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.70,5.024,42,4,2,1
biome.thermal_vent,3360498722,Thermal Vent Stack,700,1600,2400,1.80,Data_SulfurClumps,3346875565,Sulfur Clumps,1,1.20,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.80,5.456,94,4,3,2
biome.thermal_vent,3360498722,Thermal Vent Stack,700,1600,2400,1.80,Data_SilverOre,884621125,Silver Ore,1,2.00,3,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.00,7.320,18,5,3,2
biome.thermal_vent,3360498722,Thermal Vent Stack,700,1600,2400,1.80,Data_GoldOre,4056809162,Gold Ore,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.10,8.752,30,6,4,2
biome.thermal_vent,3360498722,Thermal Vent Stack,700,1600,2400,1.80,Data_LithiumCrystal,3763503872,Lithium Crystal,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.20,9.184,39,6,4,2
biome.thermal_vent,3360498722,Thermal Vent Stack,700,1600,2400,1.80,Data_NickelOre,1037165092,Nickel Ore,2,4.00,5,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.30,10.616,38,7,4,3
biome.thermal_vent,3360498722,Thermal Vent Stack,700,1600,2400,1.80,Data_CobaltAlloy,857583970,Cobalt Alloy,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.40,12.048,24,8,5,3
biome.thermal_vent,3360498722,Thermal Vent Stack,700,1600,2400,1.80,Data_ThermalGel,1601052383,Thermal Gel,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.50,12.480,59,7,5,3
biome.thermal_vent,3360498722,Thermal Vent Stack,700,1600,2400,1.80,Data_CarbonGraphite,2008184373,Carbon Graphite,3,6.00,7,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.60,13.912,8,8,5,3
biome.thermal_vent,3360498722,Thermal Vent Stack,700,1600,2400,1.80,Data_RareEarthDust,1997058338,Rare Earth Dust,3,8.00,8,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.80,15.776,1,10,6,4
biome.thermal_vent,3360498722,Thermal Vent Stack,700,1600,2400,1.80,Data_AbyssalCrystal,702456815,Abyssal Crystal,3,12.00,10,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,2.00,18.640,1,12,8,5
biome.magnetic_trench,1615011056,Magnetic Trench,1200,2400,3200,2.10,Data_TitaniumScrap,3511699502,Titanium Scrap,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,4.360,14,3,2,1
biome.magnetic_trench,1615011056,Magnetic Trench,1200,2400,3200,2.10,Data_Copper,2276338585,Copper Ore,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,4.360,22,3,2,1
biome.magnetic_trench,1615011056,Magnetic Trench,1200,2400,3200,2.10,Data_SilicaShards,3920354616,Silica Shards,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.60,5.032,23,3,2,1
biome.magnetic_trench,1615011056,Magnetic Trench,1200,2400,3200,2.10,Data_FiberKelp,2069849578,Fiber Kelp,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.40,3.688,1,2,1,1
biome.magnetic_trench,1615011056,Magnetic Trench,1200,2400,3200,2.10,Data_HydrocarbonResin,248205602,Hydrocarbon Resin,1,1.50,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.70,6.704,15,4,2,1
biome.magnetic_trench,1615011056,Magnetic Trench,1200,2400,3200,2.10,Data_SulfurClumps,3346875565,Sulfur Clumps,1,1.20,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.80,7.376,20,4,3,2
biome.magnetic_trench,1615011056,Magnetic Trench,1200,2400,3200,2.10,Data_SilverOre,884621125,Silver Ore,1,2.00,3,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.00,9.720,16,5,3,2
biome.magnetic_trench,1615011056,Magnetic Trench,1200,2400,3200,2.10,Data_GoldOre,4056809162,Gold Ore,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.10,11.392,22,6,4,2
biome.magnetic_trench,1615011056,Magnetic Trench,1200,2400,3200,2.10,Data_LithiumCrystal,3763503872,Lithium Crystal,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.20,12.064,21,6,4,2
biome.magnetic_trench,1615011056,Magnetic Trench,1200,2400,3200,2.10,Data_NickelOre,1037165092,Nickel Ore,2,4.00,5,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.30,13.736,62,7,4,3
biome.magnetic_trench,1615011056,Magnetic Trench,1200,2400,3200,2.10,Data_CobaltAlloy,857583970,Cobalt Alloy,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.40,15.408,47,8,5,3
biome.magnetic_trench,1615011056,Magnetic Trench,1200,2400,3200,2.10,Data_ThermalGel,1601052383,Thermal Gel,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.50,16.080,18,7,5,3
biome.magnetic_trench,1615011056,Magnetic Trench,1200,2400,3200,2.10,Data_CarbonGraphite,2008184373,Carbon Graphite,3,6.00,7,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.60,17.752,24,8,5,3
biome.magnetic_trench,1615011056,Magnetic Trench,1200,2400,3200,2.10,Data_RareEarthDust,1997058338,Rare Earth Dust,3,8.00,8,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.80,20.096,14,10,6,4
biome.magnetic_trench,1615011056,Magnetic Trench,1200,2400,3200,2.10,Data_AbyssalCrystal,702456815,Abyssal Crystal,3,12.00,10,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,2.00,23.440,1,12,8,5
biome.brine_hadal,684907970,Brine Hadal Basin,1800,3600,4300,2.45,Data_TitaniumScrap,3511699502,Titanium Scrap,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,6.268,10,3,2,1
biome.brine_hadal,684907970,Brine Hadal Basin,1800,3600,4300,2.45,Data_Copper,2276338585,Copper Ore,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,6.268,13,3,2,1
biome.brine_hadal,684907970,Brine Hadal Basin,1800,3600,4300,2.45,Data_SilicaShards,3920354616,Silica Shards,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.60,7.321,15,3,2,1
biome.brine_hadal,684907970,Brine Hadal Basin,1800,3600,4300,2.45,Data_FiberKelp,2069849578,Fiber Kelp,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.40,5.214,1,2,1,1
biome.brine_hadal,684907970,Brine Hadal Basin,1800,3600,4300,2.45,Data_HydrocarbonResin,248205602,Hydrocarbon Resin,1,1.50,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.70,9.374,11,4,2,1
biome.brine_hadal,684907970,Brine Hadal Basin,1800,3600,4300,2.45,Data_SulfurClumps,3346875565,Sulfur Clumps,1,1.20,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.80,10.428,42,4,3,2
biome.brine_hadal,684907970,Brine Hadal Basin,1800,3600,4300,2.45,Data_SilverOre,884621125,Silver Ore,1,2.00,3,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.00,13.535,11,5,3,2
biome.brine_hadal,684907970,Brine Hadal Basin,1800,3600,4300,2.45,Data_GoldOre,4056809162,Gold Ore,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.10,15.589,16,6,4,2
