biome_id,biome_hash32,biome_display_name,resource_id,resource_hash32,resource_display_name,weight_u8,cumulative_weight_u16,total_weight_u16,expected_basis_points,simulated_count,simulated_basis_points,delta_basis_points
biome.abyssal_rift,523767926,Abyssal Rift,Data_Copper,2276338585,Copper Ore,4,7,166,240,23949,239,-1
biome.abyssal_rift,523767926,Abyssal Rift,Data_SilicaShards,3920354616,Silica Shards,8,15,166,481,48403,484,3
biome.abyssal_rift,523767926,Abyssal Rift,Data_FiberKelp,2069849578,Fiber Kelp,1,16,166,60,5964,59,-1
biome.abyssal_rift,523767926,Abyssal Rift,Data_HydrocarbonResin,248205602,Hydrocarbon Resin,3,19,166,180,18139,181,1
biome.abyssal_rift,523767926,Abyssal Rift,Data_SulfurClumps,3346875565,Sulfur Clumps,14,33,166,843,84513,845,2
biome.abyssal_rift,523767926,Abyssal Rift,Data_SilverOre,884621125,Silver Ore,4,37,166,240,24061,240,0
biome.abyssal_rift,523767926,Abyssal Rift,Data_GoldOre,4056809162,Gold Ore,7,44,166,421,42385,423,2
biome.abyssal_rift,523767926,Abyssal Rift,Data_LithiumCrystal,3763503872,Lithium Crystal,10,54,166,602,60006,600,-2
biome.abyssal_rift,523767926,Abyssal Rift,Data_NickelOre,1037165092,Nickel Ore,16,70,166,963,96559,965,2
biome.abyssal_rift,523767926,Abyssal Rift,Data_CobaltAlloy,857583970,Cobalt Alloy,19,89,166,1144,114440,1144,0
biome.abyssal_rift,523767926,Abyssal Rift,Data_ThermalGel,1601052383,Thermal Gel,19,108,166,1144,114416,1144,0
biome.abyssal_rift,523767926,Abyssal Rift,Data_CarbonGraphite,2008184373,Carbon Graphite,23,131,166,1385,138204,1382,-3
biome.abyssal_rift,523767926,Abyssal Rift,Data_RareEarthDust,1997058338,Rare Earth Dust,19,150,166,1144,114388,1143,-1
biome.abyssal_rift,523767926,Abyssal Rift,Data_AbyssalCrystal,702456815,Abyssal Crystal,16,166,166,963,96808,968,5
