recipe_id,recipe_hash32,result_item_id,result_item_hash32,display_name,category_id,progression_tier,input_mass_kg,output_mass_kg,baseline_cost_units,PowerCost_kWh,FabricationTimeSeconds,required_tools,ingredient_summary
Recipe_O2Recycler,2923027362,Module_O2Recycler,1361286512,O2 Recycler Module,recipe.category.base_module,2,4.350,4.350,19.900,0.851,38.8,Item_Tool_FabricatorCradle,Comp_PumpRotorx1|Comp_FiberMeshx1|Comp_BatteryCellx1
Recipe_SumpPump,2122649033,Module_SumpPump,822934043,Sump Pump Module,recipe.category.base_module,2,5.650,5.650,23.300,0.991,42.7,Item_Tool_FabricatorCradle|Item_Tool_Repair,Comp_PumpRotorx1|Comp_SealantPackx1|Comp_PowerCouplerx1
Recipe_AirlockFrame,2301960694,Module_AirlockFrame,1235472580,Airlock Frame,recipe.category.base_module,2,11.100,11.100,30.900,1.989,55.9,Item_Tool_FabricatorCradle,Comp_ReinforcedPlatex2|Comp_SealantPackx1|Comp_GlassPanelx1
Recipe_PressurizedContainer,1415793039,Module_PressurizedContainer,2749184637,Pressurized Container Module,recipe.category.base_module,2,8.200,8.200,27.300,1.454,49.0,Item_Tool_FabricatorCradle,Comp_ReinforcedPlatex1|Comp_SealantPackx2|Comp_GlassPanelx1|Comp_FiberMeshx1
Recipe_WaterPurifier,1075339385,Module_WaterPurifier,3988862075,Water Purifier Module,recipe.category.base_module,2,6.400,6.400,25.400,1.142,45.0,Item_Tool_FabricatorCradle|Item_Tool_Repair,Comp_PumpRotorx1|Comp_CircuitBoardx1|Comp_PowerCouplerx1
Recipe_SolarTrickleBank,616969225,Module_SolarTrickleBank,1662399067,Solar Trickle Bank,recipe.category.base_module,2,7.700,7.700,27.200,1.769,48.1,Item_Tool_FabricatorCradle,Comp_GlassPanelx2|Comp_CircuitBoardx2|Comp_PowerCouplerx1
Recipe_RebreatherMask,2912336950,Suit_RebreatherMask,1512168445,Rebreather Mask,recipe.category.survival,2,4.650,4.650,18.900,0.910,38.9,Item_Tool_FabricatorCradle,Comp_FiberMeshx1|Comp_PrecisionLensx1|Item_StandardO2Tankx1
Recipe_ReinforcedDiveSuit,1203233830,Suit_ReinforcedDiveSuit,1605863229,Reinforced Dive Suit,recipe.category.survival,2,7.150,7.150,24.900,1.073,46.1,Item_Tool_FabricatorCradle,Comp_FiberMeshx2|Comp_ReinforcedPlatex1|Comp_SealantPackx1
Recipe_SeaGlideFrame,2683041971,Vehicle_SeaGlideFrame,522021219,Seaglide Frame,recipe.category.vehicle,2,7.900,7.900,28.600,1.552,49.1,Item_Tool_FabricatorCradle,Comp_PumpRotorx1|Comp_PowerCouplerx1|Comp_BatteryCellx1|Comp_StructuralBracketx1
Recipe_Tool_EnvAnalyzer,742214422,Item_Tool_EnvAnalyzer,2495175395,Environmental Analyzer,recipe.category.tool,2,7.600,7.600,30.400,1.738,49.4,Item_Tool_Scanner,Item_Tool_Scannerx1|Comp_CircuitBoardx1|Comp_PrecisionLensx1|Comp_BatteryCellx1
Recipe_Tool_SalvageSampler,2473189330,Item_Tool_SalvageSampler,2737502431,Salvage Sampler,recipe.category.tool,2,9.050,9.050,30.400,1.802,52.0,Item_Tool_SalvageKnife,Item_Tool_SalvageKnifex1|Comp_CircuitBoardx1|Comp_PumpRotorx1|Comp_BatteryCellx1
Recipe_SonarPinger,3094612340,Beacon_SonarPinger,3308986304,Sonar Pinger Beacon,recipe.category.component,2,5.450,5.450,20.200,1.166,40.9,Item_Tool_Scanner,Comp_PowerCouplerx1|Comp_CircuitBoardx1|Comp_GlassPanelx1|Data_SilverOrex1
Recipe_ThermalRegulator,3199806384,Module_ThermalRegulator,44797570,Thermal Regulator Module,recipe.category.base_module,2,5.050,5.050,24.400,1.146,42.1,Item_Tool_FabricatorCradle|Item_Tool_Repair,Data_ThermalGelx1|Comp_PowerCouplerx1|Comp_PumpRotorx1
Recipe_SignalConsole,1523046515,Module_SignalConsole,1304904049,Signal Console Module,recipe.category.base_module,2,6.650,6.650,24.200,1.357,44.9,Item_Tool_FabricatorCradle|Item_Tool_Scanner,Comp_CircuitBoardx2|Comp_GlassPanelx1|Comp_PowerCouplerx1
Recipe_DepthCompensator,2344520494,Upgrade_DepthCompensator,1167658630,Depth Compensator,recipe.category.submarine_upgrade,3,20.750,20.750,78.300,3.764,101.6,Item_Tool_EnvAnalyzer,Comp_ReinforcedPlatex2|Comp_PowerCouplerx2|Data_NickelOrex4|Module_O2Recyclerx1
Recipe_BallastOptimizer,531469028,Upgrade_BallastOptimizer,1231965596,Ballast Optimizer,recipe.category.submarine_upgrade,3,17.650,17.650,78.100,3.212,95.9,Item_Tool_EnvAnalyzer,Comp_PumpRotorx2|Comp_PowerCouplerx2|Module_SumpPumpx1|Data_NickelOrex4
Recipe_SonarAmplifier,3235962818,Upgrade_SonarAmplifier,2406373322,Sonar Amplifier,recipe.category.submarine_upgrade,3,12.100,12.100,71.200,3.328,82.8,Item_Tool_EnvAnalyzer,Comp_CircuitBoardx2|Comp_PrecisionLensx2|Data_RareEarthDustx2|Data_GoldOrex1|Beacon_SonarPingerx1|Data_AbyssalCrystalx1
Recipe_HullArmorLattice,3839810470,Upgrade_HullArmorLattice,1257718430,Hull Armor Lattice,recipe.category.submarine_upgrade,3,30.950,30.950,86.900,5.698,123.8,Item_Tool_SalvageSampler,Comp_ReinforcedPlatex4|Data_CobaltAlloyx1|Data_CarbonGraphitex1|Module_FoundationKitx1
Recipe_HighCapacityCell,376833910,Upgrade_HighCapacityCell,2083712206,High Capacity Cell,recipe.category.submarine_upgrade,3,13.150,13.150,83.400,4.189,90.2,Item_Tool_EnvAnalyzer,Comp_BatteryCellx4|Data_LithiumCrystalx2|Data_RareEarthDustx2|Data_GoldOrex1|Module_PowerRelayx1|Data_AbyssalCrystalx1
Recipe_ThermalShielding,504564630,Upgrade_ThermalShielding,2908096734,Thermal Shielding,recipe.category.submarine_upgrade,3,16.200,16.200,80.400,4.407,94.3,Item_Tool_EnvAnalyzer|Item_Tool_Repair,Data_ThermalGelx3|Comp_ReinforcedPlatex2|Data_CobaltAlloyx1|Module_ThermalRegulatorx1|Data_AbyssalCrystalx1
Recipe_GuidanceModule,2196597006,Upgrade_GuidanceModule,657239398,Guidance Module,recipe.category.submarine_upgrade,3,14.250,14.250,81.400,3.995,91.3,Item_Tool_EnvAnalyzer,Comp_CircuitBoardx2|Comp_PrecisionLensx2|Data_RareEarthDustx2|Data_GoldOrex1|Item_Tool_EnvAnalyzerx1|Data_AbyssalCrystalx1
Recipe_HydraulicActuator,2040131956,Upgrade_HydraulicActuator,1328461324,Hydraulic Actuator,recipe.category.submarine_upgrade,3,19.500,19.500,77.000,3.571,98.8,Item_Tool_SalvageSampler,Comp_PumpRotorx3|Comp_ReinforcedPlatex1|Data_NickelOrex1|Data_CobaltAlloyx1|Module_WaterPurifierx1
Recipe_ReactorBypassCoupler,4187834654,Upgrade_ReactorBypassCoupler,3833141382,Reactor Bypass Coupler,recipe.category.submarine_upgrade,3,11.600,11.600,71.600,2.414,82.1,Item_Tool_EnvAnalyzer|Item_Tool_Repair,Comp_PowerCouplerx3|Comp_CircuitBoardx2|Data_RareEarthDustx3|Data_GoldOrex1|Data_ThermalGelx1
Recipe_EngineOverdriveManifold,1306256436,Upgrade_EngineOverdriveManifold,3136873884,Engine Overdrive Manifold,recipe.category.submarine_upgrade,3,20.850,20.850,87.600,4.349,106.0,Item_Tool_SalvageSampler,Comp_PumpRotorx3|Comp_PowerCouplerx2|Data_ThermalGelx1|Data_CobaltAlloyx1|Vehicle_SeaGlideFramex1
Recipe_AbyssPressureShell,257314259,Upgrade_AbyssPressureShell,932012347,Abyss Pressure Shell,recipe.category.submarine_upgrade,3,31.000,31.000,110.900,7.074,134.7,Item_Tool_EnvAnalyzer|Item_Tool_SalvageSampler,Comp_ReinforcedPlatex4|Data_CarbonGraphitex2|Data_RareEarthDustx1|Data_AbyssalCrystalx1|Module_AirlockFramex1
Recipe_AbyssalStabilizer,1997363424,Upgrade_AbyssalStabilizer,3542071688,Abyssal Stabilizer,recipe.category.submarine_upgrade,3,12.100,12.100,88.400,4.591,90.6,Item_Tool_EnvAnalyzer|Item_Tool_SalvageSampler,Data_AbyssalCrystalx2|Data_RareEarthDustx2|Data_CobaltAlloyx2|Data_ThermalGelx1|Comp_PowerCouplerx1|Module_SignalConsolex1
