blueprint_id,family,scale,lod0_tris,lod1_tris,lod2_tris,lod3_tris,collider_type
BP_CORAL_LOW_06,family_coral_low,1.8,5400,2700,900,180,Box
BP_CORAL_LOW_07,family_coral_low,1.1,3300,1600,550,110,Compound
BP_CORAL_LOW_08,family_coral_low,1.4,4200,2100,750,140,Sphere
BP_CORAL_LOW_09,family_coral_low,0.5,1500,700,250,50,Box
BP_CORAL_LOW_10,family_coral_low,1.6,4800,2400,850,160,Sphere
BP_CORAL_MAS_01,family_coral_massive,1.0,12000,6000,1500,300,Mesh
BP_CORAL_MAS_02,family_coral_massive,1.5,18000,9000,2500,500,Mesh
BP_CORAL_MAS_03,family_coral_massive,2.0,24000,12000,3500,700,Mesh
BP_CORAL_MAS_04,family_coral_massive,0.8,9000,4500,1200,250,Mesh
BP_CORAL_MAS_05,family_coral_massive,1.2,14000,7000,1800,350,Mesh
BP_CORAL_MAS_06,family_coral_massive,1.8,21000,10500,3000,600,Compound
BP_CORAL_MAS_07,family_coral_massive,1.1,13000,6500,1600,320,Mesh
BP_CORAL_MAS_08,family_coral_massive,1.4,16000,8000,2200,400,Mesh
BP_CORAL_MAS_09,family_coral_massive,0.5,6000,3000,800,150,Mesh
BP_CORAL_MAS_10,family_coral_massive,1.6,19000,9500,2800,550,Compound
BP_CORAL_PLA_01,family_coral_plate,1.0,4000,2000,500,100,Box
BP_CORAL_PLA_02,family_coral_plate,1.5,6000,3000,800,150,Box
BP_CORAL_PLA_03,family_coral_plate,0.8,3200,1600,400,80,Box
BP_CORAL_PLA_04,family_coral_plate,1.2,4800,2400,600,120,Compound
BP_CORAL_PLA_05,family_coral_plate,2.0,8000,4000,1000,200,Compound
BP_CORAL_PLA_06,family_coral_plate,1.8,7200,3600,900,180,Compound
BP_CORAL_PLA_07,family_coral_plate,1.1,4400,2200,550,110,Box
BP_CORAL_PLA_08,family_coral_plate,1.4,5600,2800,750,140,Box
BP_CORAL_PLA_09,family_coral_plate,0.5,2000,1000,250,50,Box
BP_CORAL_PLA_10,family_coral_plate,1.6,6400,3200,850,160,Box
BP_DEB_FLD_01,family_debris_field,1.0,20000,10000,2500,500,Compound
BP_DEB_FLD_02,family_debris_field,1.5,30000,15000,4000,800,Compound
BP_DEB_FLD_03,family_debris_field,2.0,40000,20000,5500,1100,Compound
BP_DEB_FLD_04,family_debris_field,0.8,16000,8000,2000,400,Compound
BP_DEB_FLD_05,family_debris_field,1.2,24000,12000,3000,600,Compound
BP_DEB_FLD_06,family_debris_field,1.8,36000,18000,4500,900,Compound
BP_DEB_FLD_07,family_debris_field,1.1,22000,11000,2800,550,Compound
BP_DEB_FLD_08,family_debris_field,1.4,28000,14000,3500,700,Compound
BP_DEB_FLD_09,family_debris_field,0.5,10000,5000,1200,250,Compound
BP_DEB_FLD_10,family_debris_field,1.6,32000,16000,4200,850,Compound
BP_DEB_SCA_01,family_debris_scatter,1.0,6000,3000,800,150,Box
BP_DEB_SCA_02,family_debris_scatter,1.5,9000,4500,1200,250,Box
BP_DEB_SCA_03,family_debris_scatter,0.8,4800,2400,600,120,Mesh
BP_DEB_SCA_04,family_debris_scatter,1.2,7200,3600,900,180,Capsule
BP_DEB_SCA_05,family_debris_scatter,2.0,12000,6000,1500,300,Mesh
BP_DEB_SCA_06,family_debris_scatter,1.8,10800,5400,1400,280,Mesh
BP_DEB_SCA_07,family_debris_scatter,1.1,6600,3300,850,160,Compound
BP_DEB_SCA_08,family_debris_scatter,1.4,8400,4200,1100,220,Mesh
BP_DEB_SCA_09,family_debris_scatter,0.5,3000,1500,400,80,Capsule
BP_DEB_SCA_10,family_debris_scatter,1.6,9600,4800,1300,260,Compound
BP_KELP_CAN_01,family_kelp_canopy,1.0,15000,7500,2000,400,Capsule
BP_KELP_CAN_02,family_kelp_canopy,1.5,22000,11000,3000,600,Capsule
BP_KELP_CAN_03,family_kelp_canopy,0.8,12000,6000,1600,320,Capsule
BP_KELP_CAN_04,family_kelp_canopy,1.2,18000,9000,2400,480,Capsule
BP_KELP_CAN_05,family_kelp_canopy,2.0,30000,15000,4000,800,Compound
BP_KELP_CAN_06,family_kelp_canopy,1.8,27000,13500,3600,720,Compound
BP_KELP_CAN_07,family_kelp_canopy,1.1,16500,8200,2200,440,Capsule
BP_KELP_CAN_08,family_kelp_canopy,1.4,21000,10500,2800,560,Capsule
BP_KELP_CAN_09,family_kelp_canopy,0.5,7500,3800,1000,200,Capsule
BP_KELP_CAN_10,family_kelp_canopy,1.6,24000,12000,3200,640,Compound
BP_KELP_PAT_01,family_kelp_patch_dense,1.0,25000,12000,3000,600,Compound
BP_KELP_PAT_02,family_kelp_patch_dense,1.5,37000,18000,4500,900,Compound
BP_KELP_PAT_03,family_kelp_patch_dense,0.8,20000,10000,2400,480,Compound
BP_KELP_PAT_04,family_kelp_patch_dense,1.2,30000,15000,3600,720,Compound
BP_KELP_PAT_05,family_kelp_patch_dense,2.0,50000,25000,6000,1200,Compound
BP_KELP_PAT_06,family_kelp_patch_dense,1.8,45000,22000,5400,1000,Compound
BP_KELP_PAT_07,family_kelp_patch_dense,1.1,27000,13500,3300,660,Compound
BP_KELP_PAT_08,family_kelp_patch_dense,1.4,35000,17500,4200,840,Compound
BP_KELP_PAT_09,family_kelp_patch_dense,0.5,12000,6000,1500,300,Compound
BP_KELP_PAT_10,family_kelp_patch_dense,1.6,40000,20000,4800,960,Compound
BP_KELP_TAL_01,family_kelp_tall,1.0,8000,4000,1000,200,Capsule
BP_KELP_TAL_02,family_kelp_tall,1.5,12000,6000,1500,300,Capsule
BP_KELP_TAL_03,family_kelp_tall,0.8,6400,3200,800,160,Capsule
BP_KELP_TAL_04,family_kelp_tall,1.2,9600,4800,1200,240,Capsule
BP_KELP_TAL_05,family_kelp_tall,2.0,16000,8000,2000,400,Compound
BP_KELP_TAL_06,family_kelp_tall,1.8,14400,7200,1800,360,Capsule
BP_KELP_TAL_07,family_kelp_tall,1.1,8800,4400,1100,220,Capsule
BP_KELP_TAL_08,family_kelp_tall,1.4,11200,5600,1400,280,Capsule
BP_KELP_TAL_09,family_kelp_tall,0.5,4000,2000,500,100,Capsule
BP_KELP_TAL_10,family_kelp_tall,1.6,12800,6400,1600,320,Capsule
BP_RCH_LRG_01,family_rock_arch_large,1.0,20000,10000,2500,500,Mesh
BP_RCH_LRG_02,family_rock_arch_large,1.5,30000,15000,3500,750,Mesh
BP_RCH_LRG_03,family_rock_arch_large,0.8,16000,8000,2000,400,Mesh
BP_RCH_LRG_04,family_rock_arch_large,1.2,24000,12000,3000,600,Mesh
BP_RCH_LRG_05,family_rock_arch_large,2.0,40000,20000,5000,1000,Mesh
BP_RCH_LRG_06,family_rock_arch_large,1.8,36000,18000,4500,900,Mesh
BP_RCH_LRG_07,family_rock_arch_large,1.1,22000,11000,2800,550,Mesh
BP_RCH_LRG_08,family_rock_arch_large,1.4,28000,14000,3500,700,Mesh
BP_RCH_LRG_09,family_rock_arch_large,0.5,10000,5000,1200,250,Mesh
BP_RCH_LRG_10,family_rock_arch_large,1.6,32000,16000,4000,800,Mesh
BP_RCK_MED_01,family_rock_cluster_medium,1.0,15000,7500,2000,400,Compound
BP_RCK_MED_02,family_rock_cluster_medium,1.5,22500,11000,3000,600,Compound
BP_RCK_MED_03,family_rock_cluster_medium,0.8,12000,6000,1600,320,Compound
BP_RCK_MED_04,family_rock_cluster_medium,1.2,18000,9000,2400,480,Compound
BP_RCK_MED_05,family_rock_cluster_medium,2.0,30000,15000,4000,800,Compound
BP_RCK_MED_06,family_rock_cluster_medium,1.8,27000,13500,3600,720,Compound
BP_RCK_MED_07,family_rock_cluster_medium,1.1,16500,8200,2200,440,Compound
BP_RCK_MED_08,family_rock_cluster_medium,1.4,21000,10500,2800,560,Compound
BP_RCK_MED_09,family_rock_cluster_medium,0.5,7500,3700,1000,200,Compound
BP_RCK_MED_10,family_rock_cluster_medium,1.6,24000,12000,3200,640,Compound
BP_RUN_MED_01,family_ruin_cluster_medium,1.0,18000,9000,2500,500,Mesh
BP_RUN_MED_02,family_ruin_cluster_medium,1.5,27000,13500,3500,750,Mesh
BP_RUN_MED_03,family_ruin_cluster_medium,0.8,14400,7200,2000,400,Mesh
BP_RUN_MED_04,family_ruin_cluster_medium,1.2,21600,10800,3000,600,Mesh
BP_RUN_MED_05,family_ruin_cluster_medium,2.0,36000,18000,5000,1000,Mesh
BP_RUN_MED_06,family_ruin_cluster_medium,1.8,32400,16200,4500,900,Mesh
BP_RUN_MED_07,family_ruin_cluster_medium,1.1,19800,9900,2800,550,Mesh
BP_RUN_MED_08,family_ruin_cluster_medium,1.4,25200,12600,3500,700,Mesh
BP_RUN_MED_09,family_ruin_cluster_medium,0.5,9000,4500,1200,250,Mesh
BP_RUN_MED_10,family_ruin_cluster_medium,1.6,28800,14400,4000,800,Mesh
BP_SRV_SCR_01,family_service_scar,1.0,14000,7000,1800,400,Mesh
BP_SRV_SCR_02,family_service_scar,1.5,21000,10500,2700,600,Mesh
BP_SRV_SCR_03,family_service_scar,0.8,11200,5600,1400,320,Mesh
BP_SRV_SCR_04,family_service_scar,1.2,16800,8400,2100,480,Mesh
BP_SRV_SCR_05,family_service_scar,2.0,28000,14000,3600,800,Mesh
BP_SRV_SCR_06,family_service_scar,1.8,25200,12600,3200,720,Mesh
BP_SRV_SCR_07,family_service_scar,1.1,15400,7700,1900,440,Mesh
BP_SRV_SCR_08,family_service_scar,1.4,19600,9800,2500,560,Mesh
BP_SRV_SCR_09,family_service_scar,0.5,7000,3500,900,200,Mesh
BP_SRV_SCR_10,family_service_scar,1.6,22400,11200,2800,640,Mesh
