id,domain,file,symbol_or_asset,current_behavior,why_it_reads_bad_in_game,player_distance_band,pressure_depth_band,fix_type,proposed_fix,acceptance_gate,confidence
68,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_megastructure__stack,Stacked modules intersect with z-fighting,Flickering occurs where modules meet,10-20m,ruins,Integration,Adjust vertical spacing to eliminate overlap,No z-fighting is present,High
69,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_megastructure__tower,Tower lacks LOD models,Causes severe performance drops at a distance,50m+,ruins,LOD,Generate LOD1 and LOD2 meshes for the tower,LOD chain is present,High
70,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_module_single,Single module has no bevels on the outer hull,Reads as a low-poly proxy mesh,0-8m,ruins,Geometry,Implement bevel loops on major hull transitions,Hull has beveled edges,High
71,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_module_single__block,Block module uses a tiled texture with visible repetition,Texture tiling breaks the scale of the object,0-8m,ruins,Material,Use triplanar mapping with macro variation masks,Tiling is obscured,High
72,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_module_single__breach,Breach hole is perfectly circular,Does not look like explosive or pressure damage,0-8m,ruins,Geometry,Apply jagged noise to the breach perimeter,Breach is irregular,High
73,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_route_power,Power route nodes are not aligned to the surface,Nodes clip into the terrain awkwardly,0-8m,ruins,Integration,Align node bases to the terrain normal,Nodes match terrain slope,High
74,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_route_power__node,Node lights lack emissive intensity,Hard to spot the route in deep water,10-20m,ruins,Material,Boost emissive channel on the light material,Lights are clearly visible,High
75,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_route_power__relay,Relay cables are straight lines,Cables lack natural sag and tension,0-8m,ruins,Geometry,Generate cables using a catenary curve algorithm,Cables sag naturally,High
76,scatter,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_service_scar,Service scar decal floats above the terrain,Decal projection depth is insufficient,0-8m,ruins,Integration,Increase the projection depth of the decal projector,Decal conforms to terrain,High
77,scatter,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_service_scar__pump,Pump machinery lacks proper collision proxy,Player can clip into the pump model,0-8m,ruins,Collision,Generate compound box colliders for the pump,Collision matches visual bounds,High
78,scatter,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_service_scar__strip,Strip hazard paint is overly saturated,Looks cartoonish in the dark environment,0-8m,ruins,Material,Desaturate the yellow hazard paint albedo,Paint looks weathered,High
79,LOD,Assets/_Project/Scripts/WorldProceduralProxyInstance.cs,PFB_family_rock_small_floor__group,LOD1 removes too many vertices on the silhouette,Silhouette changes drastically when moving away,10-20m,photic,LOD,Use Quadric Edge Collapse with protected silhouette edges,Silhouette pops are minimal,High
80,LOD,Assets/_Project/Scripts/WorldProceduralProxyInstance.cs,PFB_family_rock_arch_large,LOD2 arch reduces to a single flat card prematurely,The 3D volume is lost too close to the player,20-50m,abyss,LOD,Delay the transition to impostor cards by 20 meters,3D volume persists longer,High
81,LOD,Assets/_Project/Scripts/WorldProceduralProxyInstance.cs,PFB_family_coral_branching,Branching coral LODs do not preserve the branch tips,Coral appears to shrink as the camera moves away,10-20m,reef,LOD,Protect branch tip vertices during decimation,Coral height remains constant,High
82,LOD,Assets/_Project/Scripts/WorldProceduralProxyInstance.cs,PFB_family_kelp_tall,Tall kelp LOD0 causes severe overdraw when viewed through fields,Performance plummets in kelp forests,10-20m,abyss,Rendering,Replace complex blade geometry with simple dithered cards at LOD1,Overdraw is reduced significantly,High
83,LOD,Assets/_Project/Scripts/WorldProceduralProxyInstance.cs,PFB_family_ruin_megastructure,Megastructure LODs lack material matching,Color shift occurs during LOD transition,50m+,ruins,Material,Ensure baked LOD textures match LOD0 albedo precisely,No color popping occurs,High
84,collider,Assets/_Project/Scripts/CaveBioRootsGenerator.cs,PFB_family_cave_entrance,Cave entrance collision uses the complex visual mesh,Massive performance hit on the physics engine,0-8m,cave,Collision,Generate a low-poly convex hull proxy for the cave walls,MeshCollider uses proxy,High
85,collider,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_shelf_large__wall,Shelf wall collision is missing entirely,Player can swim through solid rock,0-8m,photic,Collision,Ensure physical proxy generation is enabled for shelf walls,Collision blocks player,High
86,collider,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_plant_giant,Giant plant stem uses a box collider,Collision shape does not match the cylindrical stem,0-8m,reef,Collision,Replace box collider with a fitted capsule collider,Collision matches stem shape,High
87,collider,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_module_single,Ruin module collision extends beyond the visual bounds,Invisible barriers block the player near the module,0-8m,ruins,Collision,Shrink compound colliders to match visual geometry exactly,No invisible barriers,High
88,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_cluster_medium__cluster,Geology mesh output fails to maintain consistent normal breaks on 45 degree edges (instance 2),Smoothing errors persist on procedural rock variants,0-8m,photic,Geometry,Enforce sharp normal splitting on faces exceeding 45 degrees,Normals validate as split on steep angles,High
89,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_cluster_medium__ridge,Vertices at the base of the rock lack contact shadow blending channels (instance 2),Ridge base appears disconnected from the seafloor,0-8m,photic,VertexColor,Bake ambient occlusion into the blue vertex color channel at the base,Vertex blue channel contains a gradient,High
90,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_cluster_medium__stack,The cluster mesh aggregates individual rocks without welding intersecting faces (instance 2),Stack exhibits internal z-fighting,0-8m,abyss,Geometry,Apply boolean union to sub-meshes before finalizing topology,No intersecting internal geometry,High
91,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_arch_large__split,Stack generator outputs identical rock variants stacked vertically (instance 2),Split surfaces look repetitive,10-20m,abyss,Generation,Force distinct rotation and scale seeds for each stack element,Elements vary by at least 15 percent,High
92,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_shelf_large__ledge,Ridge triangulation creates degenerate triangles along the spine (instance 2),Ledge features have broken geometry,0-8m,abyss,Topology,Filter degenerate triangles during the marching cubes pass,Degenerate triangle count is zero,High
93,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_cave_entrance,Arch curvature relies on too few segments (instance 2),Entrance curve is faceted,0-8m,cave,LOD0,Increase radial segment count on the inner curve of the arch,Silhouette curvature is smooth,High
94,cave,Assets/_Project/Scripts/CaveBioRootsGenerator.cs,PFB_family_cave_entrance__lip,Split surfaces do not carry the corresponding fracture noise (instance 2),Lip fracture looks flat,0-8m,cave,Geometry,Inject high-frequency noise on the interior faces of the split,Fracture plane has variance,High
95,cave,Assets/_Project/Scripts/CaveBioRootsGenerator.cs,PFB_family_cave_entrance__shaft,Ledge tops are completely flat without sediment accumulation geometry (instance 2),Shaft ledges lack sediment,0-8m,cave,Geometry,Extrude upper faces to simulate uneven sediment deposits,Top faces are non-planar,High
96,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_hazard__nest,Wall faces stretch UVs vertically beyond the 20 percent threshold (instance 2),Nest walls stretch textures,0-8m,cave,UV,Apply triplanar mapping or re-project UVs vertically,UV stretching is under 15 percent,High
97,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_hazard__vent,Cave entrance mesh lacks an overhang lip (instance 2),Vent opening looks unnatural,0-8m,cave,Geometry,Add a secondary voxel subtraction pass for the entrance arch,Entrance has a defined lip,High
98,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_resource__cache,Roots penetrating the lip do not deform the rock mesh (instance 2),Cache geometry clips into roots,0-8m,cave,Integration,Apply boolean subtraction or deformation to accommodate roots,Mesh shows penetration sockets,High
99,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_resource__mound,Shaft walls contain inverted normals on the interior faces (instance 2),Mound has flipped normals,0-8m,cave,Topology,Enforce consistent winding order pointing towards the center,All normals point inward,High
100,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_safe__bubble,Hazard nest geometry is a perfect hemisphere (instance 2),Bubble uses a perfect sphere,0-8m,cave,Geometry,Introduce radial asymmetry and cavity noise,Nest is asymmetrical,High
101,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_safe__shelter,Vent chimneys lack the required sulfur deposit vertex colors (instance 2),Shelter lacks colored deposits,0-8m,cave,VertexColor,Paint green vertex channel high at the chimney aperture,Green channel is above 200,High
102,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_low,Resource cache uses a flat plane for the floor (instance 2),Coral base is completely flat,0-8m,reef,Integration,Displace floor vertices to match terrain heightmap,Floor matches terrain,High
103,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_low__bed,Mound is too low-poly and reads as a pyramid (instance 2),Bed reads as a low-poly wedge,0-8m,reef,LOD0,Subdivide mound geometry and add noise displacement,Mound silhouette is uneven,High
104,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_low__plate,Safe bubble walls have zero thickness (instance 2),Plates lack edge thickness,10-20m,reef,Geometry,Extrude walls outward to provide thickness,Walls have positive thickness,High
105,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_branching,Shelter opening is a perfect circle (instance 2),Coral branches are perfect cylinders,0-8m,reef,Geometry,Apply Voronoi fracture to the opening edges,Opening is jagged,High
106,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_branching__branch,Low coral base lacks ambient occlusion (instance 2),Branch lacks root occlusion,0-8m,reef,VertexColor,Bake occlusion into the base vertices,Blue channel indicates shadow,High
