blueprint_id,material_target,texture_target,color_range,roughness_range
BP_CORAL_BRA_06,MAT_Coral_Hard_Blue,TEX_CoralBlue_Albedo_2k,0.4-0.6,0.4-0.6
BP_CORAL_BRA_07,MAT_Coral_Hard_Red,TEX_CoralRed_Albedo_2k,0.6-0.8,0.4-0.6
BP_CORAL_BRA_08,MAT_Coral_Hard_Yellow,TEX_CoralYellow_Albedo_2k,0.7-0.9,0.3-0.5
BP_CORAL_BRA_09,MAT_Coral_Hard_Blue,TEX_CoralBlue_Albedo_2k,0.4-0.6,0.4-0.6
BP_CORAL_BRA_10,MAT_Coral_Hard_Red,TEX_CoralRed_Albedo_2k,0.6-0.8,0.4-0.6
BP_CORAL_BRI_01,MAT_Coral_Soft_Purple,TEX_CoralPurple_Albedo_2k,0.5-0.7,0.2-0.4
BP_CORAL_BRI_02,MAT_Coral_Soft_Green,TEX_CoralGreen_Albedo_2k,0.4-0.6,0.2-0.4
BP_CORAL_BRI_03,MAT_Coral_Soft_Pink,TEX_CoralPink_Albedo_2k,0.7-0.9,0.2-0.4
BP_CORAL_BRI_04,MAT_Coral_Soft_Purple,TEX_CoralPurple_Albedo_2k,0.5-0.7,0.2-0.4
BP_CORAL_BRI_05,MAT_Coral_Soft_Green,TEX_CoralGreen_Albedo_2k,0.4-0.6,0.2-0.4
BP_CORAL_BRI_06,MAT_Coral_Soft_Pink,TEX_CoralPink_Albedo_2k,0.7-0.9,0.2-0.4
BP_CORAL_BRI_07,MAT_Coral_Soft_Purple,TEX_CoralPurple_Albedo_2k,0.5-0.7,0.2-0.4
BP_CORAL_BRI_08,MAT_Coral_Soft_Green,TEX_CoralGreen_Albedo_2k,0.4-0.6,0.2-0.4
BP_CORAL_BRI_09,MAT_Coral_Soft_Pink,TEX_CoralPink_Albedo_2k,0.7-0.9,0.2-0.4
BP_CORAL_BRI_10,MAT_Coral_Soft_Purple,TEX_CoralPurple_Albedo_2k,0.5-0.7,0.2-0.4
BP_CORAL_LOW_01,MAT_Coral_Brain_Base,TEX_BrainCoral_Albedo_2k,0.6-0.7,0.5-0.6
BP_CORAL_LOW_02,MAT_Coral_Brain_Dark,TEX_BrainCoralDark_Albedo_2k,0.3-0.4,0.5-0.6
BP_CORAL_LOW_03,MAT_Coral_Brain_Pale,TEX_BrainCoralPale_Albedo_2k,0.8-0.9,0.5-0.6
BP_CORAL_LOW_04,MAT_Coral_Brain_Base,TEX_BrainCoral_Albedo_2k,0.6-0.7,0.5-0.6
BP_CORAL_LOW_05,MAT_Coral_Brain_Dark,TEX_BrainCoralDark_Albedo_2k,0.3-0.4,0.5-0.6
BP_CORAL_LOW_06,MAT_Coral_Brain_Pale,TEX_BrainCoralPale_Albedo_2k,0.8-0.9,0.5-0.6
BP_CORAL_LOW_07,MAT_Coral_Brain_Base,TEX_BrainCoral_Albedo_2k,0.6-0.7,0.5-0.6
BP_CORAL_LOW_08,MAT_Coral_Brain_Dark,TEX_BrainCoralDark_Albedo_2k,0.3-0.4,0.5-0.6
BP_CORAL_LOW_09,MAT_Coral_Brain_Pale,TEX_BrainCoralPale_Albedo_2k,0.8-0.9,0.5-0.6
BP_CORAL_LOW_10,MAT_Coral_Brain_Base,TEX_BrainCoral_Albedo_2k,0.6-0.7,0.5-0.6
BP_CORAL_MAS_01,MAT_Coral_Rock_Blend,TEX_CoralRock_Albedo_4k,0.4-0.5,0.7-0.8
BP_CORAL_MAS_02,MAT_Coral_Rock_Light,TEX_CoralRockLight_Albedo_4k,0.6-0.7,0.7-0.8
BP_CORAL_MAS_03,MAT_Coral_Rock_Dark,TEX_CoralRockDark_Albedo_4k,0.2-0.3,0.7-0.8
BP_CORAL_MAS_04,MAT_Coral_Rock_Blend,TEX_CoralRock_Albedo_4k,0.4-0.5,0.7-0.8
BP_CORAL_MAS_05,MAT_Coral_Rock_Light,TEX_CoralRockLight_Albedo_4k,0.6-0.7,0.7-0.8
BP_CORAL_MAS_06,MAT_Coral_Rock_Dark,TEX_CoralRockDark_Albedo_4k,0.2-0.3,0.7-0.8
BP_CORAL_MAS_07,MAT_Coral_Rock_Blend,TEX_CoralRock_Albedo_4k,0.4-0.5,0.7-0.8
BP_CORAL_MAS_08,MAT_Coral_Rock_Light,TEX_CoralRockLight_Albedo_4k,0.6-0.7,0.7-0.8
BP_CORAL_MAS_09,MAT_Coral_Rock_Dark,TEX_CoralRockDark_Albedo_4k,0.2-0.3,0.7-0.8
BP_CORAL_MAS_10,MAT_Coral_Rock_Blend,TEX_CoralRock_Albedo_4k,0.4-0.5,0.7-0.8
BP_CORAL_PLA_01,MAT_Coral_Plate_Base,TEX_PlateCoral_Albedo_2k,0.5-0.6,0.4-0.5
BP_CORAL_PLA_02,MAT_Coral_Plate_Edge,TEX_PlateCoralEdge_Albedo_2k,0.7-0.8,0.4-0.5
BP_CORAL_PLA_03,MAT_Coral_Plate_Deep,TEX_PlateCoralDeep_Albedo_2k,0.3-0.4,0.4-0.5
BP_CORAL_PLA_04,MAT_Coral_Plate_Base,TEX_PlateCoral_Albedo_2k,0.5-0.6,0.4-0.5
BP_CORAL_PLA_05,MAT_Coral_Plate_Edge,TEX_PlateCoralEdge_Albedo_2k,0.7-0.8,0.4-0.5
BP_CORAL_PLA_06,MAT_Coral_Plate_Deep,TEX_PlateCoralDeep_Albedo_2k,0.3-0.4,0.4-0.5
BP_CORAL_PLA_07,MAT_Coral_Plate_Base,TEX_PlateCoral_Albedo_2k,0.5-0.6,0.4-0.5
BP_CORAL_PLA_08,MAT_Coral_Plate_Edge,TEX_PlateCoralEdge_Albedo_2k,0.7-0.8,0.4-0.5
BP_CORAL_PLA_09,MAT_Coral_Plate_Deep,TEX_PlateCoralDeep_Albedo_2k,0.3-0.4,0.4-0.5
BP_CORAL_PLA_10,MAT_Coral_Plate_Base,TEX_PlateCoral_Albedo_2k,0.5-0.6,0.4-0.5
BP_DEB_FLD_01,MAT_Metal_Rusted_Heavy,TEX_RustHeavy_Albedo_4k,0.3-0.4,0.6-0.8
BP_DEB_FLD_02,MAT_Metal_Painted_Worn,TEX_PaintWorn_Albedo_4k,0.4-0.5,0.5-0.7
BP_DEB_FLD_03,MAT_Metal_Scorched,TEX_ScorchedMetal_Albedo_4k,0.1-0.2,0.7-0.9
BP_DEB_FLD_04,MAT_Metal_Rusted_Heavy,TEX_RustHeavy_Albedo_4k,0.3-0.4,0.6-0.8
BP_DEB_FLD_05,MAT_Metal_Painted_Worn,TEX_PaintWorn_Albedo_4k,0.4-0.5,0.5-0.7
BP_DEB_FLD_06,MAT_Metal_Scorched,TEX_ScorchedMetal_Albedo_4k,0.1-0.2,0.7-0.9
BP_DEB_FLD_07,MAT_Metal_Rusted_Heavy,TEX_RustHeavy_Albedo_4k,0.3-0.4,0.6-0.8
BP_DEB_FLD_08,MAT_Metal_Painted_Worn,TEX_PaintWorn_Albedo_4k,0.4-0.5,0.5-0.7
BP_DEB_FLD_09,MAT_Metal_Scorched,TEX_ScorchedMetal_Albedo_4k,0.1-0.2,0.7-0.9
BP_DEB_FLD_10,MAT_Metal_Rusted_Heavy,TEX_RustHeavy_Albedo_4k,0.3-0.4,0.6-0.8
BP_DEB_SCA_01,MAT_Metal_Panel_White,TEX_PanelWhite_Albedo_2k,0.7-0.8,0.3-0.5
BP_DEB_SCA_02,MAT_Metal_Panel_Yellow,TEX_PanelYellow_Albedo_2k,0.6-0.8,0.3-0.5
BP_DEB_SCA_03,MAT_Metal_Wire_Copper,TEX_WireCopper_Albedo_1k,0.4-0.6,0.2-0.4
BP_DEB_SCA_04,MAT_Metal_Panel_White,TEX_PanelWhite_Albedo_2k,0.7-0.8,0.3-0.5
BP_DEB_SCA_05,MAT_Metal_Panel_Yellow,TEX_PanelYellow_Albedo_2k,0.6-0.8,0.3-0.5
BP_DEB_SCA_06,MAT_Metal_Wire_Copper,TEX_WireCopper_Albedo_1k,0.4-0.6,0.2-0.4
BP_DEB_SCA_07,MAT_Metal_Panel_White,TEX_PanelWhite_Albedo_2k,0.7-0.8,0.3-0.5
BP_DEB_SCA_08,MAT_Metal_Panel_Yellow,TEX_PanelYellow_Albedo_2k,0.6-0.8,0.3-0.5
BP_DEB_SCA_09,MAT_Metal_Wire_Copper,TEX_WireCopper_Albedo_1k,0.4-0.6,0.2-0.4
BP_DEB_SCA_10,MAT_Metal_Panel_White,TEX_PanelWhite_Albedo_2k,0.7-0.8,0.3-0.5
BP_KELP_CAN_01,MAT_Flora_Leaf_Green,TEX_KelpLeaf_Albedo_2k,0.3-0.5,0.2-0.4
BP_KELP_CAN_02,MAT_Flora_Leaf_Yellow,TEX_KelpLeafYellow_Albedo_2k,0.5-0.7,0.2-0.4
BP_KELP_CAN_03,MAT_Flora_Leaf_Brown,TEX_KelpLeafBrown_Albedo_2k,0.2-0.3,0.3-0.5
BP_KELP_CAN_04,MAT_Flora_Leaf_Green,TEX_KelpLeaf_Albedo_2k,0.3-0.5,0.2-0.4
BP_KELP_CAN_05,MAT_Flora_Leaf_Yellow,TEX_KelpLeafYellow_Albedo_2k,0.5-0.7,0.2-0.4
BP_KELP_CAN_06,MAT_Flora_Leaf_Brown,TEX_KelpLeafBrown_Albedo_2k,0.2-0.3,0.3-0.5
BP_KELP_CAN_07,MAT_Flora_Leaf_Green,TEX_KelpLeaf_Albedo_2k,0.3-0.5,0.2-0.4
BP_KELP_CAN_08,MAT_Flora_Leaf_Yellow,TEX_KelpLeafYellow_Albedo_2k,0.5-0.7,0.2-0.4
BP_KELP_CAN_09,MAT_Flora_Leaf_Brown,TEX_KelpLeafBrown_Albedo_2k,0.2-0.3,0.3-0.5
BP_KELP_CAN_10,MAT_Flora_Leaf_Green,TEX_KelpLeaf_Albedo_2k,0.3-0.5,0.2-0.4
BP_KELP_PAT_01,MAT_Flora_Stalk_Green,TEX_KelpStalk_Albedo_2k,0.4-0.5,0.3-0.5
BP_KELP_PAT_02,MAT_Flora_Stalk_Dark,TEX_KelpStalkDark_Albedo_2k,0.2-0.3,0.4-0.6
BP_KELP_PAT_03,MAT_Flora_Stalk_Pale,TEX_KelpStalkPale_Albedo_2k,0.6-0.7,0.2-0.4
BP_KELP_PAT_04,MAT_Flora_Stalk_Green,TEX_KelpStalk_Albedo_2k,0.4-0.5,0.3-0.5
BP_KELP_PAT_05,MAT_Flora_Stalk_Dark,TEX_KelpStalkDark_Albedo_2k,0.2-0.3,0.4-0.6
BP_KELP_PAT_06,MAT_Flora_Stalk_Pale,TEX_KelpStalkPale_Albedo_2k,0.6-0.7,0.2-0.4
BP_KELP_PAT_07,MAT_Flora_Stalk_Green,TEX_KelpStalk_Albedo_2k,0.4-0.5,0.3-0.5
BP_KELP_PAT_08,MAT_Flora_Stalk_Dark,TEX_KelpStalkDark_Albedo_2k,0.2-0.3,0.4-0.6
BP_KELP_PAT_09,MAT_Flora_Stalk_Pale,TEX_KelpStalkPale_Albedo_2k,0.6-0.7,0.2-0.4
BP_KELP_PAT_10,MAT_Flora_Stalk_Green,TEX_KelpStalk_Albedo_2k,0.4-0.5,0.3-0.5
BP_KELP_TAL_01,MAT_Flora_Vine_Thick,TEX_VineThick_Albedo_2k,0.3-0.4,0.4-0.5
BP_KELP_TAL_02,MAT_Flora_Vine_Old,TEX_VineOld_Albedo_2k,0.2-0.3,0.5-0.6
BP_KELP_TAL_03,MAT_Flora_Vine_Fresh,TEX_VineFresh_Albedo_2k,0.5-0.6,0.3-0.4
BP_KELP_TAL_04,MAT_Flora_Vine_Thick,TEX_VineThick_Albedo_2k,0.3-0.4,0.4-0.5
BP_KELP_TAL_05,MAT_Flora_Vine_Old,TEX_VineOld_Albedo_2k,0.2-0.3,0.5-0.6
BP_KELP_TAL_06,MAT_Flora_Vine_Fresh,TEX_VineFresh_Albedo_2k,0.5-0.6,0.3-0.4
BP_KELP_TAL_07,MAT_Flora_Vine_Thick,TEX_VineThick_Albedo_2k,0.3-0.4,0.4-0.5
BP_KELP_TAL_08,MAT_Flora_Vine_Old,TEX_VineOld_Albedo_2k,0.2-0.3,0.5-0.6
BP_KELP_TAL_09,MAT_Flora_Vine_Fresh,TEX_VineFresh_Albedo_2k,0.5-0.6,0.3-0.4
BP_KELP_TAL_10,MAT_Flora_Vine_Thick,TEX_VineThick_Albedo_2k,0.3-0.4,0.4-0.5
BP_RCH_LRG_01,MAT_Rock_Granite_Base,TEX_Granite_Albedo_4k,0.4-0.5,0.6-0.8
BP_RCH_LRG_02,MAT_Rock_Granite_Mossy,TEX_GraniteMossy_Albedo_4k,0.3-0.4,0.7-0.9
BP_RCH_LRG_03,MAT_Rock_Granite_Dark,TEX_GraniteDark_Albedo_4k,0.2-0.3,0.6-0.8
BP_RCH_LRG_04,MAT_Rock_Granite_Base,TEX_Granite_Albedo_4k,0.4-0.5,0.6-0.8
BP_RCH_LRG_05,MAT_Rock_Granite_Mossy,TEX_GraniteMossy_Albedo_4k,0.3-0.4,0.7-0.9
BP_RCH_LRG_06,MAT_Rock_Granite_Dark,TEX_GraniteDark_Albedo_4k,0.2-0.3,0.6-0.8
BP_RCH_LRG_07,MAT_Rock_Granite_Base,TEX_Granite_Albedo_4k,0.4-0.5,0.6-0.8
BP_RCH_LRG_08,MAT_Rock_Granite_Mossy,TEX_GraniteMossy_Albedo_4k,0.3-0.4,0.7-0.9
BP_RCH_LRG_09,MAT_Rock_Granite_Dark,TEX_GraniteDark_Albedo_4k,0.2-0.3,0.6-0.8
BP_RCH_LRG_10,MAT_Rock_Granite_Base,TEX_Granite_Albedo_4k,0.4-0.5,0.6-0.8
BP_RCK_MED_01,MAT_Rock_Slate_Base,TEX_Slate_Albedo_4k,0.2-0.3,0.5-0.7
BP_RCK_MED_02,MAT_Rock_Slate_Wet,TEX_SlateWet_Albedo_4k,0.1-0.2,0.2-0.4
BP_RCK_MED_03,MAT_Rock_Slate_Dusty,TEX_SlateDusty_Albedo_4k,0.4-0.5,0.7-0.9
BP_RCK_MED_04,MAT_Rock_Slate_Base,TEX_Slate_Albedo_4k,0.2-0.3,0.5-0.7
BP_RCK_MED_05,MAT_Rock_Slate_Wet,TEX_SlateWet_Albedo_4k,0.1-0.2,0.2-0.4
BP_RCK_MED_06,MAT_Rock_Slate_Dusty,TEX_SlateDusty_Albedo_4k,0.4-0.5,0.7-0.9
BP_RCK_MED_07,MAT_Rock_Slate_Base,TEX_Slate_Albedo_4k,0.2-0.3,0.5-0.7
BP_RCK_MED_08,MAT_Rock_Slate_Wet,TEX_SlateWet_Albedo_4k,0.1-0.2,0.2-0.4
BP_RCK_MED_09,MAT_Rock_Slate_Dusty,TEX_SlateDusty_Albedo_4k,0.4-0.5,0.7-0.9
BP_RCK_MED_10,MAT_Rock_Slate_Base,TEX_Slate_Albedo_4k,0.2-0.3,0.5-0.7
BP_RUN_MED_01,MAT_Arch_Concrete_Aged,TEX_ConcreteAged_Albedo_4k,0.5-0.6,0.7-0.9
BP_RUN_MED_02,MAT_Arch_Stone_Carved,TEX_StoneCarved_Albedo_4k,0.4-0.5,0.6-0.8
BP_RUN_MED_03,MAT_Arch_Tile_Broken,TEX_TileBroken_Albedo_4k,0.3-0.4,0.5-0.7
BP_RUN_MED_04,MAT_Arch_Concrete_Aged,TEX_ConcreteAged_Albedo_4k,0.5-0.6,0.7-0.9
BP_RUN_MED_05,MAT_Arch_Stone_Carved,TEX_StoneCarved_Albedo_4k,0.4-0.5,0.6-0.8
BP_RUN_MED_06,MAT_Arch_Tile_Broken,TEX_TileBroken_Albedo_4k,0.3-0.4,0.5-0.7
BP_RUN_MED_07,MAT_Arch_Concrete_Aged,TEX_ConcreteAged_Albedo_4k,0.5-0.6,0.7-0.9
BP_RUN_MED_08,MAT_Arch_Stone_Carved,TEX_StoneCarved_Albedo_4k,0.4-0.5,0.6-0.8
BP_RUN_MED_09,MAT_Arch_Tile_Broken,TEX_TileBroken_Albedo_4k,0.3-0.4,0.5-0.7
BP_RUN_MED_10,MAT_Arch_Concrete_Aged,TEX_ConcreteAged_Albedo_4k,0.5-0.6,0.7-0.9
BP_SRV_SCR_01,MAT_Tech_Industrial_Grey,TEX_TechGrey_Albedo_4k,0.4-0.5,0.5-0.7
BP_SRV_SCR_02,MAT_Tech_Warning_Stripe,TEX_WarningStripe_Albedo_2k,0.6-0.8,0.4-0.6
BP_SRV_SCR_03,MAT_Tech_Burnt_Metal,TEX_BurntMetal_Albedo_4k,0.1-0.2,0.7-0.9
BP_SRV_SCR_04,MAT_Tech_Industrial_Grey,TEX_TechGrey_Albedo_4k,0.4-0.5,0.5-0.7
BP_SRV_SCR_05,MAT_Tech_Warning_Stripe,TEX_WarningStripe_Albedo_2k,0.6-0.8,0.4-0.6
BP_SRV_SCR_06,MAT_Tech_Burnt_Metal,TEX_BurntMetal_Albedo_4k,0.1-0.2,0.7-0.9
BP_SRV_SCR_07,MAT_Tech_Industrial_Grey,TEX_TechGrey_Albedo_4k,0.4-0.5,0.5-0.7
BP_SRV_SCR_08,MAT_Tech_Warning_Stripe,TEX_WarningStripe_Albedo_2k,0.6-0.8,0.4-0.6
BP_SRV_SCR_09,MAT_Tech_Burnt_Metal,TEX_BurntMetal_Albedo_4k,0.1-0.2,0.7-0.9
BP_SRV_SCR_10,MAT_Tech_Industrial_Grey,TEX_TechGrey_Albedo_4k,0.4-0.5,0.5-0.7
