id,reference_image,prefab_path,fit_type,visual_gap,mesh_change_needed,material_change_needed,scatter_change_needed,lod_collider_note,priority
39,"forest_kelp.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_patch_dense.prefab,Match,None,FALSE,FALSE,TRUE,Increase density,Medium
40,"forest_kelp.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_patch_dense__grove.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
41,"forest_kelp.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_patch_dense__patch.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
42,"forest_kelp.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_tall.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
43,"forest_kelp.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_tall__lean.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
44,"forest_kelp.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_tall__stalk.prefab,Partial,Too thick,TRUE,FALSE,FALSE,Scale XZ 0.5,High
45,"UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_landmark_spire.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
46,"UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_landmark_spire__spire.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
47,"UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_landmark_spire__split.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
48,"BEST ILLUST - ON SURFACE (WITH TREES AND GRASS) - CHECK WATER, GAS GIANT. it is perfect! your goal to look like it! make plan and do it.png",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_plant_giant.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
49,"BEST ILLUST - ON SURFACE (WITH TREES AND GRASS) - CHECK WATER, GAS GIANT. it is perfect! your goal to look like it! make plan and do it.png",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_plant_giant__canopy.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
50,"BEST ILLUST - ON SURFACE (WITH TREES AND GRASS) - CHECK WATER, GAS GIANT. it is perfect! your goal to look like it! make plan and do it.png",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_plant_giant__tower.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
51,"UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_hazard.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
52,"UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_hazard__nest.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
53,"UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_hazard__vent.prefab,Partial,Needs particles,FALSE,FALSE,TRUE,Add bubble VFX,High
54,"beauty.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_resource.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
55,"beauty.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_resource__cache.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
56,"beauty.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_resource__mound.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
57,"shallows.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_safe.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
58,"shallows.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_safe__bubble.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
59,"shallows.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_safe__shelter.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
60,"CLIFFS AND WATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_arch_large.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
61,"CLIFFS AND WATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_arch_large__arch.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
62,"CLIFFS AND WATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_arch_large__split.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
63,"UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_cluster_medium.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
64,"UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_cluster_medium__cluster.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
65,"UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_cluster_medium__ridge.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
66,"UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_cluster_medium__stack.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
67,"CLIFFS AND WATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_shelf_large__ledge.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
68,"CLIFFS AND WATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_shelf_large__wall.prefab,Partial,Needs triplanar,FALSE,TRUE,FALSE,Enable triplanar mapping,High
69,"shallowwater.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_small_floor.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
70,"shallowwater.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_small_floor__flat.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
71,"shallowwater.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_small_floor__group.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
72,"shallowwater.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_rock_small_floor__low.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
73,"base.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
74,"base.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__node.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
75,"base.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
76,"ubnautic.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_cluster_medium.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
77,"ubnautic.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_cluster_medium__cluster.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
78,"ubnautic.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_cluster_medium__corridor.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
79,"ubnautic.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
80,"ubnautic.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure__frame.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
81,"ubnautic.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure__stack.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
82,"ubnautic.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure__tower.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
83,"ubnautic.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_module_single.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
84,"ubnautic.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_module_single__block.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
85,"ubnautic.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_module_single__breach.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
86,"base.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_service_scar.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
87,"base.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_service_scar__pump.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
88,"base.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_service_scar__strip.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
89,"BEST ILLUST - ON SURFACE (WITH TREES AND GRASS) - CHECK WATER, GAS GIANT. it is perfect! your goal to look like it! make plan and do it.png",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_cave_entrance.prefab,Partial,Needs sharper sheer,FALSE,TRUE,FALSE,Check slope collider,High
90,"BEST ILLUST - ON SURFACE (WITH TREES AND GRASS) - CHECK WATER, GAS GIANT. it is perfect! your goal to look like it! make plan and do it.png",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_cave_entrance__lip.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
91,"BEST ILLUST - ON SURFACE (WITH TREES AND GRASS) - CHECK WATER, GAS GIANT. it is perfect! your goal to look like it! make plan and do it.png",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_cave_entrance__shaft.prefab,Partial,Texture mismatch,FALSE,TRUE,FALSE,None,Medium
92,"CLIFFS SKY AND GAS GIANT PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN + SKY MATERIAL (CHECK COMMITS IN MAY 1ST WEEK, IT IS THIS MATERIAL)).jpg.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_branching.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
93,"CLIFFS SKY AND GAS GIANT PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN + SKY MATERIAL (CHECK COMMITS IN MAY 1ST WEEK, IT IS THIS MATERIAL)).jpg.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_branching__branch.prefab,Partial,Needs higher poly,TRUE,FALSE,FALSE,Add LOD1,High
94,"CLIFFS SKY AND GAS GIANT PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN + SKY MATERIAL (CHECK COMMITS IN MAY 1ST WEEK, IT IS THIS MATERIAL)).jpg.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_branching__mass.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
95,"beauty.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_brittle__fan.prefab,Match,None,FALSE,FALSE,TRUE,Increase density,Medium
96,"beauty.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_brittle__sprig.prefab,Partial,Too repetitive,FALSE,FALSE,TRUE,Vary scale,Medium
97,"beauty.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_low.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
98,"deep-bioluminescnce.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_low__bed.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
99,"deep-bioluminescnce.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_low__plate.prefab,Partial,Wrong color,FALSE,TRUE,FALSE,Update albedo,Medium
100,"deep-bioluminescnce.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_massive__head.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
101,"forest_kelp.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_massive__porous.prefab,Partial,Needs SSS,FALSE,TRUE,FALSE,Enable subsurface scattering,High
102,"forest_kelp.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_plate__ledge.prefab,Mismatch,Wrong biome,FALSE,FALSE,TRUE,Remove from pool,High
103,"forest_kelp.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_plate__shelf.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
104,"middle-water.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_passive.prefab,Partial,Needs glow,FALSE,TRUE,FALSE,Add emissive,Medium
105,"middle-water.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_passive__ring.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
106,"middle-water.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_passive__stalk.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
107,"nice_biome.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_predator.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
108,"nice_biome.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_predator__nest.prefab,Partial,Too smooth,TRUE,FALSE,FALSE,Add displacement,High
109,"nice_biome.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_predator__tooth.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
110,"shallows.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_zone_abyss_apex__a.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
111,"shallows.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_zone_large_threat__a.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
112,"shallows.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_zone_reef_apex__a.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
113,"shallowwater.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_zone_ruin_apex__a.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
114,"shallowwater.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_field.prefab,Partial,Too clean,FALSE,TRUE,FALSE,Add dirt mask,Medium
115,"shallowwater.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_field__field.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
116,"ubnautic.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_field__strip.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
117,"ubnautic.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
118,"ubnautic.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,Partial,Wrong scale,TRUE,FALSE,FALSE,Scale down 0.8,High
119,"ССС.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__scrap.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
120,"ССС.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_egg_cluster.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
121,"ССС.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_egg_cluster__clutch.prefab,Partial,Needs SSS,FALSE,TRUE,FALSE,Enable subsurface scattering,Medium
122,"BEST ILLUST - ON SURFACE (WITH TREES AND GRASS) - CHECK WATER, GAS GIANT. it is perfect! your goal to look like it! make plan and do it.png",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_egg_cluster__nest.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
123,"CLIFFS AND WATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_abyssal__shroud.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
124,"CLIFFS SKY AND GAS GIANT PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN + SKY MATERIAL (CHECK COMMITS IN MAY 1ST WEEK, IT IS THIS MATERIAL)).jpg.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_abyssal__strap.prefab,Partial,Needs animation,FALSE,FALSE,TRUE,Add sway shader,High
125,"UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_canopy__crown.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
126,"UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_canopy__frond.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
127,"base.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_patch_dense.prefab,Match,None,FALSE,FALSE,TRUE,Increase density,Medium
128,"beauty.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_patch_dense__grove.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
129,"deep-bioluminescnce.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_patch_dense__patch.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
130,"forest_kelp.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_tall.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
131,"middle-water.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_tall__lean.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
132,"nice_biome.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_tall__stalk.prefab,Partial,Too thick,TRUE,FALSE,FALSE,Scale XZ 0.5,High
133,"shallows.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_landmark_spire.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
134,"shallowwater.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_landmark_spire__spire.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
135,"ubnautic.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_landmark_spire__split.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
136,"ССС.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_plant_giant.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
137,"BEST ILLUST - ON SURFACE (WITH TREES AND GRASS) - CHECK WATER, GAS GIANT. it is perfect! your goal to look like it! make plan and do it.png",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_plant_giant__canopy.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
138,"CLIFFS AND WATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_plant_giant__tower.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
