Name,Type,RA,Dec,Dist,AbsMagn,Radius,Quat.w,Quat.x,Quat.y,Quat.z
IC 330/UGC 2779/MCG0-10-2/ZWG 391.4,Sb,3.53530004,0.353299996,122547215,-20.34,21388.2754,0.901098,0.30331,0.305591,0.0513856
IC 1806/NPM1G +22.100,E0,2.49279989,22.9438997,138275693,-19.6,14078.9795,-0.530164,-0.147414,-0.72613,0.412225
IC 212/ZWG 461.62/NPM1G +16.70,Sc,2.22720006,16.5943994,148025510,-20.45,19376.9922,0.809741,0.32858,0.470947,-0.120679
NGC 1054/MCG 3-7-46/ZWG 462.45/IRAS 2394+1800,Sc,2.70419995,18.2174997,130273488,-20.87,17049.9141,0.768717,0.600242,0.166517,0.145105
IC 1832/MCG 3-7-45/ZWG 462.44/NPM1G +18.103,S0,2.69920001,19.030599,137079964,-20.38,13956.3408,0.759251,0.64228,0.0847576,-0.06189
IC 181/MCG 4-5-30/NPM1G +23.53,E0,2.00059992,23.6591997,146768455,-20.13,10672.6758,0.684313,0.681684,-0.183383,-0.182741
IC 1748/UGC 1403/MCG 3-6-2/ZWG 460.52,SBc,1.93560007,17.6410993,151183471,-21.3,21989.207,0.728891,-0.0170124,0.660357,-0.17988
NGC 900/UGC 1843/MCG 4-6-20/ZWG 483.23,S0,2.39220005,26.5119009,133124846,-20.52,21296.2969,0.783397,0.583151,0.133495,0.168532
NGC 901,E0,2.3928,26.5566993,132634289,-19.81,7717.07129,0.690737,0.65418,-0.223724,-0.211846
NGC 916/MCG 4-6-34/ZWG 483.43/NPM1G +27.95,S0,2.42970006,27.2430996,130610744,-19.48,17095.9043,0.607644,0.690916,0.0209433,0.391108
IC 1802/MCG 4-6-57/ZWG 483.67/NPM1G +22.99,S0,2.48690008,23.083299,130212167,-20.97,24619.8184,0.774217,0.123917,0.589959,-0.192824
IC 1803,E0,2.4880999,23.1408004,128985773,-19.55,5629.13916,0.668163,0.671688,-0.225676,-0.226855
IC 1804-1/MCG 4-6-60/ZWG 783.68/NPM1G +22.101,E0,2.49830001,23.0971998,128188623,-20.64,14915.9922,0.667604,0.671649,-0.22648,-0.227814
IC 1804-2/MCG 4-6-58,E0,2.49689992,23.1086,128188622,-19.84,5592.34717,0.667731,0.671601,-0.226394,-0.227667
IC 1780/MCG 2-6-32/ZWG 438.29,S0,2.11420003,14.7221994,141341672,-19.95,14388.6436,0.628105,0.700208,0.142223,0.308164
IC 279/ZWG 463.45,Sc,3.01999993,16.2092004,128188622,-20.34,7456.46289,0.626046,0.773305,-0.0831128,0.0561931
IC 1854/MK 372/ZWG 463.20/NPM1G +19.98,S0,2.82219995,19.3044001,124110869,-20.47,10829.041,-0.626814,0.218518,-0.698088,0.268377
IC 1857/UGC 2312/MCG 2-8-13/ZWG 440.16,Sc,2.82720007,14.6199997,120922249,-20.31,17586.4609,0.787136,-0.244487,0.54513,-0.15322
IC 1807/MCG 4-6-62/ZWG 483.71/NPM1G +22.103,E0,2.50830011,22.950301,122915132,-19.75,7152.93115,0.666463,0.672189,-0.227055,-0.228987
NGC 1030/UGC 2153/MCG 3-7-39/ZWG 462.39,Sc,2.6639,18.0238998,113717195,-20.98,26465.5391,0.643493,0.713604,0.0705668,0.267782
IC 235/UGC 2016/MK 368/ZWG 462.22,Irr,2.54720008,20.6414013,115924698,-20.32,6745.15576,0.664347,0.737648,-0.0471199,0.110898
IC 248/UGC 2170/MCG 3-7-44/ZWG 462.43,Sa,2.69029985,17.8118993,120155751,-21,15728.4766,0.751136,-0.158445,0.612438,-0.188704
IC 1838-1/MCG 3-8-2/ZWG 463.5,Sc,2.74529999,19.4549995,103078245,-19.77,7496.3208,0.627037,0.755125,-0.0294793,0.189057
IC 1838-2,S0,2.74529998,19.4589,103078244,-18.07,2998.52832,0.613817,0.750449,-0.000926483,0.245058
IC 1891,S0,3.16999993,19.6067008,103292860,-19.07,4506.99023,0.823637,0.54395,0.159092,0.0207639
IC 201/NPM1G +8.74,S0,2.1207999,9.11559983,149282562,-19.07,13027.3486,0.593183,0.765557,-0.155957,-0.194253
NGC 1127/UGC 2356/MCG 2-8-24/ZWG 440.24,SBb,2.88079999,13.2568999,130610746,-20.08,13297.1553,0.774595,0.608219,0.172773,-0.0148972
IC 1820/ZWG 414.24,S0,2.59779995,6.04079983,126165075,-20.4,9173.41211,0.84088,0.375088,0.385131,0.0624799
NGC 840/UGC 1664/MCG 1-6-49/ZWG 413.53,SBb,2.17109999,7.84580017,114698308,-21,30028.207,0.814251,0.383312,0.435958,-0.00287526
IC 199/IC 1778/UGC 1594/MCG 1-6-41,Sb,2.10530002,9.22719969,122301940,-20.44,24904.9551,0.690425,0.670422,0.218719,0.161272
IC 202/UGC 1610/MCG 1-6-43/ZWG 413.44,Sb,2.12439997,9.16859986,120676971,-20.21,24573.8281,0.853589,-0.178833,0.489205,-0.0091226
IC 214/UGC 1720/MCG 1-6-57/MK 1027,Irr,2.23470005,5.17609989,120186412,-20.8,12236.3262,-0.553041,0.176677,-0.704941,0.407417
IC 1779/ZWG 387.35/NPM1G +3.72,E0,2.10690003,3.7064,127084864,-20.72,7395.14355,0.533953,0.397011,0.528246,-0.527479
IC 1786/ZWG 413.67,S0,2.26809993,5.14610012,122516556,-20.24,7128.40332,0.715464,-0.283924,0.577327,-0.272383
NGC 1109/IC 1846/UGC 2265/MCG 2-8-6,E0,2.79530009,13.2555998,120860929,-20.21,10546.9707,-0.463931,-0.0303669,-0.746723,0.475659
NGC 1115/MCG 2-8-16/ZWG 440.20,S0,2.84029999,13.2669004,115986014,-19.62,11807.0889,0.631681,0.696622,0.140831,0.309617
IC 1873-1/MCG 1-8-39/ZWG 415.57/VV 383,S0,3.06439992,9.61390023,122639192,-19.94,19619.2051,0.709633,0.69494,0.1088,0.0405278
IC 1873-2,E0,3.06439995,9.61029973,122639196,-18.44,3565.73462,0.567862,0.724625,-0.240847,-0.307317
NGC 1218/UGC 2555/MCG 1-9-1/ZWG 416.2,Sa,3.14060008,4.11139983,115464806,-21.01,21829.7773,0.704609,-0.202546,0.583729,-0.348945
IC 329/MCG0-10-1/ZWG 391.2/NPM1G +.135,S0,3.53360012,0.280000001,95505275.7,-19.7,12503.0664,0.84625,0.454179,0.276087,-0.0368478
NGC 927/UGC 1908/MCG 2-7-9/MK 593,SBc,2.44360011,12.1553003,109486140,-21,19110.252,0.605528,0.741071,-0.187999,-0.220922
NGC 1028/MCG 2-7-23/ZWG 439.25,SBc,2.66029997,10.8432994,116599219,-19.83,15265.5137,0.644554,0.690835,0.169499,0.280298
NGC 1111/IC 1850,S0,2.81079993,13.2592003,103292858,-19.07,7511.65088,0.607741,0.745778,0.0827245,0.260043
NGC 1112/IC 1852/UGC 2293/MCG 2-8-11,SBc,2.81670012,13.2236005,114023792,-20.68,19901.2754,0.629078,0.774332,-0.0340807,0.0592372
NGC 1117-1/UGC 2337/MCG 2-8-20/ZWG 440.22,E0,2.85360006,13.1858002,103476821,-19.77,10537.7725,0.664875,0.638601,0.011932,-0.387281
NGC 1117-2,E0,2.85359994,13.1877994,103476824,-18.57,1505.08948,0.596878,0.71455,-0.233944,-0.280044
IC 255/MCG 3-8-8/ZWG 463.12,SBc,2.78419994,16.2888996,104703213,-19.4,10660.4121,0.802876,0.517389,0.238678,0.175304
IC 1817-1/MCG 2-7-14/ZWG 439.16/KCPG 70A,Irr,2.56360008,11.2032999,101453271,-19.73,5902.01123,0.635572,0.734473,0.110956,0.210446
IC 1817-2/MCG 2-7-15/KCPG 70B,Sc,2.56389993,11.2027996,101453276,-18.53,10329.2861,0.712621,-0.286014,0.594425,-0.238803
IC 1849/MCG 1-8-2/ZWG 415.9/KARA 118,E0,2.79560002,9.35670016,109578121,-19.8,14342.6543,0.628297,0.399446,0.424104,-0.515579
IC 1863/MCG 1-8-15/ZWG 415.24/NPM1G +8.100,E0,2.91389992,8.78499987,103906058,-19.38,6043.04639,0.567223,0.734648,-0.227485,-0.294621
IC 1865/UGC 2391/MCG 1-8-17/ZWG 415.26,Sc,2.92220013,8.82810015,106512142,-20.34,23240.127,0.837422,0.2916,0.421882,-0.188967
IC 1867/UGC 2400/MCG 1-8-19/ZWG 415.29,S0,2.93109994,9.3121996,104703215,-20.3,22844.6152,0.665175,0.745318,0.0256506,-0.0372208
IC 1868/NPM1G +9.89,S0,2.93470001,9.37940019,107554569,-19.26,6257.66504,0.823802,0.435043,0.331392,-0.14922
NGC 1088/UGC 2253/MCG 3-8-9/ZWG 463.11,Sa,2.7842,16.2003002,98019378.7,-20.46,14256.8066,0.87099,0.172127,0.455514,-0.0652402
NGC 1116/UGC 2326/MCG 2-8-17/ZWG 440.21,Sb,2.84310004,13.3349998,102250431,-19.75,20818.0039,0.697848,0.593304,0.214362,0.339186
NGC 1166/UGC 2471/MCG 2-8-46/ZWG 440.41,Sb,3.00940011,11.8427996,102311749,-20.05,14879.2002,0.588056,0.724233,-0.231426,-0.275896
NGC 1168/UGC 2476/MCG 2-8-47/ZWG 440.42,Sb,3.01310007,11.7722003,101391952,-19.93,16222.0996,0.687148,0.709087,0.0958853,0.125819
IC 1839/UGC 2220/MCG 2-8-1/ZWG 440.2,Sc,2.74530005,15.2394003,99644346.7,-19.89,14492.8867,0.881899,0.165024,0.441485,-0.0106199
NGC 1007/MCG0-7-59/ZWG 388.69,Irr,2.63109997,2.15560004,96179787.8,-18.12,8394.65332,0.769807,0.525608,0.332289,0.143937
NGC 1019/UGC 2132/MCG0-7-68/ZWG 388.79,SBc,2.64079994,1.90810009,95903850,-20.51,13950.209,0.686567,0.669402,0.185437,-0.214803
NGC 1020/ZWG 388.81,S0,2.64559992,2.23109998,97099583.6,-19.74,11298.1357,0.634981,0.671715,0.260491,0.278822
NGC 1072/IC 1837/UGC 2208/MCG0-7-88,SBb,2.72530005,0.306899981,106542802,-20.94,23243.1934,0.588824,0.744743,0.209716,0.233802
IC 233/ZWG 388.36/KCPG 69B/IRAS 2290+235,Sc,2.52779997,2.81059998,109332842,-20.29,6358.84229,0.782814,0.211009,0.51947,-0.269866
NGC 1043/ZWG 388.94,Sb,2.67939997,1.34310008,93757664.4,-19.06,12273.1172,0.903032,0.0314714,0.428405,0.00363034
NGC 1128-1/MCG 1-8-27/ZWG 415.41/DRCG 9-43,E0,2.96140004,6.02669971,94554820.8,-19.38,6876.99268,0.54797,0.746201,-0.22377,-0.304695
NGC 1128-2/DRCG 9-42,E0,2.96139999,6.02249971,94554820.3,-19.38,6876.99268,0.547955,0.746217,-0.223748,-0.304701
IC 331/MCG0-10-3/ZWG 391.5/IRAS 3296+5,S0,3.53859995,0.282800017,91918073,-20.12,12033.9707,0.498999,0.7562,-0.233237,-0.353218
IC 1836/MCG0-7-87/ZWG 388.102,S0,2.72309999,3.10499984,92132698.2,-18.52,6699.16602,0.539898,0.776744,-0.186359,-0.265423
IC 1844/MCG0-8-7/ZWG 389.6,Sa,2.76360003,3.23059998,96087809.5,-19.61,11178.5625,0.885541,0.109774,0.44697,-0.0631293
IC 1869/ZWG 415.44/DRCG 9-21,S0,2.96970002,5.83669981,99889629.3,-19.6,8716.58105,0.898156,-0.0311352,0.433579,-0.0659983
IC 1882/UGC 2551/MCG0-9-2/ZWG 390.3,Sc,3.13029996,3.14719984,95505274.1,-19.8,12500,0.666474,0.730485,0.135938,0.0610308
IC 404/ZWG 446.1,S0,5.22190002,9.75469975,123099095,-20.05,8952.66113,0.55367,0.764957,-0.2373,-0.227988
NGC 1690/UGC 3198/MCG0-13-27/ZWG 394.30,E0,4.90530004,1.64059997,118990681,-20.08,17307.457,0.448964,0.663121,-0.335767,-0.495946
IC 409/MCG 1-14-24/ZWG 421.26,S0,5.32579996,3.31720012,115311501,-20.31,11739.6367,0.716223,0.644398,-0.0660376,-0.259645
IC 365/MCG 1-11-17/ZWG 392.21/IRAS 4166+313,Sa,4.32059994,3.34889996,100196220,-20.2,14575.668,0.730072,0.674064,0.0547606,-0.0981558
IC 2057/ZWG 419.2/KARA 148/IRAS 4192+355,S0,4.36560006,4.04810005,100349523,-19.81,10218.9111,0.54766,0.793118,-0.168159,-0.206773
NGC 1634/MCG 1-12-15/ZWG 419.22/ARAK 109,S0,4.66919998,7.33889983,101606573,-19.93,5911.20898,0.907789,0.0947193,0.296416,-0.281222
NGC 1508/MCG 4-10-21/ZWG 487.21/NPM1G +25.119,Sc,4.0964,25.409199,97406181.6,-19.64,9918.44531,0.761558,0.623244,-0.117134,-0.133701
NGC 1497/UGC 2929/MCG 4-10-8/ZWG 487.9,S0,4.03499999,23.1333003,82628156.1,-20.29,18027.9609,0.893066,0.419496,0.132188,0.0947772
IC 357/UGC 2941/MCG 4-10-16/ZWG 487.16,SBb,4.06189996,22.1597,83915869.4,-20.42,14646.1855,0.668963,-0.342078,0.629266,-0.198735
IC 358/UGC 2940/MCG 3-11-6/ZWG 466.9,S0,4.06169998,19.8956003,90875640.7,-19.69,13214.373,0.90025,0.39248,0.156207,0.1054
IC 2016/ZWG 466.6,S0,4.03309999,20.2405995,88974737.2,-19.15,5175.37402,0.638082,0.756288,-0.088176,0.114474
NGC 1539-1/ZWG 488.1/5ZW373,E0,4.31690001,26.827501,75484426.2,-18.79,5488.104,0.614571,0.579272,-0.389687,-0.367274
NGC 1539-2,E0,4.3172,26.8294007,75484423.1,-16.79,3292.8623,0.61458,0.579258,-0.389701,-0.367266
IC 2180/UGC 3727/ZWG 116.27,Sb,7.18859999,26.3708004,72111846.6,-19.49,11537.2822,0.502625,0.676842,-0.454901,-0.286912
NGC 1671/IC 395/UGC 3178/MCG0-13-15,S0,4.82579994,0.253299996,86736569.9,-20.79,11353.3232,0.90079,-0.0928994,0.310732,-0.288778
NGC 1349/UGC 2774/MCG 1-9-6/ZWG 416.13,S0,3.52419999,4.38139988,87870985.7,-20.52,10225.043,0.525468,0.738998,-0.246099,-0.342345
IC 338/MCG0-10-7/ZWG 391.18,S0,3.6272,3.11830001,76772134.9,-19.53,8934.26563,0.619944,-0.308692,0.609469,-0.38591
IC 1956/UGC 2795/MCG 1-10-1/ZWG 417.1,SBc,3.59249992,5.06720005,85295560,-19.25,19852.2207,0.739329,0.596417,0.211323,0.230266
IC 2019-1/UGC 2930/MCG 1-11-7/ZWG 418.7,S0,4.03139998,5.63919991,76710819.3,-19.12,8925.06738,0.807061,0.572236,0.143117,-0.0267679
IC 2019-2,S0,4.03109997,5.63610011,76710815.4,-19.12,3348.05005,0.707081,0.700366,0.0351136,-0.0910524
NGC 1541/UGC 3001/MCG0-11-40/ZWG 392.13,Sa,4.28329997,0.835300006,68187393.5,-19.57,12895.5117,0.927635,0.283674,0.231235,-0.0745126
NGC 1633/UGC 3125/MCG 1-12-14/ZWG 419.23,SBb,4.66919997,7.34970017,67236940.4,-19.74,9780.47559,0.774073,0.513829,0.0378876,-0.367906
NGC 1762/UGC 3238/MCG0-13-67/ZWG 394.73,Sc,5.06029997,1.57330001,62975225.7,-20.6,15572.1113,0.782022,-0.458921,0.355386,-0.227009
NGC 562/UGC 1049/MCG 8-3-25/ZWG 551.20,Sc,1.47470007,48.3868994,136987980,-21.38,25901.3984,0.843901,0.502544,0.0501076,0.181022
IC 1733/UGC 1301/MCG 5-5-16/ZWG 503.32,E0,1.84499992,33.0822002,145112831,-21.51,25324.9941,0.769144,0.538629,0.227342,-0.258092
IC 1753/MCG 5-5-33/ZWG 503.61/ARAK 68,E0,1.95529991,28.5893995,135638952,-20.66,7891.83203,0.714108,0.652656,-0.186884,-0.170774
NGC 431/UGC 776/MCG 5-4-2/ZWG 502.8,S0,1.23440004,33.7053013,126532990,-21.61,25763.4297,0.758027,0.556399,0.155565,0.30268
IC 256/5ZW280,E0,2.82779992,46.9543989,118868039,-17.48,8646.06348,0.807808,0.503738,-0.221353,-0.211419
IC 260/UGC 2325/MCG 8-6-14/ZWG 554.11,E0,2.85000003,46.9549983,118101544,-20.56,17178.6855,-0.392783,0.0397392,-0.903443,0.167132
NGC 860/ZWG 504.37/NPM1G +30.71,E0,2.25000001,30.7794007,120094429,-20.2,8731.91113,-0.515424,-0.143238,-0.772074,0.343108
NGC 861/UGC 1737/MCG 6-6-3/ZWG 523.5,Sb,2.2642,35.9139008,108903605,-20.48,23758.2773,0.789857,0.437535,0.178366,0.390992
IC 5372/NPM1G +32.621,S0,0.00440000017,32.7931004,140299239,-20.24,10203.5811,0.762173,0.646865,0.00715226,0.0246555
IC 5373/MCG 5-1-19/ZWG 498.59/ZWG 499.31,Sb,0.00810000008,32.7818983,133032867,-20.12,15480.1328,-0.566248,0.369426,-0.735619,0.0418671
IC 5371/ZWG 499.30/ZWG 498.58/KAZ 234,S0,0.00390000018,32.832199,127360802,-19.83,9262.3252,0.762377,0.646621,0.0071877,0.0247106
IC 257/UGC 2298/MCG 8-6-11/ZWG 554.8,S0,2.82920003,46.9756005,105040472,-22.01,21391.3418,0.703568,-0.297707,0.640841,0.0754041
NGC 1265/UGC 2651/MCG 7-7-52/ZWG 540.88,E0,3.30420003,41.8578001,100809417,-21.82,26391.9551,-0.502075,0.0196073,-0.834934,0.224545
NGC 1279/PGC 12449,S0,3.33309998,41.4797006,99031150.8,-19.18,8642.99707,0.698296,0.660027,-0.219596,0.168893
IC 300,S0,3.23749997,42.4150001,103292864,-19.07,4506.99023,0.743979,0.539857,-0.329607,-0.215427
IC 301/UGC 2606/MCG 7-7-36/ZWG 540.63,E0,3.24640002,42.2230992,91396859.6,-20.1,10632.8184,0.740682,0.530484,-0.335199,-0.240041
IC 320/UGC 2732/MCG 7-8-7/ZWG 541.6,SBb,3.43309998,40.7891987,93175130.3,-19.75,16265.0234,0.883489,0.457036,0.0548245,-0.0869491
NGC 2208/UGC 3452/MCG 9-11-10/ZWG 260.7,S0,6.37609999,51.9099997,77293351.5,-20.14,17988.1035,0.98672,0.0860957,0.0506708,0.128075
NGC 2303/UGC 3603/MCG 8-13-31/ZWG 234.30,E0,6.93809997,45.4933003,86552613,-20.79,18880.3047,0.510164,0.343782,-0.653805,-0.440551
NGC 2315/UGC 3633/MCG 8-13-45/ZWG 234.41,Sa,7.04250007,50.5908005,85111600,-20.15,16096.3945,0.910562,0.0401902,-0.102933,0.398329
NGC 2320/UGC 3659/MCG 8-13-51/ZWG 234.47,E0,7.0947,50.5807999,86583270.6,-21.59,17632.4512,0.92001,0.00217395,0.323582,-0.22107
NGC 2321/UGC 3663/MCG 8-13-53/ZWG 234.51,SBa,7.09940002,50.7566994,85571497.1,-19.86,17423.9629,0.985204,-0.0443947,0.139495,0.0891251
NGC 2322/UGC 3662/MCG 8-13-54/ZWG 234.50,SBa,7.1,50.5106,85387539.9,-20.06,13658.9404,0.937236,-0.0965053,0.0159344,0.334696
NGC 2326/UGC 3681/MCG 8-13-62/ZWG 234.60,SBb,7.13610001,50.6822003,82812116.9,-20.59,22884.4746,0.987969,0.0495928,0.102074,-0.10507
NGC 2326A/UGC 3687/MCG 8-13-67/ZWG 234.66,Irr,7.14280006,50.6317005,83670590.3,-19.31,12168.874,0.604024,0.605385,-0.516042,-0.0486319
NGC 2329/UGC 3695/MCG 8-13-73/ZWG 234.70,S0,7.1519,48.6157996,90722343.9,-21.29,17151.0918,0.876343,-0.249769,0.396441,0.111684
NGC 2332/UGC 3699/MCG 8-13-79/ZWG 234.75,S0,7.1592,50.1819005,80389992.4,-20.73,17540.4707,0.861876,0.383821,-0.331276,0.0103869
NGC 2334/IC 465/MCG 8-13-98/ZWG 234.95,E0,7.1925,50.2489008,86767230.4,-19.99,11356.3896,0.898459,0.162495,-0.152982,-0.378105
NGC 2340/UGC 3720/MCG 8-13-96/ZWG 234.91,E0,7.18609997,50.1746997,90722343.8,-21.89,23749.0801,0.907938,0.152647,-0.120978,-0.371096
IC 458/UGC 3713/MCG 8-13-85/ZWG 234.81,S0,7.1758,50.1197007,91519499.6,-20.31,11981.8496,0.872292,-0.316866,0.194903,0.317356
IC 460/MCG 8-13-89/ZWG 234.84,S0,7.1789,50.2021997,85632818.6,-19.26,4982.21729,0.931799,-0.19232,0.264945,0.156738
IC 450/UGC 3547/MCG 12-7-18/MK 6,Sa,6.87000002,74.4275008,79500858.7,-19.7,9250.06152,0.922063,0.0263315,0.102163,0.372383
NGC 2256/UGC 3519/MCG 12-7-15/ZWG 330.14,S0,6.78720001,74.2368999,71192052.9,-20.66,23813.4648,0.920168,0.272633,-0.265978,0.0906517
NGC 2258/UGC 3523/MCG 12-7-16/ZWG 330.15,S0,6.79610001,74.4814008,63189847,-21,21133.7988,0.890325,-0.0736038,0.254242,0.370492
NGC 2314/UGC 3677/MCG 13-6-3/ZWG 348.32,E3,7.17529996,75.3277994,65918566.4,-20.89,10546.9707,0.719004,0.201537,-0.617383,-0.247496
IC 445/UGC 3497/MCG 11-9-1/ZWG 308.33,S0,6.62249998,67.8599999,71345352,-20.07,12450.9443,0.594819,0.51119,-0.62036,-0.00525685
IC 451/UGC 3550/MCG 12-7-19/ZWG 330.18,Sb,6.88080002,74.4799998,69781698.4,-19.62,13195.9775,0.905417,-0.0312568,0.341642,0.250049
NGC 2908/UGC 5152/MCG 13-7-34/ZWG 350.29,S0,9.72530002,79.7014,81984303.8,-20.37,9538.26367,0.277783,0.109953,-0.915437,-0.269669
NGC 1544/UGC 3160/MCG 14-3-6/ZWG 361.11,S0,5.04329997,86.2228001,61196958.4,-19.43,11571.0078,0.841878,-0.0307283,0.33028,0.42569
NGC 606/UGC 1126/MCG 3-5-10/ZWG 460.11,SBc,1.58059997,21.4180996,132266372,-21.41,26934.6328,0.694173,0.163632,0.673297,-0.194987
NGC 695/UGC 1315/ZWG 482.26/5ZW123,S0,1.85389993,22.5827996,129261712,-21.66,15041.6973,0.777697,0.587483,0.222822,-0.020004
IC 1742/MCG 4-5-23/ZWG 482.28/KARA 67,Sc,1.88720003,22.7211001,129752271,-20.47,15096.8848,0.775017,0.557315,0.237214,0.180215
NGC 719/IC 1744/UGC 1360/MCG 3-5-26,S0,1.89390008,19.8407994,124141524,-20.97,25275.9375,-0.61782,0.126535,-0.73523,0.248444
IC 1701/UGC 1002/MCG 3-4-35/ZWG 459.50,E0,1.43060009,18.1850009,114422367,-19.89,19971.793,-0.559164,-0.413439,-0.600022,0.395445
NGC 970/MCG 5-7-9/ZWG 505.11,S0,2.56969999,32.9764002,89955849.1,-19.07,9158.08203,0.834817,0.343753,0.240525,0.356457
NGC 794/IC 191/UGC 1528/MCG 3-6-24,S0,2.04139994,18.3728005,108719650,-21.38,20554.3301,0.774772,0.577815,0.25311,-0.0423444
IC 213/UGC 1719/MCG 3-6-46/ZWG 461.67,SBb,2.23439996,16.4561001,108811625,-20.38,30064.998,-0.647454,0.131279,-0.699636,0.272175
IC 1861/UGC 2357/MCG 4-7-28/ZWG 484.23,S0,2.8853001,25.4903,88760117.4,-20.34,15492.3965,0.745064,-0.208636,0.620299,-0.128764
