blueprint_id,family,source_prefab,reference_image,mesh_generation_rule
BP_CORAL_BRA_02,family_coral_branching,PFB_family_coral_branching__branch.prefab,forest_kelp.webp,Isolate single long arm with minor sub-branching at tip
BP_CORAL_BRA_03,family_coral_branching,PFB_family_coral_branching__mass.prefab,deep-bioluminescnce.jpg,High density volumetric packing of short overlapping nodes
BP_CORAL_BRA_04,family_coral_branching,NEW_ASSET_REQUIRED_branch_tall (ref: PFB_family_coral_branching.prefab),middle-water.webp,Elongate internode distance by factor of 2.2
BP_CORAL_BRA_05,family_coral_branching,NEW_ASSET_REQUIRED_branch_wide (ref: PFB_family_coral_branching.prefab),ubnautic.webp,Increase spread angle to 80 degrees for fan-like shape
BP_CORAL_BRA_06,family_coral_branching,NEW_ASSET_REQUIRED_branch_dense (ref: PFB_family_coral_branching__mass.prefab),beauty.webp,Double iteration depth while halving segment length
BP_CORAL_BRA_07,family_coral_branching,NEW_ASSET_REQUIRED_branch_sparse (ref: PFB_family_coral_branching.prefab),base.webp,Prune 40 percent of secondary nodes using spatial culling
BP_CORAL_BRA_08,family_coral_branching,NEW_ASSET_REQUIRED_branch_crooked (ref: PFB_family_coral_branching__branch.prefab),nice_biome.webp,Apply high frequency noise to segment direction vectors
BP_CORAL_BRA_09,family_coral_branching,NEW_ASSET_REQUIRED_branch_crown (ref: PFB_family_coral_branching.prefab),shallows.webp,Concentrate all sub-branching at the terminal 10 percent of height
BP_CORAL_BRA_10,family_coral_branching,NEW_ASSET_REQUIRED_branch_weeping (ref: PFB_family_coral_branching.prefab),UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg,Apply negative Z gravity bias during L-system generation
BP_CORAL_BRI_01,family_coral_brittle,PFB_family_coral_brittle__fan.prefab,deep-bioluminescnce.jpg,Planar expansion of micro-nodes along X-Y normal
BP_CORAL_BRI_02,family_coral_brittle,PFB_family_coral_brittle__sprig.prefab,forest_kelp.webp,Thin cylindrical extrusion with rapid taper to point
BP_CORAL_BRI_03,family_coral_brittle,NEW_ASSET_REQUIRED_brittle_cluster (ref: PFB_family_coral_brittle__sprig.prefab),middle-water.webp,Radial instancing of 15 sprigs from central point
BP_CORAL_BRI_04,family_coral_brittle,NEW_ASSET_REQUIRED_brittle_large_fan (ref: PFB_family_coral_brittle__fan.prefab),shallows.webp,Scale planar mesh by 3.0 and add secondary folding noise
BP_CORAL_BRI_05,family_coral_brittle,NEW_ASSET_REQUIRED_brittle_tube (ref: PFB_family_coral_brittle__sprig.prefab),shallowwater.jpg,Hollow core generation via inner boundary subtraction
BP_CORAL_BRI_06,family_coral_brittle,NEW_ASSET_REQUIRED_brittle_lattice (ref: PFB_family_coral_brittle__fan.prefab),ubnautic.webp,Cross-hatch pattern with 30 percent alpha punch-through
BP_CORAL_BRI_07,family_coral_brittle,NEW_ASSET_REQUIRED_brittle_spike (ref: PFB_family_coral_brittle__sprig.prefab),base.webp,Remove sub-features to leave only primary linear spine
BP_CORAL_BRI_08,family_coral_brittle,NEW_ASSET_REQUIRED_brittle_bush (ref: PFB_family_coral_brittle__fan.prefab),beauty.webp,Spherical normal displacement on base fan geometry
BP_CORAL_BRI_09,family_coral_brittle,NEW_ASSET_REQUIRED_brittle_carpet (ref: PFB_family_coral_brittle__sprig.prefab),nice_biome.webp,Constrain max height to 0.5m and expand coverage radius
BP_CORAL_BRI_10,family_coral_brittle,NEW_ASSET_REQUIRED_brittle_whip (ref: PFB_family_coral_brittle__sprig.prefab),UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg,Single continuous spline with zero branching and high curl
BP_CORAL_LOW_01,family_coral_low,PFB_family_coral_low.prefab,shallowwater.jpg,Hemispherical growth with Voronoi cellular surface mapping
BP_CORAL_LOW_02,family_coral_low,PFB_family_coral_low__bed.prefab,shallows.webp,Flattened lateral spread adapting to terrain normal
BP_CORAL_LOW_03,family_coral_low,PFB_family_coral_low__plate.prefab,middle-water.webp,Stacked planar discs with slight upward curl at edges
BP_CORAL_LOW_04,family_coral_low,NEW_ASSET_REQUIRED_low_mound (ref: PFB_family_coral_low.prefab),forest_kelp.webp,Increase vertical amplitude of central node by 1.2x
BP_CORAL_LOW_05,family_coral_low,NEW_ASSET_REQUIRED_low_crater (ref: PFB_family_coral_low.prefab),deep-bioluminescnce.jpg,Invert central vertex to form calyx depression
BP_CORAL_LOW_06,family_coral_low,NEW_ASSET_REQUIRED_low_ridge (ref: PFB_family_coral_low__bed.prefab),ubnautic.webp,Stretch geometry along primary current flow vector
BP_CORAL_LOW_07,family_coral_low,NEW_ASSET_REQUIRED_low_tier (ref: PFB_family_coral_low__plate.prefab),base.webp,Generate 3 overlapping tiers with decreasing radii
BP_CORAL_LOW_08,family_coral_low,NEW_ASSET_REQUIRED_low_brain (ref: PFB_family_coral_low.prefab),beauty.webp,Apply high-frequency meandering ridge displacement
BP_CORAL_LOW_09,family_coral_low,NEW_ASSET_REQUIRED_low_encrusting (ref: PFB_family_coral_low__bed.prefab),nice_biome.webp,Zero minimum thickness to ensure flush mount to rock
BP_CORAL_LOW_10,family_coral_low,NEW_ASSET_REQUIRED_low_nodule (ref: PFB_family_coral_low.prefab),UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg,Isolate single cellular unit and scale down uniformly
BP_CORAL_MAS_01,family_coral_massive,PFB_family_coral_massive__head.prefab,shallows.webp,Generate solid boolean sphere with multi-octave displacement
BP_CORAL_MAS_02,family_coral_massive,PFB_family_coral_massive__porous.prefab,shallowwater.jpg,Apply 3D cellular noise to remove internal volume
BP_CORAL_MAS_03,family_coral_massive,NEW_ASSET_REQUIRED_massive_boulder (ref: PFB_family_coral_massive__head.prefab),middle-water.webp,Squash Z axis by 0.6x for low-profile monolithic shape
BP_CORAL_MAS_04,family_coral_massive,NEW_ASSET_REQUIRED_massive_pillar (ref: PFB_family_coral_massive__head.prefab),forest_kelp.webp,Stretch Z axis by 3.0x to form vertical column
BP_CORAL_MAS_05,family_coral_massive,NEW_ASSET_REQUIRED_massive_arch (ref: PFB_family_coral_massive__porous.prefab),deep-bioluminescnce.jpg,Subtract lower central core to form bridging structure
BP_CORAL_MAS_06,family_coral_massive,NEW_ASSET_REQUIRED_massive_split (ref: PFB_family_coral_massive__head.prefab),ubnautic.webp,Apply bisecting plane fracture and separate halves
BP_CORAL_MAS_07,family_coral_massive,NEW_ASSET_REQUIRED_massive_shelf (ref: PFB_family_coral_massive__head.prefab),base.webp,Shear upper vertices outward to create overhang
BP_CORAL_MAS_08,family_coral_massive,NEW_ASSET_REQUIRED_massive_lump (ref: PFB_family_coral_massive__head.prefab),beauty.webp,Asymmetric scaling favoring X over Y dimensions
BP_CORAL_MAS_09,family_coral_massive,NEW_ASSET_REQUIRED_massive_hollow (ref: PFB_family_coral_massive__porous.prefab),nice_biome.webp,Large central cavity generation for shelter usage
BP_CORAL_MAS_10,family_coral_massive,NEW_ASSET_REQUIRED_massive_cluster (ref: PFB_family_coral_massive__head.prefab),UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg,Merge 4 intersecting instances with varying scales
BP_CORAL_PLA_01,family_coral_plate,PFB_family_coral_plate__ledge.prefab,middle-water.webp,Extrude flat polygon along cliff normal and curl edges
BP_CORAL_PLA_02,family_coral_plate,PFB_family_coral_plate__shelf.prefab,forest_kelp.webp,Generate multi-tiered overhangs with robust mounting brackets
BP_CORAL_PLA_03,family_coral_plate,NEW_ASSET_REQUIRED_plate_spiral (ref: PFB_family_coral_plate__ledge.prefab),deep-bioluminescnce.jpg,Wind shelf geometry continuously around central axis
BP_CORAL_PLA_04,family_coral_plate,NEW_ASSET_REQUIRED_plate_fan (ref: PFB_family_coral_plate__ledge.prefab),shallows.webp,Expand radial edge to form 180 degree semi-circle
BP_CORAL_PLA_05,family_coral_plate,NEW_ASSET_REQUIRED_plate_broken (ref: PFB_family_coral_plate__shelf.prefab),shallowwater.jpg,Apply Voronoi fracture and remove outer edge chunks
BP_CORAL_PLA_06,family_coral_plate,NEW_ASSET_REQUIRED_plate_stack (ref: PFB_family_coral_plate__shelf.prefab),ubnautic.webp,Instantiate 5 parallel plates with random scale offsets
BP_CORAL_PLA_07,family_coral_plate,NEW_ASSET_REQUIRED_plate_droop (ref: PFB_family_coral_plate__ledge.prefab),base.webp,Apply severe negative Z gravity warp to distal edge
BP_CORAL_PLA_08,family_coral_plate,NEW_ASSET_REQUIRED_plate_bowl (ref: PFB_family_coral_plate__ledge.prefab),beauty.webp,Curl all outer edges upward to catch falling debris
BP_CORAL_PLA_09,family_coral_plate,NEW_ASSET_REQUIRED_plate_fragile (ref: PFB_family_coral_plate__shelf.prefab),nice_biome.webp,Reduce thickness parameter to minimum structural threshold
BP_CORAL_PLA_10,family_coral_plate,NEW_ASSET_REQUIRED_plate_massive (ref: PFB_family_coral_plate__shelf.prefab),UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg,Double thickness and increase mounting surface area
BP_DEB_FLD_01,family_debris_field,PFB_family_debris_field.prefab,base.webp,Scatter algorithm combining multiple wreckage topologies
BP_DEB_FLD_02,family_debris_field,PFB_family_debris_field__field.prefab,beauty.webp,Broad planar distribution of metallic fragments
BP_DEB_FLD_03,family_debris_field,PFB_family_debris_field__strip.prefab,nice_biome.webp,Linear scattering along impact vector trajectory
BP_DEB_FLD_04,family_debris_field,NEW_ASSET_REQUIRED_deb_crater (ref: PFB_family_debris_field.prefab),UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg,Radial concentration of heavy hull chunks around epicenter
BP_DEB_FLD_05,family_debris_field,NEW_ASSET_REQUIRED_deb_trail (ref: PFB_family_debris_field__strip.prefab),UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg,Gradient density reduction along a 50m path
BP_DEB_FLD_06,family_debris_field,NEW_ASSET_REQUIRED_deb_dense (ref: PFB_family_debris_field__field.prefab),deep-bioluminescnce.jpg,High-overlap packing of twisted beam elements
BP_DEB_FLD_07,family_debris_field,NEW_ASSET_REQUIRED_deb_sparse (ref: PFB_family_debris_field__field.prefab),forest_kelp.webp,Low density wide spread of micro-shrapnel
BP_DEB_FLD_08,family_debris_field,NEW_ASSET_REQUIRED_deb_buried (ref: PFB_family_debris_field.prefab),middle-water.webp,Intersect 60 percent of geometry volume below Z=0
BP_DEB_FLD_09,family_debris_field,NEW_ASSET_REQUIRED_deb_hanging (ref: PFB_family_debris_field__strip.prefab),shallows.webp,Align attachment points for suspension in kelp or vines
BP_DEB_FLD_10,family_debris_field,NEW_ASSET_REQUIRED_deb_pile (ref: PFB_family_debris_field.prefab),shallowwater.jpg,Conical stacking of modular panels and pipes
BP_DEB_SCA_01,family_debris_scatter,PFB_family_debris_scatter.prefab,ubnautic.webp,Generate isolated twisted metal forms with high edge wear
BP_DEB_SCA_02,family_debris_scatter,PFB_family_debris_scatter__crate.prefab,base.webp,Rectangular box logic with crushed corner deformations
BP_DEB_SCA_03,family_debris_scatter,PFB_family_debris_scatter__scrap.prefab,beauty.webp,Torn sheet metal logic using alpha masking for ragged edges
BP_DEB_SCA_04,family_debris_scatter,NEW_ASSET_REQUIRED_sca_pipe (ref: PFB_family_debris_scatter__scrap.prefab),nice_biome.webp,Cylindrical extrusion with severe mid-point bending
BP_DEB_SCA_05,family_debris_scatter,NEW_ASSET_REQUIRED_sca_panel (ref: PFB_family_debris_scatter__scrap.prefab),UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg,Flat plane with heavy normal displacement for buckling
BP_DEB_SCA_06,family_debris_scatter,NEW_ASSET_REQUIRED_sca_wire (ref: PFB_family_debris_scatter.prefab),UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg,Spline-based cabling with tangled self-intersections
BP_DEB_SCA_07,family_debris_scatter,NEW_ASSET_REQUIRED_sca_engine (ref: PFB_family_debris_scatter__crate.prefab),deep-bioluminescnce.jpg,Complex blocky core with radial exhaust nozzle shapes
BP_DEB_SCA_08,family_debris_scatter,NEW_ASSET_REQUIRED_sca_shard (ref: PFB_family_debris_scatter__scrap.prefab),forest_kelp.webp,Triangular glass/ceramic simulation with sharp points
BP_DEB_SCA_09,family_debris_scatter,NEW_ASSET_REQUIRED_sca_tank (ref: PFB_family_debris_scatter__crate.prefab),middle-water.webp,Capsule primitive with implosion cavity on one side
BP_DEB_SCA_10,family_debris_scatter,NEW_ASSET_REQUIRED_sca_mesh (ref: PFB_family_debris_scatter.prefab),shallows.webp,Grid lattice geometry deformed by spherical impact
BP_KELP_CAN_01,family_kelp_canopy,PFB_family_kelp_canopy__crown.prefab,forest_kelp.webp,Broad umbrella generation of leafy fronds clustering near surface
BP_KELP_CAN_02,family_kelp_canopy,PFB_family_kelp_canopy__frond.prefab,middle-water.webp,Single massive blade with internal buoyancy bladders
BP_KELP_CAN_03,family_kelp_canopy,NEW_ASSET_REQUIRED_canopy_dense (ref: PFB_family_kelp_canopy__crown.prefab),shallows.webp,Triple the node count at apex to block direct light
BP_KELP_CAN_04,family_kelp_canopy,NEW_ASSET_REQUIRED_canopy_sparse (ref: PFB_family_kelp_canopy__crown.prefab),shallowwater.jpg,Remove 50 percent of blades to allow dappled rays
BP_KELP_CAN_05,family_kelp_canopy,NEW_ASSET_REQUIRED_canopy_drooping (ref: PFB_family_kelp_canopy__frond.prefab),ubnautic.webp,Apply negative buoyancy to distal tips causing weeping form
BP_KELP_CAN_06,family_kelp_canopy,NEW_ASSET_REQUIRED_canopy_tangled (ref: PFB_family_kelp_canopy__crown.prefab),base.webp,Introduce intersecting noise paths to lock adjacent fronds
BP_KELP_CAN_07,family_kelp_canopy,NEW_ASSET_REQUIRED_canopy_bulbous (ref: PFB_family_kelp_canopy__frond.prefab),beauty.webp,Scale up floatation bladders by 300 percent for visual weight
BP_KELP_CAN_08,family_kelp_canopy,NEW_ASSET_REQUIRED_canopy_shredded (ref: PFB_family_kelp_canopy__frond.prefab),nice_biome.webp,Apply voronoi subtraction to simulate predation damage
BP_KELP_CAN_09,family_kelp_canopy,NEW_ASSET_REQUIRED_canopy_wide (ref: PFB_family_kelp_canopy__crown.prefab),UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg,Expand horizontal reach of crown by a factor of 2.5
BP_KELP_CAN_10,family_kelp_canopy,NEW_ASSET_REQUIRED_canopy_stunted (ref: PFB_family_kelp_canopy__crown.prefab),UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg,Compress vertical stalk but maintain full crown volume
BP_KELP_PAT_01,family_kelp_patch_dense,PFB_family_kelp_patch_dense.prefab,forest_kelp.webp,Generate overlapping root systems binding multiple stalks
BP_KELP_PAT_02,family_kelp_patch_dense,PFB_family_kelp_patch_dense__grove.prefab,middle-water.webp,Large scale instantiated forest module with varying heights
BP_KELP_PAT_03,family_kelp_patch_dense,PFB_family_kelp_patch_dense__patch.prefab,shallows.webp,Medium footprint cluster focusing on mid-water density
BP_KELP_PAT_04,family_kelp_patch_dense,NEW_ASSET_REQUIRED_patch_wall (ref: PFB_family_kelp_patch_dense__patch.prefab),shallowwater.jpg,Linear arrangement forming an opaque visual barrier
BP_KELP_PAT_05,family_kelp_patch_dense,NEW_ASSET_REQUIRED_patch_ring (ref: PFB_family_kelp_patch_dense__grove.prefab),ubnautic.webp,Circular instantiation leaving a hollow central clearing
BP_KELP_PAT_06,family_kelp_patch_dense,NEW_ASSET_REQUIRED_patch_creeping (ref: PFB_family_kelp_patch_dense.prefab),base.webp,Bias growth vectors along substrate before vertical rise
BP_KELP_PAT_07,family_kelp_patch_dense,NEW_ASSET_REQUIRED_patch_mixed (ref: PFB_family_kelp_patch_dense__patch.prefab),beauty.webp,Combine three distinct age variations in one volume
BP_KELP_PAT_08,family_kelp_patch_dense,NEW_ASSET_REQUIRED_patch_dying (ref: PFB_family_kelp_patch_dense__grove.prefab),nice_biome.webp,Remove top canopies and add severe mesh twisting
BP_KELP_PAT_09,family_kelp_patch_dense,NEW_ASSET_REQUIRED_patch_young (ref: PFB_family_kelp_patch_dense.prefab),UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg,Uniform low-height stalks with bright tip coloration
BP_KELP_PAT_10,family_kelp_patch_dense,NEW_ASSET_REQUIRED_patch_clearing (ref: PFB_family_kelp_patch_dense__grove.prefab),UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg,Inverted density map pushing growth to the edges
BP_KELP_TAL_01,family_kelp_tall,PFB_family_kelp_tall.prefab,deep-bioluminescnce.jpg,Single continuous extrusion hitting 40m target height
BP_KELP_TAL_02,family_kelp_tall,PFB_family_kelp_tall__lean.prefab,forest_kelp.webp,Apply severe current bending vector across upper 20m
BP_KELP_TAL_03,family_kelp_tall,PFB_family_kelp_tall__stalk.prefab,middle-water.webp,Isolate primary structural vine without leaf blading
BP_KELP_TAL_04,family_kelp_tall,NEW_ASSET_REQUIRED_tall_spiral (ref: PFB_family_kelp_tall.prefab),shallows.webp,Twist stalk geometry around central axis during extrusion
BP_KELP_TAL_05,family_kelp_tall,NEW_ASSET_REQUIRED_tall_forked (ref: PFB_family_kelp_tall.prefab),shallowwater.jpg,Bifurcate main stem at 15m elevation into equal twin leads
BP_KELP_TAL_06,family_kelp_tall,NEW_ASSET_REQUIRED_tall_thick (ref: PFB_family_kelp_tall__stalk.prefab),ubnautic.webp,Triple radial diameter of base transitioning to normal at top
BP_KELP_TAL_07,family_kelp_tall,NEW_ASSET_REQUIRED_tall_snapped (ref: PFB_family_kelp_tall.prefab),base.webp,Terminate sharply at 10m with ragged fractal edge
BP_KELP_TAL_08,family_kelp_tall,NEW_ASSET_REQUIRED_tall_knotted (ref: PFB_family_kelp_tall__stalk.prefab),beauty.webp,Add localized spherical bulges along the spline path
BP_KELP_TAL_09,family_kelp_tall,NEW_ASSET_REQUIRED_tall_weeping (ref: PFB_family_kelp_tall__lean.prefab),nice_biome.webp,Flip terminal nodes 180 degrees to hang downward
BP_KELP_TAL_10,family_kelp_tall,NEW_ASSET_REQUIRED_tall_wavy (ref: PFB_family_kelp_tall.prefab),UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg,Inject high-amplitude low-frequency sine wave into path
BP_RCH_LRG_01,family_rock_arch_large,PFB_family_rock_arch_large.prefab,CLIFFS AND WATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg,Sweep heavy rock profile along parabolic arc path
BP_RCH_LRG_02,family_rock_arch_large,PFB_family_rock_arch_large__arch.prefab,CLIFFS SKY AND GAS GIANT PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN + SKY MATERIAL (CHECK COMMITS IN MAY 1ST WEEK, IT IS THIS MATERIAL)).jpg.jpg,Standard continuous overhead bridge with thick keystones
BP_RCH_LRG_03,family_rock_arch_large,PFB_family_rock_arch_large__split.prefab,UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg,Introduce deep structural fracture at the arch apex
BP_RCH_LRG_04,family_rock_arch_large,NEW_ASSET_REQUIRED_arch_wide (ref: PFB_family_rock_arch_large.prefab),UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg,Flatten arc to span 50m width with minimal height
BP_RCH_LRG_05,family_rock_arch_large,NEW_ASSET_REQUIRED_arch_tall (ref: PFB_family_rock_arch_large.prefab),deep-bioluminescnce.jpg,Stretch vertical piers to 30m before arch transition
BP_RCH_LRG_06,family_rock_arch_large,NEW_ASSET_REQUIRED_arch_lean (ref: PFB_family_rock_arch_large__arch.prefab),forest_kelp.webp,Offset apex laterally by 15m to create unbalanced look
BP_RCH_LRG_07,family_rock_arch_large,NEW_ASSET_REQUIRED_arch_double (ref: PFB_family_rock_arch_large.prefab),middle-water.webp,Intersect two perpendicular arch sweeps at central pillar
BP_RCH_LRG_08,family_rock_arch_large,NEW_ASSET_REQUIRED_arch_half (ref: PFB_family_rock_arch_large__split.prefab),shallows.webp,Delete one leg to form a massive cantilevered overhang
BP_RCH_LRG_09,family_rock_arch_large,NEW_ASSET_REQUIRED_arch_jagged (ref: PFB_family_rock_arch_large.prefab),shallowwater.jpg,Apply severe 3D noise to extrude razor sharp stalactites
BP_RCH_LRG_10,family_rock_arch_large,NEW_ASSET_REQUIRED_arch_ruined (ref: PFB_family_rock_arch_large__arch.prefab),ubnautic.webp,Collapse central span leaving only the two opposing stumps
BP_RCK_MED_01,family_rock_cluster_medium,PFB_family_rock_cluster_medium.prefab,base.webp,Group 3-5 distinct rock meshes via Voronoi packing
BP_RCK_MED_02,family_rock_cluster_medium,PFB_family_rock_cluster_medium__cluster.prefab,beauty.webp,Dense aggregation with interstitial sediment buildup
BP_RCK_MED_03,family_rock_cluster_medium,PFB_family_rock_cluster_medium__ridge.prefab,nice_biome.webp,Linear arrangement mimicking exposed geological strata
BP_RCK_MED_04,family_rock_cluster_medium,PFB_family_rock_cluster_medium__stack.prefab,UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg,Vertical balancing of boulders for precarious silhouettes
BP_RCK_MED_05,family_rock_cluster_medium,NEW_ASSET_REQUIRED_rock_ring (ref: PFB_family_rock_cluster_medium.prefab),UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg,Circular placement defining a protected inner basin
BP_RCK_MED_06,family_rock_cluster_medium,NEW_ASSET_REQUIRED_rock_scatter (ref: PFB_family_rock_cluster_medium__cluster.prefab),deep-bioluminescnce.jpg,Loose distribution over a 15m radius with minimal overlap
BP_RCK_MED_07,family_rock_cluster_medium,NEW_ASSET_REQUIRED_rock_slab (ref: PFB_family_rock_cluster_medium__ridge.prefab),forest_kelp.webp,Flatten top surfaces by shearing along global Z axis
BP_RCK_MED_08,family_rock_cluster_medium,NEW_ASSET_REQUIRED_rock_spiky (ref: PFB_family_rock_cluster_medium.prefab),middle-water.webp,Elongate vertical dimensions of all sub-meshes by 2x
BP_RCK_MED_09,family_rock_cluster_medium,NEW_ASSET_REQUIRED_rock_cracked (ref: PFB_family_rock_cluster_medium__stack.prefab),shallows.webp,Apply deep fissure boolean cuts through entire cluster
BP_RCK_MED_10,family_rock_cluster_medium,NEW_ASSET_REQUIRED_rock_shelf (ref: PFB_family_rock_cluster_medium__ridge.prefab),shallowwater.jpg,Project one side horizontally to form a small ledge
BP_RUN_MED_01,family_ruin_cluster_medium,PFB_family_ruin_cluster_medium.prefab,ubnautic.webp,Assemble modular decayed architectural blocks in semi-grid
BP_RUN_MED_02,family_ruin_cluster_medium,PFB_family_ruin_cluster_medium__cluster.prefab,base.webp,Tightly packed array of broken structural pillars
BP_RUN_MED_03,family_ruin_cluster_medium,PFB_family_ruin_cluster_medium__corridor.prefab,beauty.webp,Linear sequence of archways with missing roof segments
BP_RUN_MED_04,family_ruin_cluster_medium,NEW_ASSET_REQUIRED_ruin_plaza (ref: PFB_family_ruin_cluster_medium.prefab),nice_biome.webp,Flat paved area bordered by shattered obelisks
BP_RUN_MED_05,family_ruin_cluster_medium,NEW_ASSET_REQUIRED_ruin_dome (ref: PFB_family_ruin_cluster_medium__cluster.prefab),UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg,Hemispherical mesh with 40 percent of panels removed
BP_RUN_MED_06,family_ruin_cluster_medium,NEW_ASSET_REQUIRED_ruin_stairs (ref: PFB_family_ruin_cluster_medium.prefab),UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg,Terraced step geometry degraded by severe noise erosion
BP_RUN_MED_07,family_ruin_cluster_medium,NEW_ASSET_REQUIRED_ruin_wall (ref: PFB_family_ruin_cluster_medium__corridor.prefab),deep-bioluminescnce.jpg,Long continuous barrier intersected by blast crater
BP_RUN_MED_08,family_ruin_cluster_medium,NEW_ASSET_REQUIRED_ruin_pit (ref: PFB_family_ruin_cluster_medium.prefab),forest_kelp.webp,Inverted ziggurat foundation plunging below terrain level
BP_RUN_MED_09,family_ruin_cluster_medium,NEW_ASSET_REQUIRED_ruin_spire (ref: PFB_family_ruin_cluster_medium__cluster.prefab),middle-water.webp,Tall narrow assembly with precarious off-center lean
BP_RUN_MED_10,family_ruin_cluster_medium,NEW_ASSET_REQUIRED_ruin_rubble (ref: PFB_family_ruin_cluster_medium.prefab),shallows.webp,Disorganized heap of generic brick and beam colliders
BP_SRV_SCR_01,family_service_scar,PFB_family_service_scar.prefab,shallowwater.jpg,Trench excavation geometry exposing industrial pipework
BP_SRV_SCR_02,family_service_scar,PFB_family_service_scar__pump.prefab,ubnautic.webp,Central mechanical node surrounded by torn earth
BP_SRV_SCR_03,family_service_scar,PFB_family_service_scar__strip.prefab,base.webp,Long linear gouge with parallel cable runs exposed
BP_SRV_SCR_04,family_service_scar,NEW_ASSET_REQUIRED_scar_crater (ref: PFB_family_service_scar.prefab),beauty.webp,Deep circular blast zone revealing sub-surface grating
BP_SRV_SCR_05,family_service_scar,NEW_ASSET_REQUIRED_scar_vent (ref: PFB_family_service_scar__pump.prefab),nice_biome.webp,Vertical shaft emitting particle zones with heavy slag borders
