id,title,sourceType,family,verdict,curationStatus,targetRole,integrationNote,baseColorCandidatePath,curatedBaseColorPath,tilePreviewPath,unityImportStatus,visualStatus
B34-3411,Pressure Base Exterior Hull Trim Sheet,TRIM_SHEET,hard_surface_trim,INTAKE_READY_STATIC,CURATED_READY_STATIC,"base exteriors, module edges, hatch frames, pressure ribs",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3411_pressure_base_exterior_hull_trim_sheet_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3411_pressure_base_exterior_hull_trim_sheet_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3412,Pressure Base Interior Wall Trim Sheet,TRIM_SHEET,hard_surface_trim,INTAKE_READY_STATIC,CURATED_READY_STATIC,"corridors, safe rooms, wreck interiors, wall panels",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3412_pressure_base_interior_wall_trim_sheet_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3412_pressure_base_interior_wall_trim_sheet_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3413,Wet Service Deck Anti-Slip Floor,SEAMLESS_TILE,hard_surface_floor,REVIEW_REQUIRED,LOCAL_ONLY_STATIC,"Wet service deck fixed panel source, not a seamless terrain/floor tile.",Yellow/smudge landmarks repeat; use as authored panel/trim crop or regenerate pure anti-slip tile.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3413_wet_service_deck_anti_slip_floor_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/LocalOnly/TX_B34_3413_wet_service_deck_anti_slip_floor_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/TilePreviews/B34_3413_wet_service_deck_anti_slip_floor_Tile2x2.png,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3414,Rubber Gasket Ring Trim Sheet,TRIM_SHEET,rubber_trim,INTAKE_READY_STATIC,CURATED_READY_STATIC,"hatches, viewport rims, pressure doors, pipe sockets",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3414_rubber_gasket_ring_trim_sheet_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3414_rubber_gasket_ring_trim_sheet_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3415,Cable Jacket Repair Wrap Tile,SEAMLESS_TILE,rubber_cable,REVIEW_REQUIRED,LOCAL_ONLY_STATIC,Cable repair-wrap local variant source.,"Good prop texture, but broad bands make it unsuitable as generic repeating cable material.",Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3415_cable_jacket_repair_wrap_tile_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/LocalOnly/TX_B34_3415_cable_jacket_repair_wrap_tile_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/TilePreviews/B34_3415_cable_jacket_repair_wrap_tile_Tile2x2.png,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3416,Ribbed Flexible Hose Material,SEAMLESS_TILE,rubber_cable,INTAKE_READY_STATIC,CURATED_READY_STATIC,"oxygen hoses, coolant lines, base pipes, tool cords",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3416_ribbed_flexible_hose_material_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3416_ribbed_flexible_hose_material_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/TilePreviews/B34_3416_ribbed_flexible_hose_material_Tile2x2.png,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3417,Amber Emergency Lens Material,SEAMLESS_TILE,glass_lens,REVIEW_REQUIRED,LOCAL_ONLY_OR_CENTER_CROP,Amber lens source after center crop or fixed lamp panel use.,Hard border tiles in 2x2; crop central ribbed lens before using as repeat material.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3417_amber_emergency_lens_material_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/LocalOnly/TX_B34_3417_amber_emergency_lens_material_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/TilePreviews/B34_3417_amber_emergency_lens_material_Tile2x2.png,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3418,Thick Viewport Glass Edge Decal Atlas,DECAL_ATLAS,glass_decal,REVIEW_REQUIRED,REGEN_OR_MANUAL_MATTE,Viewport glass wear decal reference only until background is matted.,Baked checkerboard/removable background risk; do not import as alpha decal directly.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3418_thick_viewport_glass_edge_decal_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/NeedsWork/TX_B34_3418_thick_viewport_glass_edge_decal_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3419,Welded Seam And Rivet Row Trim Sheet,TRIM_SHEET,hard_surface_trim,INTAKE_READY_STATIC,CURATED_READY_STATIC,"wreckage, base hulls, repaired panels, industrial seams",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3419_welded_seam_and_rivet_row_trim_sheet_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3419_welded_seam_and_rivet_row_trim_sheet_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3420,Salvage Cut Cross-Section Trim Atlas,TRIM_SHEET,hard_surface_trim,INTAKE_READY_STATIC,CURATED_READY_STATIC,"cut panels, opened wrecks, salvage resource surfaces",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3420_salvage_cut_cross_section_trim_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3420_salvage_cut_cross_section_trim_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3421,Damped Insulation Blanket Material,SEAMLESS_TILE,fabric_insulation,REVIEW_REQUIRED,CURATED_READY_STATIC,Damped insulation blanket for interiors/equipment backing.,Quilt repeat is expected; still needs Unity roughness/normal review.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3421_damped_insulation_blanket_material_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3421_damped_insulation_blanket_material_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/TilePreviews/B34_3421_damped_insulation_blanket_material_Tile2x2.png,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3422,Pressure Suit Patch Trim Sheet,TRIM_SHEET,suit_fabric,INTAKE_READY_STATIC,CURATED_READY_STATIC,"suit meshes, tool pouches, wearable repair patches",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3422_pressure_suit_patch_trim_sheet_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3422_pressure_suit_patch_trim_sheet_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3423,Leak Rust Biofilm Decal Atlas,DECAL_ATLAS,damage_decal,INTAKE_READY_STATIC,CURATED_READY_STATIC,"base/wreck damage, damp panels, old machinery",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3423_leak_rust_biofilm_decal_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3423_leak_rust_biofilm_decal_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3424,Paint Chip Scratch Decal Atlas,DECAL_ATLAS,damage_decal,REVIEW_REQUIRED,PAD_OR_SPLIT_BEFORE_IMPORT,Paint chip/scratch decal atlas after padding check.,"Good source, but some islands are near edges; split/pad before decal texture array import.",Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3424_paint_chip_scratch_decal_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/NeedsWork/TX_B34_3424_paint_chip_scratch_decal_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3425,Salt Mineral Deposit Decal Atlas,DECAL_ATLAS,damage_decal,INTAKE_READY_STATIC,CURATED_READY_STATIC,"wet edges, cave rocks, hull seams, old base interiors",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3425_salt_mineral_deposit_decal_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3425_salt_mineral_deposit_decal_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3426,Instrument Glass Smudge Alpha Decal Atlas,DECAL_ATLAS,glass_decal,REVIEW_REQUIRED,CURATED_READY_ALPHA_SOURCE,Instrument glass smudge/scratch alpha source.,Black background drives clipping warning by design; extract mask before shader use.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3426_instrument_glass_smudge_alpha_decal_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3426_instrument_glass_smudge_alpha_decal_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3427,Pressure Crack Glass Decal Atlas,DECAL_ATLAS,glass_decal,INTAKE_READY_STATIC,CURATED_READY_STATIC,"damaged viewports, scanner lenses, cockpit glass",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3427_pressure_crack_glass_decal_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3427_pressure_crack_glass_decal_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3428,Warning Paint Stripe Decal Atlas,DECAL_ATLAS,damage_decal,INTAKE_READY_STATIC,CURATED_READY_STATIC,"hazard stripes, panel markings without text, trim variation",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3428_warning_paint_stripe_decal_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3428_warning_paint_stripe_decal_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3429,Cutter Burn Scorch Decal Atlas,DECAL_ATLAS,damage_decal,INTAKE_READY_STATIC,CURATED_READY_STATIC,"cutter tool impact, salvage cuts, repair/weld states",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3429_cutter_burn_scorch_decal_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3429_cutter_burn_scorch_decal_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3430,Barnacle Colony Decal Variants,DECAL_ATLAS,organic_decal,INTAKE_READY_STATIC,CURATED_READY_STATIC,"rocks, hulls, cave surfaces, colony overgrowth",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3430_barnacle_colony_decal_variants_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3430_barnacle_colony_decal_variants_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3431,Wetness Rivulet Decal Atlas,DECAL_ATLAS,damage_decal,INTAKE_READY_STATIC,CURATED_READY_STATIC,"interiors, hatches, floors, wet rock, leak presentation",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3431_wetness_rivulet_decal_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3431_wetness_rivulet_decal_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3432,Contamination Biohazard Stain Atlas,DECAL_ATLAS,organic_decal,INTAKE_READY_STATIC,CURATED_READY_STATIC,"contaminated rooms, organism stains, procedural evidence",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3432_contamination_biohazard_stain_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3432_contamination_biohazard_stain_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3433,Brine Vane Flora UV Atlas,UV_ATLAS,flora_uv,REVIEW_REQUIRED,CURATED_READY_ALPHA_SOURCE,Brine vane flora UV source with dark matte background.,"Clipping is background/matte, not content failure; split islands before mesh UV use.",Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3433_brine_vane_flora_uv_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3433_brine_vane_flora_uv_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3434,Shallow Alien Seagrass Blade Atlas,UV_ATLAS,flora_uv,INTAKE_READY_STATIC,CURATED_READY_STATIC,"shallow flora cards/meshes, photic route grass/seagrass",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3434_shallow_alien_seagrass_blade_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3434_shallow_alien_seagrass_blade_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3435,Plate Coral Rim UV Atlas,UV_ATLAS,flora_uv,INTAKE_READY_STATIC,CURATED_READY_STATIC,"shallow plate coral meshes, reef geometry, coral trim",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3435_plate_coral_rim_uv_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3435_plate_coral_rim_uv_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3436,Sponge Pore Organic Atlas,UV_ATLAS,flora_uv,INTAKE_READY_STATIC,CURATED_READY_STATIC,"sponge/coral variants, organic rock overgrowth",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3436_sponge_pore_organic_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3436_sponge_pore_organic_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3437,Kelp Holdfast Root Atlas,UV_ATLAS,flora_uv,INTAKE_READY_STATIC,CURATED_READY_STATIC,"kelp anchors/roots, flora root geometry, terrain contact",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3437_kelp_holdfast_root_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3437_kelp_holdfast_root_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3438,Tube Worm Soft Crown Atlas,UV_ATLAS,flora_uv,REVIEW_REQUIRED,PAD_OR_SPLIT_BEFORE_IMPORT,Tube worm crown/tube UV source after island padding.,"Useful material set, but edge risk means atlas must be split or expanded before import.",Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3438_tube_worm_soft_crown_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/NeedsWork/TX_B34_3438_tube_worm_soft_crown_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3439,Spore Pod And Seed Sac Atlas,UV_ATLAS,flora_uv,INTAKE_READY_STATIC,CURATED_READY_STATIC,"harvestable flora pods, scan targets, small organic props",Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3439_spore_pod_and_seed_sac_atlas_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3439_spore_pod_and_seed_sac_atlas_BaseColorCandidate.jpg,,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
